Elapsed Time,User Position,User Heading,Experiment State
0.1102788,"(-4.272032,1.715749,1.401377)","(6.162182,266.0619,353.4)",0
0.2110348,"(-4.273699,1.715788,1.399729)","(6.105553,265.6678,353.4154)",0
0.3212075,"(-4.275496,1.716181,1.397535)","(6.04383,265.0747,353.4141)",0
0.42137,"(-4.275988,1.716026,1.395559)","(6.144865,264.5232,353.2391)",0
0.5325783,"(-4.27474,1.716775,1.393045)","(5.895576,263.8414,353.4354)",0
0.6435936,"(-4.272703,1.717873,1.389666)","(5.267746,262.9001,354.0366)",0
0.7438073,"(-4.271051,1.718622,1.385935)","(4.841004,261.932,354.4255)",0
0.854153,"(-4.269304,1.719043,1.381281)","(4.578885,260.7568,354.6168)",0
0.9545278,"(-4.268438,1.719363,1.375887)","(4.350889,259.4461,354.7647)",0
1.065642,"(-4.267748,1.718905,1.367048)","(4.354532,256.9832,354.5255)",0
1.166522,"(-4.267675,1.718413,1.356249)","(3.992723,253.403,354.6454)",0
1.276851,"(-4.267977,1.715098,1.343004)","(3.841006,248.699,354.3821)",0
1.387917,"(-4.268305,1.711272,1.330748)","(4.064501,243.5885,353.4476)",0
1.488047,"(-4.269609,1.711313,1.321283)","(4.123914,238.1791,352.5947)",0
1.599165,"(-4.27561,1.716163,1.310949)","(2.660684,231.1909,354.4489)",0
1.699321,"(-4.283457,1.720176,1.297407)","(1.466465,221.5731,356.138)",0
1.810016,"(-4.285921,1.718533,1.283209)","(1.338687,205.4053,354.0661)",0
1.910118,"(-4.281767,1.721084,1.278837)","(1.532686,186.0752,331.705)",0
2.010719,"(-4.272802,1.719918,1.286093)","(2.958194,164.3199,21.24174)",0
2.120758,"(-4.270182,1.713939,1.301542)","(5.079284,144.4638,15.76067)",0
2.221317,"(-4.277468,1.711191,1.309633)","(5.803123,136.4441,14.46025)",0
2.321593,"(-4.278894,1.711731,1.317129)","(5.158807,130.2472,11.09838)",0
2.422159,"(-4.272741,1.71186,1.326639)","(4.619754,122.4102,8.394588)",0
2.522307,"(-4.26333,1.708074,1.337725)","(4.792628,114.3404,7.422153)",0
2.644674,"(-4.246077,1.70824,1.350973)","(5.093444,106.7888,6.853259)",0
2.755218,"(-4.228861,1.707642,1.360899)","(5.517309,103.3625,6.978183)",0
2.866486,"(-4.206781,1.706182,1.367414)","(5.599648,102.3895,6.960224)",0
2.977247,"(-4.177389,1.705881,1.377996)","(4.620995,101.9985,5.704677)",0
3.088827,"(-4.139635,1.706331,1.394114)","(4.136316,101.4406,5.056162)",0
3.19922,"(-4.096395,1.705516,1.410257)","(3.597292,100.2399,4.304749)",0
3.310097,"(-4.052092,1.702496,1.423075)","(4.596995,98.7892,5.361346)",0
3.421141,"(-4.008574,1.702591,1.428942)","(5.18289,98.30956,5.993484)",0
3.532372,"(-3.966131,1.703718,1.430056)","(5.870574,98.05603,6.758069)",0
3.643528,"(-3.925516,1.702637,1.429354)","(6.818679,97.87553,7.823877)",0
3.754405,"(-3.885622,1.698866,1.426073)","(8.115028,97.81177,9.299476)",0
3.866094,"(-3.843714,1.69646,1.419287)","(8.967878,97.26928,10.17846)",0
3.976788,"(-3.797338,1.688783,1.409323)","(9.771746,96.19671,10.88379)",0
4.088088,"(-3.745192,1.683181,1.395098)","(9.326636,95.5902,10.27919)",0
4.199257,"(-3.685961,1.683217,1.375521)","(8.163908,96.33893,9.117223)",0
4.309927,"(-3.617609,1.690648,1.351851)","(8.015204,96.69107,9.006604)",0
4.420656,"(-3.551733,1.692464,1.334372)","(8.033651,96.3162,8.968309)",0
4.531969,"(-3.49119,1.696545,1.327826)","(8.745214,94.53352,9.462923)",0
4.643462,"(-3.433352,1.696059,1.326723)","(9.49179,92.43092,9.90129)",0
4.754198,"(-3.37615,1.691065,1.327291)","(9.514523,91.73467,9.805628)",0
4.865418,"(-3.31666,1.681373,1.331022)","(8.936632,92.7695,9.37746)",0
4.976521,"(-3.248625,1.6782,1.340647)","(6.834331,94.10294,7.340794)",0
5.087257,"(-3.173719,1.689989,1.35499)","(7.164021,94.53771,7.753379)",0
5.198668,"(-3.102091,1.691015,1.371965)","(8.081176,92.41872,8.428498)",0
5.309739,"(-3.036833,1.687872,1.381765)","(9.469252,90.92338,9.622384)",0
5.420979,"(-2.977278,1.689681,1.377733)","(10.1624,93.14857,10.73352)",0
5.532032,"(-2.920431,1.687767,1.369299)","(10.45188,95.09843,11.41975)",0
5.642859,"(-2.861094,1.681164,1.360662)","(10.78338,95.60979,11.88686)",0
5.754252,"(-2.799025,1.66928,1.355013)","(10.86804,93.77432,11.60373)",0
5.864898,"(-2.732443,1.662236,1.345957)","(8.384515,91.56721,8.616188)",0
5.976325,"(-2.659388,1.675436,1.329813)","(6.730367,89.93791,6.723094)",0
6.086992,"(-2.592226,1.680891,1.313284)","(7.948974,91.38521,8.142866)",0
6.198885,"(-2.535482,1.674023,1.307962)","(11.20152,91.47002,11.49074)",0
6.309369,"(-2.49275,1.681316,1.309736)","(11.29992,90.24335,11.3477)",0
6.420089,"(-2.461706,1.681744,1.312075)","(11.19165,90.5702,11.30286)",0
6.53142,"(-2.438189,1.692092,1.314478)","(11.34402,92.89174,11.92738)",0
6.642419,"(-2.419428,1.693646,1.319345)","(10.46454,94.21145,11.25849)",0
6.753764,"(-2.405264,1.687971,1.327803)","(12.52935,93.87992,13.40016)",0
