Elapsed Time,User Position,User Heading,Experiment State
0.3180339,"(-0.1727886,1.826354,1.375895)","(14.68443,96.27452,16.3656)",0
0.4322711,"(-0.1786938,1.820711,1.38777)","(16.10843,97.235,18.24823)",0
0.5343575,"(-0.1797276,1.8202,1.390989)","(16.20611,97.49863,18.44238)",0
0.6448271,"(-0.1798096,1.820291,1.392284)","(16.1671,97.49836,18.39808)",0
0.7571394,"(-0.178957,1.819899,1.394041)","(16.26355,97.43015,18.48558)",0
0.8671347,"(-0.177475,1.819776,1.396397)","(16.33501,97.2029,18.49366)",0
0.9779961,"(-0.1751289,1.819836,1.398899)","(16.37452,97.05567,18.49109)",0
1.089277,"(-0.1722984,1.820207,1.406116)","(16.39907,95.20664,17.93705)",0
1.199894,"(-0.1702061,1.81964,1.423384)","(16.80242,89.68476,16.71153)",0
1.310839,"(-0.1709747,1.816399,1.443321)","(17.89661,82.92742,15.84153)",0
1.421832,"(-0.1712055,1.81507,1.453962)","(18.12075,79.62062,15.14158)",0
1.534252,"(-0.1709061,1.815751,1.457928)","(17.97003,78.64445,14.75964)",0
1.644363,"(-0.1683502,1.816329,1.458286)","(17.82848,78.76176,14.67303)",0
1.755197,"(-0.1644039,1.815478,1.456884)","(18.26413,79.36398,15.19345)",0
1.866931,"(-0.1590481,1.814774,1.456301)","(18.62511,79.85545,15.62942)",0
1.977493,"(-0.1528492,1.814998,1.45532)","(18.64287,80.5741,15.84227)",0
2.088568,"(-0.1453934,1.814939,1.452076)","(18.90666,81.73618,16.3963)",0
2.199682,"(-0.1380806,1.815995,1.445267)","(18.68776,83.6688,16.75838)",0
2.310499,"(-0.1299725,1.818174,1.434122)","(18.1012,86.12697,16.93492)",0
2.421619,"(-0.1198044,1.820207,1.41996)","(17.5416,87.80977,16.89322)",0
2.532917,"(-0.1056576,1.820036,1.401937)","(17.62929,88.80108,17.26976)",0
2.643752,"(-0.08594322,1.820503,1.376986)","(18.02393,89.37206,17.83064)",0
2.754938,"(-0.06215477,1.821975,1.344217)","(18.09421,90.1711,18.14742)",0
2.865673,"(-0.03898811,1.8233,1.306334)","(18.15268,91.32852,18.57121)",0
2.977126,"(-0.01895332,1.825313,1.268805)","(18.27903,91.58278,18.78209)",0
3.087929,"(-0.000951767,1.825329,1.23448)","(17.23436,90.82317,17.47994)",0
3.199214,"(0.01121521,1.824755,1.208374)","(16.95425,89.92393,16.93208)",0
3.310131,"(0.01859093,1.833176,1.192537)","(15.1362,88.19269,14.67132)",0
3.42221,"(0.02048874,1.827673,1.181255)","(15.27616,87.95441,14.74628)",0
3.532763,"(0.0225029,1.830919,1.177032)","(14.38557,87.5891,13.79847)",0
3.643717,"(0.02459717,1.831483,1.176811)","(13.56707,86.55571,12.78182)",0
3.755225,"(0.02567482,1.832424,1.176844)","(12.88484,84.82468,11.77876)",0
