Elapsed Time,User Position,User Heading,Experiment State
0.04016446,"(-3.95632,1.79728,1.357206)","(22.90133,274.7102,338.8656)",0
0.1438796,"(-3.956957,1.796634,1.358042)","(23.20532,274.549,338.5248)",0
0.2550135,"(-3.957026,1.796535,1.358015)","(23.22069,274.7108,338.5699)",0
0.365786,"(-3.956427,1.798102,1.356901)","(22.68433,274.7007,339.0632)",0
0.4662447,"(-3.955202,1.798681,1.35494)","(22.48417,274.3945,339.1396)",0
0.5769893,"(-3.952879,1.79957,1.352655)","(22.04386,273.7365,339.3178)",0
0.6772633,"(-3.949968,1.800568,1.349737)","(21.55282,272.8266,339.4625)",0
0.7774116,"(-3.947481,1.80118,1.347445)","(21.18855,271.7889,339.4488)",0
0.878126,"(-3.945391,1.802418,1.345842)","(20.3944,271.0179,339.9574)",0
0.9782783,"(-3.944479,1.804672,1.344454)","(19.10795,270.0606,340.9119)",0
1.088802,"(-3.944921,1.805997,1.343615)","(18.35734,269.1191,341.3632)",0
1.18964,"(-3.946035,1.806623,1.343611)","(18.01204,268.5283,341.5272)",0
1.29971,"(-3.947886,1.807418,1.344481)","(17.59216,268.0608,341.8121)",0
1.410799,"(-3.950056,1.80866,1.344801)","(17.19263,267.4534,342.0382)",0
1.510825,"(-3.95265,1.808743,1.345037)","(17.2374,267.2273,341.9214)",0
1.621682,"(-3.955385,1.808621,1.345999)","(17.3823,267.5797,341.8797)",0
1.73216,"(-3.95767,1.808691,1.346842)","(17.42295,268.0764,341.9916)",0
1.832676,"(-3.95978,1.808103,1.346907)","(17.71177,268.1201,341.7072)",0
1.943828,"(-3.961966,1.807282,1.347021)","(17.98904,267.9686,341.3727)",0
2.053913,"(-3.963942,1.806232,1.347315)","(18.4445,267.8397,340.8595)",0
2.154691,"(-3.965319,1.806131,1.347651)","(18.55729,267.8127,340.7337)",0
2.265504,"(-3.966211,1.805913,1.347906)","(18.66902,267.7497,340.5969)",0
2.365714,"(-3.966238,1.805981,1.348608)","(18.67157,267.9664,340.6662)",0
2.477643,"(-3.965906,1.805759,1.349813)","(18.75802,268.5086,340.7564)",0
2.587737,"(-3.96594,1.804854,1.349733)","(19.07265,268.732,340.5086)",0
2.698822,"(-3.965197,1.803996,1.349554)","(19.3641,268.507,340.1347)",0
2.798934,"(-3.964693,1.802945,1.34881)","(19.70116,268.3721,339.7426)",0
2.909832,"(-3.963648,1.802421,1.347689)","(19.87873,268.1668,339.4883)",0
3.020648,"(-3.962934,1.802346,1.346968)","(19.93922,268.1185,339.409)",0
3.120703,"(-3.962694,1.801587,1.346079)","(20.25647,268.1192,339.0821)",0
3.220782,"(-3.962564,1.801341,1.345346)","(20.36111,268.1658,338.991)",0
3.331762,"(-3.962469,1.801951,1.345488)","(20.26332,268.6597,339.2673)",0
3.431944,"(-3.962172,1.803,1.346434)","(19.92855,269.5694,339.9242)",0
3.542694,"(-3.961245,1.803497,1.347616)","(19.73978,270.601,340.4622)",0
3.643094,"(-3.960905,1.803772,1.34794)","(19.69111,271.1668,340.6983)",0
3.754326,"(-3.960611,1.803911,1.347738)","(19.6497,271.7612,340.9341)",0
3.864876,"(-3.960657,1.803735,1.34683)","(19.70504,272.5033,341.1221)",0
3.976385,"(-3.961256,1.803069,1.345514)","(20.06387,273.5167,341.1091)",0
4.086857,"(-3.961901,1.80218,1.343481)","(20.48585,274.5815,341.0604)",0
4.186901,"(-3.962465,1.800028,1.342588)","(21.49911,276.5094,340.7688)",0
4.287068,"(-3.963652,1.798867,1.341749)","(22.07544,278.831,341.0273)",0
4.398076,"(-3.965117,1.797716,1.333006)","(22.51288,277.7194,340.2731)",0
4.509734,"(-3.966883,1.797166,1.32189)","(22.81451,274.8524,338.9973)",0
4.621085,"(-3.968637,1.795813,1.304407)","(23.52891,269.4884,336.266)",0
4.730903,"(-3.976088,1.794106,1.310827)","(25.02911,277.64,338.0226)",0
4.830908,"(-3.981264,1.789795,1.334837)","(26.8172,292.9909,342.0636)",0
4.94211,"(-3.97592,1.785688,1.369329)","(26.81453,309.4171,347.1475)",0
5.042275,"(-3.96591,1.783391,1.401712)","(26.57778,318.5377,349.7834)",0
5.14234,"(-3.951391,1.783584,1.433249)","(26.36989,325.7633,351.7462)",0
5.253461,"(-3.939295,1.78052,1.461287)","(26.43798,335.3914,354.1341)",0
5.364268,"(-3.933409,1.781407,1.478609)","(27.10322,345.9353,356.5938)",0
5.465185,"(-3.928595,1.780132,1.485662)","(26.77406,355.6558,358.9656)",0
5.575359,"(-3.923204,1.782125,1.488668)","(26.82118,7.649457,1.826411)",0
5.675618,"(-3.908827,1.780391,1.493105)","(27.25227,21.19815,5.194478)",0
5.787117,"(-3.882792,1.777332,1.493814)","(27.84412,32.72007,8.323957)",0
5.898647,"(-3.849119,1.775483,1.493864)","(28.08064,42.45189,11.09527)",0
6.011138,"(-3.813604,1.776058,1.496077)","(27.85244,50.73693,13.41133)",0
6.120571,"(-3.77849,1.773585,1.49824)","(27.11484,57.35987,15.029)",0
6.231521,"(-3.748018,1.770448,1.494387)","(28.07405,62.68358,17.31484)",0
6.343127,"(-3.730066,1.774587,1.491476)","(28.5633,67.02177,19.13526)",0
6.454987,"(-3.721205,1.775727,1.488012)","(27.72677,71.1558,20.02426)",0
6.564968,"(-3.713839,1.775806,1.487307)","(28.37311,75.00179,21.9556)",0
6.676601,"(-3.70466,1.772024,1.484961)","(29.758,78.09992,24.32613)",0
6.787519,"(-3.694002,1.770312,1.482294)","(29.96996,81.32813,25.8989)",0
6.898315,"(-3.678457,1.769517,1.472799)","(29.53466,84.8786,27.10336)",0
7.009411,"(-3.662275,1.769534,1.457319)","(29.04107,86.86611,27.55501)",0
7.120242,"(-3.639322,1.769725,1.43503)","(28.71119,88.66385,28.07578)",0
7.231234,"(-3.610739,1.772084,1.405516)","(27.35268,91.36067,27.98455)",0
7.342968,"(-3.582041,1.772949,1.375593)","(27.75294,93.23073,29.29618)",0
7.453519,"(-3.553312,1.77058,1.354567)","(28.634,94.33731,30.78473)",0
7.564589,"(-3.519403,1.77392,1.34902)","(28.67569,94.0481,30.68096)",0
7.676278,"(-3.486727,1.771178,1.352186)","(29.03069,93.87637,30.96972)",0
7.786707,"(-3.459387,1.774294,1.364466)","(28.06051,94.87974,30.44674)",0
7.897704,"(-3.427713,1.778689,1.375502)","(27.73042,95.98832,30.65415)",0
8.009186,"(-3.387655,1.776343,1.374487)","(28.61181,96.92559,32.11753)",0
8.119567,"(-3.344595,1.773198,1.363432)","(28.99797,97.72607,32.98293)",0
8.230332,"(-3.298166,1.767021,1.341291)","(29.00793,98.25864,33.28812)",0
8.342881,"(-3.252859,1.7594,1.30868)","(28.99039,97.86083,33.04852)",0
8.452621,"(-3.206186,1.759369,1.269835)","(29.16504,97.73294,33.17432)",0
8.564067,"(-3.160971,1.769365,1.237276)","(29.67933,98.048,33.92871)",0
8.675376,"(-3.116068,1.765059,1.212919)","(31.19471,98.08156,35.65488)",0
8.786532,"(-3.071405,1.764828,1.199335)","(31.88645,97.62478,36.16003)",0
8.896966,"(-3.026682,1.75863,1.192755)","(32.82576,97.15474,36.92288)",0
9.008673,"(-2.979193,1.752306,1.194555)","(33.27865,97.88428,37.8741)",0
9.11935,"(-2.929914,1.747495,1.210936)","(33.03821,96.91897,37.01503)",0
9.230474,"(-2.874926,1.75167,1.236303)","(33.49487,93.80023,35.65228)",0
9.342127,"(-2.820597,1.757926,1.255198)","(32.83478,90.85538,33.30152)",0
9.452806,"(-2.77228,1.753134,1.260889)","(35.08945,90.95989,35.64506)",0
9.563601,"(-2.725687,1.757109,1.252924)","(34.08218,92.94962,35.77135)",0
9.674952,"(-2.677912,1.749637,1.240213)","(35.81298,94.31652,38.41916)",0
9.785896,"(-2.63117,1.745013,1.218565)","(35.61455,94.00623,38.0164)",0
9.896956,"(-2.588221,1.74661,1.187479)","(34.52091,93.23048,36.39551)",0
10.00841,"(-2.54553,1.753643,1.156401)","(34.88168,93.73898,37.07927)",0
10.11875,"(-2.508718,1.754665,1.135862)","(34.11629,94.00658,36.43112)",0
10.22964,"(-2.479319,1.756586,1.128897)","(35.16681,94.12724,37.61676)",0
10.34148,"(-2.4629,1.760822,1.130323)","(33.97504,93.9291,36.23562)",0
10.45176,"(-2.457991,1.77119,1.139162)","(31.92295,95.14034,34.75003)",0
10.56314,"(-2.455847,1.779009,1.150148)","(29.2313,94.90382,31.7201)",0
10.6755,"(-2.451288,1.778031,1.157911)","(29.188,94.85189,31.64612)",0
10.78512,"(-2.449083,1.775977,1.163866)","(29.96174,95.75797,32.97023)",0
10.89604,"(-2.449167,1.77551,1.16857)","(29.87689,96.19818,33.11883)",0
11.00766,"(-2.450735,1.77473,1.170938)","(30.08821,96.42984,33.47894)",0
11.11822,"(-2.45225,1.774587,1.171915)","(30.14974,96.72558,33.71151)",0
11.22962,"(-2.453577,1.774763,1.172041)","(30.21515,96.81295,33.83273)",0
11.34079,"(-2.454927,1.774571,1.17103)","(30.37919,96.73734,33.97164)",0
11.45164,"(-2.455351,1.7747,1.168585)","(30.42033,97.04274,34.18958)",0
11.56261,"(-2.454863,1.773932,1.166338)","(30.72363,97.34103,34.69689)",0
11.67351,"(-2.454844,1.773439,1.16411)","(31.00501,97.76427,35.25604)",0
11.7844,"(-2.454844,1.772826,1.162466)","(31.31898,98.01023,35.75263)",0
11.89573,"(-2.455519,1.772465,1.16218)","(31.58056,97.5847,35.79463)",0
12.00728,"(-2.456758,1.773033,1.160231)","(31.15214,98.84255,36.05738)",0
12.11802,"(-2.458628,1.772881,1.156424)","(31.1214,101.6703,37.7471)",0
12.22858,"(-2.459345,1.772986,1.154779)","(31.0633,102.7837,38.38011)",0
12.3402,"(-2.45838,1.773032,1.154242)","(31.15162,102.0929,38.04824)",0
12.45169,"(-2.45645,1.772884,1.154371)","(31.26563,100.9145,37.44673)",0
12.56221,"(-2.453947,1.77268,1.156729)","(31.34525,98.24645,35.92191)",0
12.67284,"(-2.45199,1.773702,1.161238)","(30.9973,95.29649,33.83903)",0
12.78429,"(-2.449942,1.774973,1.165045)","(30.08322,93.74239,32.0142)",0
12.89484,"(-2.448729,1.776778,1.167406)","(29.22088,93.17835,30.81129)",0
13.00623,"(-2.448759,1.777244,1.168848)","(28.83707,92.55515,30.09418)",0
13.11774,"(-2.451124,1.779572,1.168032)","(27.93524,92.79343,29.27289)",0
13.22801,"(-2.454363,1.783948,1.168089)","(26.11135,92.93225,27.43247)",0
13.33936,"(-2.457014,1.785694,1.168482)","(25.33577,91.90984,26.1656)",0
13.4512,"(-2.459284,1.787266,1.167444)","(24.59416,91.52964,25.23864)",0
13.56121,"(-2.460951,1.786838,1.166494)","(24.46433,91.43413,25.06511)",0
13.67215,"(-2.462053,1.786115,1.165522)","(24.59061,91.06654,25.03823)",0
13.78357,"(-2.463099,1.786457,1.166414)","(24.59212,90.35527,24.74039)",0
13.89407,"(-2.4624,1.785477,1.168226)","(24.82406,89.43472,24.5878)",0
14.00527,"(-2.461355,1.784489,1.169756)","(25.23239,89.3065,24.93836)",0
14.11674,"(-2.460024,1.783632,1.17095)","(25.50581,89.22426,25.1738)",0
14.22777,"(-2.458658,1.782659,1.171747)","(25.92185,88.98968,25.48365)",0
14.34102,"(-2.456789,1.781829,1.171827)","(26.23249,89.33055,25.93812)",0
14.45043,"(-2.455408,1.7811,1.173468)","(26.49565,89.03159,26.06684)",0
14.56113,"(-2.454653,1.780111,1.175837)","(26.70259,88.20916,25.90888)",0
14.67282,"(-2.454245,1.779821,1.178942)","(26.68068,86.96865,25.35073)",0
14.78385,"(-2.453527,1.779208,1.181742)","(26.81959,86.2372,25.16975)",0
