Elapsed Time,User Position,User Heading,Experiment State
0.1103761,"(-4.076044,1.791706,1.384123)","(22.18263,273.7412,339.1889)",0
0.2214617,"(-4.076372,1.791451,1.384199)","(22.32926,273.6854,339.0309)",0
0.3219677,"(-4.076193,1.791961,1.385008)","(22.07735,273.8603,339.3301)",0
0.4332249,"(-4.076414,1.792605,1.384111)","(21.78143,273.5823,339.5107)",0
0.5433768,"(-4.07649,1.793214,1.382418)","(21.39749,272.5522,339.5149)",0
0.6544884,"(-4.076456,1.794364,1.379278)","(20.92113,270.446,339.2376)",0
0.7552521,"(-4.076529,1.795378,1.376417)","(20.36103,268.7456,339.198)",0
0.8662803,"(-4.076277,1.797328,1.373465)","(19.23045,267.3859,339.8895)",0
0.9663925,"(-4.075926,1.798812,1.372129)","(18.44232,266.7688,340.5071)",0
1.077179,"(-4.076357,1.799904,1.370871)","(17.83619,266.4365,341.0387)",0
1.187984,"(-4.076189,1.801473,1.369638)","(17.11545,266.1033,341.6988)",0
1.299421,"(-4.075331,1.802799,1.367712)","(16.55521,265.7316,342.183)",0
1.39982,"(-4.074713,1.803627,1.366034)","(16.07433,265.3187,342.5758)",0
1.510824,"(-4.075788,1.804965,1.365297)","(15.59244,265.0634,343.0224)",0
1.621076,"(-4.07823,1.80467,1.36598)","(15.82092,265.2845,342.8398)",0
1.721785,"(-4.080347,1.803427,1.366976)","(16.37638,265.6805,342.3595)",0
1.832223,"(-4.082617,1.801886,1.367167)","(17.07975,265.7759,341.6338)",0
1.932495,"(-4.084211,1.801025,1.36656)","(17.51901,265.7161,341.1432)",0
2.042784,"(-4.085001,1.7999,1.365076)","(18.0024,264.9943,340.3825)",0
2.143434,"(-4.085962,1.800303,1.364569)","(17.9494,264.7396,340.3543)",0
2.24369,"(-4.08647,1.799964,1.364298)","(18.01452,265.0021,340.372)",0
2.354372,"(-4.08674,1.799398,1.363649)","(18.1181,265.6322,340.4719)",0
2.465748,"(-4.086168,1.799182,1.361765)","(18.06405,265.6068,340.5215)",0
2.565839,"(-4.08555,1.798878,1.360292)","(18.08858,265.5758,340.4848)",0
2.675566,"(-4.084372,1.798203,1.358828)","(18.19954,265.7349,340.4189)",0
2.776,"(-4.083632,1.798008,1.358156)","(18.28543,265.8944,340.3805)",0
2.886559,"(-4.083284,1.797965,1.357195)","(18.42175,265.9223,340.2441)",0
2.986616,"(-4.083979,1.7966,1.356268)","(18.98704,265.8843,339.6263)",0
3.088238,"(-4.085104,1.794758,1.355181)","(19.80722,266.0065,338.7932)",0
3.198993,"(-4.0865,1.79394,1.353724)","(20.4053,266.018,338.1591)",0
3.299108,"(-4.087553,1.79367,1.35293)","(20.75042,266.4834,337.9665)",0
3.409586,"(-4.088282,1.79334,1.352087)","(20.96683,267.2314,338.0194)",0
3.520513,"(-4.088312,1.793191,1.350782)","(21.05093,267.6837,338.101)",0
3.631705,"(-4.088175,1.793091,1.349119)","(21.1025,268.0803,338.1953)",0
3.742116,"(-4.088251,1.792933,1.347834)","(21.17347,268.6036,338.3164)",0
3.842872,"(-4.088354,1.792938,1.34656)","(21.17681,269.0225,338.4672)",0
3.953538,"(-4.088739,1.792673,1.344835)","(21.27705,269.2966,338.4662)",0
4.06447,"(-4.0893,1.792182,1.342463)","(21.48733,269.4223,338.3001)",0
4.164824,"(-4.090296,1.791757,1.339827)","(21.61229,269.2159,338.097)",0
4.275429,"(-4.091547,1.791391,1.33502)","(21.79195,268.2849,337.5623)",0
4.375668,"(-4.092604,1.790774,1.331057)","(21.95665,268.0616,337.307)",0
4.486654,"(-4.093512,1.790228,1.327784)","(22.04275,268.3846,337.343)",0
4.597497,"(-4.094561,1.789513,1.324228)","(22.21798,268.4616,337.193)",0
4.697613,"(-4.095861,1.789018,1.320974)","(22.35665,268.5159,337.072)",0
