Elapsed Time,User Position,User Heading,Experiment State
0.07796286,"(-0.5961208,1.662244,1.239145)","(358.0269,90.05637,358.0249)",0
0.1906504,"(-0.5993805,1.662757,1.239693)","(357.6695,89.74705,357.6798)",0
0.3013403,"(-0.6015778,1.663749,1.239742)","(357.1278,89.89726,357.133)",0
0.4124946,"(-0.6042175,1.665337,1.239311)","(356.1948,89.81591,356.207)",0
0.5239691,"(-0.6054287,1.666031,1.239851)","(355.8239,89.47251,355.8622)",0
0.6341534,"(-0.6047344,1.665813,1.240179)","(355.9107,89.29137,355.9609)",0
0.7453359,"(-0.6011639,1.663676,1.240984)","(356.9266,88.97276,356.9812)",0
0.8561687,"(-0.5967312,1.66402,1.241968)","(356.6643,88.62465,356.7434)",0
0.967944,"(-0.59161,1.659976,1.245209)","(359.0211,87.1701,359.0682)",0
1.078567,"(-0.5810928,1.642241,1.254314)","(7.865199,83.3468,7.003371)",0
1.190633,"(-0.5668163,1.608413,1.266645)","(23.72868,77.81959,19.24875)",0
1.301316,"(-0.5519733,1.585715,1.28475)","(31.84751,69.55112,22.4118)",0
1.411617,"(-0.5478001,1.576407,1.312101)","(34.25512,60.46366,20.36206)",0
1.523042,"(-0.5558491,1.574793,1.3463)","(33.54739,50.9892,16.35862)",0
1.633747,"(-0.577919,1.582985,1.388767)","(29.47044,37.70853,10.26408)",0
1.744089,"(-0.6150837,1.591765,1.428553)","(24.08125,17.94017,3.856714)",0
1.855557,"(-0.6550598,1.600315,1.451954)","(20.67939,356.8429,359.4239)",0
1.965933,"(-0.6830235,1.608331,1.455309)","(18.74192,340.8764,356.8152)",0
2.07705,"(-0.7093983,1.617227,1.44784)","(15.20922,321.9753,354.7321)",0
2.188672,"(-0.7195358,1.622926,1.422855)","(12.69347,304.806,353.3451)",0
2.299009,"(-0.7148724,1.630306,1.398523)","(11.15735,291.6797,352.4159)",0
2.410312,"(-0.7068024,1.632839,1.380772)","(10.57485,281.1367,351.296)",0
2.521307,"(-0.6964169,1.623953,1.378241)","(14.76011,275.7683,346.6423)",0
2.631769,"(-0.6882038,1.621122,1.390162)","(14.05882,274.5441,347.0046)",0
2.732348,"(-0.6757336,1.629907,1.408968)","(9.144805,275.3836,351.6735)",0
2.832498,"(-0.6592884,1.638176,1.434526)","(4.955849,276.7733,355.5974)",0
2.932556,"(-0.6497841,1.641525,1.463673)","(2.665737,277.2728,357.6527)",0
3.043282,"(-0.6505585,1.63577,1.502266)","(1.616619,277.8881,358.5919)",0
3.143507,"(-0.6566429,1.63042,1.542645)","(1.628852,277.9945,358.5839)",0
3.254362,"(-0.6690826,1.618066,1.595924)","(6.92642,280.2136,354.2079)",0
3.35444,"(-0.6839581,1.60891,1.644682)","(13.53909,281.5757,348.9358)",0
3.465484,"(-0.6970119,1.605988,1.703058)","(17.58102,282.2224,345.7807)",0
3.576366,"(-0.7113152,1.605751,1.768394)","(18.63822,282.4483,344.9806)",0
3.687789,"(-0.724865,1.597489,1.833096)","(19.22013,280.3352,343.9222)",0
3.798212,"(-0.7324772,1.589683,1.888296)","(20.5456,272.7585,340.4013)",0
3.89889,"(-0.7444172,1.597509,1.933664)","(21.09543,266.8294,337.7329)",0
4.009303,"(-0.7647572,1.601596,1.969446)","(21.69364,260.3859,334.4438)",0
4.109965,"(-0.788826,1.602156,1.990898)","(21.88284,254.2747,331.36)",0
4.220941,"(-0.8244438,1.59723,2.008526)","(21.77009,247.2021,327.7168)",0
4.321618,"(-0.8677578,1.590119,2.023577)","(20.54786,241.6602,326.2124)",0
4.431902,"(-0.9297485,1.579147,2.037281)","(18.87828,236.8336,325.8399)",0
4.542875,"(-1.010111,1.579872,2.046412)","(16.19158,232.4662,327.7972)",0
4.654014,"(-1.099438,1.58977,2.049797)","(15.9738,228.4596,325.3687)",0
4.764798,"(-1.179274,1.600496,2.053873)","(17.47931,222.184,316.5389)",0
4.865182,"(-1.247295,1.604335,2.055763)","(17.94741,216.4865,308.8038)",0
4.975899,"(-1.319826,1.595787,2.054148)","(17.45124,210.2487,300.819)",0
5.076085,"(-1.388712,1.584469,2.052156)","(17.13346,203.743,288.7483)",0
5.176235,"(-1.467659,1.579544,2.051876)","(17.63458,196.7707,267.0796)",0
5.287328,"(-1.566885,1.591917,2.047388)","(17.49112,192.1455,249.3331)",0
5.398101,"(-1.64867,1.605913,2.02784)","(17.20198,187.4302,226.4671)",0
5.498186,"(-1.706406,1.609789,2.000713)","(17.56759,181.2764,188.2466)",0
