Elapsed Time,User Position,User Heading,Experiment State
0.1109075,"(-4.114656,1.665666,1.274626)","(4.434767,268.8659,355.4767)",0
0.2220237,"(-4.117823,1.666393,1.274683)","(4.228167,268.4005,355.6522)",0
0.3220347,"(-4.119646,1.666918,1.274954)","(3.968576,268.0193,355.8919)",0
0.4223749,"(-4.11965,1.669664,1.274767)","(2.711486,267.3699,357.1612)",0
0.5329492,"(-4.117903,1.674535,1.273409)","(0.4927639,266.1758,359.4732)",0
0.6331494,"(-4.115732,1.676375,1.27223)","(359.6058,265.3093,0.4278351)",0
0.7334061,"(-4.11516,1.674803,1.272261)","(0.3551736,265.144,359.6134)",0
0.8437953,"(-4.117826,1.666476,1.265028)","(5.479184,261.7361,353.6692)",0
0.9439769,"(-4.125044,1.657582,1.247911)","(10.40766,253.3171,346.0468)",0
1.044671,"(-4.132273,1.645128,1.225534)","(14.41374,243.1526,336.7491)",0
1.155486,"(-4.12956,1.632578,1.186823)","(18.51274,228.4228,320.1548)",0
1.25568,"(-4.114885,1.6248,1.145849)","(20.20868,211.0928,294.7151)",0
1.366196,"(-4.089869,1.621941,1.110662)","(20.1275,190.8174,236.1589)",0
1.466265,"(-4.065813,1.620237,1.095404)","(19.18899,173.8613,144.8006)",0
1.566824,"(-4.047392,1.622213,1.093187)","(18.96374,158.0399,81.44572)",0
1.677427,"(-4.034838,1.62675,1.101633)","(17.62272,142.5588,49.16056)",0
1.777947,"(-4.034575,1.626248,1.120199)","(16.11834,129.1418,33.16769)",0
1.889799,"(-4.043013,1.639872,1.141119)","(13.72037,114.4783,21.17978)",0
2.000665,"(-4.041903,1.642228,1.149252)","(11.63195,106.4392,15.51796)",0
2.111708,"(-4.033175,1.649957,1.155985)","(9.275219,100.6003,11.16115)",0
2.223001,"(-4.014994,1.653102,1.159636)","(7.764028,96.98541,8.769675)",0
2.334628,"(-3.980265,1.650945,1.161566)","(6.656385,95.27833,7.298023)",0
2.444811,"(-3.923403,1.649679,1.166952)","(4.251712,95.16965,4.653321)",0
2.556222,"(-3.847479,1.648948,1.183374)","(358.93,94.79688,358.8364)",0
2.666948,"(-3.761412,1.653035,1.207403)","(354.1953,93.0788,353.8753)",0
2.779712,"(-3.682428,1.665653,1.221628)","(354.6185,90.79243,354.5436)",0
2.889897,"(-3.604734,1.68067,1.22389)","(354.3999,90.96039,354.3054)",0
3.000097,"(-3.524858,1.67132,1.214933)","(355.7578,96.55827,355.2427)",0
3.110964,"(-3.439421,1.65386,1.204348)","(356.6699,100.8756,355.9697)",0
3.222479,"(-3.346247,1.632878,1.190634)","(359.7142,101.2614,359.6517)",0
3.333549,"(-3.238634,1.648439,1.170183)","(1.439757,99.34934,1.696148)",0
3.44549,"(-3.139624,1.650571,1.165041)","(6.71364,98.21503,7.749539)",0
3.556165,"(-3.050955,1.647314,1.171633)","(10.48482,96.26177,11.69023)",0
3.666799,"(-2.96184,1.632542,1.182386)","(13.44656,94.54031,14.54523)",0
3.777518,"(-2.868376,1.615631,1.196909)","(12.55215,94.09337,13.47428)",0
3.890423,"(-2.774248,1.609427,1.221113)","(11.1549,95.18452,12.20522)",0
3.999727,"(-2.674894,1.625078,1.251112)","(9.420483,96.8991,10.62252)",0
4.110307,"(-2.585215,1.629377,1.268549)","(13.64193,95.65012,15.04272)",0
4.221783,"(-2.508272,1.627506,1.278738)","(15.91398,93.83309,17.00031)",0
4.332767,"(-2.436293,1.62391,1.284006)","(16.644,93.61816,17.71299)",0
4.444009,"(-2.368525,1.617684,1.286131)","(16.09519,92.02797,16.66719)",0
4.555299,"(-2.304655,1.610236,1.279638)","(15.93036,90.25467,16.0004)",0
4.666204,"(-2.231768,1.626248,1.269133)","(14.27718,89.49886,14.1541)",0
4.777167,"(-2.165979,1.633732,1.263006)","(14.24392,89.68358,14.16627)",0
4.889059,"(-2.10919,1.630193,1.267633)","(14.99676,89.53065,14.87578)",0
4.999475,"(-2.06415,1.630483,1.281351)","(16.95107,89.12122,16.69672)",0
5.11053,"(-2.026785,1.625204,1.299337)","(18.31753,89.60715,18.19447)",0
5.221912,"(-2.002638,1.619278,1.323004)","(20.44912,90.8177,20.73673)",0
5.332897,"(-1.982637,1.618641,1.348188)","(21.28875,92.375,22.16812)",0
5.44387,"(-1.966494,1.612502,1.369741)","(23.13003,91.45444,23.70814)",0
5.555342,"(-1.955019,1.612258,1.387617)","(23.08065,90.14872,23.13902)",0
5.665489,"(-1.947309,1.616162,1.401392)","(21.84574,88.256,21.20578)",0
5.776476,"(-1.944555,1.616955,1.409262)","(20.91488,87.48581,20.03527)",0
5.88815,"(-1.944067,1.621336,1.411928)","(19.54724,86.33882,18.35772)",0
5.99899,"(-1.945944,1.623122,1.413855)","(18.93991,85.38894,17.49747)",0
6.110083,"(-1.948,1.624339,1.415804)","(18.27178,84.53665,16.632)",0
6.221392,"(-1.948435,1.624347,1.417707)","(18.17073,83.61975,16.27933)",0
6.332164,"(-1.947668,1.624258,1.419683)","(18.21852,82.74834,16.07745)",0
6.443277,"(-1.945501,1.625746,1.422739)","(17.61118,82.05771,15.354)",0
6.554331,"(-1.943113,1.626177,1.42631)","(17.43588,81.52495,15.0601)",0
6.665598,"(-1.940493,1.626024,1.428846)","(17.54366,81.3292,15.1019)",0
6.776345,"(-1.938616,1.625231,1.430681)","(17.80056,81.5978,15.39591)",0
6.887836,"(-1.937422,1.625034,1.432482)","(17.79342,81.48742,15.36012)",0
6.998891,"(-1.936319,1.624783,1.433451)","(17.82329,81.43965,15.37321)",0
7.109503,"(-1.934492,1.623701,1.434095)","(18.19711,81.53358,15.72273)",0
7.221019,"(-1.933363,1.622399,1.433226)","(18.83106,82.26431,16.48107)",0
7.331446,"(-1.932901,1.621441,1.432074)","(19.24493,82.54193,16.92623)",0
7.442338,"(-1.933493,1.619688,1.430567)","(19.98987,82.456,17.55824)",0
7.553278,"(-1.93421,1.618692,1.428999)","(20.45675,82.45619,17.97037)",0
7.664732,"(-1.93442,1.618435,1.426607)","(20.55611,82.96952,18.21919)",0
7.775889,"(-1.935041,1.61698,1.423784)","(21.00498,82.98284,18.62323)",0
7.887314,"(-1.93503,1.616367,1.419359)","(21.21736,83.31694,18.92126)",0
7.997697,"(-1.934961,1.616056,1.41353)","(21.30316,84.90267,19.52399)",0
8.109328,"(-1.934683,1.616491,1.409456)","(21.17694,85.63873,19.65481)",0
8.220288,"(-1.934381,1.616551,1.407766)","(21.07705,85.57796,19.54141)",0
8.330952,"(-1.933939,1.616575,1.406729)","(21.02628,85.40881,19.43765)",0
8.442036,"(-1.93281,1.61697,1.406176)","(20.89605,84.9604,19.16856)",0
8.553539,"(-1.930914,1.616866,1.404463)","(20.95246,85.14148,19.28041)",0
8.663857,"(-1.928911,1.616052,1.401396)","(21.34678,85.67245,19.82442)",0
8.77494,"(-1.926271,1.615517,1.398016)","(21.61142,85.9984,20.18344)",0
8.886397,"(-1.924505,1.614801,1.394201)","(21.95165,86.25543,20.59261)",0
8.997629,"(-1.923269,1.614701,1.389566)","(21.99398,86.57798,20.74662)",0
9.109011,"(-1.922583,1.615824,1.385195)","(21.62383,86.96136,20.53078)",0
9.219675,"(-1.920858,1.61788,1.382624)","(20.9759,87.37885,20.05707)",0
9.330841,"(-1.919085,1.617434,1.381857)","(21.21235,87.7395,20.40912)",0
9.441505,"(-1.919699,1.617286,1.381239)","(20.7359,89.04695,20.40105)",0
9.552574,"(-1.922197,1.615374,1.377672)","(19.71656,90.43556,19.86403)",0
9.664017,"(-1.933668,1.614794,1.370127)","(21.20112,89.7681,21.1174)",0
9.775009,"(-1.946066,1.615891,1.358812)","(19.81581,89.02874,19.48915)",0
9.885801,"(-1.960184,1.615818,1.343691)","(19.54257,89.55165,19.39314)",0
9.996621,"(-1.974947,1.618552,1.327734)","(19.17565,91.10693,19.5426)",0
10.10806,"(-1.987673,1.619384,1.309233)","(17.81265,92.98586,18.74947)",0
10.21932,"(-1.996878,1.621959,1.2861)","(14.46419,97.02228,16.33114)",0
10.32986,"(-2.007849,1.622473,1.266584)","(13.97418,99.71062,16.53551)",0
10.44084,"(-2.01668,1.623906,1.25205)","(13.99975,99.41822,16.48131)",0
10.55206,"(-2.021723,1.623874,1.241087)","(13.71558,98.73981,15.95805)",0
10.66345,"(-2.026758,1.621213,1.23308)","(14.6057,99.02895,17.07557)",0
10.7747,"(-2.032591,1.620197,1.231699)","(14.72808,99.17615,17.26225)",0
10.88541,"(-2.038984,1.620275,1.236845)","(15.1275,97.05514,17.08745)",0
10.9964,"(-2.043642,1.620732,1.244806)","(14.91385,93.97354,15.97237)",0
11.10743,"(-2.048155,1.61936,1.250971)","(15.68837,91.9087,16.21295)",0
11.21885,"(-2.051123,1.61824,1.25387)","(16.19246,90.35795,16.29259)",0
