Elapsed Time,User Position,User Heading,Experiment State
0.02714303,"(-0.0844574,1.707852,1.134457)","(1.324042,82.51861,1.161546)",0
0.1455214,"(-0.09340286,1.707886,1.140205)","(1.376182,82.04852,1.197334)",0
0.2563482,"(-0.09893036,1.707824,1.143173)","(1.317153,81.96553,1.1443)",0
0.3674937,"(-0.1035938,1.709107,1.146246)","(0.7388611,81.71703,0.639088)",0
0.4792133,"(-0.1072578,1.710085,1.149734)","(0.2546079,81.2457,0.2184017)",0
0.5899497,"(-0.1098213,1.709863,1.153564)","(0.4015328,80.87761,0.3422008)",0
0.7002282,"(-0.1113148,1.709988,1.156103)","(0.3575832,81.07203,0.3057941)",0
0.8118547,"(-0.1120872,1.709467,1.157558)","(0.6504226,81.38437,0.559299)",0
0.9227752,"(-0.1126919,1.706874,1.157938)","(1.938883,81.73582,1.677653)",0
1.034652,"(-0.113287,1.705164,1.159754)","(2.69649,81.02842,2.304292)",0
1.145321,"(-0.1155472,1.706924,1.167877)","(1.600818,77.36302,1.281679)",0
1.25645,"(-0.1233463,1.710603,1.19504)","(359.7356,63.74077,359.8356)",0
1.366854,"(-0.1440678,1.70708,1.233759)","(359.6104,42.4303,359.8488)",0
1.477049,"(-0.1789818,1.702035,1.267582)","(0.2426101,18.06316,0.0385628)",0
1.587855,"(-0.2142925,1.697276,1.284674)","(2.13142,355.6057,359.9182)",0
1.688091,"(-0.2327576,1.69852,1.287548)","(2.694145,341.6497,359.5648)",0
1.799369,"(-0.2489109,1.701323,1.286089)","(2.565182,323.0187,359.142)",0
1.909449,"(-0.2514706,1.69936,1.280855)","(3.570226,304.4079,358.1175)",0
2.009766,"(-0.2370129,1.693883,1.281607)","(6.148118,293.4361,355.962)",0
2.109975,"(-0.2205544,1.692758,1.286896)","(6.077981,287.6951,355.5574)",0
2.221161,"(-0.2023792,1.683381,1.295229)","(9.440413,285.096,352.7619)",0
2.333576,"(-0.1880112,1.668714,1.310478)","(15.73116,288.2229,348.5832)",0
2.443304,"(-0.1800346,1.65349,1.333401)","(21.16822,292.8401,345.8567)",0
2.553841,"(-0.1780186,1.648997,1.355818)","(21.97496,295.1495,345.938)",0
2.654152,"(-0.1821251,1.648921,1.373005)","(21.22203,295.4292,346.499)",0
2.765397,"(-0.1949787,1.651257,1.395605)","(19.23816,294.7904,347.6258)",0
2.876634,"(-0.2171097,1.651075,1.425941)","(17.72138,293.8669,348.4091)",0
2.98783,"(-0.2460518,1.647806,1.461143)","(16.66078,292.9959,348.9278)",0
3.098678,"(-0.2826881,1.649502,1.501408)","(13.46761,292.5214,350.9819)",0
3.209659,"(-0.3269539,1.654033,1.545925)","(11.67442,292.8007,352.2286)",0
3.309899,"(-0.3738136,1.667892,1.588207)","(10.07166,292.963,353.3194)",0
3.420573,"(-0.4241657,1.673883,1.629934)","(9.298703,290.5297,353.5455)",0
3.531703,"(-0.4712677,1.682274,1.670677)","(8.241042,286.1708,353.8045)",0
3.642365,"(-0.5160999,1.685724,1.714777)","(5.981808,281.6078,355.1205)",0
3.742394,"(-0.5556278,1.67751,1.760065)","(5.880677,278.4734,354.9294)",0
3.84251,"(-0.5968227,1.664132,1.813414)","(7.368998,276.3252,353.4009)",0
3.942632,"(-0.6418438,1.6551,1.872007)","(7.840926,273.6902,352.6471)",0
4.053573,"(-0.7013264,1.659322,1.942781)","(10.17419,269.5424,349.7447)",0
4.165654,"(-0.7622166,1.662017,2.006498)","(12.18615,265.978,346.9343)",0
4.275562,"(-0.8223515,1.665956,2.054277)","(13.24656,262.2926,344.8607)",0
4.386475,"(-0.8823528,1.663176,2.086821)","(13.1566,258.0674,343.8094)",0
4.497604,"(-0.9484768,1.655693,2.111734)","(12.31582,254.7376,343.9174)",0
4.597771,"(-1.015759,1.644375,2.125954)","(11.16961,252.3362,344.7627)",0
4.708716,"(-1.101553,1.642582,2.129694)","(9.8055,247.3252,345.3212)",0
4.808816,"(-1.182997,1.65717,2.129396)","(8.542051,241.4619,345.6796)",0
4.909721,"(-1.256271,1.662816,2.131603)","(9.793974,235.473,341.4912)",0
