Elapsed Time,User Position,User Heading,Experiment State
0.06425348,"(-0.175106,1.71381,1.251869)","(356.9957,93.2332,356.8213)",0
0.1789946,"(-0.1740093,1.713308,1.251455)","(357.1744,93.80408,356.9803)",0
0.2897445,"(-0.1739864,1.713121,1.25131)","(357.2748,93.96661,357.0794)",0
0.4014994,"(-0.1736317,1.712115,1.250761)","(357.7774,94.38434,357.6006)",0
0.5124393,"(-0.1727486,1.709695,1.250244)","(358.945,94.95956,358.8495)",0
0.6228426,"(-0.1720943,1.709168,1.249472)","(359.1715,95.75549,359.0838)",0
0.7348447,"(-0.1716156,1.709073,1.25013)","(359.2938,95.97315,359.216)",0
0.8449888,"(-0.1710815,1.707978,1.251949)","(359.8012,95.95388,359.7794)",0
0.9576575,"(-0.1698513,1.705268,1.2535)","(0.9574175,96.40296,1.070863)",0
1.067513,"(-0.167223,1.700549,1.255346)","(3.193705,96.64606,3.587194)",0
1.178348,"(-0.1655045,1.697884,1.259136)","(4.387908,96.21326,4.890962)",0
1.289597,"(-0.1652527,1.695596,1.263275)","(5.404799,95.78184,5.978713)",0
1.401064,"(-0.1655235,1.691967,1.266529)","(7.074067,95.97263,7.850461)",0
1.511774,"(-0.1665859,1.687996,1.268938)","(8.816576,96.71694,9.910688)",0
1.622766,"(-0.1686783,1.690014,1.27449)","(7.887636,96.22137,8.790844)",0
1.734139,"(-0.1703091,1.69363,1.285498)","(6.118673,93.09477,6.457725)",0
1.844789,"(-0.1707497,1.694265,1.296654)","(5.731554,89.46331,5.678204)",0
1.956672,"(-0.1705093,1.694085,1.3055)","(5.78805,86.79046,5.473067)",0
2.067429,"(-0.1695194,1.694643,1.307543)","(5.612226,87.68056,5.389846)",0
2.178053,"(-0.1682167,1.696505,1.304913)","(4.804507,90.53513,4.849538)",0
2.290053,"(-0.1665192,1.696406,1.303841)","(4.860969,92.53459,5.080622)",0
2.400396,"(-0.1643848,1.694003,1.30406)","(6.005491,92.98103,6.325734)",0
2.511211,"(-0.1625118,1.686026,1.301924)","(9.810936,94.19824,10.55343)",0
2.622607,"(-0.1624317,1.674362,1.297869)","(15.25833,96.32328,17.01775)",0
2.733241,"(-0.1644745,1.671305,1.292305)","(16.61006,98.55799,19.24981)",0
2.844484,"(-0.166687,1.665767,1.288628)","(18.72038,99.84557,22.16843)",0
2.955645,"(-0.1681919,1.667135,1.28898)","(18.15699,99.43465,21.35357)",0
3.06656,"(-0.1701069,1.667316,1.290564)","(18.04193,98.7558,20.97168)",0
3.177586,"(-0.1716194,1.667857,1.29232)","(17.64607,98.72253,20.50234)",0
3.288291,"(-0.1725922,1.668399,1.293888)","(17.58128,98.46036,20.33513)",0
3.399675,"(-0.1733112,1.66914,1.296316)","(17.25614,97.82568,19.74329)",0
3.510743,"(-0.1740856,1.669831,1.298452)","(16.86686,96.81083,18.96458)",0
3.622122,"(-0.1752224,1.670799,1.299845)","(16.52014,96.05158,18.33431)",0
3.733298,"(-0.1760578,1.671138,1.301168)","(16.15023,95.57654,17.77868)",0
3.84404,"(-0.176857,1.670755,1.303181)","(16.11927,95.09888,17.59907)",0
3.956519,"(-0.178587,1.670779,1.305506)","(16.13882,94.20869,17.352)",0
4.066242,"(-0.1794758,1.672508,1.305483)","(15.2572,93.96076,16.33585)",0
4.176937,"(-0.1799622,1.678434,1.308453)","(12.323,92.44634,12.8563)",0
4.288257,"(-0.1809254,1.68358,1.316465)","(9.907605,88.68623,9.684074)",0
4.399063,"(-0.1819019,1.686839,1.329557)","(8.00102,82.54879,7.025354)",0
