Elapsed Time,User Position,User Heading,Experiment State
0.04351925,"(-4.053072,1.786386,1.319941)","(30.67285,269.4291,329.0347)",0
0.1546704,"(-4.047968,1.811704,1.322222)","(23.40308,270.5605,336.8185)",0
0.2547272,"(-4.038683,1.833789,1.322218)","(17.23991,270.9078,343.0271)",0
0.3548531,"(-4.027842,1.850583,1.321657)","(12.33533,270.9566,347.8674)",0
0.465591,"(-4.021502,1.855438,1.318895)","(10.35814,270.3205,349.6993)",0
0.5773433,"(-4.025652,1.839358,1.31595)","(15.6246,269.3203,344.1913)",0
0.6877303,"(-4.041407,1.807049,1.311529)","(24.40427,268.368,334.9125)",0
0.7877532,"(-4.05652,1.779126,1.309446)","(31.16235,267.7302,327.6428)",0
0.8877779,"(-4.070608,1.765079,1.308859)","(34.42316,267.3242,324.0343)",0
0.9984154,"(-4.081476,1.7609,1.308924)","(35.71216,266.9544,322.4706)",0
1.109948,"(-4.090025,1.762468,1.308756)","(35.70471,266.1693,321.9967)",0
1.220621,"(-4.099009,1.7628,1.307299)","(35.64652,265.2257,321.4725)",0
1.331406,"(-4.110815,1.760415,1.300337)","(35.70287,264.2019,320.7665)",0
1.431592,"(-4.124132,1.762275,1.291151)","(36.06893,263.9596,320.2142)",0
1.531691,"(-4.140963,1.770322,1.300459)","(34.58524,271.8845,326.4702)",0
1.642859,"(-4.145018,1.78006,1.332815)","(33.07741,291.6121,337.1863)",0
1.754112,"(-4.126211,1.801824,1.363283)","(28.73068,315.2545,347.9643)",0
1.865341,"(-4.097372,1.816951,1.370306)","(24.6967,334.1842,354.2556)",0
1.975729,"(-4.064859,1.824425,1.366068)","(22.6691,351.2929,358.2515)",0
2.076147,"(-4.033064,1.823157,1.354761)","(22.38485,5.198502,1.029295)",0
2.176806,"(-4.001181,1.815798,1.337622)","(23.76069,17.9885,3.814313)",0
2.277129,"(-3.969965,1.807574,1.317881)","(25.01466,29.73758,6.741051)",0
2.377469,"(-3.939814,1.798965,1.296824)","(26.16141,40.74623,9.863329)",0
2.477765,"(-3.914454,1.791393,1.276628)","(27.70848,49.51313,12.97687)",0
2.599851,"(-3.880014,1.783349,1.247663)","(28.42449,62.85585,17.59504)",0
2.711058,"(-3.856028,1.776682,1.232885)","(30.04338,70.91002,21.63735)",0
2.821569,"(-3.826841,1.771759,1.228315)","(31.55051,75.54145,24.69482)",0
2.93255,"(-3.784826,1.76124,1.231237)","(34.44205,77.28619,27.8367)",0
3.043186,"(-3.725637,1.741453,1.236303)","(39.85767,78.15983,32.81276)",0
3.154801,"(-3.658937,1.723873,1.236708)","(44.97792,79.46423,37.97581)",0
3.265747,"(-3.598005,1.719238,1.22648)","(45.39626,81.06494,39.35888)",0
3.377283,"(-3.551279,1.73561,1.210905)","(41.65193,84.97253,38.41556)",0
3.488038,"(-3.518438,1.75843,1.205675)","(36.62226,86.60406,34.64316)",0
3.599089,"(-3.492807,1.766253,1.206762)","(35.45377,87.79005,34.19162)",0
3.7102,"(-3.46488,1.770553,1.215216)","(35.48113,88.85305,34.82077)",0
3.821343,"(-3.434607,1.769761,1.233187)","(35.48297,89.85081,35.39645)",0
3.932297,"(-3.398607,1.758241,1.259233)","(36.50406,91.95145,37.68112)",0
4.043188,"(-3.352144,1.745831,1.291311)","(38.21682,94.02563,40.77858)",0
4.154485,"(-3.291941,1.756683,1.32361)","(37.04905,94.95555,40.14275)",0
4.265455,"(-3.238737,1.759377,1.348684)","(36.5758,95.8808,40.23282)",0
4.376443,"(-3.196264,1.753766,1.364035)","(37.78861,96.7133,42.10501)",0
4.487675,"(-3.155371,1.757397,1.368891)","(38.05344,96.78481,42.44333)",0
4.598602,"(-3.12034,1.750904,1.368109)","(39.01501,95.2261,42.42727)",0
4.709585,"(-3.082281,1.747888,1.358198)","(39.72561,93.09422,41.74539)",0
4.821024,"(-3.040388,1.745697,1.333662)","(39.93164,91.73997,41.0617)",0
