Elapsed Time,User Position,User Heading,Experiment State
0.3333333,"(-0.4277592,1.812984,1.239431)","(11.23689,95.97571,12.46525)",0
0.4445314,"(-0.428196,1.812171,1.238316)","(11.72182,95.77249,12.95646)",0
0.5651162,"(-0.4294071,1.812065,1.238474)","(11.76403,95.72356,12.99198)",0
0.6764768,"(-0.4304676,1.811952,1.238211)","(11.83974,95.7924,13.09112)",0
0.7872319,"(-0.4311142,1.811692,1.238159)","(11.85631,95.63294,13.07312)",0
0.8989847,"(-0.4313316,1.811269,1.238346)","(11.9697,95.04253,13.06324)",0
1.010122,"(-0.4314156,1.811098,1.239658)","(11.98149,93.84342,12.80674)",0
1.120849,"(-0.4307938,1.810294,1.242058)","(12.30014,92.26318,12.79183)",0
1.232387,"(-0.4299259,1.8101,1.242418)","(12.52379,92.43105,13.06218)",0
1.342976,"(-0.4266205,1.811873,1.241562)","(11.95717,94.60052,12.9498)",0
1.453989,"(-0.4241734,1.810176,1.246702)","(12.78618,94.48851,13.81952)",0
1.565423,"(-0.4231682,1.808932,1.249638)","(13.52252,92.74844,14.18065)",0
1.676502,"(-0.4220352,1.80962,1.244518)","(13.33023,92.97935,14.03514)",0
1.787699,"(-0.4198589,1.809365,1.237997)","(13.52599,94.33115,14.57812)",0
1.898296,"(-0.4180374,1.808774,1.234688)","(13.72508,93.8893,14.67969)",0
2.00948,"(-0.4143925,1.808592,1.232756)","(13.62581,93.01966,14.35604)",0
2.120545,"(-0.4098835,1.807366,1.236143)","(13.99838,89.61973,13.90668)",0
2.231967,"(-0.4066467,1.806182,1.238304)","(14.33219,88.61832,13.9941)",0
2.34221,"(-0.4037647,1.803142,1.238581)","(15.60002,89.05876,15.34888)",0
2.453397,"(-0.402256,1.79768,1.238274)","(17.96008,89.63421,17.84763)",0
2.563914,"(-0.4019909,1.796866,1.239771)","(18.20001,88.25008,17.66123)",0
2.67487,"(-0.4026794,1.7956,1.244667)","(18.80542,84.53297,17.11814)",0
2.786921,"(-0.4039097,1.795917,1.248735)","(18.8399,81.23231,16.19543)",0
2.896554,"(-0.4040966,1.796697,1.249258)","(18.48462,80.56784,15.70542)",0
3.00798,"(-0.4042416,1.797977,1.249941)","(18.05224,80.16156,15.2277)",0
3.118901,"(-0.4049549,1.799088,1.251165)","(17.58692,79.5807,14.68307)",0
3.230605,"(-0.4056606,1.799829,1.251802)","(17.23773,79.57152,14.38785)",0
3.341875,"(-0.4069901,1.801746,1.251705)","(17.22493,80.21113,14.53933)",0
3.453726,"(-0.4130917,1.810659,1.25009)","(15.51077,81.73437,13.4409)",0
3.564554,"(-0.4123344,1.81029,1.246613)","(15.15165,84.63442,13.80899)",0
3.674468,"(-0.4105816,1.811443,1.238249)","(14.21149,90.53757,14.34407)",0
3.785569,"(-0.4090347,1.81126,1.234856)","(14.67583,93.30671,15.53787)",0
3.897819,"(-0.4062595,1.810209,1.233835)","(14.33084,94.5685,15.50768)",0
4.008447,"(-0.4038181,1.810606,1.232546)","(14.46152,95.32231,15.85423)",0
4.119473,"(-0.4018822,1.80742,1.22649)","(15.91433,98.54167,18.44194)",0
4.231078,"(-0.4025307,1.804684,1.210384)","(16.65349,107.0372,22.3917)",0
4.341588,"(-0.4058838,1.803948,1.197277)","(17.47229,113.1656,26.22055)",0
4.452845,"(-0.4088383,1.804764,1.189497)","(16.84702,115.6905,26.51094)",0
4.564177,"(-0.4104939,1.800244,1.183958)","(17.99979,116.6022,28.76754)",0
4.674854,"(-0.4117317,1.796815,1.179569)","(19.31738,117.007,31.04683)",0
4.785139,"(-0.4124718,1.795788,1.184711)","(20.06736,111.1828,28.96815)",0
4.897131,"(-0.4121819,1.79388,1.195354)","(21.00453,102.9731,26.22552)",0
5.007165,"(-0.4129581,1.791541,1.203115)","(22.62305,97.15938,25.54898)",0
5.118351,"(-0.4120827,1.77906,1.208897)","(28.4644,93.285,30.07089)",0
5.230807,"(-0.4103107,1.766971,1.211695)","(33.3356,91.67317,34.26648)",0
5.340878,"(-0.4076271,1.766319,1.211647)","(33.31274,91.83994,34.33705)",0
5.451869,"(-0.404026,1.77169,1.209843)","(30.49632,92.40521,31.73955)",0
5.563069,"(-0.4018593,1.781397,1.20731)","(25.93681,92.51802,27.06049)",0
5.673507,"(-0.4017105,1.78764,1.205963)","(23.04758,91.32423,23.5716)",0
5.786031,"(-0.4027519,1.791538,1.20554)","(21.3168,89.31071,21.06762)",0
5.89659,"(-0.4035301,1.792788,1.203991)","(20.64552,87.93816,19.93052)",0
6.006886,"(-0.4035511,1.793682,1.200323)","(19.8933,88.2,19.28968)",0
6.119188,"(-0.4023361,1.794686,1.194359)","(18.92812,89.42485,18.74243)",0
6.229227,"(-0.4007072,1.800475,1.187222)","(15.93833,90.40131,16.0489)",0
6.339823,"(-0.3996449,1.803921,1.180262)","(14.03183,90.62049,14.18307)",0
6.451555,"(-0.398056,1.805637,1.172741)","(13.14463,90.69683,13.30404)",0
6.56303,"(-0.3962326,1.803518,1.164066)","(14.18518,91.49423,14.55606)",0
6.673967,"(-0.394949,1.802067,1.155611)","(14.71998,92.51903,15.37406)",0
6.785128,"(-0.3945007,1.799288,1.147621)","(15.93857,93.3289,16.87923)",0
6.89572,"(-0.3943958,1.798619,1.141199)","(16.20916,93.00442,17.06968)",0
7.006199,"(-0.3905888,1.789086,1.13508)","(20.65286,92.1864,21.43812)",0
7.117373,"(-0.378891,1.761294,1.13171)","(32.08596,91.09539,32.67259)",0
7.229741,"(-0.3642406,1.759345,1.13077)","(32.7114,89.36359,32.36907)",0
7.339347,"(-0.3494415,1.757648,1.129173)","(32.4178,90.31429,32.58668)",0
7.451492,"(-0.3380241,1.761582,1.131123)","(30.20864,92.36084,31.41816)",0
7.562827,"(-0.326252,1.770867,1.141499)","(27.21656,93.71432,28.96623)",0
7.673553,"(-0.3092957,1.77633,1.157753)","(24.60577,93.67939,26.18429)",0
7.783351,"(-0.2894745,1.779773,1.179634)","(22.36617,92.9901,23.53234)",0
7.895635,"(-0.2677879,1.780969,1.203701)","(21.35726,92.67644,22.3538)",0
8.006195,"(-0.2455273,1.781029,1.221373)","(20.67044,92.56931,21.59696)",0
8.116695,"(-0.2308216,1.779931,1.226767)","(22.04646,91.85922,22.75504)",0
8.227605,"(-0.2280865,1.781482,1.221018)","(22.12091,91.21439,22.58275)",0
8.339121,"(-0.2300701,1.789022,1.214754)","(21.91427,91.92904,22.64571)",0
8.450256,"(-0.232439,1.789116,1.213705)","(21.26988,94.03074,22.78218)",0
8.562221,"(-0.2333565,1.792154,1.216503)","(20.81633,94.24545,22.37982)",0
8.672744,"(-0.2308884,1.791465,1.217812)","(21.18709,93.66252,22.55185)",0
8.78356,"(-0.2280083,1.787503,1.220753)","(22.74283,93.29718,24.05257)",0
8.895057,"(-0.2280083,1.790219,1.222763)","(21.59128,93.53911,22.93249)",0
9.006403,"(-0.2295723,1.788456,1.224518)","(22.1886,94.18913,23.82673)",0
9.116899,"(-0.2325096,1.787882,1.224869)","(22.67387,94.46677,24.46078)",0
9.227386,"(-0.2368393,1.788264,1.222893)","(22.63632,94.83173,24.57227)",0
9.338535,"(-0.2404213,1.781968,1.219227)","(25.88557,95.59167,28.44054)",0
9.450092,"(-0.241127,1.77586,1.216393)","(28.37732,95.68587,31.2049)",0
9.561211,"(-0.2430573,1.775517,1.213646)","(28.80837,95.99364,31.83752)",0
9.672231,"(-0.2437115,1.782944,1.21187)","(25.32314,95.80775,27.92841)",0
9.78317,"(-0.2456493,1.790214,1.21174)","(21.93266,95.26694,23.98885)",0
9.893561,"(-0.2462864,1.793597,1.21261)","(20.23779,94.88253,21.99804)",0
10.00595,"(-0.2462673,1.795882,1.215143)","(19.01951,94.4992,20.543)",0
10.11653,"(-0.2455788,1.795789,1.218483)","(19.01162,94.33337,20.47624)",0
10.22671,"(-0.2444229,1.795623,1.220501)","(19.10827,94.57979,20.66709)",0
10.33826,"(-0.2438984,1.795225,1.222277)","(19.14294,94.58555,20.70651)",0
10.44933,"(-0.2437172,1.794579,1.223686)","(19.37727,94.78846,21.0321)",0
10.56016,"(-0.2430897,1.793407,1.224611)","(19.80945,94.81931,21.51088)",0
10.67191,"(-0.2418289,1.792428,1.225609)","(20.21086,94.89734,21.97445)",0
10.78197,"(-0.2405682,1.791451,1.22566)","(20.68446,94.92772,22.499)",0
10.89356,"(-0.2390461,1.790669,1.225161)","(21.07033,94.93205,22.91869)",0
11.00483,"(-0.2374363,1.789987,1.22439)","(21.3321,95.07231,23.25775)",0
11.11588,"(-0.2354355,1.789147,1.223316)","(21.78894,95.22885,23.81697)",0
11.22655,"(-0.2331123,1.787011,1.222336)","(22.72317,95.49072,24.94369)",0
11.3376,"(-0.2301121,1.778547,1.22043)","(26.42195,95.99505,29.22285)",0
11.44973,"(-0.2266045,1.764959,1.217388)","(32.10077,96.55782,35.76617)",0
11.56045,"(-0.2242393,1.756567,1.215363)","(35.49386,96.80728,39.65047)",0
11.67082,"(-0.2223454,1.75285,1.21525)","(36.74769,96.4991,40.82402)",0
11.78213,"(-0.2211704,1.751207,1.212118)","(36.9777,96.54022,41.10251)",0
11.89373,"(-0.2210522,1.750861,1.206717)","(36.97947,95.74615,40.58214)",0
12.00337,"(-0.2213306,1.758258,1.199137)","(33.67387,94.54697,36.28207)",0
12.11545,"(-0.2237568,1.762655,1.190641)","(31.65815,93.87128,33.75073)",0
12.22658,"(-0.2270679,1.766034,1.182375)","(30.31785,93.59858,32.18549)",0
12.33804,"(-0.2306309,1.766664,1.173792)","(29.99642,93.74836,31.92555)",0
12.4483,"(-0.2336521,1.766987,1.166731)","(29.69191,93.75703,31.60798)",0
12.55963,"(-0.2359982,1.768719,1.161509)","(28.78288,93.65374,30.59317)",0
12.67096,"(-0.2376595,1.770505,1.156826)","(27.78848,93.55968,29.49537)",0
12.78193,"(-0.2382908,1.77341,1.154898)","(25.85949,91.38145,26.46866)",0
12.89351,"(-0.2313271,1.775564,1.156796)","(24.79216,89.36078,24.52547)",0
13.00402,"(-0.2200584,1.775171,1.161995)","(25.21534,89.0888,24.8299)",0
13.11497,"(-0.2081699,1.776369,1.167383)","(23.48135,90.00079,23.48166)",0
13.22608,"(-0.1965542,1.780859,1.174719)","(23.16957,93.67924,24.66165)",0
13.33762,"(-0.1817417,1.781028,1.183039)","(22.82949,96.28433,25.39984)",0
13.44744,"(-0.1641216,1.777644,1.192976)","(24.05554,97.53209,27.32596)",0
13.5586,"(-0.1462612,1.775514,1.205656)","(24.47078,98.13081,28.0766)",0
13.66966,"(-0.1302929,1.774007,1.219538)","(24.8401,98.84108,28.84066)",0
13.78099,"(-0.1151714,1.772464,1.230211)","(25.21396,99.63867,29.66737)",0
13.89194,"(-0.1016273,1.77518,1.233246)","(26.02958,99.8137,30.70502)",0
14.00312,"(-0.08815956,1.774233,1.22896)","(26.30037,99.0233,30.60961)",0
14.11467,"(-0.07860184,1.772077,1.220478)","(28.10327,98.23749,32.25217)",0
14.22533,"(-0.07286072,1.772446,1.210365)","(28.16776,96.96155,31.6434)",0
14.33666,"(-0.06733704,1.771409,1.2024)","(28.36615,96.11755,31.41821)",0
14.44724,"(-0.06100273,1.766334,1.199869)","(29.58337,95.48269,32.40931)",0
14.55883,"(-0.05782127,1.771395,1.203947)","(28.01963,95.70117,30.82279)",0
14.66924,"(-0.05903816,1.778271,1.213659)","(26.44702,96.55917,29.52887)",0
14.78064,"(-0.06314087,1.785033,1.222069)","(23.68331,95.40655,25.95456)",0
14.89179,"(-0.06735802,1.786671,1.225588)","(22.89544,95.02496,24.93386)",0
15.0037,"(-0.07016945,1.787953,1.227762)","(22.27658,95.33696,24.39219)",0
15.11319,"(-0.07416153,1.788055,1.230225)","(22.00144,96.01725,24.373)",0
15.22437,"(-0.07792854,1.788764,1.231432)","(21.53696,96.33799,23.99211)",0
15.33524,"(-0.08125114,1.790589,1.231226)","(20.51346,96.23479,22.8177)",0
15.44692,"(-0.08459473,1.794305,1.230972)","(18.72603,95.93376,20.73095)",0
15.55797,"(-0.0857296,1.794015,1.230192)","(18.85516,95.77702,20.81725)",0
15.68204,"(-0.08518028,1.793132,1.229746)","(19.1875,95.70745,21.15742)",0
