Elapsed Time,User Position,User Heading,Experiment State
0.3150479,"(-0.2579765,1.79858,1.314419)","(14.67781,95.14587,16.0418)",0
0.4250873,"(-0.2542419,1.79846,1.309048)","(14.71617,95.29041,16.12389)",0
0.5459319,"(-0.2506924,1.798433,1.306734)","(14.66656,95.5266,16.13546)",0
0.6580485,"(-0.2487679,1.799157,1.305923)","(14.41801,95.50665,15.85715)",0
0.7679651,"(-0.2469521,1.799594,1.305851)","(14.13204,95.21119,15.46399)",0
0.8796995,"(-0.2449741,1.799914,1.306059)","(14.12946,94.21576,15.19713)",0
0.9903185,"(-0.2427959,1.800325,1.306955)","(13.91014,93.05096,14.66321)",0
1.100476,"(-0.2404804,1.800358,1.30794)","(13.87337,91.98681,14.35796)",0
1.211913,"(-0.2378521,1.800307,1.30747)","(13.88192,92.04115,14.3803)",0
1.323505,"(-0.2360859,1.799714,1.308371)","(14.24121,91.88024,14.71127)",0
1.434548,"(-0.2346249,1.800503,1.307894)","(13.93737,92.09388,14.45086)",0
1.54494,"(-0.2339535,1.799469,1.306017)","(14.14134,92.63282,14.79934)",0
1.656706,"(-0.2348499,1.799835,1.303843)","(13.95949,93.87224,14.92565)",0
1.767166,"(-0.2354889,1.799374,1.300323)","(13.98059,95.7488,15.44175)",0
1.878344,"(-0.2358818,1.798108,1.298088)","(14.27466,97.10288,16.14033)",0
1.98953,"(-0.235302,1.797546,1.301159)","(14.74826,94.86823,16.04143)",0
2.100518,"(-0.2355824,1.798157,1.304987)","(14.67799,92.12339,15.22591)",0
2.211644,"(-0.2366009,1.798231,1.304041)","(14.60709,92.22065,15.17789)",0
2.322769,"(-0.2375927,1.797917,1.30229)","(14.81507,92.87591,15.56888)",0
2.433299,"(-0.2379055,1.796672,1.299608)","(15.24995,93.2383,16.12582)",0
2.544553,"(-0.2382469,1.795331,1.300537)","(16.03477,90.30492,16.1192)",0
2.655815,"(-0.2385559,1.793845,1.304859)","(16.57149,84.94656,15.18785)",0
2.766501,"(-0.238533,1.792028,1.306152)","(17.37414,81.53053,15.00802)",0
2.877856,"(-0.2374496,1.791923,1.300854)","(17.34768,82.08203,15.12982)",0
2.98904,"(-0.2358494,1.791293,1.291563)","(17.49789,84.55911,15.93182)",0
3.099751,"(-0.2338352,1.78921,1.281061)","(18.39506,87.20774,17.53368)",0
3.211019,"(-0.2311001,1.782147,1.266668)","(21.28118,91.08562,21.67872)",0
3.322659,"(-0.228281,1.771535,1.25186)","(26.06202,94.65289,28.18458)",0
3.433206,"(-0.224535,1.760821,1.241724)","(29.60556,95.3335,32.35312)",0
3.543937,"(-0.2244129,1.764239,1.232862)","(28.32605,94.95866,30.77326)",0
3.655342,"(-0.2232685,1.761499,1.224909)","(29.03811,94.84058,31.47893)",0
3.766007,"(-0.2245808,1.761158,1.217661)","(29.07359,95.42452,31.82491)",0
3.877425,"(-0.2276669,1.765666,1.212088)","(27.58492,97.28182,31.16205)",0
3.987744,"(-0.2282104,1.770458,1.208912)","(25.53838,98.88222,29.66271)",0
4.099026,"(-0.2286358,1.774314,1.211149)","(24.01339,99.44302,28.1774)",0
4.210299,"(-0.2282162,1.778731,1.218153)","(22.58133,99.60451,26.58731)",0
4.321898,"(-0.2252712,1.779349,1.226221)","(22.28443,100.1209,26.4739)",0
4.432343,"(-0.2204456,1.780223,1.232466)","(22.34984,103.45,28.11206)",0
4.543588,"(-0.2125988,1.780859,1.239027)","(22.27342,108.2668,30.46276)",0
4.654503,"(-0.201849,1.780992,1.25281)","(22.22558,111.0799,31.94502)",0
4.765425,"(-0.1923828,1.778379,1.263557)","(22.52011,115.7794,35.20405)",0
4.876523,"(-0.1841583,1.779177,1.277836)","(21.10917,116.7107,33.64417)",0
4.988239,"(-0.178236,1.780193,1.301207)","(20.59293,111.0405,29.63385)",0
5.098985,"(-0.172575,1.77417,1.313185)","(23.76122,109.4667,33.13515)",0
5.209868,"(-0.1729183,1.766161,1.305899)","(26.81556,113.9495,40.27745)",0
5.320877,"(-0.1846828,1.765622,1.284037)","(26.66513,122.6623,46.86674)",0
5.431995,"(-0.1998615,1.769015,1.252256)","(26.4278,133.5822,57.4105)",0
5.543148,"(-0.2144222,1.768107,1.227499)","(26.34714,143.7458,71.12701)",0
5.654285,"(-0.2229404,1.768384,1.213419)","(26.10204,147.3726,76.75928)",0
5.765059,"(-0.2278767,1.768461,1.200891)","(26.58276,147.7772,78.55467)",0
5.876412,"(-0.2336979,1.767882,1.184954)","(26.72212,149.9569,83.02323)",0
5.987167,"(-0.2397308,1.767101,1.166424)","(26.59259,152.6216,88.26837)",0
6.087235,"(-0.2397785,1.768091,1.155077)","(26.50478,154.4137,92.09147)",0
6.196984,"(-0.2368717,1.767425,1.151743)","(26.53225,155.8117,95.46802)",0
6.297461,"(-0.2340126,1.766935,1.15416)","(26.79979,157.8008,101.0568)",0
6.408267,"(-0.2313766,1.76955,1.158218)","(26.5476,161.6968,111.3428)",0
6.50882,"(-0.2291203,1.769595,1.160341)","(26.31725,167.3267,129.1846)",0
6.619606,"(-0.2371502,1.770862,1.157919)","(25.26875,181.6558,187.3771)",0
6.730554,"(-0.2556553,1.770329,1.159151)","(24.53019,198.1048,252.4726)",0
6.830633,"(-0.2762222,1.76977,1.164349)","(24.46772,207.461,276.8279)",0
