Elapsed Time,User Position,User Heading,Experiment State
0.06541711,"(-0.1820984,1.79402,1.256821)","(22.4674,97.10985,25.35306)",0
0.1684076,"(-0.1819592,1.794098,1.258928)","(22.24895,98.9173,25.89408)",0
0.2787689,"(-0.1828842,1.796868,1.257668)","(20.88163,100.2577,24.88162)",0
0.3900576,"(-0.1829453,1.798907,1.255009)","(19.99517,101.2644,24.25211)",0
0.5010441,"(-0.1810303,1.799175,1.252625)","(19.48932,102.1256,23.99945)",0
0.6117894,"(-0.1784897,1.800599,1.250637)","(18.71752,102.7318,23.30235)",0
0.7230432,"(-0.1745567,1.801077,1.24926)","(18.14599,103.1356,22.75721)",0
0.833657,"(-0.1694622,1.799472,1.246214)","(18.61528,104.6965,23.98528)",0
0.9450955,"(-0.1629772,1.797872,1.235155)","(19.15409,111.6447,27.90851)",0
1.055951,"(-0.1585846,1.797761,1.219635)","(19.26048,124.2964,35.60602)",0
1.166366,"(-0.1594124,1.804354,1.206024)","(18.99211,137.9012,46.9832)",0
1.276888,"(-0.1649246,1.80999,1.188541)","(16.99949,151.4245,60.8111)",0
1.388036,"(-0.1810627,1.804664,1.163916)","(17.81016,163.7441,95.30214)",0
1.499262,"(-0.2108879,1.801232,1.13287)","(18.68512,173.788,143.4922)",0
1.610261,"(-0.2513161,1.793838,1.096352)","(20.04994,186.7083,216.6848)",0
1.710474,"(-0.2802086,1.789125,1.069263)","(21.84084,197.7865,258.0844)",0
1.810553,"(-0.2965088,1.789166,1.048317)","(22.80882,206.0527,277.83)",0
1.910724,"(-0.3087654,1.783815,1.03096)","(24.33696,215.8388,292.6063)",0
2.021066,"(-0.3095703,1.781597,1.020222)","(25.2474,226.5013,304.9369)",0
2.132025,"(-0.304987,1.783487,1.010115)","(24.34623,233.1964,313.3863)",0
2.23205,"(-0.3076382,1.779146,1.003691)","(25.79619,239.3247,316.1913)",0
2.332142,"(-0.3162556,1.778165,1.001665)","(25.74817,244.6754,320.2997)",0
2.433917,"(-0.3326836,1.777532,1.006351)","(25.76479,249.4901,323.501)",0
2.543642,"(-0.3624344,1.777044,1.023659)","(25.22095,255.166,327.5835)",0
2.654653,"(-0.4008999,1.777657,1.049845)","(24.86749,261.8702,331.4732)",0
2.765473,"(-0.4355717,1.774265,1.073408)","(25.51481,269.2018,334.1392)",0
2.876755,"(-0.4615364,1.776027,1.088436)","(27.2917,275.7183,335.2205)",0
2.986916,"(-0.4800358,1.768162,1.104021)","(29.49376,283.6296,336.6073)",0
3.087753,"(-0.4904594,1.761642,1.116043)","(31.70241,293.0627,338.7374)",0
3.187785,"(-0.5001354,1.75814,1.128988)","(33.0263,300.4462,340.7454)",0
3.287792,"(-0.5114307,1.758523,1.152197)","(34.48206,304.95,341.627)",0
3.398608,"(-0.5239792,1.752422,1.190918)","(36.79178,310.1583,342.4318)",0
3.49895,"(-0.5319767,1.747354,1.233618)","(38.04646,313.6035,343.1895)",0
3.609817,"(-0.5403271,1.747175,1.287104)","(36.81173,313.3933,343.686)",0
3.720704,"(-0.5488319,1.747304,1.346478)","(36.11822,312.1356,343.5318)",0
3.82122,"(-0.5548859,1.747486,1.395947)","(36.21555,311.0601,343.0712)",0
3.931862,"(-0.5645676,1.748535,1.442169)","(36.69879,310.64,342.6681)",0
4.042627,"(-0.5811691,1.750943,1.480839)","(36.73043,309.8414,342.3377)",0
4.142704,"(-0.6035786,1.746549,1.508516)","(37.66941,308.1474,341.1693)",0
4.24275,"(-0.6292648,1.743019,1.527588)","(37.84351,307.6802,340.8842)",0
4.353522,"(-0.659214,1.746183,1.544201)","(35.97643,310.0705,342.8081)",0
4.464613,"(-0.6928444,1.749281,1.5639)","(35.24873,311.7522,343.8061)",0
4.575148,"(-0.7254467,1.746248,1.59173)","(36.09636,311.6541,343.3581)",0
4.675257,"(-0.7501049,1.748427,1.625891)","(35.93824,310.9109,343.1506)",0
4.775518,"(-0.7731419,1.745505,1.667711)","(35.83786,308.4298,342.2429)",0
4.876259,"(-0.7911129,1.736298,1.710699)","(36.49357,302.9071,339.6639)",0
4.986048,"(-0.8049088,1.74062,1.762657)","(33.27524,295.4396,338.6205)",0
5.086376,"(-0.8166676,1.749804,1.812033)","(31.54744,289.1401,337.2735)",0
5.186705,"(-0.8300552,1.760729,1.860424)","(28.21766,284.7418,338.0678)",0
5.286886,"(-0.8503819,1.763435,1.902697)","(26.83216,280.5947,337.5951)",0
5.397968,"(-0.8803806,1.765694,1.939363)","(25.01159,276.3038,337.5291)",0
5.509092,"(-0.9159927,1.763976,1.966934)","(23.95665,272.7191,337.1241)",0
5.609921,"(-0.9529629,1.757856,1.986364)","(23.93802,270.6937,336.3419)",0
5.718872,"(-0.9993782,1.751329,2.00301)","(24.22874,269.3166,335.4893)",0
5.819421,"(-1.046299,1.753766,2.017426)","(24.65471,270.0685,335.3739)",0
5.930232,"(-1.096296,1.756977,2.036238)","(23.72434,272.6223,337.3092)",0
6.030931,"(-1.13801,1.760742,2.05821)","(24.60747,273.4952,336.809)",0
6.142039,"(-1.188246,1.766389,2.085028)","(23.17241,272.8831,337.9366)",0
6.25312,"(-1.246035,1.762329,2.115805)","(23.10441,270.6892,337.1646)",0
6.353548,"(-1.296309,1.756286,2.149527)","(22.64269,268.546,336.7909)",0
6.463691,"(-1.350922,1.75311,2.192291)","(21.8978,265.5352,336.3738)",0
6.57493,"(-1.406569,1.768627,2.229948)","(21.12922,262.644,336.0467)",0
6.685825,"(-1.468908,1.771473,2.255766)","(20.60265,260.6641,335.8336)",0
6.797028,"(-1.534958,1.767443,2.269493)","(22.39373,259.2231,333.0973)",0
6.907661,"(-1.605181,1.755319,2.276186)","(24.42785,258.5215,330.3332)",0
7.007938,"(-1.673222,1.743144,2.273739)","(24.96568,259.319,330.0974)",0
