Elapsed Time,User Position,User Heading,Experiment State
0.1002863,"(-3.527296,1.678697,1.266504)","(357.2895,270.7087,2.677244)",0
0.210624,"(-3.526457,1.679256,1.267096)","(357.0321,270.6086,2.936504)",0
0.3107499,"(-3.525255,1.680729,1.267748)","(356.3738,270.3949,3.601272)",0
0.4108031,"(-3.522654,1.684265,1.268049)","(354.6195,269.5999,5.418131)",0
0.5116938,"(-3.519354,1.686086,1.268171)","(353.7302,268.4819,6.437853)",0
0.6224709,"(-3.516916,1.68808,1.268442)","(352.6067,267.8408,7.676442)",0
0.7224857,"(-3.516638,1.688852,1.268705)","(352.1538,267.7997,8.152395)",0
0.8234801,"(-3.517431,1.688157,1.268797)","(352.4531,268.0511,7.807261)",0
0.9332765,"(-3.520121,1.683405,1.267374)","(354.9392,268.0544,5.235421)",0
1.033758,"(-3.526991,1.6637,1.265394)","(5.135407,267.6298,354.6479)",0
1.144175,"(-3.541445,1.640426,1.260977)","(15.74098,265.7117,343.0516)",0
1.244255,"(-3.556707,1.629483,1.257326)","(20.21815,262.9398,337.1891)",0
1.355157,"(-3.572599,1.621286,1.257971)","(23.42177,260.6587,332.5569)",0
1.45524,"(-3.585928,1.616454,1.255239)","(24.52096,257.0888,329.4857)",0
1.555792,"(-3.591616,1.615259,1.235445)","(24.89095,246.7208,322.9369)",0
1.666527,"(-3.583559,1.618141,1.194494)","(23.57575,227.1556,308.8878)",0
1.777049,"(-3.558744,1.619686,1.152987)","(22.16054,205.3984,278.0159)",0
1.888161,"(-3.528265,1.620929,1.121435)","(20.91982,185.9957,211.6742)",0
1.988322,"(-3.504461,1.621455,1.104338)","(20.19774,170.425,129.6306)",0
2.099678,"(-3.48868,1.618044,1.102316)","(19.95613,155.1781,77.28154)",0
2.210408,"(-3.482931,1.623175,1.112219)","(19.24737,141.593,51.91564)",0
2.311867,"(-3.484694,1.634491,1.130884)","(14.97976,128.0368,30.19554)",0
2.423696,"(-3.504915,1.63769,1.169737)","(12.14316,109.8075,17.21467)",0
2.533694,"(-3.526434,1.648938,1.191923)","(8.565407,99.47398,10.1058)",0
2.645016,"(-3.53602,1.653677,1.205542)","(6.310392,94.56638,6.833287)",0
2.756137,"(-3.531073,1.65716,1.215067)","(5.076063,92.10753,5.266035)",0
2.867243,"(-3.510012,1.656858,1.226763)","(4.282827,91.46875,4.393939)",0
2.978195,"(-3.47217,1.652632,1.241259)","(4.076014,92.17101,4.233321)",0
3.088985,"(-3.416197,1.648435,1.255781)","(3.198834,92.68196,3.3521)",0
3.200369,"(-3.345228,1.646577,1.264044)","(3.977319,92.80635,4.176887)",0
3.311002,"(-3.275789,1.644529,1.26903)","(4.962591,92.61002,5.193655)",0
3.422128,"(-3.211439,1.647091,1.267447)","(7.365101,92.02029,7.62872)",0
3.5334,"(-3.155493,1.64469,1.260637)","(8.954378,93.17841,9.463158)",0
3.644661,"(-3.102682,1.638467,1.250372)","(9.633309,93.94733,10.31736)",0
3.755725,"(-3.048925,1.628957,1.234285)","(9.254937,93.08855,9.765361)",0
3.866464,"(-2.995184,1.628634,1.209963)","(9.630506,91.67558,9.914938)",0
3.977734,"(-2.936644,1.642234,1.184656)","(9.052815,90.7757,9.17569)",0
4.089052,"(-2.880396,1.645203,1.163443)","(9.047315,90.84785,9.181623)",0
4.199788,"(-2.830061,1.641201,1.154478)","(11.30238,90.23263,11.34806)",0
4.311296,"(-2.785383,1.64073,1.15555)","(12.25908,89.05887,12.06084)",0
4.422348,"(-2.741728,1.63701,1.162394)","(12.47909,88.80743,12.22398)",0
4.532625,"(-2.701105,1.630729,1.175268)","(12.2279,90.52464,12.33952)",0
4.644469,"(-2.663023,1.633545,1.194529)","(12.47328,92.23112,12.96456)",0
4.755134,"(-2.627024,1.637078,1.212431)","(12.01493,92.24764,12.49202)",0
4.866221,"(-2.597338,1.635811,1.229296)","(12.6758,91.97247,13.11606)",0
4.977124,"(-2.576303,1.63575,1.246382)","(12.90862,91.36244,13.21657)",0
5.088279,"(-2.559103,1.634022,1.260714)","(12.83476,90.9888,13.05628)",0
5.199711,"(-2.545401,1.633458,1.269377)","(12.8791,90.37054,12.96195)",0
5.310313,"(-2.535482,1.635382,1.271929)","(12.97166,90.15081,13.00555)",0
5.421338,"(-2.528425,1.634098,1.270464)","(13.41383,90.62576,13.55977)",0
5.533233,"(-2.523745,1.633825,1.265413)","(14.59005,91.938,15.0864)",0
5.643611,"(-2.520018,1.635544,1.260386)","(14.63655,93.29146,15.49226)",0
5.754899,"(-2.514147,1.635485,1.257639)","(15.07985,94.43481,16.27899)",0
5.866425,"(-2.509455,1.633407,1.25609)","(15.80526,94.63275,17.11884)",0
5.976905,"(-2.507044,1.632451,1.256247)","(16.10619,94.21494,17.31885)",0
6.08774,"(-2.505732,1.633002,1.257109)","(15.80587,93.71125,16.84959)",0
6.198707,"(-2.50485,1.632753,1.257322)","(15.81886,93.45631,16.78947)",0
6.30973,"(-2.505301,1.632006,1.256544)","(16.13988,93.13368,17.0347)",0
6.420413,"(-2.50688,1.632451,1.253923)","(15.99286,92.83186,16.79222)",0
6.531935,"(-2.508368,1.633834,1.250105)","(15.25516,92.38499,15.89564)",0
6.643014,"(-2.509897,1.635974,1.247442)","(14.16053,90.36416,14.24989)",0
6.754314,"(-2.511229,1.640208,1.246897)","(12.26996,86.82089,11.61202)",0
6.865165,"(-2.512499,1.643533,1.244726)","(10.7545,84.42613,9.761122)",0
6.976305,"(-2.512209,1.644731,1.240034)","(10.312,83.34317,9.183632)",0
7.087748,"(-2.511129,1.645606,1.23424)","(9.976188,83.20744,8.863163)",0
7.19851,"(-2.508986,1.646435,1.229334)","(9.621633,82.87257,8.497849)",0
7.309015,"(-2.506948,1.647455,1.225481)","(9.290318,82.28495,8.120804)",0
7.420557,"(-2.504477,1.648331,1.223394)","(9.001942,81.68806,7.786392)",0
7.531394,"(-2.501795,1.64905,1.223349)","(8.789042,81.32642,7.553833)",0
7.642535,"(-2.49827,1.649291,1.225473)","(8.769164,80.81127,7.468643)",0
7.753196,"(-2.495123,1.649146,1.227716)","(8.780776,80.51891,7.440078)",0
7.864437,"(-2.491899,1.648551,1.231218)","(8.995443,80.12727,7.569661)",0
7.97558,"(-2.491133,1.648367,1.234388)","(9.093997,79.76656,7.604065)",0
8.086997,"(-2.491091,1.648295,1.236734)","(9.147615,79.55833,7.620835)",0
8.197738,"(-2.491816,1.647835,1.238337)","(9.326248,79.41059,7.749564)",0
8.308223,"(-2.493322,1.647626,1.238768)","(9.339705,79.42982,7.763403)",0
8.419802,"(-2.495127,1.647513,1.239126)","(9.266179,79.49541,7.711153)",0
8.531108,"(-2.49645,1.647434,1.239962)","(9.317303,79.62136,7.77105)",0
8.641588,"(-2.497686,1.647493,1.240225)","(9.374326,79.62847,7.819659)",0
8.753835,"(-2.498674,1.647543,1.239664)","(9.257354,79.83349,7.750001)",0
8.863916,"(-2.498766,1.647379,1.239244)","(9.305239,79.86926,7.795069)",0
8.975,"(-2.498953,1.647112,1.238909)","(9.392838,79.6179,7.833657)",0
9.086172,"(-2.499628,1.646754,1.238302)","(9.492749,79.46302,7.895434)",0
9.197577,"(-2.499308,1.646761,1.237951)","(9.48316,79.40411,7.879229)",0
9.308454,"(-2.499041,1.646798,1.237841)","(9.504821,79.28365,7.880426)",0
9.419862,"(-2.498602,1.64463,1.237173)","(10.53391,79.46421,8.763018)",0
9.53099,"(-2.497637,1.643176,1.235735)","(11.10942,80.2672,9.374629)",0
9.641586,"(-2.496225,1.642149,1.233938)","(11.56007,81.26728,9.928825)",0
9.752783,"(-2.495028,1.640626,1.232336)","(12.06145,81.70711,10.44056)",0
9.863397,"(-2.495478,1.639574,1.230501)","(12.55391,82.39594,10.9996)",0
9.974928,"(-2.495237,1.638038,1.228224)","(13.09215,83.21758,11.63803)",0
10.08552,"(-2.496099,1.637696,1.226725)","(13.19737,83.12109,11.71199)",0
10.19669,"(-2.496267,1.63721,1.224409)","(13.52103,83.67951,12.11722)",0
10.30757,"(-2.495623,1.636975,1.222891)","(13.56816,83.95382,12.21779)",0
10.41957,"(-2.494673,1.63643,1.222857)","(13.78992,83.8102,12.38682)",0
10.52989,"(-2.494303,1.636532,1.223063)","(13.75216,83.70943,12.33117)",0
10.64085,"(-2.49367,1.636569,1.223665)","(13.7637,83.6199,12.3223)",0
10.75241,"(-2.493605,1.63646,1.224092)","(13.75258,83.6855,12.3264)",0
10.86355,"(-2.493414,1.636448,1.224398)","(13.7224,84.01334,12.36974)",0
10.97432,"(-2.493162,1.636461,1.22513)","(13.72183,83.84864,12.3338)",0
11.08619,"(-2.492617,1.636107,1.225485)","(13.90342,83.96531,12.52274)",0
11.19613,"(-2.492521,1.63587,1.22505)","(14.03706,84.07568,12.66765)",0
11.30756,"(-2.492853,1.635898,1.224466)","(14.03664,84.44453,12.74883)",0
11.41811,"(-2.493952,1.635788,1.224207)","(14.00062,84.2485,12.67276)",0
11.52914,"(-2.495359,1.635607,1.22357)","(14.15917,84.22717,12.81178)",0
11.6403,"(-2.496698,1.635794,1.223318)","(14.08527,84.29238,12.75925)",0
11.7517,"(-2.49769,1.636152,1.223303)","(14.04308,84.46799,12.75988)",0
11.86281,"(-2.498049,1.636612,1.221926)","(13.69971,84.94881,12.55187)",0
11.97359,"(-2.498186,1.636688,1.221655)","(13.83865,85.24265,12.74427)",0
12.08589,"(-2.500265,1.637326,1.222071)","(13.60765,84.77518,12.42982)",0
12.19566,"(-2.501318,1.637327,1.223261)","(13.45291,84.60813,12.2526)",0
12.3066,"(-2.501017,1.636925,1.225473)","(13.46033,84.72884,12.28514)",0
12.41817,"(-2.500841,1.636393,1.227926)","(13.66388,84.26216,12.37037)",0
12.52922,"(-2.501398,1.635882,1.229265)","(13.80812,83.71615,12.38289)",0
12.64016,"(-2.501657,1.636046,1.22941)","(13.76079,83.78628,12.35545)",0
12.75118,"(-2.503412,1.636412,1.228392)","(13.61338,84.32693,12.33847)",0
12.86198,"(-2.50461,1.636723,1.228331)","(13.45468,84.55414,12.24271)",0
12.97264,"(-2.505857,1.637019,1.228651)","(13.28706,84.44006,12.06597)",0
13.08423,"(-2.507151,1.636983,1.229116)","(13.2823,84.43349,12.06026)",0
13.1953,"(-2.508142,1.637324,1.229811)","(13.13676,84.18777,11.87698)",0
13.30618,"(-2.509005,1.637516,1.23004)","(13.0104,84.00442,11.72503)",0
13.41836,"(-2.508806,1.637648,1.230646)","(12.99144,83.8865,11.68388)",0
13.52864,"(-2.50802,1.637712,1.230715)","(12.92423,83.83875,11.61367)",0
13.63968,"(-2.507265,1.637097,1.230513)","(13.17854,83.84412,11.84368)",0
13.75133,"(-2.506327,1.636676,1.230581)","(13.41405,83.71825,12.02929)",0
13.86199,"(-2.506624,1.63671,1.230261)","(13.42369,83.60645,12.01451)",0
13.97307,"(-2.506517,1.636618,1.230021)","(13.43893,83.66605,12.04068)",0
14.0838,"(-2.506571,1.636803,1.229464)","(13.37567,83.71803,11.99477)",0
14.19519,"(-2.506033,1.636521,1.229174)","(13.52251,83.6909,12.12095)",0
14.30605,"(-2.505362,1.636502,1.229052)","(13.56727,83.73083,12.16961)",0
14.41732,"(-2.505442,1.636131,1.228872)","(13.69387,83.61575,12.25878)",0
14.52827,"(-2.505796,1.636418,1.227861)","(13.62761,83.832,12.2454)",0
14.63907,"(-2.50572,1.636484,1.226702)","(13.63435,84.16444,12.32261)",0
14.75063,"(-2.505766,1.635985,1.225996)","(13.84332,84.20539,12.52073)",0
14.8615,"(-2.50519,1.635272,1.225492)","(14.16719,84.21237,12.81576)",0
14.97259,"(-2.503813,1.634933,1.225183)","(14.2633,84.0621,12.86916)",0
15.08381,"(-2.502275,1.635273,1.225214)","(13.86461,84.04115,12.50422)",0
15.19489,"(-2.499498,1.639348,1.226423)","(11.60555,83.86462,10.43176)",0
15.30557,"(-2.496553,1.642005,1.228437)","(9.987193,83.06304,8.850546)",0
