Elapsed Time,User Position,User Heading,Experiment State
0.07798296,"(-0.2245197,1.648902,1.25094)","(4.855852,94.56745,5.258694)",0
0.1894896,"(-0.2276745,1.648549,1.245039)","(5.118772,95.52746,5.637243)",0
0.3014292,"(-0.2289391,1.648808,1.242764)","(5.03652,95.03479,5.499067)",0
0.4116896,"(-0.229063,1.647492,1.241102)","(5.579489,94.96185,6.083965)",0
0.5234032,"(-0.2283993,1.646945,1.241404)","(5.811028,95.14507,6.356692)",0
0.6339277,"(-0.2271061,1.646932,1.243753)","(5.744598,94.93816,6.261352)",0
0.7445298,"(-0.2267551,1.646064,1.246832)","(6.104005,95.22057,6.685885)",0
0.8559041,"(-0.2268219,1.645855,1.250946)","(6.255183,95.80407,6.921698)",0
0.9673207,"(-0.2257233,1.645325,1.251411)","(6.311496,99.36476,7.434703)",0
1.079255,"(-0.2227402,1.644162,1.250305)","(6.573282,104.9077,8.545709)",0
1.189128,"(-0.2183342,1.643789,1.252953)","(6.783955,107.771,9.288668)",0
1.300468,"(-0.2114506,1.639813,1.253199)","(8.158942,111.2207,11.89771)",0
1.410935,"(-0.2043343,1.638018,1.254234)","(8.396059,114.0717,12.91478)",0
1.521797,"(-0.1986752,1.633066,1.256392)","(9.28692,115.4644,14.66052)",0
1.633845,"(-0.196104,1.626993,1.255037)","(11.72468,116.2301,18.74457)",0
1.743875,"(-0.1970673,1.624097,1.251694)","(13.3523,116.7074,21.50705)",0
1.854791,"(-0.2089977,1.622603,1.222158)","(13.50424,132.6448,30.219)",0
1.966123,"(-0.2438869,1.620342,1.175585)","(13.62136,158.8531,65.22375)",0
2.076458,"(-0.3034306,1.620978,1.136404)","(12.40611,185.5953,228.4177)",0
2.187537,"(-0.3535252,1.620087,1.116198)","(12.91897,205.3264,306.5126)",0
2.298843,"(-0.3880768,1.609775,1.105202)","(14.72323,220.1308,321.042)",0
2.409283,"(-0.4011135,1.607578,1.10391)","(16.09268,232.0272,327.6908)",0
2.509681,"(-0.3994217,1.612329,1.10112)","(16.19351,236.4208,330.2937)",0
2.621083,"(-0.3871479,1.61576,1.093775)","(16.05873,241.3371,333.2388)",0
2.732234,"(-0.3623066,1.609435,1.078817)","(18.48898,241.4243,329.3552)",0
2.83245,"(-0.3394566,1.600963,1.052248)","(21.07565,239.3523,323.8418)",0
2.943725,"(-0.329195,1.596278,1.011946)","(22.52298,238.495,320.85)",0
3.054131,"(-0.3365459,1.593212,0.9636669)","(22.47673,238.0902,320.6254)",0
3.165053,"(-0.3607044,1.585107,0.9130573)","(22.37966,238.0404,320.7494)",0
3.275865,"(-0.3999596,1.581679,0.860199)","(21.30882,238.8338,323.0981)",0
3.386285,"(-0.4475327,1.597806,0.8014832)","(20.78882,240.5295,325.0986)",0
3.48752,"(-0.4882488,1.60606,0.7484951)","(20.46473,242.5137,326.8757)",0
3.598584,"(-0.5318947,1.612077,0.6859741)","(20.44845,244.5544,328.1255)",0
3.69874,"(-0.5692158,1.608222,0.6259403)","(19.69928,246.7458,330.4673)",0
3.809619,"(-0.6024742,1.593384,0.562809)","(19.61567,250.0015,332.2644)",0
3.921099,"(-0.639143,1.604457,0.502737)","(20.18356,256.9193,334.7403)",0
4.031562,"(-0.6877289,1.615724,0.4557724)","(20.30758,263.7247,337.3945)",0
4.142265,"(-0.7491245,1.615121,0.4184132)","(21.41738,269.3888,338.3583)",0
4.242395,"(-0.8126335,1.603204,0.395504)","(22.46448,275.0581,339.3935)",0
4.342949,"(-0.8852558,1.588413,0.3837414)","(21.86344,279.1415,341.3116)",0
4.452303,"(-0.9766712,1.596456,0.379076)","(22.44609,284.5838,342.5572)",0
