Elapsed Time,User Position,User Heading,Experiment State
0.08927622,"(-4.372869,1.674599,1.218809)","(1.826034,273.7911,358.291)",0
0.200463,"(-4.370516,1.680359,1.218565)","(358.4441,273.2527,1.470036)",0
0.31137,"(-4.367296,1.685163,1.216879)","(355.5078,271.9649,4.340926)",0
0.4115841,"(-4.365366,1.688254,1.214464)","(353.6492,270.3654,6.310518)",0
0.5236281,"(-4.364225,1.68975,1.212366)","(352.7545,268.7711,7.402154)",0
0.6332223,"(-4.364267,1.688944,1.210539)","(353.3182,267.3414,6.998472)",0
0.73343,"(-4.365625,1.686004,1.211023)","(355.0492,267.3675,5.183384)",0
0.8337665,"(-4.367544,1.684064,1.212297)","(356.1558,268.0724,3.975662)",0
0.9337918,"(-4.368532,1.680873,1.214655)","(358.1346,269.4212,1.884357)",0
1.033799,"(-4.368677,1.676058,1.217543)","(1.101814,270.7451,358.9124)",0
1.144808,"(-4.369692,1.672369,1.218992)","(3.382803,270.9348,356.6719)",0
1.245252,"(-4.369932,1.669623,1.220003)","(5.14414,271.5683,354.9946)",0
1.356227,"(-4.369806,1.668257,1.223017)","(5.943884,274.2068,354.4766)",0
1.467054,"(-4.369028,1.668413,1.22542)","(5.865288,276.1131,354.7285)",0
1.578246,"(-4.366884,1.671256,1.227613)","(4.329986,276.7832,356.1541)",0
1.689888,"(-4.363096,1.672523,1.22991)","(3.673798,276.9258,356.7452)",0
1.800236,"(-4.361101,1.67333,1.226774)","(3.050004,273.367,357.1241)",0
1.911119,"(-4.359476,1.674716,1.222467)","(2.168333,270.0508,357.8336)",0
2.022694,"(-4.358145,1.675258,1.218767)","(1.682161,267.7337,358.25)",0
2.122699,"(-4.357092,1.676112,1.216696)","(1.256139,266.3645,358.6615)",0
2.233571,"(-4.35631,1.676837,1.215376)","(0.8223076,265.5137,359.1107)",0
2.344547,"(-4.356031,1.678463,1.215017)","(359.9031,265.5454,0.1046985)",0
2.454973,"(-4.355207,1.68049,1.214243)","(358.6421,265.2788,1.474696)",0
2.56579,"(-4.354361,1.680268,1.21277)","(358.7212,264.5694,1.406121)",0
2.678527,"(-4.355703,1.67801,1.211203)","(359.9005,263.7806,0.1110023)",0
2.788599,"(-4.358774,1.675984,1.209146)","(1.123579,262.6244,358.7216)",0
2.899168,"(-4.362066,1.674023,1.2069)","(2.393857,261.8297,357.238)",0
2.999563,"(-4.364588,1.674393,1.206995)","(2.398103,262.088,357.2457)",0
3.099941,"(-4.366056,1.676331,1.209875)","(1.313281,263.7087,358.534)",0
3.209882,"(-4.366758,1.677971,1.215521)","(0.3219633,266.7865,359.6595)",0
3.310605,"(-4.367636,1.680171,1.220491)","(359.0278,269.5066,0.9806532)",0
3.421112,"(-4.368464,1.681199,1.224852)","(358.3553,271.1689,1.611442)",0
3.532721,"(-4.368979,1.679104,1.230787)","(359.6167,273.5909,0.3600403)",0
3.63293,"(-4.370909,1.677215,1.238146)","(0.9255522,276.6641,359.1763)",0
3.743155,"(-4.373392,1.675315,1.244459)","(2.39297,279.371,357.9695)",0
3.843367,"(-4.37565,1.67335,1.249399)","(3.641505,281.7664,357.0385)",0
3.943737,"(-4.376665,1.67169,1.253244)","(4.553553,283.841,356.4315)",0
4.043747,"(-4.376654,1.670764,1.255571)","(5.035917,284.9846,356.1337)",0
4.154442,"(-4.375719,1.670538,1.257662)","(5.033582,285.6019,356.1784)",0
4.265255,"(-4.374731,1.670242,1.261068)","(5.24842,286.2948,356.0649)",0
4.376276,"(-4.374693,1.669313,1.265299)","(5.919766,286.7402,355.597)",0
4.477003,"(-4.374594,1.668961,1.268625)","(6.385621,287.1561,355.2861)",0
4.587271,"(-4.37319,1.668683,1.271353)","(6.809214,287.38,354.9936)",0
4.687905,"(-4.37071,1.668742,1.272924)","(7.028494,287.5758,354.8506)",0
4.798643,"(-4.366098,1.669391,1.273115)","(6.685541,286.663,355.02)",0
4.909136,"(-4.361292,1.671081,1.270452)","(5.94825,283.5972,355.3174)",0
5.009253,"(-4.356638,1.6733,1.268)","(5.022981,280.1444,355.7952)",0
5.120617,"(-4.352262,1.675676,1.269274)","(4.129841,277.4747,356.3763)",0
5.220961,"(-4.348829,1.676271,1.273848)","(3.811556,276.2831,356.5848)",0
5.331181,"(-4.343599,1.675511,1.280443)","(3.681043,275.2677,356.6425)",0
5.432198,"(-4.337523,1.675709,1.285967)","(3.015243,273.9583,357.1861)",0
5.542536,"(-4.329302,1.676678,1.291117)","(1.95898,272.2189,358.1154)",0
5.653166,"(-4.323118,1.678433,1.293783)","(0.2487391,269.7761,359.7503)",0
5.764172,"(-4.318598,1.683316,1.295168)","(356.8845,267.4943,3.254735)",0
5.864507,"(-4.316362,1.686828,1.301592)","(354.5226,268.9505,5.578517)",0
5.965366,"(-4.31452,1.688565,1.308729)","(353.311,271.1836,6.552554)",0
6.076038,"(-4.313845,1.689258,1.314257)","(353.041,271.7709,6.747682)",0
6.186595,"(-4.315058,1.689815,1.319155)","(352.8434,271.1444,7.015488)",0
6.286851,"(-4.315874,1.689075,1.324938)","(353.2548,270.9003,6.64028)",0
6.397098,"(-4.315466,1.688395,1.331198)","(353.7531,270.4428,6.198878)",0
6.497698,"(-4.313063,1.688578,1.335905)","(353.9761,269.5752,6.068666)",0
6.608614,"(-4.310316,1.689889,1.340559)","(354.2921,268.1507,5.89482)",0
6.709247,"(-4.307341,1.690339,1.343744)","(354.5881,267.2282,5.679869)",0
6.82056,"(-4.302645,1.689026,1.343512)","(355.2877,266.5748,5.002414)",0
6.93112,"(-4.298597,1.688126,1.338697)","(356.026,266.6274,4.214849)",0
7.042216,"(-4.295652,1.687307,1.327326)","(356.5978,266.3348,3.626961)",0
7.152623,"(-4.29318,1.685949,1.311403)","(357.9438,266.4852,2.186352)",0
7.253242,"(-4.290178,1.683932,1.295485)","(359.5717,266.9043,0.4520249)",0
7.353356,"(-4.284475,1.680554,1.281641)","(1.249809,267.8696,358.7029)",0
