Elapsed Time,User Position,User Heading,Experiment State
0.05435905,"(-0.1454239,1.711959,1.254337)","(359.1137,84.31505,359.1975)",0
0.1671329,"(-0.1494675,1.709035,1.253269)","(0.2811994,85.51872,0.2600234)",0
0.2780415,"(-0.1521721,1.708028,1.250347)","(0.7815372,87.53261,0.7485864)",0
0.3886976,"(-0.1546745,1.70943,1.247963)","(0.2187797,88.97768,0.2149104)",0
0.5003748,"(-0.156662,1.709633,1.246952)","(0.1935472,90.16451,0.1941037)",0
0.6111409,"(-0.1581078,1.708904,1.246445)","(0.4908377,91.49963,0.5038555)",0
0.7223948,"(-0.1588745,1.708179,1.249008)","(0.7809222,91.56347,0.8025271)",0
0.8340717,"(-0.1587677,1.707495,1.256191)","(1.0348,89.43522,1.02465)",0
0.94464,"(-0.1573811,1.705402,1.264997)","(1.966134,87.1068,1.869295)",0
1.055845,"(-0.1567039,1.703949,1.273659)","(2.418984,84.43445,2.194784)",0
1.166887,"(-0.1560211,1.700184,1.283817)","(3.776356,81.27315,3.241221)",0
1.277822,"(-0.1544495,1.694821,1.294193)","(5.706733,78.16874,4.636455)",0
1.388413,"(-0.1532974,1.695711,1.307049)","(4.990037,73.5275,3.729144)",0
1.499772,"(-0.1520348,1.695198,1.324352)","(4.722626,66.50692,3.097696)",0
1.610782,"(-0.1500473,1.692627,1.341557)","(6.11514,58.58745,3.433009)",0
1.721831,"(-0.1494141,1.697538,1.365742)","(4.532726,45.60308,1.906345)",0
1.832186,"(-0.1662064,1.702711,1.402943)","(2.771488,17.85104,0.435351)",0
1.942822,"(-0.1949329,1.697758,1.415617)","(4.392605,345.2566,359.4314)",0
2.043222,"(-0.2040691,1.693963,1.407114)","(5.15835,323.8688,358.3164)",0
2.153888,"(-0.2020569,1.68508,1.398384)","(7.922126,311.4291,356.4209)",0
2.264223,"(-0.2021885,1.679294,1.388575)","(9.492874,299.3621,354.4402)",0
2.365403,"(-0.2012367,1.677793,1.386185)","(9.535754,292.7896,353.655)",0
