Elapsed Time,User Position,User Heading,Experiment State
0.02436899,"(-3.824255,1.872397,1.27632)","(3.753144,273.5864,356.4746)",0
0.1320098,"(-3.835588,1.834563,1.288149)","(18.04492,276.5739,343.8879)",0
0.2325959,"(-3.844934,1.806811,1.296114)","(26.80417,277.6032,336.4364)",0
0.332653,"(-3.849981,1.800763,1.298735)","(28.18347,277.1304,335.0122)",0
0.4434774,"(-3.852171,1.801535,1.298552)","(28.2298,275.2882,334.1751)",0
0.5543549,"(-3.85467,1.808871,1.293955)","(25.92066,272.8682,335.3057)",0
0.6651837,"(-3.857416,1.814353,1.285559)","(24.03312,269.8586,335.9092)",0
0.7654312,"(-3.865545,1.819081,1.276758)","(22.53888,266.5422,336.0974)",0
0.8657288,"(-3.877951,1.815421,1.275946)","(23.07318,265.0714,334.9146)",0
1.030292,"(-3.878904,1.813431,1.276655)","(23.72428,265.0779,334.2133)",0
1.131991,"(-3.886789,1.814657,1.279764)","(24.70327,265.5082,333.3494)",0
1.232237,"(-3.882246,1.822654,1.272936)","(22.04135,265.4286,336.1764)",0
1.34261,"(-3.875265,1.82789,1.259993)","(19.06556,264.0214,338.8785)",0
1.443441,"(-3.872927,1.836094,1.250597)","(17.37718,263.0744,340.4252)",0
1.543607,"(-3.87145,1.840182,1.245363)","(16.0936,262.639,341.7287)",0
1.643949,"(-3.868135,1.840326,1.243696)","(15.68519,262.071,342.0146)",0
1.753897,"(-3.864298,1.841296,1.242811)","(15.41493,260.6599,341.8847)",0
1.85393,"(-3.860052,1.842167,1.232836)","(15.08842,254.9529,340.3985)",0
1.965007,"(-3.85359,1.84462,1.213205)","(14.68648,245.0772,337.1615)",0
2.065008,"(-3.849192,1.843355,1.198851)","(15.67737,239.7865,333.0646)",0
2.165483,"(-3.844263,1.842641,1.186022)","(16.67804,239.9959,331.5068)",0
2.276672,"(-3.835867,1.846746,1.166624)","(15.8527,243.4297,334.6062)",0
2.376713,"(-3.823828,1.850516,1.148195)","(14.71274,249.9906,339.1029)",0
2.486763,"(-3.802286,1.853374,1.116983)","(13.01937,257.3801,343.7822)",0
2.587533,"(-3.77347,1.85542,1.069872)","(11.78163,259.7901,345.9282)",0
2.697673,"(-3.736113,1.855445,1.002726)","(11.61184,257.4225,345.5393)",0
2.798022,"(-3.703886,1.85454,0.9433765)","(11.92255,254.0931,344.2477)",0
2.898452,"(-3.677225,1.854561,0.8968487)","(12.08216,252.5608,343.5921)",0
2.998545,"(-3.657057,1.857643,0.8652935)","(11.92286,253.198,343.992)",0
3.108724,"(-3.641302,1.860634,0.8427334)","(11.46961,255.2957,345.1657)",0
3.209573,"(-3.630766,1.859473,0.8308926)","(11.74654,257.5693,345.4102)",0
3.320074,"(-3.621351,1.857307,0.8205318)","(12.50786,256.6022,344.2006)",0
3.431113,"(-3.603918,1.85748,0.794733)","(13.52568,242.2832,337.7927)",0
3.531291,"(-3.565809,1.854821,0.7625141)","(14.04367,218.4405,321.0836)",0
3.631559,"(-3.523264,1.852463,0.7500896)","(13.83801,198.6645,287.1132)",0
3.742164,"(-3.489035,1.849177,0.7523289)","(14.39301,184.8206,216.873)",0
3.852995,"(-3.457922,1.848891,0.7652493)","(14.21186,172.0327,121.6217)",0
3.953162,"(-3.429083,1.849122,0.7903271)","(13.48055,158.2482,63.19324)",0
4.05367,"(-3.407053,1.84707,0.8312817)","(14.01163,141.2615,38.53483)",0
4.156189,"(-3.404875,1.84369,0.8829327)","(13.94254,122.2496,25.00374)",0
4.265422,"(-3.437414,1.836243,0.936739)","(14.92455,108.145,20.49259)",0
4.376567,"(-3.473318,1.830352,0.9680576)","(15.72032,103.6113,19.90467)",0
4.487967,"(-3.504614,1.82609,0.9979992)","(17.08405,101.3966,20.79603)",0
4.598277,"(-3.525999,1.814467,1.023603)","(21.08353,101.0796,25.47731)",0
4.709374,"(-3.539904,1.801314,1.041964)","(24.61926,100.7923,29.5491)",0
4.821711,"(-3.551371,1.791541,1.045031)","(28.52923,98.90875,33.10352)",0
4.931821,"(-3.554419,1.789401,1.036875)","(31.2959,97.20011,35.25219)",0
5.042949,"(-3.542353,1.785453,1.038004)","(32.22947,96.692,35.987)",0
5.154642,"(-3.517134,1.781917,1.056929)","(33.24043,95.27047,36.24655)",0
5.26502,"(-3.480268,1.778809,1.081488)","(33.65354,94.37529,36.15863)",0
5.376019,"(-3.432188,1.775546,1.110235)","(33.69331,93.41877,35.63855)",0
5.486897,"(-3.370756,1.780264,1.140593)","(31.45661,92.85612,32.97969)",0
5.598081,"(-3.303629,1.790568,1.163893)","(29.44699,93.92152,31.4347)",0
5.709137,"(-3.248259,1.799082,1.17721)","(28.06244,95.81358,30.9275)",0
5.820419,"(-3.196257,1.805066,1.178251)","(28.70232,97.51733,32.53741)",0
5.931176,"(-3.138792,1.795709,1.175322)","(31.16834,97.90843,35.52351)",0
6.042208,"(-3.0804,1.781168,1.16403)","(34.32397,98.00327,39.1185)",0
6.153621,"(-3.015978,1.772685,1.143492)","(34.49564,96.72575,38.50156)",0
6.264718,"(-2.946539,1.75611,1.113619)","(35.75794,95.18361,38.90392)",0
6.375505,"(-2.868856,1.747051,1.079756)","(36.58339,93.24199,38.56084)",0
6.486882,"(-2.786592,1.755502,1.047102)","(37.57563,90.82517,38.08172)",0
6.597694,"(-2.725851,1.751361,1.029749)","(39.80053,89.67422,39.59246)",0
6.708663,"(-2.674055,1.751509,1.028563)","(41.31388,88.50562,40.33685)",0
6.820034,"(-2.635355,1.748437,1.037863)","(42.23327,88.03217,40.92712)",0
6.930896,"(-2.601622,1.74693,1.05628)","(42.50468,88.57989,41.55384)",0
7.041685,"(-2.567926,1.743289,1.08341)","(42.90702,89.25014,42.39894)",0
7.153113,"(-2.531736,1.741996,1.119364)","(42.89835,90.52728,43.25848)",0
7.264295,"(-2.491789,1.748286,1.158266)","(42.08046,92.37594,43.69777)",0
7.374857,"(-2.458593,1.749443,1.193773)","(41.86805,93.36356,44.16349)",0
7.485927,"(-2.433828,1.747107,1.221899)","(41.48265,94.22913,44.36438)",0
7.597404,"(-2.413092,1.750673,1.240511)","(41.65,95.27074,45.27894)",0
7.7079,"(-2.394876,1.749903,1.252932)","(41.16923,96.38203,45.55686)",0
7.819247,"(-2.37903,1.748452,1.260466)","(41.39092,96.70533,46.031)",0
7.929882,"(-2.365721,1.751038,1.264711)","(41.40405,96.55129,45.93377)",0
8.041252,"(-2.358801,1.75168,1.267321)","(41.50601,96.4595,45.97806)",0
8.152637,"(-2.356058,1.752309,1.268633)","(41.19125,96.59596,45.73472)",0
8.263359,"(-2.356352,1.753821,1.269396)","(40.47661,96.78127,45.08923)",0
