Elapsed Time,User Position,User Heading,Experiment State
0.1003353,"(-4.014101,1.787155,1.328344)","(28.01875,275.4294,334.4308)",0
0.2004644,"(-4.011923,1.786758,1.326422)","(28.12615,275.5944,334.4038)",0
0.3113398,"(-4.009035,1.788176,1.323946)","(27.47241,275.6535,335.0278)",0
0.4116818,"(-4.005949,1.790865,1.322325)","(26.32094,275.0229,335.8231)",0
0.5225907,"(-4.001642,1.794011,1.31975)","(24.97022,273.7961,336.586)",0
0.6336357,"(-3.998629,1.797657,1.317369)","(23.38439,272.3336,337.5249)",0
0.7341433,"(-3.997568,1.800029,1.316271)","(22.41741,271.0926,337.9956)",0
0.8343495,"(-3.997709,1.801051,1.315569)","(22.01903,270.3018,338.0939)",0
0.9451184,"(-3.998716,1.803845,1.314421)","(20.83715,269.7403,339.0703)",0
1.045339,"(-4.000673,1.807395,1.3137)","(19.30814,269.0287,340.3681)",0
1.145399,"(-4.00318,1.810268,1.313112)","(18.06031,268.3342,341.416)",0
1.255065,"(-4.005976,1.812639,1.312754)","(17.05353,268.3687,342.4615)",0
1.355787,"(-4.009211,1.813612,1.312487)","(16.41332,268.6987,343.2149)",0
1.456425,"(-4.012457,1.813809,1.313452)","(16.2424,269.0336,343.4851)",0
1.566241,"(-4.015047,1.812861,1.314249)","(16.4002,269.4392,343.4407)",0
1.667279,"(-4.016512,1.812602,1.313894)","(16.28324,269.6667,343.623)",0
1.767384,"(-4.018297,1.81217,1.313509)","(16.29608,269.7336,343.629)",0
1.878234,"(-4.021006,1.811258,1.313616)","(16.5481,269.8713,343.4152)",0
1.988215,"(-4.024054,1.809338,1.313314)","(17.28889,269.817,342.6566)",0
2.089075,"(-4.026712,1.8081,1.312868)","(17.77077,269.3611,342.0332)",0
2.189854,"(-4.028883,1.806957,1.312952)","(18.28889,268.9987,341.3943)",0
2.30022,"(-4.030363,1.806371,1.313467)","(18.64035,268.8623,340.9926)",0
2.411249,"(-4.031668,1.805767,1.314024)","(19.02909,268.7779,340.5684)",0
2.51221,"(-4.033167,1.805309,1.314711)","(19.39277,268.7396,340.1843)",0
2.621948,"(-4.034414,1.804582,1.314882)","(19.87057,268.8572,339.7373)",0
2.732836,"(-4.035192,1.803796,1.31428)","(20.28324,268.9627,339.3541)",0
2.844476,"(-4.035707,1.802846,1.313967)","(20.74268,269.0569,338.9207)",0
2.955445,"(-4.036192,1.801921,1.314627)","(21.17988,269.0418,338.4712)",0
3.055529,"(-4.036051,1.801252,1.315821)","(21.47798,269.0198,338.1602)",0
3.166484,"(-4.036448,1.800417,1.317575)","(21.84705,269.0943,337.8134)",0
3.277688,"(-4.037054,1.799871,1.320086)","(22.19501,269.3825,337.5706)",0
3.388311,"(-4.037748,1.799348,1.323809)","(22.52153,269.5194,337.2937)",0
3.498935,"(-4.038347,1.798746,1.328283)","(22.74901,269.4354,337.0317)",0
3.599597,"(-4.038218,1.798193,1.333811)","(22.96983,269.2029,336.7171)",0
3.710333,"(-4.03784,1.797898,1.34157)","(23.04569,269.1286,336.6108)",0
3.810525,"(-4.037569,1.797101,1.34886)","(23.23749,269.1444,336.4226)",0
3.920626,"(-4.037577,1.796424,1.355963)","(23.34961,268.6407,336.1057)",0
4.031616,"(-4.03927,1.795958,1.362299)","(23.54312,268.0099,335.649)",0
4.132325,"(-4.042696,1.794984,1.372766)","(23.73693,269.7644,336.1681)",0
4.232392,"(-4.047609,1.793244,1.386999)","(24.39357,273.6101,337.0562)",0
4.342621,"(-4.055132,1.790546,1.399206)","(24.99783,278.6844,338.4413)",0
4.442681,"(-4.061419,1.789993,1.402182)","(25.82824,284.0528,339.7063)",0
4.543067,"(-4.068159,1.789662,1.398798)","(25.52522,289.5562,341.8291)",0
4.643277,"(-4.076857,1.792055,1.393236)","(25.5752,296.6165,344.0459)",0
4.743317,"(-4.086397,1.79428,1.386324)","(25.55468,302.1464,345.7131)",0
4.843341,"(-4.08906,1.7944,1.391352)","(25.41761,310.2296,348.0557)",0
4.954233,"(-4.069899,1.792354,1.411299)","(26.18049,323.8726,351.3261)",0
5.065157,"(-4.032438,1.792146,1.437239)","(25.11565,339.141,355.3042)",0
5.165488,"(-3.987524,1.790878,1.458685)","(25.36559,353.062,358.4368)",0
5.269671,"(-3.942167,1.787352,1.473909)","(25.11097,6.699506,1.49367)",0
5.377278,"(-3.903551,1.788767,1.486761)","(26.13974,20.90827,4.90551)",0
5.477468,"(-3.876722,1.785735,1.49589)","(26.7937,32.60178,7.968596)",0
5.58825,"(-3.856581,1.78282,1.502508)","(27.55867,45.33955,11.69734)",0
5.688792,"(-3.847319,1.7843,1.506517)","(27.63006,54.78622,14.52365)",0
5.79956,"(-3.843237,1.784591,1.512308)","(26.93766,66.70882,17.91791)",0
5.910408,"(-3.844049,1.783119,1.519587)","(26.99938,73.21113,20.22255)",0
6.0221,"(-3.841551,1.780502,1.522913)","(26.96349,78.18824,22.04546)",0
6.132147,"(-3.834791,1.777148,1.519835)","(27.88861,79.79752,23.45585)",0
6.24416,"(-3.820498,1.774883,1.505671)","(28.90481,81.57372,25.07318)",0
6.355058,"(-3.796515,1.776161,1.485689)","(28.71965,83.41476,25.70464)",0
6.465599,"(-3.772562,1.777204,1.463243)","(28.48775,84.47108,25.95642)",0
6.576889,"(-3.748575,1.780583,1.439302)","(27.39476,85.4735,25.38179)",0
6.687812,"(-3.724905,1.784139,1.412775)","(26.21372,86.5711,24.73835)",0
6.799087,"(-3.700308,1.783739,1.388815)","(25.07739,88.56997,24.47803)",0
6.910501,"(-3.671247,1.788477,1.375238)","(24.41777,90.90553,24.79483)",0
7.021057,"(-3.640249,1.790417,1.371656)","(23.54604,92.96417,24.75918)",0
7.132042,"(-3.608507,1.788034,1.380304)","(23.19532,95.37433,25.40887)",0
7.244014,"(-3.57831,1.786477,1.396765)","(23.57337,97.42625,26.73476)",0
7.354568,"(-3.538584,1.790534,1.413187)","(23.8994,97.60341,27.18295)",0
7.465355,"(-3.492376,1.785106,1.420076)","(25.65571,98.6278,29.66971)",0
7.57659,"(-3.446772,1.783606,1.41902)","(27.11284,99.71575,31.91183)",0
7.687193,"(-3.400171,1.779279,1.410151)","(27.73867,100.3558,32.9896)",0
7.798429,"(-3.352484,1.772974,1.391294)","(27.77209,100.5811,33.15377)",0
7.909872,"(-3.307104,1.767003,1.360106)","(27.18744,100.7457,32.55726)",0
8.020622,"(-3.258696,1.770619,1.323145)","(27.57951,101.3779,33.37156)",0
8.131255,"(-3.215521,1.781924,1.293436)","(26.40965,99.3574,30.90859)",0
8.243018,"(-3.168776,1.77532,1.269617)","(28.50742,98.28049,32.73338)",0
8.353576,"(-3.120455,1.776741,1.256876)","(28.7262,98.25085,32.96491)",0
8.464889,"(-3.068655,1.770424,1.253477)","(29.45323,97.97957,33.6355)",0
8.576917,"(-3.012178,1.762703,1.26119)","(29.98883,99.10111,34.88197)",0
8.687061,"(-2.949659,1.763817,1.277998)","(29.76553,100.0632,35.18478)",0
8.797962,"(-2.888838,1.763678,1.290907)","(30.08414,99.90253,35.4597)",0
8.909416,"(-2.838617,1.761152,1.293886)","(31.68169,100.1059,37.43122)",0
9.020321,"(-2.795721,1.767008,1.287951)","(31.04579,100.0468,36.65905)",0
9.13127,"(-2.755125,1.765263,1.276358)","(30.87095,100.344,36.63641)",0
9.242678,"(-2.713999,1.760214,1.255907)","(30.50437,99.12347,35.48473)",0
9.352844,"(-2.672953,1.758176,1.225294)","(29.0333,96.9101,32.57696)",0
9.464622,"(-2.627153,1.762058,1.187143)","(30.19316,95.72328,33.20328)",0
9.57656,"(-2.584967,1.767796,1.152155)","(29.9341,94.7266,32.38119)",0
9.686316,"(-2.545919,1.764484,1.127645)","(32.34543,95.21362,35.2478)",0
9.799089,"(-2.512869,1.766781,1.119368)","(32.53373,95.6709,35.71819)",0
9.909059,"(-2.487745,1.761705,1.119608)","(33.65347,95.54979,36.85997)",0
10.01955,"(-2.470972,1.764201,1.127459)","(33.36865,96.5645,37.16368)",0
10.13148,"(-2.454252,1.764296,1.142099)","(33.37346,96.50694,37.13398)",0
10.24291,"(-2.443918,1.764309,1.156317)","(33.53362,95.78215,36.87009)",0
10.35282,"(-2.437681,1.764469,1.168509)","(33.49374,95.67969,36.76511)",0
10.46454,"(-2.434004,1.763453,1.177717)","(33.73555,95.73159,37.05876)",0
10.57596,"(-2.433474,1.763489,1.183134)","(33.61699,95.65332,36.88287)",0
10.6859,"(-2.434553,1.764187,1.185965)","(33.30322,95.92163,36.70354)",0
10.79717,"(-2.4359,1.764128,1.18722)","(33.34513,96.23988,36.94107)",0
10.90816,"(-2.436777,1.764147,1.187235)","(33.37201,96.29415,37.00332)",0
11.01959,"(-2.436335,1.76395,1.186869)","(33.46133,96.43412,37.18607)",0
11.12992,"(-2.435423,1.763527,1.186377)","(33.55606,96.4502,37.29971)",0
11.24099,"(-2.435141,1.764166,1.187365)","(33.43736,95.05457,36.33033)",0
11.35251,"(-2.434832,1.765039,1.188253)","(33.14368,93.87994,35.3275)",0
11.4638,"(-2.434992,1.765638,1.188013)","(32.82327,93.60225,34.82932)",0
11.57424,"(-2.435385,1.766366,1.186548)","(32.51492,94.09962,34.78778)",0
11.68575,"(-2.436609,1.768647,1.186445)","(31.60641,94.16037,33.85708)",0
11.79649,"(-2.438437,1.769553,1.186926)","(31.1482,93.92288,33.23917)",0
11.90744,"(-2.440763,1.771126,1.186956)","(30.61866,93.82111,32.62289)",0
12.01921,"(-2.443846,1.773074,1.185202)","(29.71031,95.35731,32.47941)",0
12.1301,"(-2.446417,1.774278,1.181704)","(28.77181,97.77584,32.75609)",0
12.24132,"(-2.448736,1.775949,1.178942)","(27.90601,99.42592,32.67222)",0
12.35211,"(-2.450193,1.778481,1.174261)","(26.86114,101.2794,32.46348)",0
12.46271,"(-2.451033,1.777912,1.170206)","(27.18198,102.6743,33.62604)",0
12.57469,"(-2.451876,1.778209,1.167021)","(27.11228,103.7365,34.1492)",0
12.68513,"(-2.451994,1.778486,1.165621)","(27.21848,104.1264,34.5069)",0
12.7959,"(-2.451899,1.777671,1.165956)","(27.64518,103.9627,34.93837)",0
12.90714,"(-2.452398,1.776984,1.167459)","(28.10117,103.6071,35.28879)",0
13.01866,"(-2.453268,1.776827,1.166903)","(28.2535,103.671,35.51379)",0
