Elapsed Time,User Position,User Heading,Experiment State
0.04396003,"(-4.091566,1.784797,1.26399)","(27.70652,270.7505,332.6404)",0
0.1551747,"(-4.096006,1.783191,1.26832)","(28.30182,272.4573,332.8418)",0
0.2661523,"(-4.099863,1.783614,1.272272)","(28.12484,273.5614,333.5096)",0
0.3662299,"(-4.101721,1.785705,1.275084)","(27.44769,273.7545,334.2345)",0
0.4662764,"(-4.102488,1.786286,1.276888)","(27.0775,273.3979,334.4297)",0
0.5664135,"(-4.101976,1.78802,1.278227)","(26.33031,272.8366,334.9007)",0
0.6770431,"(-4.100435,1.790409,1.279188)","(25.20999,272.0682,335.6569)",0
0.7772233,"(-4.099573,1.79101,1.279665)","(24.8252,271.668,335.866)",0
0.8881975,"(-4.100149,1.789743,1.282087)","(25.26944,272.843,335.9177)",0
0.9886352,"(-4.101755,1.790318,1.288702)","(25.17879,276.9466,337.6256)",0
1.099503,"(-4.107397,1.791145,1.304338)","(25.12699,286.6417,341.1512)",0
1.199547,"(-4.11257,1.789831,1.321779)","(25.82322,298.5587,344.485)",0
1.310592,"(-4.116163,1.788943,1.339281)","(26.53534,311.5638,347.8917)",0
1.410609,"(-4.117167,1.787192,1.355844)","(26.41397,320.4326,350.3498)",0
1.521527,"(-4.1075,1.787086,1.381186)","(25.23156,328.4786,352.7711)",0
1.632717,"(-4.093405,1.789756,1.419241)","(24.34434,336.5769,354.8795)",0
1.742983,"(-4.081312,1.783952,1.458658)","(24.5324,346.1507,356.9749)",0
1.843492,"(-4.077269,1.780676,1.487906)","(26.43293,355.8391,359.0224)",0
1.943697,"(-4.079889,1.778253,1.508528)","(27.03544,4.049191,0.973831)",0
2.044093,"(-4.084959,1.775055,1.520479)","(28.01501,13.90926,3.48597)",0
2.144565,"(-4.090483,1.779727,1.529799)","(26.8658,23.20134,5.613908)",0
2.256186,"(-4.08637,1.773797,1.539343)","(28.11666,32.44956,8.335347)",0
2.356595,"(-4.07025,1.772252,1.542356)","(29.93097,38.44508,10.6495)",0
2.456637,"(-4.049154,1.772423,1.541864)","(30.19776,42.34332,11.93094)",0
2.566699,"(-4.018515,1.772945,1.538851)","(30.45932,45.92107,13.15907)",0
2.666997,"(-3.988951,1.772522,1.535284)","(30.46103,49.96085,14.45832)",0
2.777647,"(-3.956888,1.771412,1.529795)","(30.4705,54.12224,15.84231)",0
2.888703,"(-3.92227,1.773558,1.521265)","(29.50606,57.60557,16.47677)",0
2.999726,"(-3.894773,1.772386,1.512743)","(28.66384,61.73548,17.36539)",0
3.11109,"(-3.871038,1.775081,1.509298)","(28.56265,66.51785,18.95587)",0
3.222035,"(-3.851568,1.777912,1.511843)","(27.563,70.35055,19.6154)",0
3.333864,"(-3.839499,1.776474,1.52133)","(26.52197,73.63673,20.0106)",0
3.444296,"(-3.829451,1.777923,1.536348)","(24.59285,76.05661,19.34846)",0
3.555508,"(-3.810705,1.779045,1.546412)","(24.92221,77.79018,20.21689)",0
3.666792,"(-3.781893,1.782257,1.548422)","(23.9218,80.64929,20.38719)",0
3.777777,"(-3.742182,1.78331,1.544142)","(22.63238,82.53607,19.9199)",0
3.888566,"(-3.694834,1.779171,1.531836)","(22.10667,83.16791,19.66776)",0
