Elapsed Time,User Position,User Heading,Experiment State
0.05380826,"(-0.8919621,1.669099,1.289293)","(354.6431,91.41891,354.5089)",0
0.1672571,"(-0.8935719,1.669761,1.288694)","(354.3605,91.66092,354.1949)",0
0.2780725,"(-0.8947182,1.669965,1.288227)","(354.1017,91.83195,353.9104)",0
0.3893457,"(-0.8959808,1.670408,1.28793)","(353.8311,92.0051,353.6118)",0
0.5004398,"(-0.8964405,1.670165,1.28861)","(353.9025,91.67777,353.7216)",0
0.6116928,"(-0.8952999,1.669407,1.289083)","(354.2717,91.31794,354.1387)",0
0.7227004,"(-0.8922443,1.667558,1.289762)","(355.2563,90.77999,355.1913)",0
0.8336276,"(-0.8879814,1.664943,1.29097)","(356.6359,90.12663,356.6284)",0
0.9455172,"(-0.8792686,1.655269,1.296844)","(2.024528,87.73659,1.946105)",0
1.056558,"(-0.8637371,1.626511,1.308603)","(15.88292,82.37829,13.91995)",0
1.16666,"(-0.8467102,1.603039,1.328915)","(25.87236,71.84201,18.89492)",0
1.277776,"(-0.8371487,1.589488,1.360056)","(29.02619,56.48957,15.83366)",0
1.388564,"(-0.8460693,1.585566,1.400757)","(29.5474,41.07069,11.28349)",0
1.499255,"(-0.8757515,1.584171,1.443062)","(28.82693,22.59969,5.879606)",0
1.6109,"(-0.9198933,1.584326,1.476374)","(27.73123,2.28517,0.5641376)",0
1.721417,"(-0.9575958,1.585982,1.488636)","(25.86025,345.5768,356.672)",0
1.831929,"(-0.9795609,1.592928,1.49028)","(23.85227,330.4716,353.6281)",0
1.942851,"(-0.9875488,1.593552,1.486988)","(23.73656,318.8108,350.9695)",0
2.053772,"(-0.9807148,1.59144,1.481581)","(24.44538,308.9426,348.1868)",0
2.164735,"(-0.9588013,1.589876,1.485374)","(24.7422,302.5936,346.3033)",0
2.264789,"(-0.9254436,1.585508,1.497652)","(25.62787,299.4006,344.8584)",0
2.365234,"(-0.8899975,1.586244,1.523966)","(25.93367,300.134,344.8954)",0
2.475263,"(-0.8635769,1.585861,1.567739)","(25.94212,303.028,345.7511)",0
2.586425,"(-0.8505745,1.57328,1.617672)","(27.00941,303.9429,345.4283)",0
2.686496,"(-0.8500481,1.562339,1.671776)","(26.08042,305.2078,346.3106)",0
2.786885,"(-0.8572903,1.561406,1.734762)","(25.69033,305.6003,346.6323)",0
2.89774,"(-0.8728638,1.576214,1.804893)","(24.43231,304.1091,346.8963)",0
2.998033,"(-0.8900261,1.586307,1.861801)","(24.67282,301.1375,345.9318)",0
3.108551,"(-0.9183426,1.590621,1.914906)","(24.75869,296.7362,344.6009)",0
3.208704,"(-0.9543514,1.584331,1.954943)","(25.19606,290.461,342.3614)",0
3.319879,"(-0.9993477,1.570531,1.998302)","(26.5295,282.0018,338.3853)",0
3.420032,"(-1.038271,1.557953,2.038546)","(27.68047,275.0098,334.5612)",0
3.532496,"(-1.088285,1.565308,2.084562)","(28.43928,265.7157,329.4503)",0
3.642428,"(-1.147181,1.576511,2.117212)","(27.76217,257.1278,325.5565)",0
3.743224,"(-1.205292,1.57676,2.123817)","(27.49828,247.4517,319.7414)",0
3.853272,"(-1.271189,1.565381,2.113329)","(26.63635,235.6152,311.6547)",0
3.953507,"(-1.333105,1.550962,2.08927)","(25.15024,225.0542,303.4554)",0
4.053718,"(-1.399267,1.554908,2.048361)","(22.05908,216.1379,298.2884)",0
4.164583,"(-1.461254,1.569244,2.008091)","(21.4448,205.1941,279.4482)",0
4.275312,"(-1.522566,1.588797,1.970758)","(20.48626,197.1443,259.6677)",0
4.386385,"(-1.58168,1.588924,1.930664)","(20.11148,190.5862,235.1692)",0
4.486664,"(-1.637699,1.579964,1.888805)","(19.67895,184.164,203.6762)",0
4.597604,"(-1.708258,1.571995,1.838968)","(18.84496,176.8289,161.0612)",0
4.698011,"(-1.777609,1.585446,1.785852)","(17.87634,172.019,132.1612)",0
4.808826,"(-1.83153,1.596879,1.722208)","(18.22757,167.0019,109.2409)",0
4.909183,"(-1.86133,1.601549,1.672647)","(21.05584,160.7827,95.33633)",0
5.009186,"(-1.876432,1.600245,1.628462)","(21.50777,152.8849,76.44888)",0
5.109423,"(-1.882223,1.591165,1.590872)","(21.50637,146.7429,64.90419)",0
5.219684,"(-1.876375,1.58608,1.549612)","(20.71022,143.6652,58.22057)",0
5.331242,"(-1.865831,1.59069,1.50992)","(23.36102,139.7993,58.92587)",0
5.431364,"(-1.863867,1.589301,1.475233)","(25.00608,134.1099,55.2918)",0
5.531966,"(-1.869997,1.591981,1.442091)","(26.15637,129.5026,52.44864)",0
5.632005,"(-1.877584,1.594751,1.414461)","(26.07867,124.8559,47.83649)",0
5.74215,"(-1.890966,1.590969,1.386683)","(26.34094,116.057,41.10204)",0
5.853881,"(-1.908731,1.593537,1.366964)","(26.08657,108.2381,35.51593)",0
5.965139,"(-1.932341,1.601339,1.343855)","(25.44802,100.9785,30.626)",0
6.076084,"(-1.955542,1.60383,1.317785)","(24.41396,96.38515,27.19666)",0
6.187077,"(-1.976976,1.607037,1.292753)","(23.41915,93.23497,24.7394)",0
6.299585,"(-1.991686,1.608294,1.270205)","(23.39187,90.96856,23.77942)",0
6.408535,"(-2.001463,1.608553,1.253073)","(24.01751,89.85538,23.95872)",0
6.519845,"(-2.00799,1.606962,1.242033)","(24.49202,89.65611,24.34984)",0
6.630964,"(-2.017878,1.611414,1.243612)","(23.09122,89.07301,22.73034)",0
6.742541,"(-2.031836,1.615695,1.256121)","(21.39566,88.51182,20.85922)",0
6.854023,"(-2.047159,1.619959,1.275038)","(19.13638,88.0555,18.50894)",0
6.964887,"(-2.054026,1.628652,1.294989)","(16.95386,87.39533,16.21038)",0
7.074959,"(-2.057562,1.631502,1.313902)","(16.43129,85.72817,15.26418)",0
7.186404,"(-2.059481,1.633352,1.330805)","(15.73599,83.87397,14.15456)",0
7.298109,"(-2.061079,1.636144,1.343851)","(14.82386,82.41498,12.9976)",0
7.408442,"(-2.063429,1.63633,1.351183)","(14.64053,82.05775,12.75659)",0
7.519598,"(-2.06637,1.636549,1.353983)","(14.43699,82.59451,12.69729)",0
7.630852,"(-2.069551,1.637492,1.355349)","(14.03814,83.26527,12.49104)",0
7.741839,"(-2.071104,1.638347,1.357943)","(13.68848,83.36512,12.20051)",0
7.852737,"(-2.071001,1.638405,1.361013)","(13.4476,83.02668,11.91483)",0
7.963681,"(-2.068853,1.638447,1.363848)","(13.37606,83.50249,11.95013)",0
8.075457,"(-2.066221,1.63808,1.367167)","(13.35185,83.39955,11.90706)",0
8.186076,"(-2.063627,1.637281,1.369646)","(13.56135,83.57951,12.13225)",0
8.297169,"(-2.061865,1.636222,1.37142)","(13.93729,83.64546,12.48357)",0
8.408082,"(-2.062487,1.634539,1.372263)","(14.67579,83.91666,13.20863)",0
8.519027,"(-2.064199,1.634072,1.372618)","(14.84742,84.36481,13.46795)",0
8.630285,"(-2.066683,1.632893,1.37306)","(15.11407,84.82807,13.82105)",0
8.74155,"(-2.069414,1.632105,1.373228)","(15.21147,85.64601,14.10899)",0
8.852407,"(-2.07192,1.629676,1.374365)","(16.10729,85.83861,14.99125)",0
8.964189,"(-2.074205,1.628969,1.37488)","(16.46474,86.14571,15.40612)",0
9.074202,"(-2.075113,1.62902,1.375227)","(16.40616,86.42889,15.42652)",0
9.185805,"(-2.074697,1.6291,1.376085)","(16.46692,86.4408,15.48692)",0
9.296422,"(-2.074629,1.628107,1.376772)","(16.81961,86.06803,15.71765)",0
9.407822,"(-2.074865,1.627404,1.377443)","(17.06046,85.66235,15.8318)",0
9.518606,"(-2.075731,1.626799,1.377897)","(17.32833,85.31457,15.98456)",0
9.629701,"(-2.077368,1.626529,1.377226)","(17.46726,85.28969,16.10608)",0
9.741982,"(-2.079355,1.626537,1.375978)","(17.4123,85.68227,16.16456)",0
9.851892,"(-2.080889,1.626891,1.375559)","(17.19856,85.50886,15.91795)",0
9.962925,"(-2.081339,1.627285,1.375517)","(16.99264,85.26897,15.66185)",0
10.07372,"(-2.080767,1.627263,1.37554)","(17.04454,85.02261,15.64299)",0
10.18508,"(-2.079535,1.627107,1.374796)","(17.10838,85.06913,15.71435)",0
10.29574,"(-2.078497,1.626311,1.372766)","(17.46933,86.04778,16.32028)",0
10.4071,"(-2.078058,1.625712,1.370569)","(17.77365,86.58629,16.76007)",0
10.51776,"(-2.078321,1.626146,1.36915)","(17.60209,86.50385,16.57444)",0
10.62869,"(-2.079153,1.626156,1.367952)","(17.60402,86.42424,16.55351)",0
10.74172,"(-2.080648,1.626,1.366301)","(17.64143,86.64053,16.65073)",0
10.85127,"(-2.082319,1.626269,1.365168)","(17.55186,86.82559,16.61898)",0
10.96227,"(-2.08462,1.626553,1.364355)","(17.42192,86.78315,16.48368)",0
11.07384,"(-2.086515,1.627055,1.363829)","(17.22408,86.77289,16.29332)",0
11.18455,"(-2.087847,1.62726,1.364058)","(17.1261,86.56479,16.14243)",0
11.29573,"(-2.088736,1.627365,1.364565)","(17.05705,86.38865,16.02843)",0
11.40648,"(-2.08893,1.627407,1.365515)","(17.00849,86.18616,15.92695)",0
11.51811,"(-2.088568,1.627234,1.366766)","(17.09665,85.9936,15.9565)",0
11.62868,"(-2.087885,1.627064,1.367147)","(17.12563,86.0948,16.01157)",0
11.74056,"(-2.087168,1.626666,1.367609)","(17.25306,86.16325,16.15001)",0
11.85096,"(-2.086466,1.626312,1.36791)","(17.44448,86.06471,16.30178)",0
