Elapsed Time,User Position,User Heading,Experiment State
0.02438662,"(-4.229818,1.673548,1.426355)","(1.286632,271.8118,358.7534)",0
0.1334997,"(-4.227369,1.679521,1.427229)","(358.6507,272.2787,1.296693)",0
0.2443567,"(-4.226488,1.678226,1.425959)","(359.1476,271.3825,0.8320411)",0
0.3444664,"(-4.226191,1.676494,1.422918)","(359.8557,269.6005,0.1453034)",0
0.4447601,"(-4.225439,1.676826,1.41942)","(359.7191,267.4896,0.2935019)",0
0.5557138,"(-4.225115,1.677338,1.416147)","(359.4621,265.5916,0.580954)",0
0.6664446,"(-4.225088,1.676355,1.412535)","(0.02762788,263.6993,359.9691)",0
0.7672084,"(-4.228132,1.673408,1.402586)","(2.090432,258.7429,357.4526)",0
0.8780203,"(-4.234907,1.664597,1.37602)","(6.608189,244.5569,349.5556)",0
0.9892681,"(-4.23308,1.65148,1.336073)","(12.14054,223.5658,330.1967)",0
1.099667,"(-4.219313,1.644792,1.294889)","(14.60992,203.7214,297.2015)",0
1.199814,"(-4.203314,1.641046,1.263479)","(15.12363,189.4811,243.9851)",0
1.310949,"(-4.184332,1.635265,1.235868)","(15.52511,176.6084,155.4931)",0
1.411093,"(-4.168543,1.630856,1.220953)","(15.88988,164.6522,92.01319)",0
1.511641,"(-4.157492,1.630281,1.214746)","(15.38085,152.0799,57.02241)",0
1.612178,"(-4.151323,1.63427,1.214766)","(14.10951,139.1624,36.77693)",0
1.713397,"(-4.152624,1.640406,1.222612)","(11.79414,125.9486,22.89407)",0
1.834134,"(-4.175058,1.646687,1.24169)","(8.924037,108.7728,12.43493)",0
1.945509,"(-4.200567,1.658821,1.247374)","(5.55549,99.7577,6.590308)",0
2.056181,"(-4.214685,1.665911,1.246294)","(3.550722,94.90899,3.868527)",0
2.16723,"(-4.210295,1.67375,1.241117)","(0.9526445,92.76972,0.9998438)",0
2.278977,"(-4.18643,1.67119,1.237463)","(359.7573,92.04358,359.7485)",0
2.38973,"(-4.142332,1.66458,1.242617)","(359.5446,91.39408,359.5334)",0
2.500819,"(-4.078939,1.655178,1.256899)","(359.0821,91.63654,359.0555)",0
2.612347,"(-3.999872,1.64477,1.281183)","(357.0575,92.36211,356.9336)",0
2.722889,"(-3.908548,1.650265,1.30517)","(355.6096,92.50278,355.4137)",0
2.834325,"(-3.824389,1.664183,1.313372)","(358.5439,90.97841,358.5188)",0
2.945425,"(-3.741758,1.667631,1.311476)","(0.8990074,91.8884,0.9291354)",0
3.056341,"(-3.655375,1.651734,1.304022)","(3.525936,93.67197,3.759307)",0
3.167273,"(-3.56267,1.632082,1.290384)","(4.123989,94.70168,4.476744)",0
3.278317,"(-3.461306,1.625085,1.26745)","(3.435036,94.09311,3.689461)",0
3.389296,"(-3.348715,1.647678,1.244257)","(1.391401,93.65852,1.483199)",0
3.500464,"(-3.247305,1.654578,1.240225)","(3.003953,93.66862,3.202626)",0
3.611703,"(-3.15196,1.657278,1.246965)","(4.163053,92.202,4.326051)",0
3.723009,"(-3.054712,1.641917,1.260286)","(4.358643,90.64613,4.408027)",0
3.833327,"(-2.960787,1.625551,1.282831)","(2.390018,89.6498,2.375458)",0
3.94504,"(-2.867418,1.640349,1.314669)","(356.9686,90.04675,356.9661)",0
4.055326,"(-2.777628,1.656934,1.337542)","(355.9632,88.71488,356.0527)",0
4.166913,"(-2.693827,1.664656,1.343668)","(358.7311,88.61544,358.7614)",0
4.278218,"(-2.613272,1.652298,1.339785)","(4.082168,91.09135,4.160604)",0
4.389196,"(-2.539701,1.634421,1.328207)","(8.958225,94.32233,9.657657)",0
4.500133,"(-2.47291,1.620287,1.308523)","(10.87454,94.64177,11.78703)",0
4.61094,"(-2.398325,1.629826,1.284468)","(10.45833,93.365,11.08749)",0
4.722183,"(-2.331041,1.63805,1.263464)","(11.3621,92.79713,11.92678)",0
4.832911,"(-2.269732,1.635787,1.252947)","(11.69682,92.21578,12.15476)",0
4.945549,"(-2.21953,1.6296,1.259024)","(16.62093,90.10516,16.65104)",0
5.055314,"(-2.177916,1.62236,1.275858)","(19.39052,87.73089,18.6509)",0
5.166138,"(-2.146994,1.617047,1.300745)","(21.44391,87.34243,20.49271)",0
5.277637,"(-2.120256,1.619069,1.328592)","(22.68265,87.68587,21.80648)",0
5.388116,"(-2.10026,1.612569,1.352072)","(24.21194,87.64164,23.26246)",0
5.499218,"(-2.087442,1.609384,1.367174)","(24.93264,88.67149,24.37841)",0
5.610527,"(-2.084005,1.610835,1.376638)","(23.66546,87.93083,22.84834)",0
5.721978,"(-2.089689,1.613782,1.381845)","(22.62631,86.39574,21.27843)",0
5.832535,"(-2.100218,1.614735,1.38418)","(22.92457,85.14352,21.10305)",0
5.943686,"(-2.107172,1.6169,1.385405)","(21.8097,84.74,19.93427)",0
6.054912,"(-2.108854,1.618294,1.388941)","(21.14341,83.19485,18.81532)",0
6.16576,"(-2.106146,1.620553,1.389338)","(20.19777,81.78169,17.53544)",0
6.27717,"(-2.09955,1.622006,1.387774)","(19.48209,81.03867,16.69384)",0
6.388318,"(-2.091845,1.623583,1.388357)","(18.92692,79.95513,15.91179)",0
6.49868,"(-2.083841,1.624634,1.389223)","(18.31239,78.75484,15.07163)",0
6.610528,"(-2.078783,1.624719,1.390543)","(17.98225,79.08673,14.88508)",0
6.721422,"(-2.076303,1.625189,1.39068)","(17.9034,79.11961,14.82805)",0
6.832426,"(-2.074415,1.624469,1.391069)","(17.98975,79.09007,14.8922)",0
6.943368,"(-2.073282,1.624813,1.392565)","(17.90797,78.66703,14.71424)",0
7.054318,"(-2.072428,1.625178,1.394392)","(17.68258,78.69697,14.53574)",0
7.165416,"(-2.072001,1.624704,1.395685)","(17.88858,78.75227,14.72029)",0
7.277054,"(-2.0721,1.624683,1.396738)","(17.89357,78.79621,14.73581)",0
7.387373,"(-2.073202,1.624672,1.398039)","(17.89869,78.70969,14.71763)",0
7.498467,"(-2.074625,1.624891,1.398371)","(17.69083,78.76514,14.56003)",0
7.60999,"(-2.076128,1.62509,1.397913)","(17.6105,79.16536,14.59597)",0
7.720659,"(-2.077662,1.625067,1.397871)","(17.62756,79.44286,14.68159)",0
7.831303,"(-2.078909,1.62486,1.398245)","(17.70437,79.21851,14.68787)",0
7.942826,"(-2.079832,1.624275,1.398005)","(18.01979,79.28584,14.96859)",0
8.053726,"(-2.080122,1.623682,1.396952)","(18.34893,79.82726,15.38887)",0
8.165064,"(-2.080393,1.62243,1.396086)","(19.0382,80.35834,16.11907)",0
8.275788,"(-2.080256,1.621298,1.394865)","(19.43195,81.25041,16.71217)",0
8.3868,"(-2.081129,1.619971,1.39221)","(20.05334,81.96349,17.46445)",0
8.49785,"(-2.082922,1.618688,1.388914)","(20.64841,82.08424,18.02307)",0
8.608845,"(-2.085611,1.618995,1.384882)","(20.60759,83.04787,18.28979)",0
8.720244,"(-2.087908,1.618806,1.379137)","(20.69872,85.25877,19.08457)",0
8.830947,"(-2.090441,1.619022,1.372663)","(20.65298,87.93884,19.93796)",0
8.942208,"(-2.092993,1.619306,1.368292)","(20.43892,88.96071,20.07904)",0
9.053162,"(-2.095312,1.619756,1.36598)","(20.32306,89.03928,19.99199)",0
9.164399,"(-2.09593,1.620029,1.364996)","(20.14484,89.14259,19.85161)",0
9.275332,"(-2.095079,1.620152,1.364767)","(20.07086,89.15155,19.78169)",0
9.386968,"(-2.093214,1.619527,1.364115)","(20.29653,89.41618,20.09497)",0
9.497551,"(-2.091036,1.619363,1.363756)","(20.37082,89.63332,20.24357)",0
9.60867,"(-2.088743,1.619285,1.36355)","(20.332,89.76403,20.25017)",0
9.719932,"(-2.086817,1.619227,1.363462)","(20.37163,89.74153,20.28184)",0
9.830395,"(-2.085459,1.619022,1.362616)","(20.51122,90.34778,20.63342)",0
9.941704,"(-2.084551,1.619381,1.357862)","(20.21137,92.55924,21.11461)",0
10.0526,"(-2.084955,1.619512,1.35161)","(20.19135,95.45818,22.1648)",0
10.16386,"(-2.085978,1.619393,1.345724)","(20.26665,97.1289,22.89221)",0
10.27502,"(-2.086782,1.61906,1.341978)","(20.39212,97.54443,23.19758)",0
10.38603,"(-2.087141,1.617991,1.341452)","(21.03252,96.3076,23.4211)",0
10.49711,"(-2.086439,1.618674,1.343401)","(20.74402,93.89224,22.16835)",0
10.60828,"(-2.086065,1.618127,1.345823)","(20.82373,91.38332,21.32112)",0
10.7195,"(-2.085615,1.620182,1.347097)","(19.78891,88.70055,19.3536)",0
10.83054,"(-2.087332,1.621515,1.347479)","(19.20269,85.91039,17.90095)",0
10.94184,"(-2.090147,1.623111,1.345072)","(18.75223,84.67814,17.11242)",0
11.05184,"(-2.092577,1.624494,1.338835)","(18.24673,85.18913,16.79742)",0
11.16326,"(-2.094332,1.626629,1.326654)","(17.54808,88.23164,17.0226)",0
11.27495,"(-2.096033,1.627792,1.309298)","(17.19209,93.52804,18.26681)",0
11.3854,"(-2.096727,1.629317,1.293753)","(16.53844,97.57073,18.8425)",0
11.49648,"(-2.096235,1.630645,1.281195)","(16.11704,99.23405,18.9015)",0
11.6076,"(-2.096083,1.629932,1.270117)","(16.55139,99.14078,19.37689)",0
11.7192,"(-2.095953,1.629483,1.260233)","(16.75785,98.45768,19.38656)",0
11.82936,"(-2.096754,1.629786,1.252333)","(16.63497,98.06139,19.11353)",0
11.94082,"(-2.098986,1.631162,1.246698)","(16.08736,98.01339,18.47167)",0
12.05207,"(-2.101507,1.632206,1.243155)","(15.53152,97.79544,17.76872)",0
12.16288,"(-2.103491,1.63172,1.239832)","(15.50919,97.49754,17.65189)",0
12.27395,"(-2.104704,1.630642,1.235987)","(15.47275,97.4711,17.6025)",0
12.38487,"(-2.106321,1.627958,1.234102)","(15.61158,97.6937,17.8285)",0
12.49568,"(-2.112005,1.627288,1.235941)","(15.67223,98.28076,18.08057)",0
12.60742,"(-2.120584,1.62783,1.240499)","(14.99342,99.33312,17.62001)",0
12.71844,"(-2.128199,1.628767,1.247591)","(14.79292,100.4529,17.72828)",0
12.82932,"(-2.13397,1.627957,1.258406)","(15.39573,100.2639,18.38627)",0
12.94131,"(-2.137934,1.629265,1.270857)","(15.39158,98.87742,17.94306)",0
13.05088,"(-2.141829,1.627744,1.284269)","(16.05131,95.63467,17.68784)",0
13.16217,"(-2.146959,1.627775,1.294466)","(16.20805,93.818,17.30937)",0
13.27312,"(-2.152769,1.627174,1.300623)","(16.51425,93.72658,17.608)",0
13.38449,"(-2.159231,1.627287,1.305079)","(16.33176,93.66128,17.39421)",0
13.49604,"(-2.164988,1.62699,1.308653)","(16.44847,93.16232,17.36846)",0
13.6073,"(-2.168428,1.6265,1.311499)","(16.52708,93.09257,17.43039)",0
13.71779,"(-2.17053,1.626407,1.314489)","(16.54985,93.06364,17.44568)",0
13.82848,"(-2.172091,1.626289,1.317705)","(16.63116,92.64766,17.40623)",0
13.93981,"(-2.173891,1.626944,1.319143)","(16.34659,92.87318,17.17534)",0
14.05089,"(-2.176229,1.627988,1.319063)","(15.96738,93.82066,17.0536)",0
14.1622,"(-2.179407,1.62901,1.317797)","(15.42298,95.19957,16.86998)",0
14.27348,"(-2.182997,1.631071,1.315908)","(14.55869,96.40072,16.26135)",0
14.38416,"(-2.185522,1.632506,1.313868)","(13.92058,97.60408,15.87876)",0
14.49522,"(-2.187307,1.631846,1.313101)","(14.08605,97.61147,16.069)",0
14.60587,"(-2.187765,1.631428,1.313543)","(14.24319,97.27837,16.15398)",0
14.71695,"(-2.187521,1.631524,1.314939)","(14.36951,96.71095,16.13717)",0
14.82843,"(-2.186666,1.631404,1.316523)","(14.48764,96.04434,16.08259)",0
14.93935,"(-2.185808,1.630994,1.318098)","(14.72119,95.43705,16.17034)",0
15.05089,"(-2.185965,1.631098,1.319063)","(14.59668,94.74551,15.84323)",0
15.16182,"(-2.18709,1.630966,1.319994)","(14.66146,94.05844,15.72556)",0
15.27279,"(-2.188654,1.631562,1.319998)","(14.39494,94.10332,15.45213)",0
15.38391,"(-2.19034,1.63188,1.31991)","(14.20504,94.37476,15.32036)",0
15.49484,"(-2.191595,1.631837,1.320009)","(14.15424,94.188,15.21644)",0
15.60584,"(-2.191404,1.631568,1.320215)","(14.26653,94.30472,15.36793)",0
15.71711,"(-2.191019,1.631292,1.321043)","(14.45731,93.96977,15.48319)",0
15.828,"(-2.190248,1.63195,1.321722)","(14.25875,93.9384,15.2626)",0
15.9395,"(-2.189596,1.631981,1.322317)","(14.19267,93.82175,15.16136)",0
16.05021,"(-2.188612,1.63153,1.322966)","(14.39865,93.83673,15.38506)",0
16.16089,"(-2.18783,1.631389,1.323217)","(14.45823,94.02329,15.49851)",0
16.27253,"(-2.18741,1.631186,1.32374)","(14.49677,94.10637,15.56208)",0
16.38408,"(-2.187475,1.630834,1.324331)","(14.60996,94.30232,15.73659)",0
16.49463,"(-2.188288,1.630293,1.325411)","(14.84761,94.09779,15.9357)",0
16.60566,"(-2.189272,1.630234,1.325403)","(14.88572,94.5199,16.09346)",0
16.71656,"(-2.190596,1.630616,1.324038)","(14.64345,95.53883,16.11349)",0
16.82775,"(-2.192305,1.630925,1.32266)","(14.51237,96.03696,16.10792)",0
16.93883,"(-2.193064,1.630697,1.321936)","(14.6049,96.11372,16.23193)",0
17.04961,"(-2.193529,1.630192,1.320681)","(14.7626,96.42957,16.49673)",0
17.16093,"(-2.194117,1.629384,1.320482)","(15.16701,96.29788,16.90877)",0
17.27221,"(-2.19438,1.629025,1.322412)","(15.44363,95.28229,16.91666)",0
17.38263,"(-2.195059,1.62869,1.324587)","(15.60083,94.38474,16.82573)",0
17.49399,"(-2.196524,1.628398,1.326754)","(15.75646,93.58057,16.75921)",0
17.60513,"(-2.198381,1.6275,1.328295)","(16.15737,93.16043,17.06099)",0
17.71683,"(-2.200197,1.627523,1.328028)","(16.08928,93.79606,17.17627)",0
17.82757,"(-2.20186,1.628041,1.325396)","(15.84622,95.60081,17.45226)",0
17.93947,"(-2.203489,1.627948,1.322515)","(15.82413,97.21802,17.92207)",0
18.04869,"(-2.204596,1.627645,1.320971)","(15.96531,98.09,18.35646)",0
18.16014,"(-2.205423,1.627038,1.32173)","(16.20972,97.80888,18.54577)",0
18.27205,"(-2.20645,1.625029,1.324583)","(17.16724,96.58277,19.22523)",0
18.38262,"(-2.207075,1.622773,1.32984)","(18.20335,94.20954,19.56649)",0
18.49393,"(-2.207777,1.620318,1.335329)","(19.31896,91.71595,19.89482)",0
18.6043,"(-2.208403,1.618766,1.340559)","(20.08639,89.53111,19.92597)",0
18.71571,"(-2.209139,1.618351,1.344126)","(20.24528,88.36797,19.68795)",0
18.82679,"(-2.210051,1.618862,1.3459)","(20.10655,88.23302,19.50774)",0
18.93805,"(-2.211176,1.619208,1.346567)","(19.89108,88.39931,19.3535)",0
19.04941,"(-2.21187,1.619353,1.346979)","(19.76425,88.43275,19.24099)",0
19.16071,"(-2.212152,1.620032,1.347479)","(19.35647,88.57545,18.88976)",0
19.27168,"(-2.211893,1.621085,1.347956)","(18.85022,88.58602,18.39862)",0
19.38242,"(-2.21113,1.622051,1.348406)","(18.42459,88.58836,17.98357)",0
19.49313,"(-2.209631,1.622441,1.348913)","(18.24707,88.45557,17.76957)",0
19.60476,"(-2.207949,1.6228,1.349112)","(18.12391,88.41541,17.63736)",0
19.71574,"(-2.206198,1.623301,1.348642)","(17.88897,88.58439,17.45917)",0
19.8267,"(-2.204905,1.624615,1.347639)","(17.33842,88.72807,16.96332)",0
