Elapsed Time,User Position,User Heading,Experiment State
0.02675233,"(-3.988939,1.678664,1.237154)","(3.701751,272.5052,356.4566)",0
0.1344799,"(-3.989893,1.678323,1.238779)","(3.769016,273.5425,356.4569)",0
0.2444153,"(-3.990767,1.678884,1.239248)","(3.467342,273.5956,356.7436)",0
0.3556394,"(-3.991655,1.681508,1.238604)","(1.848386,272.7905,358.2395)",0
0.4563757,"(-3.991228,1.6838,1.236979)","(0.4791306,271.7045,359.5349)",0
0.5664584,"(-3.991266,1.686919,1.232866)","(358.5649,269.4258,1.449577)",0
0.6664591,"(-3.991423,1.690189,1.229746)","(356.5049,267.8123,3.631132)",0
0.7774131,"(-3.991846,1.691545,1.227015)","(355.5372,266.8106,4.718098)",0
0.8781405,"(-3.992945,1.692071,1.226915)","(355.0995,267.0269,5.161288)",0
0.9882796,"(-3.995085,1.692353,1.229292)","(354.877,268.8391,5.227686)",0
1.099214,"(-3.997328,1.691592,1.232054)","(355.2779,270.9575,4.643914)",0
1.200107,"(-3.999327,1.690686,1.233873)","(355.9442,272.231,3.901017)",0
1.300136,"(-4.000708,1.689653,1.235357)","(356.4781,273.2859,3.325569)",0
1.400539,"(-4.002394,1.687631,1.237398)","(357.648,274.0189,2.192541)",0
1.511094,"(-4.004622,1.68487,1.239912)","(359.3394,274.8213,0.6071964)",0
1.611537,"(-4.006205,1.684849,1.242243)","(359.3464,276.1027,0.587403)",0
1.721652,"(-4.006647,1.6849,1.2442)","(359.3,277.2764,0.6163486)",0
1.822571,"(-4.007532,1.684334,1.2451)","(359.5592,277.7592,0.3847989)",0
1.933002,"(-4.008066,1.684477,1.246073)","(359.6379,278.1816,0.3137227)",0
2.045415,"(-4.008268,1.686053,1.247458)","(358.765,279.2102,1.050841)",0
2.154813,"(-4.009336,1.686027,1.246912)","(358.7942,279.4041,1.022556)",0
2.255397,"(-4.011713,1.683909,1.243975)","(0.04012763,278.7028,359.9655)",0
2.355517,"(-4.016512,1.678253,1.240118)","(3.158168,277.5287,357.2316)",0
2.466314,"(-4.02368,1.673448,1.234739)","(5.784585,275.9393,354.7852)",0
2.576673,"(-4.029566,1.670577,1.229666)","(7.565166,274.9797,353.0637)",0
2.676687,"(-4.033381,1.665642,1.226038)","(10.34704,274.7009,350.465)",0
2.787731,"(-4.035666,1.656937,1.223116)","(15.00979,274.6179,346.1419)",0
2.88823,"(-4.035543,1.640252,1.221029)","(23.23512,274.7862,338.5841)",0
2.998754,"(-4.036798,1.616697,1.219313)","(33.37497,274.5501,329.0486)",0
3.099407,"(-4.039007,1.605029,1.220247)","(38.01064,274.7498,324.8228)",0
3.210308,"(-4.041513,1.599831,1.223757)","(40.23115,275.8939,323.4336)",0
3.311207,"(-4.043959,1.597832,1.225748)","(41.15793,276.9427,323.215)",0
3.420899,"(-4.049517,1.599689,1.230185)","(40.89398,279.9968,325.2544)",0
3.531652,"(-4.057814,1.605325,1.244894)","(38.66738,288.269,331.5337)",0
3.632441,"(-4.059778,1.609243,1.270563)","(36.82921,298.9742,337.7973)",0
3.742276,"(-4.05092,1.614168,1.308874)","(34.0289,309.6459,343.6288)",0
3.85382,"(-4.026892,1.619762,1.359049)","(30.36709,320.9044,348.9922)",0
3.964635,"(-3.992147,1.622312,1.412085)","(27.65019,336.0381,354.0212)",0
4.064939,"(-3.957968,1.625319,1.450762)","(26.09234,353.0551,358.3889)",0
4.168177,"(-3.922087,1.629451,1.475149)","(24.49156,13.47533,2.937654)",0
4.277059,"(-3.892927,1.628086,1.481112)","(22.99937,36.81881,7.747713)",0
4.379946,"(-3.886286,1.624185,1.474859)","(22.84841,56.64417,12.4308)",0
4.499885,"(-3.892572,1.624032,1.46892)","(21.41691,78.63141,17.60659)",0
4.610491,"(-3.899553,1.626103,1.465498)","(19.74819,88.04517,19.09806)",0
4.721749,"(-3.90029,1.627799,1.464262)","(18.48626,91.26506,18.89164)",0
4.832528,"(-3.891172,1.629718,1.456633)","(19.06391,93.08357,20.09759)",0
4.944782,"(-3.869761,1.618843,1.442263)","(25.67497,94.19285,27.55424)",0
5.055629,"(-3.829012,1.605829,1.425531)","(30.81776,93.91672,32.8856)",0
5.166436,"(-3.76911,1.596252,1.400557)","(32.03649,94.17312,34.32141)",0
5.277202,"(-3.693491,1.595528,1.369074)","(31.13542,93.99946,33.26772)",0
5.388646,"(-3.615301,1.613522,1.343073)","(26.61085,94.10446,28.51084)",0
5.499409,"(-3.538916,1.62267,1.328478)","(23.15139,94.36544,24.93076)",0
5.610855,"(-3.463942,1.620872,1.325186)","(23.0702,94.10958,24.73614)",0
5.721612,"(-3.39131,1.615333,1.329618)","(22.15065,93.94554,23.68783)",0
5.832643,"(-3.318335,1.606882,1.345854)","(20.72845,94.99614,22.57301)",0
5.943886,"(-3.234091,1.620365,1.371553)","(17.8005,96.08012,19.75985)",0
6.055032,"(-3.144953,1.63691,1.385351)","(15.46578,95.40556,16.97699)",0
6.165236,"(-3.057207,1.639265,1.383204)","(14.42167,95.17926,15.77154)",0
6.276431,"(-2.975107,1.6334,1.366407)","(14.83071,96.80666,16.68125)",0
6.387796,"(-2.896433,1.625043,1.336889)","(13.57202,96.93502,15.30328)",0
6.498832,"(-2.817457,1.630051,1.297003)","(14.36803,94.8978,15.63666)",0
6.610091,"(-2.74555,1.638622,1.269739)","(15.96304,95.39223,17.51736)",0
6.721492,"(-2.680384,1.635003,1.257631)","(18.87779,95.65913,20.80002)",0
6.832027,"(-2.621084,1.629102,1.257017)","(20.61592,95.78072,22.75384)",0
6.942881,"(-2.571493,1.618193,1.26893)","(21.2202,96.30117,23.62635)",0
7.054354,"(-2.520014,1.620004,1.290533)","(22.71996,97.81724,25.94642)",0
