Elapsed Time,User Position,User Heading,Experiment State
0.1097618,"(-0.4121037,1.839588,1.468607)","(10.30068,95.71316,11.37588)",0
0.2119406,"(-0.4114685,1.839584,1.470173)","(10.14835,96.4128,11.34542)",0
0.3230978,"(-0.4105682,1.840028,1.472565)","(9.895276,96.49242,11.07824)",0
0.4341083,"(-0.4080296,1.83883,1.474787)","(10.22018,96.49436,11.44188)",0
0.5454488,"(-0.404438,1.836067,1.478622)","(11.3917,96.23763,12.69448)",0
0.6558675,"(-0.401371,1.833783,1.482605)","(12.25865,95.85147,13.56745)",0
0.7669213,"(-0.3978271,1.831667,1.486591)","(13.36812,95.33207,14.66031)",0
0.8783348,"(-0.3947029,1.832147,1.489887)","(14.03534,94.75291,15.23702)",0
0.9896623,"(-0.3924255,1.833837,1.490574)","(14.12364,94.38628,15.23575)",0
1.259509,"(-0.3911839,1.834514,1.490576)","(14.23605,94.96116,15.51031)",0
1.367964,"(-0.4211674,1.830119,1.467276)","(15.86285,76.58432,12.55435)",0
1.477154,"(-0.4343452,1.83111,1.44677)","(15.93499,70.29156,11.25487)",0
1.57729,"(-0.4418755,1.830579,1.419262)","(15.71653,69.61462,10.96172)",0
1.677717,"(-0.4457912,1.830872,1.391989)","(15.98379,70.84655,11.40536)",0
1.788291,"(-0.4491081,1.830378,1.364716)","(16.22705,73.10595,12.06689)",0
1.888834,"(-0.4547405,1.828472,1.345636)","(16.47959,75.09045,12.70168)",0
1.989166,"(-0.4612846,1.828531,1.336372)","(16.13097,75.12357,12.4389)",0
2.100016,"(-0.4655113,1.829069,1.335629)","(15.58033,73.93372,11.75786)",0
2.200136,"(-0.4633102,1.829746,1.341667)","(15.51007,72.85886,11.47917)",0
2.30021,"(-0.453867,1.829049,1.353662)","(15.86899,72.02528,11.56968)",0
2.411541,"(-0.4359741,1.826383,1.371708)","(16.37079,72.20045,11.97597)",0
2.511891,"(-0.4148846,1.821826,1.390139)","(17.18238,74.29831,13.05973)",0
2.622553,"(-0.3863449,1.813281,1.40625)","(20.16476,81.23766,17.34193)",0
2.73431,"(-0.3566952,1.804206,1.413023)","(23.97837,92.74915,25.12082)",0
2.844756,"(-0.3278046,1.805653,1.430698)","(22.71483,96.38065,25.31447)",0
2.945889,"(-0.3045788,1.807741,1.447264)","(22.4066,95.56523,24.62921)",0
3.055515,"(-0.2838764,1.809794,1.457685)","(22.11887,95.79259,24.40885)",0
3.166515,"(-0.2710228,1.8103,1.458149)","(21.56785,96.81693,24.22337)",0
3.266922,"(-0.2629108,1.813933,1.453943)","(20.508,97.60422,23.35246)",0
3.377561,"(-0.2553921,1.813955,1.449015)","(20.29321,98.3382,23.40205)",0
3.477602,"(-0.2507896,1.810808,1.445648)","(21.2073,98.75386,24.62291)",0
3.577755,"(-0.2479687,1.805609,1.44248)","(22.56646,98.72736,26.17531)",0
3.688586,"(-0.2467613,1.783098,1.440018)","(29.08668,98.51185,33.51832)",0
3.799189,"(-0.2411709,1.762604,1.437799)","(34.56787,97.98373,39.37883)",0
3.910642,"(-0.2368183,1.752163,1.436068)","(37.36703,97.32267,42.05318)",0
4.01081,"(-0.2352581,1.751476,1.434717)","(37.91555,97.18501,42.56437)",0
4.121933,"(-0.2357788,1.751979,1.43428)","(38.08198,97.03117,42.64242)",0
4.232957,"(-0.2385025,1.752704,1.434818)","(38.04174,96.65157,42.34008)",0
4.344342,"(-0.24226,1.752469,1.43536)","(38.17186,96.62698,42.46557)",0
4.455051,"(-0.2465096,1.751357,1.435425)","(38.39134,96.57596,42.67047)",0
4.565952,"(-0.2512035,1.75075,1.434908)","(38.52182,96.39491,42.68917)",0
4.666252,"(-0.2559052,1.75055,1.433434)","(38.45168,96.55009,42.71864)",0
4.776847,"(-0.2596035,1.752692,1.433172)","(37.97746,97.19762,42.64111)",0
4.887953,"(-0.2611217,1.755342,1.4354)","(37.8125,98.0513,43.04416)",0
4.999081,"(-0.2617378,1.752442,1.437241)","(38.93602,99.90981,45.62331)",0
5.110073,"(-0.2669373,1.746745,1.433743)","(40.62191,103.5443,50.33577)",0
5.210824,"(-0.2805958,1.74394,1.426069)","(41.32401,106.4646,53.55902)",0
5.321143,"(-0.3050156,1.740985,1.414124)","(41.5015,108.1608,55.22154)",0
5.432029,"(-0.3369389,1.736359,1.396284)","(41.92704,108.5092,56.05244)",0
5.532158,"(-0.3716164,1.73267,1.377914)","(42.69064,108.3932,56.89617)",0
5.643207,"(-0.4072685,1.732732,1.364483)","(41.96968,108.4329,56.03866)",0
5.743444,"(-0.426712,1.739657,1.36414)","(41.4556,108.7229,55.65243)",0
