Elapsed Time,User Position,User Heading,Experiment State
0.02331643,"(-4.074335,1.663249,1.309904)","(6.407638,269.4703,353.533)",0
0.1327666,"(-4.074759,1.664018,1.309721)","(6.115204,269.5426,353.8359)",0
0.2329591,"(-4.074369,1.664613,1.308512)","(5.81509,269.2365,354.1071)",0
0.3440746,"(-4.073389,1.668655,1.306437)","(3.920432,268.8207,355.9981)",0
0.4447178,"(-4.070711,1.673632,1.30406)","(1.722474,268.048,358.2178)",0
0.5545423,"(-4.068029,1.676082,1.301088)","(0.478948,266.9664,359.495)",0
0.6553892,"(-4.066179,1.678059,1.298048)","(359.5408,265.9822,0.4926158)",0
0.7667125,"(-4.06481,1.683047,1.295355)","(356.947,265.0278,3.330035)",0
0.8776873,"(-4.060041,1.693173,1.291937)","(351.9149,263.6795,9.026387)",0
0.9889706,"(-4.056398,1.695912,1.289221)","(350.2982,262.6252,11.03063)",0
1.099923,"(-4.055456,1.695541,1.287287)","(350.3419,262.0439,11.09338)",0
1.200195,"(-4.056292,1.695998,1.286242)","(350.0056,261.6116,11.56627)",0
1.310512,"(-4.057859,1.696317,1.286505)","(349.7769,261.6978,11.81262)",0
1.410862,"(-4.058107,1.698172,1.287508)","(348.9191,261.5398,12.83725)",0
1.521266,"(-4.059412,1.699531,1.289255)","(348.2732,261.0372,13.70372)",0
1.621602,"(-4.066248,1.69639,1.288263)","(350.4368,258.9048,11.60797)",0
1.732808,"(-4.081907,1.67657,1.278696)","(359.6541,253.5427,0.4629035)",0
1.84375,"(-4.094191,1.650161,1.256407)","(12.04216,245.8707,341.5044)",0
1.954633,"(-4.101057,1.635021,1.225275)","(16.67154,237.1115,329.8626)",0
2.054763,"(-4.102579,1.627771,1.195749)","(18.53567,229.1276,320.7057)",0
2.154851,"(-4.098593,1.628178,1.168264)","(18.82501,218.5685,309.2977)",0
2.26631,"(-4.090761,1.631265,1.142263)","(17.77544,204.2007,287.7853)",0
2.376903,"(-4.074049,1.638947,1.123117)","(16.09547,186.647,224.6571)",0
2.487996,"(-4.054529,1.643782,1.113832)","(13.96789,166.4833,91.89893)",0
2.588338,"(-4.039927,1.642747,1.121309)","(13.42658,145.5613,41.59353)",0
2.689151,"(-4.033625,1.649327,1.144079)","(11.21465,125.6522,21.65434)",0
2.800221,"(-4.03554,1.653119,1.177015)","(8.217978,105.4573,10.78543)",0
2.910625,"(-4.03842,1.658855,1.199266)","(6.880671,97.91779,7.900816)",0
3.021819,"(-4.03488,1.665881,1.22016)","(4.86036,93.7625,5.190051)",0
3.132996,"(-4.022387,1.666883,1.242456)","(3.235157,91.57887,3.325507)",0
