Elapsed Time,User Position,User Heading,Experiment State
0.08908158,"(-4.018328,1.670003,1.272058)","(3.378686,268.8615,356.5535)",0
0.1892071,"(-4.018667,1.670322,1.273344)","(3.195806,269.4235,356.7719)",0
0.2995899,"(-4.019354,1.673894,1.273268)","(1.35778,269.0422,358.6193)",0
0.3997976,"(-4.017519,1.679365,1.272177)","(358.7754,268.1368,1.265128)",0
0.5110369,"(-4.014418,1.68502,1.270376)","(355.9116,266.8256,4.321174)",0
0.6219533,"(-4.010389,1.689634,1.269022)","(353.5321,265.8774,6.949704)",0
0.7327183,"(-4.007555,1.69174,1.267824)","(352.3269,265.1951,8.342892)",0
0.8329231,"(-4.006563,1.691115,1.267157)","(352.7176,265.1458,7.92508)",0
0.9333564,"(-4.009356,1.686357,1.267897)","(355.338,265.7458,5.021199)",0
1.043543,"(-4.018457,1.673441,1.266932)","(2.115708,264.5943,357.6747)",0
1.144709,"(-4.032145,1.654202,1.260584)","(11.49798,259.2341,346.1311)",0
1.256036,"(-4.050188,1.636056,1.247301)","(18.47135,248.5269,333.15)",0
1.366712,"(-4.065187,1.624064,1.224649)","(22.78851,236.1885,318.6344)",0
1.477316,"(-4.072824,1.61908,1.19375)","(23.73783,223.2439,304.1325)",0
1.577337,"(-4.070921,1.616963,1.160276)","(21.94434,209.9762,288.179)",0
1.688719,"(-4.055956,1.617389,1.124399)","(19.67131,194.3495,251.9657)",0
1.788824,"(-4.036211,1.619369,1.108156)","(17.859,180.0303,180.1929)",0
1.899934,"(-4.011595,1.626328,1.106222)","(15.13922,161.3761,78.04557)",0
2.000602,"(-3.995146,1.635091,1.117983)","(12.92238,144.2308,38.67696)",0
2.10692,"(-3.992731,1.640896,1.137037)","(10.72233,128.4974,22.01846)",0
2.211621,"(-4.009703,1.647717,1.165281)","(7.454893,110.6507,10.7599)",0
2.323524,"(-4.037531,1.658727,1.178679)","(5.550659,101.1556,6.749613)",0
2.433643,"(-4.060637,1.66119,1.178152)","(4.237262,95.00018,4.623773)",0
2.54497,"(-4.068949,1.666806,1.17042)","(2.435845,92.2886,2.535106)",0
2.656499,"(-4.056208,1.667078,1.167372)","(1.763165,91.81658,1.819963)",0
2.767122,"(-4.022516,1.662985,1.173407)","(1.638021,91.16705,1.671726)",0
2.878181,"(-3.96612,1.656483,1.186602)","(1.127655,90.99753,1.147459)",0
2.989488,"(-3.892672,1.648026,1.209864)","(358.7022,91.99176,358.6563)",0
3.100297,"(-3.80887,1.645428,1.23538)","(358.4825,92.5833,358.4125)",0
3.211641,"(-3.733576,1.651278,1.247881)","(1.483902,91.33797,1.518961)",0
3.322891,"(-3.659941,1.661581,1.245058)","(3.642403,93.22368,3.853173)",0
3.433549,"(-3.584051,1.654333,1.233358)","(3.510312,96.14831,3.908464)",0
3.544945,"(-3.500753,1.638521,1.213259)","(2.62277,96.85432,2.956779)",0
3.656169,"(-3.417501,1.628683,1.181181)","(2.719691,95.56451,2.997414)",0
3.766546,"(-3.325148,1.655579,1.148817)","(1.722252,94.24046,1.854655)",0
3.87817,"(-3.243273,1.663716,1.137632)","(2.982204,93.60228,3.175756)",0
3.988746,"(-3.165464,1.660828,1.138464)","(4.461427,92.70277,4.676773)",0
4.099741,"(-3.086042,1.649032,1.150354)","(5.071941,90.94548,5.156222)",0
4.210455,"(-3.003851,1.632839,1.172972)","(4.107758,90.60776,4.151525)",0
4.322014,"(-2.921385,1.634699,1.205194)","(2.317806,91.19429,2.366615)",0
4.433326,"(-2.840532,1.653139,1.2358)","(0.8984035,92.15208,0.9327967)",0
4.544064,"(-2.767462,1.657039,1.255003)","(2.698152,92.19434,2.803477)",0
4.655223,"(-2.707994,1.654953,1.269842)","(4.738832,92.17643,4.922126)",0
4.766334,"(-2.65,1.645589,1.280073)","(7.60843,91.45262,7.803218)",0
4.877365,"(-2.589937,1.637089,1.287169)","(9.210188,91.0315,9.376772)",0
4.988372,"(-2.527292,1.627146,1.290697)","(9.146038,90.1588,9.171314)",0
