Elapsed Time,User Position,User Heading,Experiment State
0.02466907,"(-4.137156,1.673336,1.241976)","(6.792855,265.9613,352.7119)",0
0.1334316,"(-4.138086,1.673012,1.243059)","(6.966403,266.2397,352.562)",0
0.2335533,"(-4.138517,1.673131,1.245913)","(6.909874,267.6037,352.7957)",0
0.3441832,"(-4.139448,1.675049,1.249018)","(5.709512,268.9332,354.1833)",0
0.4549659,"(-4.140333,1.679085,1.249914)","(3.406422,269.0278,356.5353)",0
0.5549935,"(-4.140604,1.681251,1.249578)","(2.100446,268.7155,357.8519)",0
0.6554187,"(-4.140493,1.681948,1.249334)","(1.652261,268.7253,358.3106)",0
0.7555985,"(-4.141443,1.681127,1.251371)","(2.353028,270.1024,357.6512)",0
0.8667521,"(-4.146067,1.676705,1.253321)","(5.502268,272.4913,354.7316)",0
0.97751,"(-4.153654,1.670851,1.240847)","(9.82074,270.474,350.2598)",0
1.077849,"(-4.161573,1.667374,1.218534)","(11.21704,263.6544,347.4763)",0
1.177991,"(-4.168245,1.661358,1.192251)","(13.67871,252.0961,341.2845)",0
1.288442,"(-4.167711,1.656979,1.166143)","(16.48235,233.49,327.9295)",0
1.399569,"(-4.155233,1.648287,1.153875)","(18.34396,213.4187,303.4515)",0
1.510929,"(-4.129469,1.640138,1.155958)","(20.86818,191.376,236.8158)",0
1.621647,"(-4.088041,1.637841,1.16728)","(21.793,169.7657,130.1067)",0
1.72231,"(-4.041906,1.638277,1.181826)","(22.62381,152.0707,77.62731)",0
1.825178,"(-3.992662,1.635416,1.201052)","(23.65998,134.3238,52.88717)",0
1.933455,"(-3.936056,1.630024,1.219751)","(24.58986,117.9504,39.83715)",0
2.04451,"(-3.883844,1.626424,1.22761)","(24.35891,111.3002,35.05296)",0
2.155588,"(-3.82089,1.629976,1.237486)","(21.58529,105.4493,28.1218)",0
2.267146,"(-3.767881,1.630557,1.240831)","(21.65932,100.6895,25.9909)",0
2.379216,"(-3.720327,1.635485,1.232615)","(19.74305,97.27335,22.35939)",0
2.489053,"(-3.677065,1.638948,1.214712)","(17.1503,95.2962,18.7853)",0
2.600262,"(-3.636026,1.64006,1.189741)","(15.2834,93.61449,16.26636)",0
2.711339,"(-3.593725,1.634465,1.156588)","(15.23289,91.74091,15.69714)",0
2.823201,"(-3.543665,1.645651,1.113974)","(16.16788,90.84752,16.40557)",0
2.933829,"(-3.492922,1.652269,1.083551)","(16.0122,90.37704,16.11653)",0
3.044788,"(-3.43976,1.651936,1.070826)","(16.1982,90.42085,16.31602)",0
3.155513,"(-3.382479,1.645422,1.072447)","(16.39879,89.75494,16.32974)",0
3.266587,"(-3.319265,1.634519,1.087534)","(16.74814,89.54241,16.61678)",0
3.377835,"(-3.252249,1.623399,1.120203)","(16.51068,91.09794,16.82561)",0
3.488897,"(-3.17658,1.63464,1.16054)","(17.63599,92.68336,18.46766)",0
3.600103,"(-3.107016,1.638383,1.187769)","(18.24337,92.33051,18.98741)",0
3.710818,"(-3.0417,1.635869,1.202406)","(20.16836,92.80106,21.15696)",0
3.821793,"(-2.977633,1.629952,1.205736)","(21.27436,93.00206,22.39109)",0
3.932911,"(-2.910818,1.623253,1.197794)","(21.3434,92.78583,22.38099)",0
4.04389,"(-2.845919,1.614787,1.179205)","(21.99738,92.07137,22.78654)",0
4.15502,"(-2.777338,1.6224,1.163519)","(23.36189,92.51019,24.37784)",0
4.266499,"(-2.717447,1.624928,1.157656)","(23.97847,94.04516,25.67779)",0
4.376945,"(-2.663115,1.622407,1.160471)","(25.00103,96.45608,27.87901)",0
4.488628,"(-2.613184,1.61856,1.171946)","(25.24028,98.68004,29.22041)",0
4.600066,"(-2.566912,1.613074,1.197401)","(24.63462,100.6001,29.47088)",0
4.710564,"(-2.520876,1.615142,1.228197)","(25.17943,102.4917,31.09657)",0
4.821368,"(-2.47843,1.617386,1.249231)","(25.64035,103.2449,32.06362)",0
4.932415,"(-2.446539,1.616886,1.260473)","(26.72812,103.1303,33.33177)",0
5.043432,"(-2.425924,1.615812,1.261457)","(27.2679,102.8549,33.83314)",0
5.154932,"(-2.411753,1.616955,1.254511)","(27.47111,101.9511,33.56499)",0
5.265873,"(-2.401663,1.616653,1.245974)","(27.83181,101.4249,33.69781)",0
5.376745,"(-2.395517,1.615102,1.239531)","(28.4727,100.7903,34.09473)",0
5.487692,"(-2.394388,1.614244,1.235147)","(28.7578,100.4628,34.24189)",0
5.598959,"(-2.39522,1.615586,1.232615)","(28.43866,100.2501,33.74823)",0
5.710218,"(-2.398634,1.617266,1.231157)","(28.20091,99.93667,33.29565)",0
5.821016,"(-2.401831,1.620504,1.231775)","(27.39556,98.73575,31.71389)",0
5.932276,"(-2.405462,1.624527,1.235418)","(25.83431,95.92683,28.54517)",0
6.043297,"(-2.408079,1.628885,1.243601)","(23.56105,92.0873,24.40963)",0
6.154574,"(-2.411573,1.633343,1.25197)","(21.36867,88.81175,20.93985)",0
6.265393,"(-2.415689,1.636949,1.252714)","(19.66557,89.2832,19.42576)",0
6.376425,"(-2.418783,1.639658,1.250105)","(18.4454,91.90273,19.05711)",0
6.487465,"(-2.420141,1.643181,1.243467)","(16.68727,96.31948,18.60497)",0
6.598317,"(-2.42103,1.644373,1.236853)","(16.26674,100.1048,19.36695)",0
6.709351,"(-2.420187,1.646039,1.235128)","(15.29355,101.6814,18.72285)",0
6.820293,"(-2.419661,1.649377,1.23435)","(13.19473,102.9257,16.52409)",0
6.930947,"(-2.419306,1.650836,1.233919)","(12.26322,103.6921,15.57286)",0
7.042113,"(-2.418699,1.649946,1.233046)","(12.67164,104.2087,16.23712)",0
7.153554,"(-2.417944,1.64846,1.232229)","(13.44073,104.4467,17.28984)",0
7.264655,"(-2.416758,1.648268,1.232302)","(13.47414,104.1627,17.24544)",0
7.37602,"(-2.415998,1.647793,1.2321)","(13.79746,103.9612,17.59384)",0
7.48693,"(-2.414557,1.647045,1.231703)","(14.14216,103.9481,18.02642)",0
