Elapsed Time,User Position,User Heading,Experiment State
0.02759755,"(-0.2824936,1.743926,1.246117)","(39.35694,83.83878,35.60361)",0
0.1310613,"(-0.2861023,1.750669,1.241699)","(37.80728,85.02707,34.85875)",0
0.2337659,"(-0.2885628,1.756483,1.237846)","(36.3428,86.21059,34.1549)",0
0.3447199,"(-0.291275,1.762837,1.233009)","(34.64603,87.35452,33.16991)",0
0.4558908,"(-0.2946854,1.773501,1.228123)","(31.62714,87.90208,30.5438)",0
0.5672532,"(-0.2979851,1.785518,1.221172)","(28.26383,88.55495,27.58704)",0
0.6780869,"(-0.3003407,1.79551,1.215029)","(25.57939,89.34211,25.29679)",0
0.7895467,"(-0.3092384,1.798281,1.215477)","(24.50302,89.77955,24.41175)",0
0.9024228,"(-0.3234367,1.795933,1.225224)","(25.64839,91.11707,26.13621)",0
1.011327,"(-0.3424435,1.796391,1.242838)","(25.20339,93.70357,26.82847)",0
1.122531,"(-0.3664894,1.802818,1.264809)","(23.88765,96.92381,26.85852)",0
1.232993,"(-0.3908348,1.807948,1.291187)","(22.56212,98.26709,25.96581)",0
1.344503,"(-0.4144573,1.808577,1.317289)","(22.41963,98.91212,26.08862)",0
1.456175,"(-0.4321518,1.803393,1.344059)","(23.01393,97.99335,26.35822)",0
1.567335,"(-0.4415092,1.788228,1.380333)","(27.58544,91.64912,28.35901)",0
1.678794,"(-0.4536381,1.76916,1.432665)","(32.98958,75.894,26.00447)",0
1.789791,"(-0.4688129,1.767346,1.47283)","(33.13707,63.96717,21.04991)",0
1.900254,"(-0.4759693,1.765102,1.490973)","(33.90611,61.18914,20.43458)",0
2.010846,"(-0.4776325,1.766229,1.499304)","(33.89044,61.29501,20.46695)",0
2.122969,"(-0.4801998,1.769455,1.505667)","(33.37201,60.03436,19.65001)",0
2.233201,"(-0.4855938,1.772164,1.509104)","(32.79311,57.48899,18.33635)",0
2.343915,"(-0.4984932,1.777169,1.516361)","(31.57808,50.87972,15.32149)",0
2.455568,"(-0.5177479,1.780085,1.520247)","(30.88288,41.85418,12.05952)",0
2.565839,"(-0.5308952,1.781868,1.516777)","(30.88379,34.56874,9.825481)",0
