Elapsed Time,User Position,User Heading,Experiment State
0.05312666,"(-0.2206078,1.651182,1.267994)","(1.226321,91.77627,1.264938)",0
0.1669475,"(-0.2239895,1.651905,1.268755)","(0.9333913,91.43362,0.957042)",0
0.2782235,"(-0.2272453,1.652904,1.26997)","(0.3724927,91.21445,0.3804728)",0
0.3890749,"(-0.2309036,1.654604,1.272327)","(359.4722,90.30769,359.4693)",0
0.5005441,"(-0.2346725,1.65934,1.27565)","(356.9649,89.07049,357.0137)",0
0.6114146,"(-0.2387238,1.662861,1.279869)","(355.2689,87.79727,355.4471)",0
0.7225161,"(-0.2414837,1.665812,1.283285)","(353.8802,87.1402,354.1777)",0
0.8345906,"(-0.2422867,1.666464,1.284821)","(353.7364,87.19347,354.0354)",0
0.9450576,"(-0.2395649,1.66344,1.286657)","(354.9194,86.70345,355.2033)",0
1.055784,"(-0.2364197,1.661758,1.287651)","(355.8665,86.78242,356.0921)",0
1.167279,"(-0.2320213,1.652719,1.288509)","(0.518886,86.79636,0.4906551)",0
1.277509,"(-0.2247276,1.634464,1.289318)","(9.49954,86.92496,9.005009)",0
1.388621,"(-0.2183285,1.62557,1.290525)","(13.74026,86.91165,13.02527)",0
1.499999,"(-0.2114563,1.619807,1.291004)","(16.0998,87.1539,15.32879)",0
1.610745,"(-0.207552,1.617999,1.290934)","(17.02717,87.46393,16.29983)",0
1.721575,"(-0.2037067,1.614271,1.290331)","(18.6797,88.0407,18.06213)",0
1.833509,"(-0.1989899,1.61593,1.289963)","(17.75523,88.25034,17.22928)",0
1.943823,"(-0.1967068,1.640365,1.287859)","(7.426436,88.66726,7.256134)",0
2.055307,"(-0.203249,1.66236,1.286882)","(357.448,87.96735,357.5369)",0
2.166219,"(-0.2098141,1.670703,1.286108)","(353.2446,86.63563,353.6292)",0
2.27765,"(-0.2124138,1.670583,1.285118)","(353.167,85.0416,353.733)",0
2.388192,"(-0.2138233,1.670094,1.283209)","(353.383,84.76073,353.9608)",0
2.499159,"(-0.2153339,1.669147,1.28089)","(353.5986,85.38963,354.0931)",0
2.61067,"(-0.2188721,1.667391,1.281757)","(354.0364,84.90206,354.5439)",0
2.721413,"(-0.2234612,1.66653,1.281361)","(354.4269,85.68997,354.8305)",0
2.833851,"(-0.2254562,1.663436,1.277657)","(355.328,88.83503,355.4219)",0
2.943688,"(-0.2248821,1.651294,1.273424)","(1.089561,92.08007,1.12985)",0
3.054485,"(-0.2198257,1.62644,1.269444)","(12.98403,93.94324,13.90109)",0
3.1665,"(-0.2122669,1.605642,1.263796)","(22.03035,95.3138,24.1144)",0
3.276752,"(-0.1971245,1.58808,1.264088)","(28.42814,93.41212,30.09657)",0
3.387962,"(-0.1811619,1.573894,1.26544)","(33.22931,91.56884,34.09902)",0
3.498882,"(-0.1706085,1.569617,1.267269)","(34.21721,90.1752,34.31585)",0
3.609883,"(-0.1627808,1.578442,1.269569)","(29.81578,88.4845,29.07077)",0
3.721289,"(-0.159111,1.594908,1.270241)","(23.37006,86.90979,22.17365)",0
3.832309,"(-0.1556034,1.603776,1.266542)","(20.70863,87.89631,19.97722)",0
3.942867,"(-0.1479797,1.606369,1.263775)","(19.27408,90.64487,19.48808)",0
4.054419,"(-0.1420536,1.60352,1.26734)","(20.16263,92.67276,21.10467)",0
4.165485,"(-0.1394787,1.605504,1.276052)","(20.02939,94.11073,21.487)",0
4.276309,"(-0.1350822,1.608531,1.287086)","(18.83074,93.4527,19.97821)",0
4.387825,"(-0.1336899,1.613299,1.296547)","(17.05549,92.40327,17.77488)",0
4.498954,"(-0.1335011,1.621392,1.30311)","(13.08202,91.17911,13.35162)",0
4.610178,"(-0.1373348,1.636468,1.308821)","(6.287195,88.63601,6.139561)",0
4.720494,"(-0.1462822,1.649816,1.314224)","(0.7566291,85.11903,0.6947716)",0
