Elapsed Time,User Position,User Heading,Experiment State
0.09119834,"(-0.1813889,1.650119,1.330536)","(1.60525,92.30811,1.671245)",0
0.2016559,"(-0.1852531,1.650661,1.327679)","(1.346919,92.45518,1.405903)",0
0.3129432,"(-0.1887207,1.65072,1.325245)","(1.342348,92.47201,1.401543)",0
0.4236993,"(-0.191637,1.650316,1.323763)","(1.61564,92.14201,1.67719)",0
0.5350166,"(-0.193367,1.65038,1.322109)","(1.529347,92.06188,1.58539)",0
0.6456656,"(-0.193924,1.650033,1.321148)","(1.844232,91.90701,1.906647)",0
0.7570361,"(-0.1936226,1.649047,1.321995)","(2.375431,91.2069,2.425987)",0
0.8674274,"(-0.1908855,1.64959,1.330935)","(3.546794,87.63317,3.403311)",0
0.9786791,"(-0.1850491,1.6438,1.347548)","(4.865688,79.05251,4.01548)",0
1.089536,"(-0.1786156,1.635223,1.361938)","(7.705896,69.39707,5.339713)",0
1.20089,"(-0.1691341,1.63112,1.377653)","(10.15021,56.38276,5.450689)",0
1.31173,"(-0.1578598,1.623358,1.397751)","(11.70687,38.65558,4.118631)",0
1.422542,"(-0.1603279,1.614683,1.412834)","(15.66315,16.35034,2.263991)",0
1.53307,"(-0.1724129,1.609346,1.418232)","(16.5381,352.6948,358.9369)",0
1.644088,"(-0.1867046,1.607694,1.407877)","(16.57425,333.6379,356.0925)",0
1.755296,"(-0.201952,1.61251,1.391462)","(15.0357,315.9265,353.8846)",0
1.866394,"(-0.2201653,1.620382,1.375816)","(12.45673,300.7165,352.8926)",0
1.97755,"(-0.2384624,1.624654,1.363962)","(11.45708,290.1665,351.9888)",0
2.088347,"(-0.257555,1.628997,1.35829)","(9.790014,284.5508,352.4193)",0
2.199154,"(-0.2803478,1.630243,1.358229)","(8.786052,281.0334,352.7571)",0
2.310302,"(-0.3032894,1.635161,1.371424)","(6.602436,279.9435,354.4525)",0
2.421079,"(-0.3315201,1.640082,1.406395)","(5.497437,279.4925,355.3445)",0
2.521381,"(-0.3589249,1.640893,1.455685)","(3.764481,279.9525,356.8382)",0
2.621636,"(-0.3838043,1.632918,1.51709)","(1.599729,279.0764,358.6355)",0
2.72194,"(-0.400116,1.617967,1.585415)","(2.744394,276.7946,357.5631)",0
2.832613,"(-0.4207935,1.623819,1.663401)","(6.401199,275.2691,354.1609)",0
2.943012,"(-0.449667,1.631797,1.730734)","(8.363468,274.5328,352.2713)",0
3.054477,"(-0.4920769,1.626778,1.7873)","(8.884585,274.2313,351.7462)",0
3.155008,"(-0.5412369,1.612419,1.829956)","(9.680098,272.8162,350.7823)",0
3.265862,"(-0.6117897,1.600467,1.870399)","(8.87359,271.8265,351.4038)",0
3.365912,"(-0.6889172,1.60207,1.899904)","(7.299825,269.6755,352.6588)",0
3.477559,"(-0.7809029,1.610135,1.927834)","(7.665071,266.4802,351.8506)",0
3.587718,"(-0.8684368,1.620273,1.951498)","(12.31256,261.3845,345.7007)",0
3.698721,"(-0.9561539,1.61079,1.965691)","(16.42952,255.6642,338.9379)",0
3.809136,"(-1.050901,1.588308,1.973848)","(19.05808,247.786,331.9412)",0
3.909898,"(-1.136312,1.567734,1.981649)","(21.01007,237.6539,322.7606)",0
4.010664,"(-1.223043,1.572322,1.981794)","(22.84303,224.4714,307.4057)",0
4.120948,"(-1.311918,1.583629,1.96562)","(22.87976,213.0573,291.4196)",0
4.231927,"(-1.385965,1.585426,1.943296)","(24.81797,202.9458,265.3782)",0
4.342738,"(-1.457401,1.576866,1.916142)","(24.49833,194.3555,240.2326)",0
4.442973,"(-1.521442,1.563403,1.883213)","(23.37751,189.9021,225.4404)",0
4.554232,"(-1.587639,1.563391,1.840477)","(24.02753,187.8007,215.5289)",0
4.665133,"(-1.649652,1.579268,1.804953)","(26.37246,183.0126,192.8076)",0
4.76525,"(-1.698381,1.5935,1.772051)","(25.58368,176.6635,165.3802)",0
4.865524,"(-1.739721,1.593975,1.735357)","(25.53448,169.5985,136.2301)",0
4.965703,"(-1.779074,1.585867,1.697832)","(26.33001,161.9251,111.5685)",0
5.076298,"(-1.826189,1.575863,1.659075)","(27.87606,152.5987,91.02332)",0
5.176403,"(-1.865088,1.583145,1.622526)","(28.53767,145.0516,77.86671)",0
5.276977,"(-1.892252,1.588696,1.592154)","(28.23479,138.3163,66.90063)",0
5.377168,"(-1.907778,1.592238,1.566439)","(27.86897,130.823,56.93446)",0
5.477278,"(-1.915579,1.594257,1.54146)","(26.39068,124.2427,47.80787)",0
5.588913,"(-1.917536,1.589721,1.513304)","(24.39898,119.7748,40.88818)",0
5.700495,"(-1.911242,1.590216,1.487234)","(25.52557,117.0356,40.59795)",0
5.822339,"(-1.90283,1.590757,1.455793)","(26.70654,113.8682,40.06392)",0
5.932982,"(-1.895681,1.592349,1.431753)","(27.47898,110.4285,38.78232)",0
6.043633,"(-1.892656,1.595354,1.4083)","(26.84439,105.8123,35.03276)",0
6.154596,"(-1.897699,1.596038,1.38986)","(25.67541,99.58353,30.17523)",0
6.265976,"(-1.91115,1.601457,1.370768)","(25.37906,92.81713,26.61412)",0
6.37652,"(-1.923796,1.608857,1.347551)","(23.56721,88.4748,22.96473)",0
6.487923,"(-1.93305,1.612566,1.320845)","(22.72624,84.68533,20.7561)",0
6.599088,"(-1.939672,1.615648,1.295576)","(21.62699,80.77933,18.45955)",0
6.709575,"(-1.944124,1.619652,1.277658)","(20.79466,78.13052,16.94166)",0
6.820927,"(-1.953157,1.620247,1.269064)","(20.41935,77.29379,16.39028)",0
6.931702,"(-1.962881,1.623722,1.270399)","(18.97731,78.2421,15.48179)",0
7.043283,"(-1.968637,1.630118,1.278452)","(17.51894,78.80846,14.42883)",0
7.15404,"(-1.971983,1.630593,1.287031)","(17.21129,78.32816,14.0547)",0
7.265241,"(-1.972815,1.632056,1.294809)","(16.55994,78.65434,13.59832)",0
7.376375,"(-1.973646,1.632729,1.299986)","(16.12079,79.11415,13.34385)",0
7.487461,"(-1.974535,1.632836,1.302355)","(16.04335,79.93824,13.47336)",0
7.598837,"(-1.974649,1.632549,1.304922)","(16.0363,79.98734,13.47904)",0
7.709289,"(-1.974043,1.632197,1.307138)","(15.99204,80.31143,13.51837)",0
7.82029,"(-1.971754,1.631635,1.309832)","(16.2239,80.47616,13.75478)",0
7.931325,"(-1.968695,1.630365,1.311041)","(16.61448,81.15516,14.25562)",0
8.042299,"(-1.965193,1.628454,1.311655)","(17.4244,81.71132,15.09914)",0
8.153418,"(-1.961,1.626848,1.312681)","(18.09709,81.78864,15.70558)",0
8.264632,"(-1.956926,1.624181,1.313147)","(19.4131,82.04466,16.92806)",0
8.375122,"(-1.952894,1.621777,1.313379)","(20.46967,82.37315,17.95592)",0
8.486472,"(-1.950369,1.620353,1.312754)","(21.08164,82.91732,18.67038)",0
8.598041,"(-1.949732,1.618472,1.310492)","(21.65769,83.40279,19.34447)",0
8.70927,"(-1.951235,1.617624,1.307024)","(22.05067,84.56584,20.09523)",0
8.820319,"(-1.954107,1.61746,1.303007)","(22.13679,86.24274,20.7623)",0
8.931473,"(-1.956022,1.617334,1.293722)","(22.07212,92.09708,22.87381)",0
9.041981,"(-1.958303,1.616971,1.282202)","(21.99143,98.81425,25.55198)",0
9.153208,"(-1.959612,1.616921,1.27178)","(21.58627,103.8791,27.36748)",0
9.264301,"(-1.960661,1.61698,1.26372)","(21.34626,107.1929,28.67523)",0
9.375038,"(-1.961451,1.617078,1.258223)","(21.37215,108.0384,29.1384)",0
9.486586,"(-1.962389,1.61714,1.253572)","(21.39208,108.8184,29.56825)",0
9.597241,"(-1.963007,1.617145,1.251402)","(21.3758,108.568,29.41611)",0
9.708139,"(-1.962782,1.617307,1.250475)","(21.36543,107.9671,29.09294)",0
9.819747,"(-1.962473,1.617411,1.249918)","(21.28779,107.2851,28.64439)",0
9.930375,"(-1.961824,1.617668,1.248659)","(21.23525,107.1883,28.5266)",0
10.04146,"(-1.961115,1.617459,1.24748)","(21.24993,106.8861,28.39528)",0
10.15304,"(-1.960161,1.616942,1.24708)","(21.49649,106.1659,28.35977)",0
10.26338,"(-1.959929,1.616433,1.248049)","(21.8114,105.0277,28.20422)",0
10.37442,"(-1.960035,1.614921,1.250704)","(22.49474,103.2599,28.19911)",0
10.48589,"(-1.95978,1.612635,1.255449)","(23.6583,100.5436,28.29042)",0
10.59717,"(-1.959227,1.611096,1.259199)","(24.32426,98.86079,28.25757)",0
10.70759,"(-1.959177,1.610736,1.259295)","(24.48062,99.4169,28.70666)",0
10.81958,"(-1.959246,1.609872,1.258677)","(24.97952,99.72468,29.43777)",0
10.93005,"(-1.958639,1.609249,1.257212)","(25.2117,99.41908,29.55473)",0
11.04105,"(-1.957327,1.612622,1.251829)","(23.53478,100.4802,28.11413)",0
11.15186,"(-1.957628,1.618472,1.243845)","(20.94302,101.6579,25.56264)",0
11.26293,"(-1.958933,1.621175,1.234762)","(19.50646,101.4616,23.7457)",0
11.37436,"(-1.958746,1.622091,1.224409)","(18.87788,100.4267,22.57916)",0
11.486,"(-1.957201,1.61856,1.219534)","(18.12221,96.94718,20.41789)",0
11.59651,"(-1.963575,1.616095,1.223597)","(18.81136,92.97562,19.79523)",0
11.70713,"(-1.975714,1.615119,1.232649)","(18.21557,89.39743,18.02814)",0
11.8188,"(-1.990934,1.612579,1.245863)","(17.75428,87.92947,17.13352)",0
11.92947,"(-2.006857,1.617832,1.262514)","(17.50691,87.55807,16.78687)",0
12.04125,"(-2.022078,1.618775,1.280432)","(17.06559,86.97303,16.19898)",0
12.15177,"(-2.032694,1.618795,1.296968)","(16.55722,87.11931,15.75546)",0
12.26281,"(-2.038519,1.619825,1.310198)","(16.14863,88.02177,15.60735)",0
12.37378,"(-2.042284,1.618598,1.318853)","(16.84328,89.23949,16.62431)",0
12.48509,"(-2.044241,1.616636,1.323332)","(17.39287,90.47509,17.53545)",0
12.59635,"(-2.047247,1.615426,1.324308)","(17.98926,91.50996,18.46154)",0
12.7073,"(-2.051458,1.615548,1.324438)","(17.8671,91.7482,18.41141)",0
12.81801,"(-2.055788,1.614341,1.324484)","(18.25011,91.23425,18.64065)",0
12.9292,"(-2.059889,1.614005,1.324339)","(18.3132,90.909,18.60098)",0
13.03997,"(-2.064276,1.614456,1.322969)","(18.27421,91.4099,18.72155)",0
13.15188,"(-2.068949,1.615522,1.322397)","(17.89639,92.35223,18.63372)",0
13.26207,"(-2.072916,1.616015,1.322081)","(17.53046,93.28181,18.547)",0
13.37343,"(-2.076185,1.615943,1.322557)","(17.34938,94.11,18.61893)",0
13.48416,"(-2.07826,1.616041,1.323267)","(17.33521,94.98263,18.88505)",0
13.59578,"(-2.078878,1.615864,1.324457)","(17.37929,95.67313,19.15925)",0
13.70642,"(-2.078817,1.616858,1.325167)","(16.95377,96.44841,18.94312)",0
13.81771,"(-2.078924,1.618549,1.323622)","(16.40194,97.56406,18.68547)",0
13.92901,"(-2.078703,1.618713,1.321032)","(16.3131,98.1729,18.78156)",0
14.03963,"(-2.077753,1.618435,1.316931)","(16.41709,98.78963,19.10377)",0
14.15175,"(-2.075228,1.617582,1.312307)","(16.73317,99.73839,19.7927)",0
14.26165,"(-2.071775,1.616522,1.311224)","(17.26733,99.49923,20.33628)",0
14.37278,"(-2.068007,1.615213,1.313341)","(17.78716,98.35052,20.53299)",0
14.48365,"(-2.06447,1.614358,1.317007)","(18.11639,97.1517,20.48335)",0
14.59488,"(-2.06241,1.613572,1.320456)","(18.57031,96.42452,20.73329)",0
14.7058,"(-2.061361,1.613182,1.322397)","(18.84097,96.21397,20.95823)",0
14.81716,"(-2.0613,1.613071,1.321363)","(18.83704,97.60693,21.46146)",0
14.92797,"(-2.062445,1.613567,1.31806)","(18.59391,99.34064,21.82853)",0
15.03938,"(-2.063879,1.614258,1.315783)","(18.07699,99.10161,21.13807)",0
15.15064,"(-2.066523,1.613273,1.312628)","(18.49574,99.04903,21.60501)",0
15.26124,"(-2.068819,1.612711,1.308378)","(18.61324,100.283,22.2098)",0
15.37252,"(-2.07036,1.614549,1.304686)","(17.95542,101.2398,21.78911)",0
15.48312,"(-2.071634,1.617015,1.302118)","(16.87434,102.3345,20.88152)",0
15.59467,"(-2.072344,1.619455,1.301271)","(15.82997,102.7676,19.74758)",0
15.70557,"(-2.072615,1.621111,1.302458)","(15.28788,102.5729,19.01078)",0
15.81752,"(-2.072474,1.621729,1.304316)","(15.08777,102.0727,18.59953)",0
15.92832,"(-2.071108,1.621214,1.307215)","(15.30124,101.3314,18.61783)",0
16.03981,"(-2.069586,1.620927,1.30892)","(15.5656,101.3338,18.93843)",0
16.14982,"(-2.06827,1.619299,1.310099)","(16.28645,101.3467,19.81437)",0
16.26144,"(-2.067972,1.61853,1.310247)","(16.56868,101.5611,20.23096)",0
16.37187,"(-2.068739,1.617552,1.310045)","(17.07673,101.2353,20.72889)",0
16.48378,"(-2.069715,1.616506,1.309816)","(17.5874,100.8933,21.21774)",0
16.59453,"(-2.071768,1.615435,1.307833)","(17.9319,101.2581,21.76771)",0
16.70537,"(-2.074423,1.614349,1.305014)","(18.49085,102.139,22.78661)",0
16.81613,"(-2.076426,1.614045,1.301531)","(18.60539,103.292,23.39132)",0
16.92752,"(-2.078707,1.613315,1.298822)","(19.09637,104.1624,24.3691)",0
17.03866,"(-2.081007,1.611678,1.296099)","(20.07663,105.1348,26.04208)",0
17.14931,"(-2.082853,1.611038,1.294088)","(20.18549,105.342,26.27625)",0
17.26063,"(-2.085154,1.61139,1.292555)","(19.98085,104.9172,25.82127)",0
17.37156,"(-2.086802,1.610785,1.291658)","(20.38874,104.2893,26.05456)",0
17.48285,"(-2.087301,1.610318,1.296419)","(20.36048,100.0411,24.17593)",0
17.59389,"(-2.088064,1.609766,1.302061)","(20.53181,95.74114,22.64613)",0
17.70469,"(-2.088808,1.609485,1.305983)","(20.61511,93.02637,21.7079)",0
17.81598,"(-2.08951,1.608727,1.306864)","(21.08875,92.62118,22.05261)",0
17.92757,"(-2.089529,1.607415,1.306391)","(21.63416,92.75847,22.6746)",0
18.0379,"(-2.088717,1.605314,1.302134)","(22.4919,95.13572,24.54266)",0
18.14923,"(-2.087851,1.604921,1.293795)","(22.81342,100.0632,27.06887)",0
18.26006,"(-2.087263,1.603908,1.289488)","(23.23093,101.9115,28.44262)",0
18.37129,"(-2.08592,1.603627,1.288435)","(23.32202,101.7991,28.49779)",0
18.48246,"(-2.083391,1.603258,1.288065)","(23.45294,101.9969,28.75262)",0
18.59322,"(-2.080854,1.60352,1.288305)","(23.45643,102.5405,29.02562)",0
18.70473,"(-2.077692,1.603763,1.289984)","(23.41252,102.6408,29.02189)",0
18.81584,"(-2.075037,1.603752,1.291845)","(23.50772,102.5827,29.10915)",0
18.92704,"(-2.072744,1.60318,1.293386)","(23.61801,102.412,29.15836)",0
19.03785,"(-2.070677,1.602702,1.293814)","(23.92031,102.6417,29.64204)",0
19.14937,"(-2.068754,1.602202,1.294333)","(24.18342,102.8806,30.08547)",0
19.26031,"(-2.067469,1.602156,1.29439)","(24.21037,103.2134,30.2903)",0
19.37134,"(-2.066404,1.602155,1.294863)","(24.14982,103.6138,30.42365)",0
19.48255,"(-2.065714,1.601809,1.295786)","(24.29466,103.4799,30.53282)",0
19.59375,"(-2.06473,1.602373,1.296595)","(24.07597,103.745,30.40052)",0
19.7045,"(-2.06362,1.602261,1.297987)","(24.13247,103.62,30.40539)",0
19.81523,"(-2.061972,1.602367,1.300173)","(23.97826,103.1227,29.95821)",0
19.9264,"(-2.06082,1.602583,1.302351)","(23.94653,102.7542,29.73117)",0
20.03741,"(-2.059164,1.602377,1.304117)","(24.05046,102.4197,29.68798)",0
20.14813,"(-2.056665,1.601471,1.308096)","(24.41253,100.6875,29.25213)",0
20.25977,"(-2.054136,1.602387,1.313566)","(24.13228,97.89733,27.58255)",0
20.37089,"(-2.052423,1.602073,1.317854)","(24.2764,96.21791,26.96813)",0
20.48148,"(-2.052553,1.601152,1.320814)","(24.78828,95.19128,27.05949)",0
20.59322,"(-2.052988,1.600754,1.320345)","(24.99551,95.80568,27.56862)",0
20.70351,"(-2.054281,1.60002,1.318899)","(25.276,96.54652,28.22622)",0
20.81486,"(-2.054747,1.59948,1.317945)","(25.37232,97.06898,28.58364)",0
20.92588,"(-2.05472,1.599388,1.318754)","(25.38829,96.94648,28.54244)",0
21.03667,"(-2.054258,1.599388,1.319944)","(25.32202,96.65987,28.33131)",0
21.14816,"(-2.053549,1.599404,1.320181)","(25.28725,96.8068,28.36293)",0
21.25901,"(-2.052549,1.59931,1.320948)","(25.30147,96.82764,28.38872)",0
21.37004,"(-2.051863,1.599484,1.321539)","(25.34836,96.57577,28.32034)",0
21.48124,"(-2.051012,1.599641,1.321383)","(25.20209,96.38445,28.06752)",0
21.59212,"(-2.049841,1.600743,1.321264)","(24.67387,96.47977,27.52801)",0
21.70337,"(-2.049109,1.601309,1.321993)","(24.39038,96.34315,27.1513)",0
21.81432,"(-2.047953,1.601267,1.32287)","(24.37491,96.17031,27.05501)",0
21.92538,"(-2.047609,1.601072,1.324495)","(24.46384,95.51144,26.8523)",0
22.03654,"(-2.046873,1.600942,1.327326)","(24.46554,94.45007,26.37687)",0
22.14765,"(-2.046625,1.601266,1.331018)","(24.26759,92.79961,25.44464)",0
22.25866,"(-2.047304,1.602427,1.334608)","(23.67354,90.90311,24.03881)",0
22.36968,"(-2.048822,1.6039,1.338995)","(23.03467,89.18604,22.71824)",0
22.48124,"(-2.051256,1.604684,1.344477)","(22.75025,86.85804,21.56493)",0
22.59158,"(-2.05337,1.605522,1.34968)","(22.47142,84.788,20.55854)",0
22.70311,"(-2.055536,1.60599,1.353632)","(22.18358,83.2612,19.76829)",0
22.81372,"(-2.057646,1.606135,1.355391)","(22.19412,82.79545,19.61957)",0
22.92491,"(-2.05884,1.606135,1.355295)","(22.1462,83.09297,19.67768)",0
23.03594,"(-2.058596,1.606249,1.354425)","(22.1144,83.82198,19.8975)",0
23.14702,"(-2.058119,1.606094,1.353884)","(22.1,84.20064,20.0144)",0
23.25815,"(-2.057955,1.605974,1.353098)","(22.1593,84.40469,20.13882)",0
23.36942,"(-2.057032,1.606336,1.352766)","(22.07499,84.51366,20.09946)",0
23.48041,"(-2.057093,1.605944,1.352217)","(22.21963,84.35652,20.1772)",0
23.59131,"(-2.057306,1.605343,1.351549)","(22.34034,84.19389,20.23071)",0
23.70256,"(-2.057341,1.605802,1.350248)","(22.20646,84.41423,20.18517)",0
23.81396,"(-2.05665,1.605766,1.349058)","(22.15735,84.97797,20.33619)",0
23.92447,"(-2.055632,1.606028,1.349073)","(22.08005,85.25504,20.36151)",0
24.03565,"(-2.053907,1.605775,1.349989)","(22.2494,85.04946,20.44607)",0
24.1469,"(-2.05224,1.60527,1.350138)","(22.46617,85.34007,20.74915)",0
24.25756,"(-2.05055,1.605258,1.35037)","(22.36483,85.70892,20.78609)",0
24.36867,"(-2.049276,1.605041,1.350065)","(22.42358,86.22684,21.0264)",0
24.47963,"(-2.048281,1.605071,1.348459)","(22.53619,87.27898,21.51554)",0
24.59072,"(-2.047476,1.602437,1.346437)","(23.77512,88.56283,23.20228)",0
24.70206,"(-2.045996,1.600855,1.344595)","(24.37589,89.57338,24.20041)",0
24.81312,"(-2.045172,1.600258,1.342352)","(24.59706,90.05376,24.61945)",0
24.92395,"(-2.044443,1.599873,1.339281)","(24.7332,91.01801,25.1626)",0
25.03601,"(-2.043703,1.599474,1.337229)","(24.82093,91.87866,25.62154)",0
25.14614,"(-2.042456,1.599667,1.336657)","(24.75255,92.49863,25.82)",0
25.2572,"(-2.041025,1.599749,1.33687)","(24.73375,92.80018,25.93215)",0
25.36842,"(-2.039278,1.600222,1.33777)","(24.59044,92.97669,25.85933)",0
25.47944,"(-2.038225,1.600098,1.339067)","(24.57254,92.8838,25.80006)",0
25.50169,"(-2.037569,1.600073,1.339663)","(24.55404,92.7753,25.73349)",0
