Elapsed Time,User Position,User Heading,Experiment State
0.06365296,"(-0.3149586,1.64863,1.268869)","(7.862442,99.10107,9.216766)",0
0.1795637,"(-0.3144321,1.646525,1.269392)","(9.042549,99.00896,10.581)",0
0.2905548,"(-0.3142529,1.646343,1.270872)","(8.876852,98.47371,10.29021)",0
0.4009591,"(-0.3143311,1.652738,1.273529)","(5.302396,96.91847,5.983515)",0
0.5131484,"(-0.3161068,1.654585,1.276075)","(4.361146,95.61114,4.81011)",0
0.6233542,"(-0.3161602,1.655134,1.277349)","(4.361135,95.54293,4.804355)",0
0.7343209,"(-0.3149014,1.653878,1.278944)","(5.114198,95.51049,5.630534)",0
0.846305,"(-0.3112259,1.646691,1.287636)","(9.593805,93.48445,10.19267)",0
0.9584953,"(-0.3032131,1.636552,1.308016)","(15.09437,86.31485,14.16333)",0
1.070753,"(-0.2962055,1.626838,1.332285)","(19.72969,76.2009,15.52923)",0
1.182982,"(-0.2940159,1.621236,1.347231)","(22.32322,67.09252,14.90681)",0
1.290784,"(-0.295208,1.61673,1.345825)","(24.15419,61.17486,14.41633)",0
1.401051,"(-0.2942371,1.615831,1.333055)","(24.69555,58.20286,13.89452)",0
1.511229,"(-0.2890587,1.614617,1.308544)","(25.48008,62.58727,15.65062)",0
1.622914,"(-0.2818832,1.612337,1.29147)","(25.46988,63.65595,15.97059)",0
1.733301,"(-0.2834663,1.609362,1.29467)","(26.04647,51.73376,12.79749)",0
1.84411,"(-0.3073711,1.611263,1.309801)","(26.50374,29.79999,7.171222)",0
1.955453,"(-0.341486,1.619209,1.321764)","(23.83495,12.59024,2.667453)",0
2.066022,"(-0.3834343,1.622495,1.33427)","(21.44336,356.5774,359.3518)",0
2.177002,"(-0.4250298,1.626012,1.345482)","(19.76189,345.2282,357.4131)",0
2.288373,"(-0.4765759,1.628245,1.359308)","(18.44573,332.6635,355.4774)",0
2.388616,"(-0.5220928,1.628438,1.372053)","(17.57041,321.686,353.8537)",0
2.498791,"(-0.5565414,1.626981,1.391571)","(18.35273,314.4698,352.2437)",0
2.598953,"(-0.5705566,1.624823,1.417126)","(20.06549,313.0937,351.2219)",0
2.699003,"(-0.5773067,1.619877,1.451323)","(22.1368,312.5199,350.1654)",0
2.799025,"(-0.5755634,1.614195,1.492323)","(23.24735,312.645,349.6917)",0
2.910076,"(-0.5610809,1.6027,1.543587)","(26.51978,312.5575,348.1764)",0
3.02146,"(-0.5478573,1.598313,1.600954)","(27.52394,313.0138,347.8465)",0
3.132141,"(-0.5535812,1.601135,1.652401)","(26.85594,311.4987,347.7226)",0
3.2325,"(-0.5771103,1.600792,1.695164)","(24.74669,307.3869,347.6205)",0
3.342673,"(-0.6198254,1.592948,1.737371)","(23.14911,303.6052,347.4675)",0
3.443555,"(-0.6733246,1.590818,1.769253)","(19.7591,301.034,348.7528)",0
3.554518,"(-0.7451344,1.609343,1.807981)","(16.69638,296.0431,349.5305)",0
3.665659,"(-0.811758,1.618731,1.847158)","(16.63425,288.6785,348.0236)",0
3.775679,"(-0.8752575,1.61496,1.888403)","(18.30867,282.1252,345.1633)",0
3.877007,"(-0.9325676,1.602132,1.930897)","(21.0733,277.0352,341.3217)",0
3.987765,"(-0.9945583,1.587617,1.989439)","(23.27069,273.7336,338.1619)",0
4.098226,"(-1.062271,1.589626,2.049042)","(24.91628,270.7283,335.3888)",0
4.198264,"(-1.13187,1.597998,2.083996)","(25.82642,269.4442,333.9304)",0
4.298353,"(-1.205864,1.601578,2.095215)","(24.06521,264.0251,333.3745)",0
4.409445,"(-1.28484,1.600041,2.084858)","(19.66529,254.7657,334.4397)",0
4.520312,"(-1.358883,1.590808,2.058857)","(16.63264,249.586,336.2395)",0
4.631184,"(-1.437557,1.603853,2.014057)","(15.47925,243.3337,335.1478)",0
4.731222,"(-1.498703,1.615767,1.97673)","(15.94978,232.7535,328.4495)",0
4.842204,"(-1.560738,1.614999,1.942348)","(17.51824,219.1123,313.1024)",0
4.94325,"(-1.613916,1.607153,1.915655)","(18.8646,205.1936,286.7451)",0
5.053514,"(-1.680668,1.597006,1.897556)","(19.61961,191.1596,238.9345)",0
5.153811,"(-1.750315,1.588641,1.8939)","(21.26022,180.3804,182.0264)",0
5.253947,"(-1.822763,1.599572,1.884325)","(21.82537,171.428,137.5158)",0
5.35427,"(-1.884165,1.610771,1.866362)","(21.7277,165.3412,112.3387)",0
5.464559,"(-1.943335,1.611698,1.836924)","(20.92616,159.7248,91.85002)",0
5.565183,"(-1.989794,1.601904,1.799788)","(21.52043,157.4435,87.23934)",0
5.675252,"(-2.025488,1.586418,1.743402)","(21.79321,155.7249,83.664)",0
5.78662,"(-2.049383,1.585332,1.675684)","(22.19289,152.8999,78.27718)",0
5.886954,"(-2.075663,1.596837,1.626169)","(22.31351,148.0927,69.20333)",0
5.987164,"(-2.107061,1.605405,1.582132)","(21.7064,141.9622,58.16625)",0
6.087385,"(-2.143938,1.607573,1.543142)","(21.1268,136.1135,49.67725)",0
6.18848,"(-2.191271,1.60496,1.50548)","(20.67982,129.5506,42.34213)",0
6.309674,"(-2.284567,1.593069,1.449373)","(22.01554,118.6096,36.28521)",0
6.421242,"(-2.352327,1.604809,1.400229)","(24.78987,112.98,36.72332)",0
6.532014,"(-2.398432,1.619568,1.364244)","(24.7887,110.7885,35.33263)",0
6.642869,"(-2.422827,1.622101,1.340368)","(24.68634,107.2384,33.08439)",0
6.754209,"(-2.429388,1.620319,1.326906)","(24.50219,106.2477,32.28679)",0
6.865222,"(-2.426683,1.617047,1.326754)","(24.96707,106.9613,33.29173)",0
6.975871,"(-2.415796,1.615743,1.329908)","(25.5517,106.1132,33.5591)",0
