Elapsed Time,User Position,User Heading,Experiment State
0.1068834,"(-0.1015568,1.72062,1.250658)","(353.5663,94.4807,353.0437)",0
0.2122146,"(-0.105484,1.720906,1.25124)","(353.4361,94.24872,352.9316)",0
0.3233506,"(-0.1083546,1.721208,1.252012)","(353.2703,93.98679,352.7862)",0
0.4340892,"(-0.1110344,1.721136,1.253162)","(353.1828,93.5421,352.7489)",0
0.5453811,"(-0.1131554,1.721423,1.253761)","(353.0583,93.08218,352.6755)",0
0.6565534,"(-0.1141663,1.721605,1.254238)","(353.0851,92.7043,352.7516)",0
0.7674024,"(-0.1143398,1.720659,1.255064)","(353.5877,92.24866,353.3315)",0
0.8783056,"(-0.1143112,1.718611,1.255417)","(354.4997,92.05828,354.2988)",0
0.9898214,"(-0.1149235,1.717312,1.253656)","(355.2406,93.16591,354.9704)",0
1.323155,"(-0.1608639,1.711102,1.298555)","(356.9821,74.33363,357.7119)",0
1.432559,"(-0.1622372,1.709898,1.298754)","(357.7665,76.00096,358.2549)",0
1.533128,"(-0.1608295,1.709206,1.292147)","(358.1258,81.18609,358.394)",0
1.645248,"(-0.1591702,1.708633,1.283285)","(358.3201,87.80294,358.3833)",0
1.755121,"(-0.1580982,1.708523,1.276316)","(358.3318,93.32611,358.2321)",0
1.855444,"(-0.1567192,1.708704,1.272243)","(358.2759,96.32271,358.0744)",0
1.955944,"(-0.154108,1.708945,1.270285)","(358.2837,98.01971,358.025)",0
2.066233,"(-0.1514702,1.707701,1.268642)","(358.9539,99.40923,358.7663)",0
2.166787,"(-0.1499653,1.706633,1.264612)","(359.5033,102.4532,359.3817)",0
2.266867,"(-0.1502762,1.70569,1.258232)","(0.02437821,107.1443,0.03303216)",0
2.366926,"(-0.1516285,1.705384,1.251947)","(0.08297125,111.3021,0.1214082)",0
2.477799,"(-0.1525402,1.704591,1.247152)","(0.4894833,114.2175,0.7568725)",0
2.588828,"(-0.1539764,1.703396,1.242672)","(1.107004,116.6895,1.795436)",0
2.688868,"(-0.1589298,1.700135,1.23332)","(2.457142,122.3731,4.465461)",0
2.810355,"(-0.1708965,1.695148,1.215452)","(4.562546,134.1155,10.75292)",0
2.921263,"(-0.1793423,1.694222,1.203711)","(5.090373,142.0986,14.75267)",0
3.031905,"(-0.1834698,1.696748,1.196093)","(4.532711,145.5445,14.54675)",0
3.143587,"(-0.1836662,1.699103,1.194099)","(3.298591,144.968,10.42564)",0
3.254945,"(-0.1809235,1.701779,1.196171)","(1.92508,141.0792,5.444634)",0
3.354984,"(-0.1765976,1.705456,1.200378)","(0.258313,136.1199,0.6412733)",0
3.455145,"(-0.1719036,1.707912,1.205908)","(359.1747,130.1826,358.2229)",0
3.555385,"(-0.1674709,1.709378,1.209452)","(358.6706,125.3818,357.4256)",0
3.665861,"(-0.1642227,1.70778,1.209908)","(359.4398,123.1136,358.9658)",0
3.766007,"(-0.1607685,1.707639,1.207903)","(359.8632,123.303,359.7465)",0
3.877263,"(-0.1556606,1.707242,1.204573)","(0.5219789,125.2883,1.008883)",0
3.987236,"(-0.1506844,1.708905,1.197811)","(0.3603801,128.9386,0.7545031)",0
4.097759,"(-0.1458092,1.707269,1.18663)","(1.224483,133.2403,2.831874)",0
4.197876,"(-0.14361,1.702576,1.171297)","(2.324294,138.5439,6.136942)",0
4.298121,"(-0.1437626,1.695831,1.152292)","(4.064016,144.3751,12.60273)",0
4.409235,"(-0.1445179,1.692533,1.127794)","(5.561223,149.9137,20.48757)",0
4.52032,"(-0.1459789,1.691269,1.104345)","(5.370705,154.6351,23.54623)",0
4.630805,"(-0.1460056,1.692075,1.080912)","(4.419115,159.3922,23.96395)",0
4.731118,"(-0.1456509,1.689595,1.06299)","(4.660932,163.3299,31.04815)",0
4.831425,"(-0.1451321,1.690492,1.049566)","(4.242174,166.8437,35.6111)",0
4.931762,"(-0.1437969,1.691538,1.040239)","(3.362049,169.6395,35.87501)",0
5.042526,"(-0.1395683,1.693539,1.033878)","(2.938157,171.2428,37.03482)",0
5.153506,"(-0.1368637,1.69625,1.029026)","(2.228551,173.3771,37.16132)",0
5.264546,"(-0.1359406,1.696378,1.024605)","(2.456107,177.8151,96.68995)",0
5.364852,"(-0.1336613,1.697093,1.02157)","(2.55955,183.2195,283.0356)",0
5.47528,"(-0.1262989,1.697583,1.018126)","(2.413768,189.1215,330.4116)",0
5.575689,"(-0.1138134,1.695747,1.015078)","(2.404594,191.7829,337.0073)",0
5.676012,"(-0.09563637,1.699314,1.010294)","(1.321331,190.2888,345.4021)",0
5.78625,"(-0.06799316,1.70334,1.002045)","(0.02282465,182.4296,358.9236)",0
5.88648,"(-0.03922081,1.705865,0.9970074)","(358.96,172.055,345.1083)",0
5.986546,"(-0.01273918,1.705594,0.9953403)","(358.9291,161.6434,353.3793)",0
6.086982,"(0.00507164,1.70507,0.9939747)","(359.3109,154.6575,356.9356)",0
6.197129,"(0.01543999,1.704577,0.9901028)","(359.7809,150.271,359.1743)",0
6.307674,"(0.02031517,1.704496,0.9843121)","(0.2720791,147.6367,0.937604)",0
6.407761,"(0.02407455,1.704398,0.9807091)","(0.4424024,144.4205,1.37871)",0
6.508112,"(0.0298481,1.706303,0.9821186)","(359.5535,138.7144,358.8148)",0
6.608309,"(0.03419304,1.70877,0.9879971)","(358.0982,132.0957,355.7204)",0
6.708724,"(0.0347805,1.709189,0.9971714)","(357.3044,125.9474,354.7183)",0
6.808815,"(0.02960396,1.708888,1.004686)","(356.9073,121.9458,354.4298)",0
6.909007,"(0.02085876,1.708561,1.007996)","(356.5995,120.2399,354.0852)",0
7.009815,"(0.01236534,1.709431,1.010466)","(356.2495,118.776,353.6654)",0
7.120446,"(0.005468369,1.710782,1.016245)","(355.6316,115.9115,353.0264)",0
7.23144,"(0.001127243,1.711643,1.024996)","(354.9975,112.548,352.5123)",0
7.342992,"(-0.0008850098,1.712188,1.035664)","(354.6435,109.3468,352.4476)",0
7.453361,"(-0.001237869,1.713182,1.047247)","(354.0406,107.305,351.9074)",0
7.553884,"(-0.0002384186,1.7146,1.058573)","(353.2729,105.9625,351.0867)",0
7.664313,"(0.00226593,1.715617,1.073391)","(352.2927,104.4666,350.0619)",0
7.775544,"(0.006238937,1.717339,1.092634)","(351.5738,102.5857,349.4956)",0
7.886763,"(0.01129341,1.721125,1.117876)","(350.8033,99.77895,349.0923)",0
7.997302,"(0.01611519,1.725481,1.150747)","(349.6732,93.85867,348.9575)",0
8.097346,"(0.01983261,1.727385,1.181374)","(349.2878,87.64206,349.7174)",0
8.208341,"(0.02392387,1.727188,1.210577)","(349.3018,83.07034,350.5174)",0
8.308517,"(0.02728081,1.72639,1.233141)","(349.251,80.9567,350.8192)",0
8.419459,"(0.03137016,1.726483,1.254892)","(348.4299,79.69206,350.3344)",0
8.519546,"(0.0365696,1.724932,1.27371)","(348.5358,77.82929,350.734)",0
8.619884,"(0.04373169,1.723775,1.290085)","(348.8202,75.62048,351.3139)",0
8.730366,"(0.05176735,1.72042,1.305876)","(350.483,72.46391,353.019)",0
8.830519,"(0.05727386,1.719633,1.316624)","(351.6204,69.13687,354.2207)",0
8.930726,"(0.06394386,1.720349,1.323908)","(351.9611,64.86071,354.8874)",0
9.041744,"(0.07400703,1.721332,1.329271)","(352.6514,58.93962,355.8436)",0
9.153025,"(0.08327675,1.717335,1.330091)","(353.8015,53.86668,356.8485)",0
9.263435,"(0.09240341,1.719467,1.327114)","(354.1227,49.69844,357.2763)",0
9.374073,"(0.104229,1.720426,1.323318)","(354.1621,46.62944,357.4822)",0
9.485237,"(0.1185131,1.719468,1.320471)","(354.8986,44.21656,357.9265)",0
9.586205,"(0.132143,1.717767,1.319544)","(355.655,40.98348,358.3755)",0
9.696523,"(0.1462326,1.714112,1.318672)","(356.9225,35.71245,359.0084)",0
9.807359,"(0.1581135,1.709664,1.316847)","(358.006,29.64277,359.4723)",0
9.918286,"(0.1674843,1.706737,1.31509)","(358.3868,23.85801,359.6592)",0
