Elapsed Time,User Position,User Heading,Experiment State
0.1001597,"(-4.119295,1.860209,1.141481)","(12.28817,269.1483,347.5292)",0
0.2003551,"(-4.117212,1.859639,1.147192)","(14.47659,269.5498,345.4104)",0
0.3114104,"(-4.113897,1.850046,1.153395)","(15.88693,269.8773,344.0795)",0
0.4224582,"(-4.114122,1.840695,1.158606)","(17.95036,270.2269,342.1194)",0
0.5333339,"(-4.121073,1.824385,1.163759)","(23.58033,270.2427,336.5166)",0
0.6450047,"(-4.127516,1.805505,1.168085)","(28.75228,269.7913,331.1472)",0
0.7555462,"(-4.130487,1.801323,1.174089)","(29.50067,270.0681,330.5328)",0
0.8664005,"(-4.131464,1.802226,1.180216)","(29.44088,270.6259,330.8653)",0
0.977625,"(-4.132696,1.802471,1.184099)","(29.49261,271.3461,331.1634)",0
1.088468,"(-4.135576,1.803758,1.18561)","(29.39888,271.6306,331.3918)",0
1.188616,"(-4.138857,1.804872,1.185938)","(29.10442,271.8178,331.7678)",0
1.299621,"(-4.14327,1.805476,1.185339)","(29.00136,272.2233,332.0587)",0
1.399708,"(-4.147532,1.804575,1.183279)","(29.29028,272.1656,331.7521)",0
1.510788,"(-4.152681,1.802848,1.180021)","(29.69326,271.9727,331.2696)",0
1.610825,"(-4.158113,1.799756,1.176115)","(30.52358,271.7781,330.3676)",0
1.71242,"(-4.164789,1.795339,1.171404)","(31.7196,271.379,328.9981)",0
1.821509,"(-4.173883,1.792024,1.16564)","(32.55538,271.2008,328.0851)",0
1.932621,"(-4.182131,1.789012,1.15716)","(33.34702,270.9396,327.166)",0
2.043947,"(-4.189287,1.78579,1.145414)","(34.15482,270.6298,326.1972)",0
2.154707,"(-4.199434,1.779244,1.129511)","(34.70531,270.5967,325.6329)",0
2.255028,"(-4.213907,1.768857,1.113836)","(35.77446,270.9544,324.7798)",0
2.355198,"(-4.227846,1.763399,1.103216)","(36.71481,272.2326,324.5995)",0
2.465853,"(-4.2521,1.763637,1.10182)","(36.81618,273.7794,325.3909)",0
2.577334,"(-4.285715,1.762643,1.109686)","(36.43317,273.656,325.6842)",0
2.688298,"(-4.317831,1.753478,1.121698)","(36.54183,271.6634,324.4372)",0
2.799017,"(-4.34511,1.74604,1.131163)","(37.71906,268.679,321.4653)",0
2.910337,"(-4.361784,1.737938,1.137213)","(38.56262,266.8113,319.4051)",0
3.021099,"(-4.371958,1.730541,1.141989)","(39.24327,266.5943,318.5511)",0
3.121109,"(-4.374456,1.728397,1.144827)","(39.65588,267.2683,318.5681)",0
3.232737,"(-4.372164,1.730237,1.149038)","(39.4313,269.6422,320.3409)",0
3.343162,"(-4.363916,1.735869,1.157801)","(38.4108,275.3219,324.7809)",0
3.444275,"(-4.348688,1.742895,1.164331)","(37.25106,279.3589,328.0755)",0
3.55422,"(-4.320543,1.752439,1.168798)","(36.0402,282.9069,330.9382)",0
3.665138,"(-4.284334,1.761819,1.167913)","(34.91649,285.5475,333.123)",0
3.776339,"(-4.250036,1.770725,1.165575)","(33.66796,289.4401,335.8342)",0
3.887205,"(-4.222116,1.775324,1.168074)","(33.56616,295.609,338.496)",0
3.98736,"(-4.189943,1.775857,1.189947)","(34.16569,306.4503,342.3712)",0
4.087636,"(-4.144758,1.781351,1.227438)","(33.45932,322.5096,348.3514)",0
4.188177,"(-4.087427,1.78675,1.264696)","(31.88581,339.4491,354.0708)",0
4.298604,"(-4.022635,1.787691,1.297472)","(31.7345,354.6284,358.4722)",0
4.399104,"(-3.966833,1.787039,1.326857)","(31.87279,4.984845,1.42422)",0
4.499555,"(-3.894712,1.78258,1.351549)","(31.84398,19.00811,5.468621)",0
4.610316,"(-3.807119,1.781154,1.364481)","(31.66615,36.26728,10.61253)",0
4.71122,"(-3.738428,1.779153,1.36632)","(31.4959,50.84024,15.26663)",0
4.811233,"(-3.678457,1.772092,1.358217)","(32.15638,66.32346,21.3315)",0
4.921898,"(-3.652578,1.77662,1.351137)","(32.66692,75.578,25.60347)",0
5.03323,"(-3.642958,1.780604,1.350767)","(32.02838,84.22451,29.08918)",0
5.144345,"(-3.639822,1.787635,1.366121)","(31.27794,90.3157,31.44223)",0
5.254766,"(-3.642191,1.789501,1.393213)","(29.12126,93.40625,30.82352)",0
5.366173,"(-3.641802,1.794587,1.421373)","(28.11707,94.39859,30.26349)",0
5.478288,"(-3.628233,1.801579,1.438784)","(27.30266,93.45965,28.93371)",0
5.588615,"(-3.601851,1.794154,1.441027)","(28.5274,94.31303,30.65845)",0
5.699394,"(-3.561892,1.774702,1.431135)","(31.97987,95.71037,35.13962)",0
5.810553,"(-3.504747,1.755597,1.409842)","(33.86709,95.16813,36.8606)",0
5.92362,"(-3.430449,1.749211,1.375814)","(35.20732,93.9333,37.54107)",0
6.032974,"(-3.350996,1.757561,1.338308)","(36.55473,93.06673,38.42166)",0
6.143682,"(-3.286119,1.754931,1.310652)","(36.70213,92.11345,37.9843)",0
6.254153,"(-3.241606,1.752815,1.29603)","(38.63873,91.05183,39.30025)",0
6.3656,"(-3.202951,1.754023,1.295118)","(38.56496,89.03568,37.96772)",0
6.476758,"(-3.167223,1.751771,1.302027)","(38.89589,87.78444,37.52523)",0
6.587544,"(-3.127089,1.751148,1.315905)","(38.51665,88.05802,37.32306)",0
6.698769,"(-3.080393,1.745728,1.335608)","(38.00294,89.42478,37.65017)",0
6.810404,"(-3.024508,1.735892,1.359568)","(37.36837,91.21024,38.10915)",0
6.921436,"(-2.954592,1.735975,1.38703)","(35.87699,92.77334,37.53502)",0
7.032501,"(-2.878443,1.749261,1.409441)","(36.11152,93.28255,38.0923)",0
7.143777,"(-2.815466,1.751731,1.418833)","(36.24863,93.67793,38.48164)",0
7.254161,"(-2.761427,1.754398,1.416906)","(38.17906,93.80945,40.5975)",0
7.365487,"(-2.716787,1.753797,1.403368)","(39.22631,93.06555,41.20624)",0
7.476628,"(-2.68807,1.744559,1.381819)","(40.56146,91.85625,41.78361)",0
7.587548,"(-2.664427,1.740177,1.35935)","(41.72871,91.13395,42.4891)",0
7.698376,"(-2.650209,1.732835,1.344267)","(43.41079,90.60703,43.82956)",0
7.810988,"(-2.640181,1.73227,1.336763)","(43.95444,90.52185,44.31784)",0
7.920473,"(-2.634691,1.731293,1.335543)","(44.48699,90.73663,45.00555)",0
8.031455,"(-2.631327,1.731446,1.337992)","(44.40022,90.81786,44.97538)",0
8.142677,"(-2.628927,1.731799,1.341162)","(44.32917,91.2393,45.20192)",0
8.253222,"(-2.627386,1.732542,1.344072)","(44.18739,91.69306,45.38014)",0
8.364408,"(-2.626123,1.733541,1.346479)","(44.10874,91.88381,45.43563)",0
8.475468,"(-2.62509,1.735119,1.349047)","(43.82862,92.00244,45.2331)",0
8.586806,"(-2.624228,1.735829,1.351065)","(43.55959,92.31824,45.18099)",0
8.697779,"(-2.622931,1.734843,1.353495)","(43.75877,92.48122,45.50224)",0
8.80909,"(-2.621359,1.733802,1.355902)","(43.97831,92.79831,45.95636)",0
8.920275,"(-2.61968,1.732995,1.357847)","(44.224,92.7511,46.17658)",0
9.031305,"(-2.617865,1.73226,1.359034)","(44.40936,92.679,46.31609)",0
9.14248,"(-2.616804,1.732283,1.359911)","(44.526,92.64271,46.4103)",0
9.253153,"(-2.615927,1.731413,1.360762)","(44.74858,92.53699,46.5633)",0
9.3643,"(-2.614439,1.730905,1.361197)","(44.75205,92.6644,46.65955)",0
9.475239,"(-2.613588,1.728171,1.363184)","(45.47235,92.00202,46.91739)",0
9.586474,"(-2.612741,1.721458,1.366781)","(47.15458,90.83157,47.7673)",0
9.697375,"(-2.611258,1.716839,1.369234)","(48.3158,89.6764,48.07458)",0
9.80835,"(-2.609831,1.714375,1.370142)","(48.88421,89.51744,48.52166)",0
9.91975,"(-2.608252,1.712988,1.370615)","(49.21635,89.46024,48.8089)",0
10.03068,"(-2.607271,1.712148,1.371042)","(49.40237,89.23481,48.82387)",0
10.14182,"(-2.605551,1.712166,1.371672)","(49.38829,89.30082,48.8596)",0
10.25315,"(-2.603724,1.712446,1.372381)","(49.3502,89.33703,48.84909)",0
10.3638,"(-2.601191,1.71321,1.373392)","(49.22418,89.30021,48.69635)",0
10.47516,"(-2.599016,1.714418,1.375006)","(48.92042,89.68482,48.68326)",0
10.58598,"(-2.59823,1.716088,1.377325)","(48.48529,90.28526,48.69924)",0
10.69743,"(-2.59807,1.716958,1.381277)","(48.29027,90.79388,48.88566)",0
10.80812,"(-2.5982,1.720122,1.386034)","(47.24637,91.64792,48.46837)",0
10.91945,"(-2.598936,1.726693,1.391325)","(44.9888,92.54416,46.81628)",0
11.02988,"(-2.597574,1.730706,1.395147)","(43.62505,94.49717,46.81939)",0
11.14178,"(-2.593626,1.723833,1.39506)","(43.84431,95.22804,47.59035)",0
11.25236,"(-2.577311,1.717578,1.387541)","(45.50228,94.56443,48.85236)",0
11.36295,"(-2.551165,1.706496,1.372263)","(46.25281,93.16294,48.58245)",0
11.47408,"(-2.510366,1.69041,1.350424)","(47.54622,91.85439,48.92959)",0
11.58545,"(-2.455,1.673406,1.32654)","(48.79127,89.74534,48.59996)",0
11.69606,"(-2.402376,1.653344,1.30805)","(49.62537,87.27345,47.57958)",0
11.80751,"(-2.35364,1.63232,1.291922)","(50.05447,87.12139,47.88241)",0
11.91881,"(-2.316454,1.611538,1.280626)","(51.51849,85.7448,48.26213)",0
12.02966,"(-2.29077,1.601467,1.26544)","(51.94923,90.01598,51.9618)",0
12.14057,"(-2.273794,1.600075,1.2521)","(51.95274,92.40768,53.87376)",0
12.25294,"(-2.259691,1.597125,1.239897)","(52.2585,94.22564,55.67778)",0
12.36263,"(-2.247358,1.59477,1.226999)","(52.57444,97.32185,58.6269)",0
12.47354,"(-2.236147,1.59415,1.216074)","(52.55689,99.93177,60.88828)",0
12.58491,"(-2.228136,1.594733,1.207163)","(52.39912,101.1693,61.81846)",0
12.69613,"(-2.222349,1.594825,1.198187)","(52.33035,102.6134,63.04968)",0
12.80699,"(-2.218878,1.592003,1.194761)","(53.04543,101.4994,62.83588)",0
12.9179,"(-2.21863,1.590722,1.194761)","(53.54709,99.40768,61.50817)",0
13.02939,"(-2.221571,1.594716,1.195986)","(53.13701,97.52881,59.41088)",0
13.14073,"(-2.227499,1.599579,1.196726)","(52.54515,95.89893,57.38078)",0
13.25191,"(-2.234804,1.604085,1.196157)","(52.33712,94.79461,56.23304)",0
13.36201,"(-2.242613,1.608689,1.192644)","(52.3301,94.22723,55.75387)",0
13.47355,"(-2.24835,1.610633,1.188345)","(52.4162,94.53029,56.09569)",0
13.58452,"(-2.250849,1.613039,1.18611)","(52.24717,94.15997,55.6116)",0
13.69542,"(-2.251333,1.615666,1.183893)","(51.98831,94.49214,55.61584)",0
13.80612,"(-2.248934,1.617535,1.181833)","(51.72636,94.56866,55.40459)",0
13.91787,"(-2.245359,1.617762,1.17882)","(51.76806,95.04316,55.84142)",0
14.0288,"(-2.243258,1.617913,1.176596)","(51.79036,95.6124,56.33945)",0
14.14046,"(-2.24301,1.618853,1.176035)","(51.68082,95.58547,56.20093)",0
14.25072,"(-2.242823,1.621076,1.179079)","(51.41246,94.33148,54.88057)",0
14.36166,"(-2.24198,1.623117,1.192255)","(51.14451,87.88231,49.51422)",0
14.47294,"(-2.241282,1.624115,1.206419)","(51.15707,82.98907,45.89565)",0
14.58399,"(-2.239305,1.622699,1.219133)","(51.38499,80.21307,44.11782)",0
14.69469,"(-2.235697,1.619657,1.233622)","(51.86502,77.62737,42.72755)",0
14.80589,"(-2.230658,1.619137,1.245481)","(51.63823,76.23523,41.57471)",0
14.91721,"(-2.227709,1.618391,1.253469)","(51.90401,75.75357,41.46991)",0
15.02806,"(-2.225477,1.618274,1.260469)","(52.0703,75.4539,41.40483)",0
15.13978,"(-2.223528,1.617038,1.268408)","(52.2564,74.33252,40.7962)",0
15.25071,"(-2.22233,1.613351,1.277391)","(52.6893,72.6555,40.01622)",0
15.36164,"(-2.221464,1.608961,1.285608)","(53.28634,70.38902,38.97186)",0
15.47315,"(-2.22098,1.605472,1.292368)","(53.69758,68.64979,38.13362)",0
15.58314,"(-2.220667,1.603252,1.296293)","(54.1503,68.09996,38.11428)",0
15.69529,"(-2.220324,1.604694,1.295176)","(54.0752,70.20355,39.46635)",0
15.80658,"(-2.222612,1.608172,1.291426)","(53.65146,71.786,40.2024)",0
15.91698,"(-2.225351,1.612284,1.285482)","(53.02934,73.3578,40.76851)",0
16.02808,"(-2.228647,1.617028,1.274118)","(52.49456,76.89623,42.75971)",0
16.13924,"(-2.231913,1.618722,1.250124)","(52.59079,87.39225,50.54752)",0
16.25022,"(-2.236391,1.618411,1.221991)","(52.5746,98.61606,59.74942)",0
16.36099,"(-2.241201,1.617108,1.201078)","(52.77866,103.8605,64.70695)",0
16.47207,"(-2.244566,1.616306,1.186399)","(53.16633,104.4193,65.67075)",0
16.58308,"(-2.248144,1.616264,1.17256)","(53.37646,105.4351,66.87318)",0
16.69465,"(-2.250326,1.617402,1.165472)","(53.29237,104.0551,65.47186)",0
16.80557,"(-2.251562,1.618495,1.161905)","(53.17505,103.229,64.56862)",0
16.916,"(-2.25149,1.618704,1.164537)","(53.28658,100.925,62.5833)",0
17.02733,"(-2.249891,1.619507,1.170004)","(53.03235,98.34668,60.01091)",0
17.13855,"(-2.248159,1.620787,1.172537)","(52.80209,98.0397,59.49366)",0
17.24948,"(-2.245855,1.621593,1.173914)","(52.5377,98.04057,59.20835)",0
17.3609,"(-2.242373,1.620366,1.176008)","(52.79448,97.64573,59.14341)",0
17.47206,"(-2.237478,1.618184,1.177362)","(53.13957,97.82501,59.67127)",0
17.58296,"(-2.230963,1.615694,1.178232)","(53.41883,98.09657,60.21014)",0
17.69417,"(-2.223433,1.612614,1.179857)","(53.77822,98.35258,60.82401)",0
17.80501,"(-2.21559,1.610001,1.183119)","(54.24394,98.28629,61.26902)",0
17.91551,"(-2.209875,1.609512,1.188181)","(54.40147,97.56692,60.80322)",0
18.02759,"(-2.205187,1.611103,1.19945)","(54.20671,93.95949,57.48505)",0
18.13854,"(-2.202162,1.61226,1.214796)","(54.2889,88.477,53.06176)",0
18.24938,"(-2.201414,1.611425,1.23089)","(54.65828,83.57279,49.57842)",0
18.36042,"(-2.20294,1.610256,1.244448)","(54.94825,80.04192,47.17701)",0
18.47146,"(-2.205206,1.606975,1.25561)","(55.81549,78.01851,46.44257)",0
18.58224,"(-2.209894,1.601636,1.263029)","(57.40536,77.26435,47.26866)",0
18.69335,"(-2.21443,1.597316,1.267015)","(58.80935,77.22643,48.46613)",0
18.80424,"(-2.21747,1.596963,1.268602)","(58.86862,78.01898,49.12874)",0
18.91558,"(-2.220598,1.597266,1.267916)","(58.84511,79.03805,49.8987)",0
19.02677,"(-2.224688,1.597402,1.264643)","(58.87347,80.75664,51.27293)",0
19.13747,"(-2.229368,1.59819,1.25939)","(58.84905,82.8548,52.92303)",0
19.24885,"(-2.236124,1.598802,1.245058)","(59.41481,90.41697,59.77443)",0
19.35963,"(-2.243219,1.601619,1.231638)","(59.03961,94.51899,62.99551)",0
19.47074,"(-2.251501,1.602559,1.229448)","(59.38702,91.0753,60.3169)",0
19.58144,"(-2.260092,1.601131,1.229132)","(60.49969,88.29879,59.02974)",0
19.69237,"(-2.268522,1.600366,1.230955)","(61.86521,84.39441,57.03252)",0
19.80507,"(-2.275389,1.601848,1.231527)","(61.9895,82.29053,55.38922)",0
19.91444,"(-2.285276,1.596538,1.233091)","(64.38989,79.06041,54.90993)",0
20.01459,"(-2.290667,1.596164,1.232294)","(64.97318,77.8633,54.43954)",0
20.12578,"(-2.296686,1.597005,1.234026)","(65.17722,74.26344,51.65534)",0
20.2371,"(-2.298338,1.598685,1.234621)","(64.51696,73.8306,50.73611)",0
20.34753,"(-2.297403,1.598527,1.2386)","(63.58805,74.16997,50.21158)",0
20.44786,"(-2.300379,1.595931,1.246912)","(63.76535,73.40199,49.75059)",0
20.548,"(-2.307592,1.596353,1.259382)","(63.6683,72.49635,48.94977)",0
20.65891,"(-2.320803,1.600626,1.278555)","(63.1181,70.30303,46.77755)",0
20.75904,"(-2.335989,1.606666,1.297277)","(62.30371,69.822,45.74579)",0
20.87008,"(-2.355848,1.611809,1.317434)","(62.1171,71.11858,46.58602)",0
20.9701,"(-2.373487,1.614049,1.33378)","(62.41864,73.97387,49.05628)",0
21.08069,"(-2.391798,1.616308,1.348612)","(62.35056,79.02388,53.03488)",0
21.1809,"(-2.408075,1.619674,1.357855)","(61.69925,82.92842,55.64808)",0
21.29209,"(-2.426737,1.621952,1.365644)","(60.99741,85.3045,56.97018)",0
21.40314,"(-2.445719,1.622418,1.373709)","(60.50271,86.25184,57.29181)",0
21.50332,"(-2.463099,1.624713,1.382803)","(60.16454,85.53352,56.36327)",0
21.60344,"(-2.477911,1.63025,1.39187)","(59.34301,84.94691,55.09101)",0
21.71415,"(-2.490759,1.636831,1.398802)","(58.36646,85.66609,54.74776)",0
21.82516,"(-2.498312,1.643015,1.403028)","(57.58159,86.60023,54.75633)",0
21.92555,"(-2.501143,1.647028,1.405001)","(56.98043,86.91501,54.43091)",0
22.03652,"(-2.501852,1.649568,1.405626)","(56.52549,87.52808,54.48773)",0
22.13661,"(-2.502016,1.651216,1.405478)","(56.16747,88.05885,54.57003)",0
22.25867,"(-2.503008,1.652906,1.405455)","(55.92718,88.2226,54.46755)",0
22.36933,"(-2.504694,1.653788,1.405027)","(55.7984,88.22623,54.34399)",0
22.48027,"(-2.506742,1.655125,1.403959)","(55.51219,88.35813,54.16975)",0
22.59203,"(-2.509657,1.657075,1.402388)","(55.13447,88.25733,53.71691)",0
22.70322,"(-2.512087,1.658917,1.400709)","(54.81373,88.25371,53.39891)",0
22.81431,"(-2.515284,1.660642,1.398542)","(54.53995,87.99512,52.92328)",0
22.9262,"(-2.518103,1.66335,1.396433)","(54.02684,88.08082,52.48874)",0
23.03634,"(-2.52051,1.665732,1.394426)","(53.63521,88.11989,52.13577)",0
23.14781,"(-2.52146,1.668982,1.391775)","(52.87253,88.31769,51.54297)",0
23.25868,"(-2.521231,1.67208,1.386454)","(52.31218,88.76482,51.34109)",0
23.36936,"(-2.511789,1.675348,1.37818)","(51.13843,89.11281,50.45094)",0
23.48026,"(-2.49301,1.668877,1.364138)","(51.96437,89.30763,51.42105)",0
23.59115,"(-2.464785,1.652941,1.347681)","(54.33242,88.92696,53.4654)",0
23.70326,"(-2.431337,1.638505,1.331556)","(55.62573,87.66743,53.7223)",0
23.81286,"(-2.398661,1.627244,1.315931)","(55.82895,86.87293,53.28057)",0
23.92548,"(-2.370634,1.61871,1.299971)","(56.22926,86.86295,53.66041)",0
24.03503,"(-2.349535,1.612926,1.283922)","(57.14844,86.99419,54.65857)",0
24.14607,"(-2.331202,1.612467,1.267847)","(56.81834,87.31744,54.60146)",0
24.25698,"(-2.316767,1.61427,1.253325)","(56.33728,87.42807,54.22281)",0
24.36851,"(-2.307718,1.617267,1.232672)","(55.74942,92.96221,58.23426)",0
24.46882,"(-2.305307,1.618731,1.214796)","(55.58778,98.37149,62.79549)",0
24.56885,"(-2.303732,1.620526,1.199549)","(55.24438,101.6922,65.45448)",0
24.669,"(-2.302935,1.621836,1.191065)","(54.96215,102.3136,65.71965)",0
24.77935,"(-2.30258,1.62386,1.184813)","(54.74086,102.8443,65.96883)",0
24.8806,"(-2.301916,1.626897,1.18096)","(54.12495,103.6464,66.02991)",0
24.99053,"(-2.299009,1.632061,1.182913)","(53.22833,102.058,63.54921)",0
25.10234,"(-2.292521,1.634377,1.195604)","(53.03069,95.38844,57.46225)",0
25.21271,"(-2.281084,1.630059,1.214403)","(53.4362,87.70489,51.61443)",0
25.32381,"(-2.267168,1.624739,1.229071)","(53.50554,82.86594,47.97254)",0
25.43522,"(-2.255533,1.621974,1.239859)","(53.26055,80.12096,45.72516)",0
25.54596,"(-2.248133,1.62219,1.247892)","(53.26427,79.21314,45.07145)",0
25.65718,"(-2.242151,1.623975,1.255621)","(52.92791,78.53394,44.28897)",0
25.76819,"(-2.23562,1.623999,1.262308)","(52.86634,78.26031,44.04055)",0
25.87898,"(-2.228712,1.622426,1.266836)","(53.05959,78.62325,44.46803)",0
25.98973,"(-2.223886,1.621753,1.270224)","(53.1921,78.97458,44.83615)",0
26.10137,"(-2.221945,1.622168,1.271944)","(53.13463,79.70109,45.30871)",0
26.21193,"(-2.221697,1.623208,1.271856)","(53.08171,81.04987,46.24163)",0
26.32324,"(-2.222181,1.624119,1.268602)","(53.02527,83.20357,47.78034)",0
26.43528,"(-2.224894,1.6261,1.259462)","(52.74522,86.77777,50.22316)",0
26.54595,"(-2.228605,1.630188,1.244997)","(52.08998,90.46887,52.46083)",0
26.65662,"(-2.233553,1.63418,1.231188)","(51.46141,92.845,53.72188)",0
26.76778,"(-2.238272,1.637038,1.221457)","(51.03548,93.05057,53.44801)",0
26.87893,"(-2.241697,1.636478,1.215006)","(51.1769,92.5711,53.20871)",0
26.98973,"(-2.244356,1.636055,1.211126)","(51.13148,91.33809,52.18101)",0
27.10054,"(-2.245577,1.637251,1.205313)","(50.91048,91.97157,52.45757)",0
27.21157,"(-2.247244,1.638726,1.199713)","(50.82347,92.9317,53.13366)",0
27.32255,"(-2.248743,1.640018,1.19475)","(50.55019,94.20023,53.87146)",0
27.43431,"(-2.250517,1.638936,1.188986)","(50.80229,95.97835,55.59499)",0
27.54478,"(-2.25271,1.638795,1.183722)","(50.9312,97.80072,57.26287)",0
27.6565,"(-2.255011,1.637111,1.181547)","(51.43093,97.53331,57.57596)",0
27.76778,"(-2.254908,1.631498,1.181826)","(52.47814,96.54958,57.86221)",0
27.87892,"(-2.252428,1.624321,1.185282)","(53.56636,94.61402,57.37021)",0
27.98933,"(-2.24975,1.619463,1.190153)","(54.59948,92.43275,56.60725)",0
28.10083,"(-2.247496,1.620143,1.194304)","(54.41888,90.98027,55.22013)",0
28.21208,"(-2.246481,1.622007,1.198053)","(54.20221,90.44974,54.56783)",0
28.3226,"(-2.245604,1.623183,1.205114)","(54.42816,87.88664,52.72735)",0
28.43438,"(-2.243837,1.620952,1.213835)","(55.2917,84.57235,50.94592)",0
28.54474,"(-2.240381,1.619654,1.221758)","(55.53673,81.63395,48.90874)",0
28.65536,"(-2.237513,1.617997,1.229479)","(56.13391,78.076,46.76445)",0
28.76628,"(-2.232935,1.610472,1.23514)","(57.44373,76.19154,46.49729)",0
28.87723,"(-2.226892,1.598965,1.240942)","(59.08345,75.21246,47.16663)",0
28.98808,"(-2.219564,1.588834,1.246019)","(60.3719,75.70998,48.6551)",0
29.09947,"(-2.214186,1.582388,1.248663)","(61.32213,76.5946,50.17326)",0
29.1995,"(-2.207678,1.579257,1.250822)","(61.52246,77.63405,51.17453)",0
29.30022,"(-2.204615,1.579476,1.251692)","(61.54362,77.94585,51.44233)",0
29.41043,"(-2.204607,1.580922,1.251486)","(61.4715,78.36715,51.71531)",0
29.51096,"(-2.206648,1.582738,1.250193)","(61.26077,78.59552,51.70978)",0
29.61098,"(-2.210699,1.585508,1.248087)","(60.86957,78.90707,51.60832)",0
29.72154,"(-2.217043,1.589169,1.244787)","(60.37066,79.3153,51.48551)",0
29.83313,"(-2.224382,1.592613,1.241648)","(59.94755,79.00713,50.86106)",0
29.93377,"(-2.23044,1.595198,1.238626)","(59.59352,78.96551,50.51122)",0
30.0438,"(-2.236242,1.597904,1.235491)","(59.16571,79.58514,50.61437)",0
30.15491,"(-2.240881,1.600858,1.233385)","(58.75623,80.33559,50.83436)",0
30.25495,"(-2.244532,1.603124,1.232611)","(58.44411,80.4847,50.6683)",0
30.35516,"(-2.24861,1.604598,1.233149)","(58.26574,79.97044,50.10489)",0
30.46605,"(-2.252867,1.605512,1.234133)","(58.15824,79.80869,49.88219)",0
30.57735,"(-2.257231,1.607199,1.234426)","(57.94188,80.15842,49.95882)",0
30.68803,"(-2.261923,1.609153,1.232592)","(57.74653,81.07568,50.49602)",0
30.7992,"(-2.266436,1.610776,1.229307)","(57.62407,82.16467,51.23745)",0
30.89929,"(-2.270403,1.612108,1.225939)","(57.43583,83.2851,51.94772)",0
30.99956,"(-2.273962,1.613,1.222624)","(57.27873,84.39983,52.68739)",0
31.10999,"(-2.277815,1.613331,1.219725)","(57.17825,85.05669,53.11824)",0
31.22116,"(-2.28161,1.613367,1.215956)","(57.17586,85.94238,53.82987)",0
31.33205,"(-2.285192,1.613246,1.212149)","(57.15103,87.17926,54.81239)",0
31.43249,"(-2.288206,1.613723,1.209906)","(57.08336,88.16046,55.55245)",0
31.54309,"(-2.291574,1.614345,1.208261)","(56.93845,88.5815,55.75757)",0
31.64318,"(-2.293825,1.615129,1.207197)","(56.79055,88.57074,55.60282)",0
31.75397,"(-2.296175,1.615681,1.207987)","(56.85023,88.08085,55.25796)",0
31.85462,"(-2.296724,1.615855,1.210264)","(56.84625,87.41245,54.70625)",0
31.96509,"(-2.297274,1.615922,1.212671)","(56.83757,87.13072,54.46793)",0
32.06525,"(-2.297495,1.616235,1.216646)","(56.81998,86.62916,54.04319)",0
32.17624,"(-2.297384,1.618762,1.225393)","(56.39616,85.27232,52.54576)",0
32.27734,"(-2.297758,1.622392,1.236589)","(55.73938,83.40678,50.45924)",0
