Elapsed Time,User Position,User Heading,Experiment State
0.3333333,"(-3.979235,1.802563,1.279696)","(21.67311,274.6059,339.9674)",0
0.4445794,"(-3.978662,1.802014,1.280321)","(21.60763,274.7165,340.066)",0
0.5448347,"(-3.978651,1.801826,1.280333)","(21.61365,274.7179,340.0609)",0
0.6554488,"(-3.978895,1.802261,1.280127)","(21.32739,274.444,340.2332)",0
0.755783,"(-3.978956,1.803363,1.278517)","(20.78712,273.6769,340.4802)",0
0.8665166,"(-3.978727,1.804586,1.2764)","(20.14961,272.6331,340.7384)",0
0.9777359,"(-3.978636,1.805667,1.274836)","(19.69537,271.7462,340.8849)",0
1.078369,"(-3.978903,1.806923,1.274103)","(19.17091,271.4258,341.2919)",0
1.188388,"(-3.979792,1.807244,1.273726)","(19.08828,271.2156,341.3053)",0
1.288533,"(-3.980619,1.807612,1.273508)","(18.95251,271.1229,341.4089)",0
1.399411,"(-3.981604,1.807974,1.273664)","(18.79615,271.2031,341.5877)",0
1.499776,"(-3.982367,1.808342,1.273809)","(18.64456,271.3289,341.7757)",0
1.59987,"(-3.982832,1.808704,1.273775)","(18.45542,271.3131,341.9558)",0
1.710939,"(-3.982904,1.810452,1.273848)","(17.68834,271.0428,342.6258)",0
1.821623,"(-3.982813,1.811942,1.273607)","(16.95608,270.7169,343.2517)",0
1.921724,"(-3.982718,1.813207,1.273226)","(16.34059,270.2934,343.7418)",0
2.02184,"(-3.982565,1.813777,1.272791)","(15.97757,269.8347,343.9768)",0
2.132351,"(-3.98287,1.813881,1.272512)","(15.77027,269.4637,344.0833)",0
2.232838,"(-3.983351,1.813453,1.272425)","(15.84379,269.4757,344.0124)",0
2.343594,"(-3.983896,1.81293,1.272417)","(15.9263,269.4673,343.9268)",0
2.454643,"(-3.98411,1.81268,1.272608)","(16.01084,269.5118,343.8539)",0
2.554863,"(-3.984461,1.813046,1.272829)","(15.8695,269.5404,344.0043)",0
2.665648,"(-3.985453,1.812982,1.273043)","(15.94692,269.5355,343.925)",0
2.776829,"(-3.986418,1.813031,1.273447)","(15.94434,269.6649,343.9633)",0
2.877495,"(-3.987185,1.813683,1.274008)","(15.82274,269.9207,344.1556)",0
2.987954,"(-3.98807,1.813636,1.274183)","(15.89157,270.1042,344.137)",0
3.099183,"(-3.988951,1.813147,1.274298)","(16.12955,270.0772,343.8919)",0
