Elapsed Time,User Position,User Heading,Experiment State
0.05443204,"(-0.09487343,1.775803,1.239119)","(23.48528,96.8633,26.38242)",0
0.1687687,"(-0.09327316,1.775643,1.239006)","(23.51242,97.37778,26.64427)",0
0.2797897,"(-0.09262657,1.775849,1.238688)","(23.51807,97.18691,26.56442)",0
0.3900492,"(-0.09305763,1.776692,1.237749)","(23.18097,97.35,26.25923)",0
0.5013869,"(-0.0941143,1.777828,1.236944)","(22.71206,97.212,25.67173)",0
0.6124678,"(-0.09494972,1.779172,1.236662)","(22.16905,96.93127,24.94273)",0
0.7233253,"(-0.0955143,1.780108,1.235624)","(21.70367,96.99541,24.44926)",0
0.8348661,"(-0.09591866,1.780468,1.234758)","(21.43282,96.85165,24.08692)",0
0.9456717,"(-0.09621429,1.780661,1.234772)","(21.38664,96.38135,23.84322)",0
1.056439,"(-0.09586716,1.779007,1.234406)","(22.06411,96.25838,24.54257)",0
1.1676,"(-0.09529305,1.778257,1.234449)","(22.3746,96.38308,24.9387)",0
1.279106,"(-0.09558678,1.777981,1.234358)","(22.47327,96.46353,25.0823)",0
1.389605,"(-0.09609413,1.77796,1.233454)","(22.44639,97.38464,25.4483)",0
1.500886,"(-0.0965004,1.778669,1.227619)","(21.91445,101.8026,26.80098)",0
1.612216,"(-0.09610558,1.7783,1.223707)","(21.79073,106.1619,28.73906)",0
1.722844,"(-0.09566689,1.778103,1.222284)","(21.79147,109.7982,30.63315)",0
1.834212,"(-0.09427452,1.777415,1.225595)","(21.95895,111.7494,31.95042)",0
1.945539,"(-0.09112549,1.776812,1.23576)","(22.24059,111.021,31.93262)",0
2.056125,"(-0.08755684,1.776828,1.249239)","(22.00285,109.592,30.81078)",0
2.166779,"(-0.08463097,1.7781,1.257605)","(21.46155,111.9647,31.36642)",0
2.278685,"(-0.08056831,1.777655,1.25905)","(20.4578,118.7777,33.9221)",0
2.38953,"(-0.07756996,1.776889,1.252466)","(20.35432,125.5276,38.45347)",0
2.500148,"(-0.07640266,1.776785,1.233576)","(20.19693,129.5981,41.45975)",0
2.611092,"(-0.07923508,1.774656,1.204891)","(20.93303,131.9723,45.04272)",0
2.721936,"(-0.08979416,1.776024,1.162014)","(21.39344,141.0223,56.18184)",0
2.832802,"(-0.1036549,1.773066,1.117033)","(22.01581,152.2476,76.43633)",0
2.943849,"(-0.1186199,1.771148,1.082258)","(22.44117,160.5932,98.47994)",0
3.054383,"(-0.1338062,1.769683,1.050573)","(22.89544,169.8604,132.6835)",0
3.165873,"(-0.1427708,1.771192,1.02339)","(23.91082,179.7424,178.7833)",0
3.276591,"(-0.1445427,1.771283,1.00452)","(23.58833,188.1675,217.7538)",0
3.376952,"(-0.1393108,1.771466,0.9972134)","(23.99155,194.9862,243.5169)",0
3.487875,"(-0.1307774,1.776109,0.9899731)","(22.4036,202.5962,270.5033)",0
3.588148,"(-0.1269093,1.773959,0.9832096)","(22.29453,210.2841,287.878)",0
3.699145,"(-0.1327076,1.771778,0.9781551)","(21.80525,219.8999,304.0945)",0
3.810135,"(-0.1472282,1.772275,0.9753418)","(21.59477,227.9845,313.6094)",0
3.920986,"(-0.1708069,1.771917,0.9752197)","(21.3661,235.4092,320.4787)",0
4.021052,"(-0.1997414,1.771181,0.9766846)","(21.30074,241.8556,325.1489)",0
4.121655,"(-0.2345867,1.76905,0.97682)","(22.39704,246.2727,326.2573)",0
4.232329,"(-0.2770576,1.767665,0.9763832)","(24.00049,250.3048,326.4064)",0
4.343068,"(-0.3181171,1.762144,0.9774189)","(26.8499,254.3464,325.0548)",0
4.453475,"(-0.3540897,1.755703,0.9752216)","(30.18789,260.3366,324.5612)",0
4.553785,"(-0.3779125,1.750011,0.9736233)","(31.79346,266.8377,326.5001)",0
4.665404,"(-0.3929119,1.740955,0.976717)","(33.76684,277.6707,330.2759)",0
4.776118,"(-0.4061146,1.741435,0.9828739)","(33.7718,287.0272,334.693)",0
4.876418,"(-0.4193211,1.737452,1.000254)","(35.24707,294.454,336.8833)",0
4.98692,"(-0.4358044,1.734759,1.029222)","(36.67714,300.1896,338.4132)",0
5.087024,"(-0.4518986,1.731007,1.062498)","(38.29998,302.8565,338.5826)",0
5.19801,"(-0.4688702,1.724492,1.110231)","(41.05178,306.185,338.4835)",0
5.298446,"(-0.4794121,1.719983,1.153217)","(42.12151,309.9737,339.6282)",0
5.408683,"(-0.4888897,1.723342,1.190668)","(43.8303,316.0362,341.5521)",0
5.520137,"(-0.4976559,1.727441,1.215437)","(41.94571,319.4775,343.8922)",0
5.620423,"(-0.5022316,1.729483,1.225731)","(40.9343,323.6438,346.026)",0
5.731067,"(-0.512661,1.735476,1.241997)","(38.41049,327.1666,348.2802)",0
5.841862,"(-0.5228977,1.738064,1.274363)","(38.62828,329.1166,348.9408)",0
5.952834,"(-0.5325947,1.734481,1.319605)","(39.01352,329.1896,348.8499)",0
6.053126,"(-0.5394669,1.72962,1.369003)","(38.40689,326.9629,348.2051)",0
6.164662,"(-0.544754,1.725993,1.429783)","(37.10218,321.1412,346.4983)",0
6.275033,"(-0.5509071,1.732559,1.492527)","(36.19674,315.1115,344.6231)",0
6.385876,"(-0.5581913,1.740798,1.551477)","(34.03646,311.4861,344.2943)",0
6.486377,"(-0.571825,1.7436,1.604845)","(34.21866,309.914,343.6317)",0
6.596808,"(-0.5968056,1.741178,1.664165)","(33.42773,308.8189,343.633)",0
6.69776,"(-0.6311646,1.73473,1.711716)","(32.7252,308.9892,344.0521)",0
6.797983,"(-0.6733284,1.730113,1.745922)","(31.29759,309.9135,345.0869)",0
6.908166,"(-0.7292156,1.741118,1.778555)","(30.82433,308.5227,344.8593)",0
7.019499,"(-0.7769489,1.745637,1.813757)","(31.0021,304.5816,343.4245)",0
7.119543,"(-0.8148155,1.74512,1.856445)","(31.42165,301.3274,342.0332)",0
7.220047,"(-0.853714,1.738605,1.907475)","(32.40314,298.2483,340.2889)",0
7.330369,"(-0.8943462,1.731045,1.970419)","(31.65828,293.6052,338.9808)",0
7.430398,"(-0.9250965,1.72881,2.02947)","(30.64108,289.0376,337.9013)",0
7.54153,"(-0.9628716,1.742631,2.092133)","(29.42482,285.6373,337.4714)",0
