Elapsed Time,User Position,User Heading,Experiment State
0.02811308,"(-0.4159012,1.658,1.247562)","(0.9141998,92.01494,0.9469271)",0
0.1461293,"(-0.4138699,1.658289,1.246672)","(0.7625457,91.76712,0.7864336)",0
0.2567276,"(-0.412323,1.658534,1.247215)","(0.7196865,90.9783,0.7320806)",0
0.3678523,"(-0.4114552,1.659567,1.248327)","(0.2703731,89.83703,0.2696051)",0
0.479118,"(-0.4120541,1.658679,1.24999)","(0.6390727,88.97381,0.6277282)",0
0.5910915,"(-0.4128876,1.657003,1.25243)","(1.521444,88.43649,1.480488)",0
0.7012208,"(-0.4118252,1.655781,1.253798)","(2.091616,89.0285,2.056456)",0
0.8120514,"(-0.4086132,1.654192,1.251459)","(2.855137,91.68081,2.94011)",0
0.9233146,"(-0.4031715,1.650809,1.237938)","(4.591862,100.0957,5.480409)",0
1.034525,"(-0.4013348,1.644304,1.21242)","(7.487957,115.0093,11.73143)",0
1.144917,"(-0.4110165,1.633445,1.17959)","(11.23605,134.5384,26.42769)",0
1.255672,"(-0.4271107,1.62561,1.154764)","(13.8076,148.6622,46.69563)",0
1.366445,"(-0.4295998,1.622501,1.143173)","(14.92405,148.7097,50.12988)",0
1.467387,"(-0.4133949,1.62379,1.144939)","(15.33035,137.2979,37.99608)",0
1.57848,"(-0.3797283,1.625524,1.168104)","(14.43855,110.7169,20.77799)",0
1.678928,"(-0.365303,1.623195,1.20919)","(15.49094,80.24062,13.07701)",0
1.800416,"(-0.3821011,1.621846,1.258795)","(17.22544,41.66651,6.597294)",0
1.91113,"(-0.4140224,1.613916,1.281301)","(19.57299,16.92536,2.940179)",0
2.020968,"(-0.4481087,1.609422,1.295361)","(21.46138,358.3003,359.6779)",0
2.133121,"(-0.4806919,1.607961,1.307295)","(21.91355,344.0207,356.887)",0
2.243846,"(-0.5082989,1.606201,1.324625)","(22.01431,334.1952,354.8975)",0
2.354753,"(-0.5318451,1.603395,1.347736)","(21.66613,327.1389,353.5404)",0
2.465846,"(-0.5555534,1.603548,1.381721)","(20.85347,321.32,352.6093)",0
2.565921,"(-0.5721054,1.609818,1.426964)","(19.03067,318.7765,352.7854)",0
2.677155,"(-0.5854511,1.608709,1.485144)","(19.82015,318.0589,352.3382)",0
2.787149,"(-0.6000252,1.606758,1.55983)","(20.44388,316.5819,351.7873)",0
2.88739,"(-0.6081886,1.593389,1.631413)","(20.09422,314.178,351.4352)",0
2.987646,"(-0.6068211,1.576696,1.694811)","(23.17893,310.3616,349.1642)",0
3.089303,"(-0.6138058,1.583158,1.756945)","(24.39133,308.413,348.0741)",0
3.199318,"(-0.6395493,1.592868,1.8158)","(23.4787,307.9993,348.425)",0
3.309485,"(-0.676115,1.587182,1.864363)","(22.72636,307.0101,348.5588)",0
3.410991,"(-0.7220249,1.579635,1.897196)","(21.65657,305.391,348.7216)",0
3.520113,"(-0.794466,1.578591,1.929796)","(19.22,301.6626,349.2024)",0
3.620201,"(-0.8752041,1.579417,1.952349)","(19.19901,295.4372,347.8031)",0
3.720299,"(-0.9530659,1.58268,1.972635)","(21.68485,289.2394,344.5092)",0
3.820584,"(-1.024544,1.588576,1.990433)","(24.5844,282.8185,340.2716)",0
3.931764,"(-1.096468,1.583695,2.006716)","(26.57076,273.8008,335.0809)",0
4.042517,"(-1.166983,1.562999,2.022398)","(27.73668,263.102,328.8689)",0
4.143559,"(-1.224415,1.544201,2.030605)","(31.28757,252.7733,318.3857)",0
4.253191,"(-1.281233,1.543468,2.025)","(33.38958,238.887,304.0347)",0
4.364856,"(-1.332808,1.546923,2.007612)","(34.05083,224.8327,286.8244)",0
4.475858,"(-1.381926,1.538041,1.984488)","(34.08076,210.3325,262.9774)",0
4.57622,"(-1.427126,1.531962,1.960096)","(32.44055,199.0052,239.8319)",0
4.687136,"(-1.487242,1.531188,1.926714)","(29.26704,191.3909,221.8101)",0
4.798481,"(-1.554729,1.549674,1.888691)","(28.26856,185.0312,199.7932)",0
4.908736,"(-1.617514,1.572441,1.859255)","(27.87892,178.4798,173.8809)",0
5.009643,"(-1.66984,1.585254,1.833368)","(26.35629,173.8191,154.0307)",0
5.109959,"(-1.717033,1.586596,1.80661)","(25.14621,168.2591,130.5004)",0
5.220083,"(-1.768724,1.579079,1.780954)","(23.65863,160.3603,100.8589)",0
5.320458,"(-1.814432,1.5786,1.756594)","(22.99856,152.177,78.79625)",0
5.42156,"(-1.846228,1.586426,1.730272)","(23.04647,146.1926,67.71332)",0
5.532096,"(-1.86648,1.593234,1.700193)","(22.89456,138.8965,56.74761)",0
5.633077,"(-1.878611,1.592363,1.67153)","(22.44276,133.7791,49.86655)",0
5.743226,"(-1.883215,1.589014,1.635702)","(19.64635,129.085,39.97301)",0
5.843473,"(-1.87483,1.587533,1.599245)","(18.12777,125.7837,34.61774)",0
5.954692,"(-1.864332,1.59472,1.562704)","(21.66047,121.6245,37.81017)",0
6.06535,"(-1.857988,1.592565,1.522058)","(24.99553,114.4202,37.97388)",0
6.17609,"(-1.857271,1.58887,1.48105)","(28.65077,110.1425,40.172)",0
6.288049,"(-1.858065,1.588912,1.433645)","(28.27116,106.7113,37.40796)",0
6.398662,"(-1.86796,1.589728,1.390364)","(26.69176,100.9749,32.09696)",0
6.509733,"(-1.876406,1.600861,1.348959)","(25.21958,94.39269,27.15929)",0
6.621439,"(-1.87615,1.603704,1.319067)","(24.74062,90.96014,25.14554)",0
6.732075,"(-1.872847,1.606316,1.305479)","(24.48204,88.99357,24.06826)",0
6.842751,"(-1.872114,1.606239,1.310152)","(22.56596,87.38005,21.58121)",0
6.953978,"(-1.87779,1.608316,1.328608)","(22.17683,85.06259,20.38371)",0
7.064557,"(-1.88693,1.611431,1.353559)","(20.6448,81.43699,17.81868)",0
7.175833,"(-1.89562,1.615084,1.375353)","(19.13155,79.35455,15.91647)",0
7.287026,"(-1.90082,1.616025,1.394258)","(17.15142,79.13936,14.20716)",0
7.398191,"(-1.903589,1.615593,1.409025)","(16.70268,79.37603,13.89148)",0
7.509185,"(-1.906092,1.614937,1.420309)","(16.24105,79.61769,13.56345)",0
7.620062,"(-1.905539,1.616531,1.428453)","(15.75205,79.84932,13.20715)",0
7.731313,"(-1.903193,1.616185,1.433855)","(15.77791,80.26376,13.32555)",0
7.842441,"(-1.89934,1.616724,1.437792)","(15.7545,80.61029,13.38683)",0
7.953652,"(-1.89509,1.616338,1.440523)","(15.98237,80.52645,13.5612)",0
8.064413,"(-1.891527,1.615214,1.441217)","(16.58064,80.79865,14.13802)",0
8.175607,"(-1.888952,1.614695,1.439928)","(16.8514,81.48506,14.54323)",0
8.286754,"(-1.887068,1.613598,1.437887)","(17.40808,82.16891,15.20568)",0
8.397396,"(-1.884665,1.612231,1.435247)","(18.18468,82.93852,16.10055)",0
8.508918,"(-1.882544,1.609995,1.431486)","(19.5348,84.52269,17.78111)",0
8.620173,"(-1.880976,1.607282,1.426085)","(20.85462,86.51006,19.64627)",0
8.731713,"(-1.880487,1.604981,1.420576)","(21.8728,88.483,21.31447)",0
8.841657,"(-1.880823,1.603616,1.417242)","(22.51134,89.16367,22.19327)",0
8.953009,"(-1.882082,1.602281,1.413313)","(23.17667,89.57468,23.00984)",0
9.064054,"(-1.884066,1.601922,1.406748)","(23.50268,91.26382,24.01185)",0
9.175404,"(-1.886862,1.601998,1.400763)","(23.65414,92.98232,24.88016)",0
9.286494,"(-1.889174,1.602219,1.390985)","(23.57121,97.28043,26.66626)",0
9.397343,"(-1.89253,1.601966,1.383665)","(23.68354,100.4083,28.25501)",0
9.508608,"(-1.8944,1.601891,1.382681)","(23.79902,99.76545,28.08218)",0
9.61931,"(-1.895201,1.601852,1.38373)","(23.63415,98.68088,27.38018)",0
9.730452,"(-1.896013,1.602201,1.386114)","(23.44487,97.64481,26.68904)",0
9.841163,"(-1.896948,1.602909,1.38883)","(23.10501,97.12385,26.07347)",0
9.952525,"(-1.897284,1.603638,1.391691)","(22.77533,96.54527,25.45257)",0
10.06343,"(-1.897562,1.603,1.394625)","(23.09491,95.44109,25.32816)",0
10.17428,"(-1.898069,1.601998,1.396856)","(23.47714,94.48684,25.33203)",0
10.28551,"(-1.898329,1.601758,1.398214)","(23.63326,93.93915,25.26429)",0
10.39689,"(-1.898588,1.600603,1.398638)","(24.07959,93.69099,25.63161)",0
