Elapsed Time,User Position,User Heading,Experiment State
0.08810306,"(-0.07348824,1.713823,1.201216)","(358.5551,94.52655,358.4362)",0
0.2006911,"(-0.07263947,1.713373,1.202114)","(358.7475,94.32426,358.6492)",0
0.3119929,"(-0.07237625,1.713618,1.203236)","(358.6594,94.06314,358.5608)",0
0.4226905,"(-0.07270241,1.713837,1.204832)","(358.4966,93.5662,358.4)",0
0.5343731,"(-0.07278824,1.714218,1.206169)","(358.3715,92.95895,358.2852)",0
0.6450242,"(-0.07290077,1.714002,1.207582)","(358.37,92.46499,358.2984)",0
0.755839,"(-0.07294655,1.713363,1.208117)","(358.7348,92.28558,358.6833)",0
0.8673361,"(-0.07265854,1.712263,1.208107)","(359.3358,92.29131,359.3087)",0
0.9783709,"(-0.07181931,1.707903,1.207829)","(1.476528,92.50303,1.542475)",0
1.089464,"(-0.07095528,1.70506,1.207151)","(2.881383,92.78297,3.024785)",0
1.200726,"(-0.0706768,1.704134,1.206392)","(3.346906,92.72885,3.51013)",0
1.311342,"(-0.07089043,1.705206,1.206835)","(2.893386,92.43542,3.019005)",0
1.422202,"(-0.07229424,1.706372,1.20746)","(2.344383,92.3007,2.440434)",0
1.53341,"(-0.0737381,1.706735,1.208202)","(2.086718,92.03033,2.161987)",0
1.645913,"(-0.07495308,1.706427,1.208967)","(2.155113,91.90118,2.227818)",0
1.755419,"(-0.07551575,1.705632,1.209972)","(2.456512,91.81398,2.535517)",0
1.866177,"(-0.07548141,1.703675,1.21077)","(3.419438,91.58015,3.515007)",0
1.978014,"(-0.07595634,1.703261,1.211897)","(3.626872,91.30379,3.710299)",0
2.088843,"(-0.07701302,1.704181,1.213495)","(3.274641,90.8445,3.323239)",0
2.199613,"(-0.07825851,1.707578,1.221092)","(1.883586,87.9379,1.816998)",0
2.311015,"(-0.07848549,1.708927,1.235529)","(1.22102,81.29555,1.048318)",0
2.42202,"(-0.08063698,1.708616,1.254969)","(1.088131,72.57949,0.7990229)",0
2.533076,"(-0.08494186,1.708706,1.272243)","(0.6676286,65.96319,0.433261)",0
2.644054,"(-0.08823967,1.70736,1.287222)","(0.2529007,62.06079,0.1521409)",0
2.755174,"(-0.09187126,1.708342,1.306868)","(359.8849,53.80092,359.9416)",0
