Elapsed Time,User Position,User Heading,Experiment State
0.04393499,"(-3.905119,1.784728,1.120275)","(34.79797,275.0811,328.001)",0
0.1548312,"(-3.891054,1.806026,1.111059)","(28.01936,274.4853,334.0181)",0
0.2660754,"(-3.871687,1.824326,1.099665)","(22.48486,273.9243,338.9704)",0
0.3661209,"(-3.857641,1.832295,1.09075)","(20.05785,272.9261,340.9224)",0
0.4661723,"(-3.848452,1.833295,1.085203)","(19.83462,272.5254,341.005)",0
0.5768499,"(-3.842104,1.820517,1.083532)","(23.82178,273.2146,337.4444)",0
0.6877578,"(-3.84141,1.810656,1.082495)","(26.14784,274.2377,335.6603)",0
0.7987105,"(-3.841337,1.807063,1.081678)","(27.00116,274.931,335.1559)",0
0.8989192,"(-3.841192,1.804873,1.081522)","(27.81786,275.8049,334.7766)",0
1.009624,"(-3.842344,1.804422,1.081682)","(28.17825,276.6994,334.8328)",0
1.109702,"(-3.844141,1.803732,1.083815)","(28.52767,278.0515,335.0984)",0
1.211374,"(-3.847193,1.803787,1.090498)","(29.04558,280.9211,335.8596)",0
1.320907,"(-3.853804,1.80481,1.10232)","(29.77006,285.545,337.1649)",0
1.431954,"(-3.860952,1.804694,1.122145)","(30.5686,292.2161,339.1953)",0
1.532079,"(-3.856947,1.805136,1.157846)","(30.8062,302.7865,342.9102)",0
1.632733,"(-3.833601,1.806522,1.209288)","(29.91778,318.575,348.4625)",0
1.743034,"(-3.794409,1.80873,1.265322)","(28.12322,335.6174,353.8051)",0
1.854069,"(-3.759428,1.809082,1.309816)","(26.652,346.4427,356.7745)",0
1.954486,"(-3.733564,1.810618,1.34741)","(25.82746,353.7344,358.562)",0
2.065327,"(-3.703226,1.809728,1.383173)","(26.14189,3.766791,0.8748441)",0
2.166289,"(-3.678896,1.809484,1.404627)","(27.49388,14.15928,3.480618)",0
2.266481,"(-3.659296,1.805769,1.416529)","(28.90493,25.77957,6.750822)",0
2.366685,"(-3.646017,1.803023,1.421446)","(30.18603,38.92623,10.88847)",0
2.466997,"(-3.64419,1.799527,1.422796)","(30.6677,50.01826,14.579)",0
2.577735,"(-3.650339,1.791183,1.414118)","(32.50133,64.21452,20.7297)",0
2.688754,"(-3.656355,1.786374,1.401232)","(34.37158,74.07207,26.27141)",0
2.799989,"(-3.668886,1.778249,1.392714)","(36.0134,81.14258,31.10571)",0
2.910833,"(-3.68416,1.774667,1.396143)","(36.52612,85.91854,34.16383)",0
3.021669,"(-3.69552,1.775646,1.407122)","(36.32543,88.41566,35.39721)",0
3.133521,"(-3.700014,1.776137,1.416105)","(36.38078,91.11772,37.04901)",0
3.244308,"(-3.695078,1.777536,1.421202)","(36.30628,92.34809,37.72006)",0
3.355504,"(-3.682337,1.780285,1.416689)","(35.41389,92.82111,37.08236)",0
3.465888,"(-3.660685,1.778866,1.401636)","(34.14395,92.97794,35.8524)",0
3.577436,"(-3.624216,1.775575,1.377687)","(33.25624,92.15739,34.45835)",0
3.688316,"(-3.575827,1.771735,1.341745)","(31.96012,90.59807,32.27811)",0
3.799768,"(-3.513605,1.772976,1.293577)","(30.57973,88.36703,29.759)",0
3.910795,"(-3.445265,1.769231,1.244967)","(33.36602,87.47778,32.00373)",0
4.021855,"(-3.392584,1.754468,1.202963)","(37.35207,87.70401,35.98079)",0
4.132673,"(-3.363245,1.744954,1.164392)","(38.64342,86.55899,36.54346)",0
4.243627,"(-3.344095,1.741696,1.134825)","(38.50485,85.9361,36.04243)",0
4.35517,"(-3.331408,1.736325,1.11997)","(38.91999,86.6656,36.87123)",0
4.465931,"(-3.316046,1.738804,1.119081)","(38.79003,87.98354,37.54379)",0
4.576802,"(-3.296476,1.741931,1.131231)","(39.45614,90.12786,39.53746)",0
4.687684,"(-3.268621,1.742575,1.152414)","(40.31304,90.97636,40.94884)",0
4.799055,"(-3.23451,1.743751,1.176714)","(40.70069,91.38236,41.61047)",0
4.909886,"(-3.192213,1.746772,1.203955)","(39.85412,91.02823,40.51762)",0
5.021647,"(-3.142351,1.745259,1.233091)","(38.67887,91.00363,39.31042)",0
5.131935,"(-3.085665,1.739746,1.262339)","(38.15226,92.34025,39.62167)",0
5.243383,"(-3.017157,1.752192,1.290003)","(36.45195,94.52023,39.22659)",0
5.354496,"(-2.948549,1.762587,1.309023)","(36.00698,95.94012,39.65411)",0
5.465605,"(-2.886469,1.75972,1.312849)","(36.98546,97.97351,42.0701)",0
5.576908,"(-2.82305,1.763395,1.302889)","(38.04531,99.20317,44.1083)",0
5.686853,"(-2.761396,1.75412,1.284883)","(39.45021,100.0507,46.31113)",0
5.798822,"(-2.697866,1.7391,1.260332)","(40.7311,99.98878,47.72017)",0
5.909581,"(-2.629004,1.734808,1.230791)","(41.09893,99.36568,47.66805)",0
6.020853,"(-2.566401,1.737928,1.203787)","(42.57861,99.25748,49.24631)",0
6.131693,"(-2.519854,1.729644,1.188524)","(45.66227,98.6149,52.17157)",0
6.243153,"(-2.483171,1.723101,1.177176)","(47.35039,97.90127,53.45103)",0
6.354022,"(-2.460245,1.717746,1.16725)","(48.86663,98.50277,55.60462)",0
6.465221,"(-2.446661,1.715569,1.16123)","(48.92611,97.94311,55.2041)",0
6.575943,"(-2.43878,1.715215,1.157858)","(48.45262,95.92732,53.04805)",0
6.686973,"(-2.432394,1.713953,1.153547)","(48.5836,94.74871,52.24604)",0
6.79814,"(-2.424662,1.710292,1.156263)","(49.3771,91.27601,50.35269)",0
6.909343,"(-2.416662,1.70756,1.155539)","(50.16411,89.86187,50.05812)",0
7.020684,"(-2.409388,1.706408,1.151842)","(50.70118,91.27369,51.69383)",0
7.132164,"(-2.402384,1.706916,1.153372)","(51.20879,90.75991,51.80356)",0
7.242304,"(-2.396971,1.711553,1.153021)","(50.77985,89.55148,50.43322)",0
7.353364,"(-2.395494,1.71233,1.144194)","(50.27544,96.96017,55.84761)",0
7.46441,"(-2.393988,1.706773,1.14509)","(51.1548,96.50801,56.41292)",0
7.575572,"(-2.39179,1.691199,1.147573)","(54.35305,94.39361,58.00559)",0
7.686238,"(-2.388884,1.681644,1.146715)","(55.85035,93.94834,59.18275)",0
7.797508,"(-2.386965,1.682912,1.142908)","(54.74759,93.31359,57.49969)",0
7.909019,"(-2.388441,1.684457,1.137789)","(53.99472,93.8911,57.20702)",0
8.019369,"(-2.390955,1.683148,1.134821)","(55.45797,93.55363,58.43782)",0
8.130209,"(-2.389318,1.684663,1.129808)","(54.13181,94.06557,57.49682)",0
8.241823,"(-2.388933,1.683282,1.128618)","(54.14247,92.6146,56.29037)",0
8.352244,"(-2.388304,1.684504,1.126539)","(53.9784,92.96066,56.4101)",0
8.464016,"(-2.386621,1.6858,1.126047)","(53.56706,92.85849,55.90162)",0
8.574975,"(-2.383768,1.685339,1.126925)","(53.67287,92.96748,56.10104)",0
8.686027,"(-2.380159,1.684333,1.129225)","(53.95092,92.90736,56.33736)",0
8.797211,"(-2.376284,1.684092,1.132406)","(54.07927,92.83723,56.41097)",0
8.908161,"(-2.372702,1.684056,1.135866)","(54.18501,93.27188,56.88353)",0
9.019087,"(-2.369879,1.684576,1.139647)","(54.17875,93.69638,57.23397)",0
9.130528,"(-2.368097,1.683776,1.142256)","(54.36157,94.081,57.749)",0
9.241084,"(-2.362906,1.679973,1.144079)","(54.98958,94.72754,58.95625)",0
9.352337,"(-2.353834,1.666896,1.144384)","(56.92849,95.49214,61.65547)",0
9.463157,"(-2.34244,1.65139,1.157381)","(58.93361,92.70596,61.28014)",0
9.574067,"(-2.333918,1.643992,1.186644)","(59.80264,82.81853,53.78328)",0
9.685266,"(-2.33259,1.644348,1.210665)","(59.62568,76.7123,48.78317)",0
9.796269,"(-2.334528,1.648137,1.224459)","(59.01512,74.08054,46.25422)",0
9.907361,"(-2.336237,1.652003,1.229406)","(58.59861,73.807,45.69944)",0
10.01894,"(-2.3365,1.653072,1.230745)","(58.77971,73.58961,45.68904)",0
10.12955,"(-2.33497,1.651444,1.230562)","(59.313,73.45206,46.03238)",0
10.23982,"(-2.330259,1.648938,1.230173)","(59.50085,73.68949,46.36855)",0
10.35167,"(-2.323828,1.646696,1.231253)","(59.4,73.44952,46.1033)",0
10.46293,"(-2.316908,1.645853,1.232424)","(59.31098,73.30308,45.91889)",0
10.56313,"(-2.309141,1.647255,1.233324)","(58.73844,73.73136,45.76026)",0
10.674,"(-2.302343,1.647954,1.233538)","(58.79693,73.9609,45.98088)",0
10.77408,"(-2.298697,1.648347,1.233053)","(58.95864,74.2434,46.32897)",0
10.88494,"(-2.298521,1.648551,1.232542)","(58.97055,74.49118,46.52545)",0
10.98538,"(-2.30036,1.650122,1.231848)","(58.96847,74.62897,46.62751)",0
11.09617,"(-2.303328,1.652436,1.229319)","(58.71814,75.25771,46.88871)",0
11.20707,"(-2.307302,1.654832,1.225069)","(58.25566,75.72844,46.84767)",0
11.30736,"(-2.310972,1.656833,1.220774)","(57.85062,75.86115,46.5998)",0
11.418,"(-2.315168,1.658141,1.216143)","(57.77547,75.76144,46.46071)",0
11.518,"(-2.318167,1.659064,1.212847)","(57.70082,76.37508,46.85631)",0
11.61819,"(-2.321737,1.658716,1.20952)","(58.0377,76.74496,47.4267)",0
11.72885,"(-2.326452,1.656955,1.207788)","(59.08424,75.60986,47.46916)",0
11.83977,"(-2.328779,1.657233,1.208067)","(58.97795,73.76434,45.98577)",0
11.94135,"(-2.330336,1.658474,1.206297)","(58.73117,74.28807,46.17048)",0
12.05124,"(-2.332357,1.659509,1.204782)","(58.48761,74.46579,46.09782)",0
12.16215,"(-2.334158,1.660713,1.203131)","(58.20853,74.48681,45.87772)",0
12.26229,"(-2.335615,1.661642,1.201487)","(58.04153,74.65553,45.8622)",0
12.37367,"(-2.336996,1.662662,1.199266)","(57.80354,74.90679,45.8475)",0
12.484,"(-2.338381,1.663609,1.196836)","(57.62301,75.30859,45.99277)",0
12.59488,"(-2.340498,1.665048,1.194773)","(57.35977,75.50269,45.91258)",0
12.69522,"(-2.342489,1.667064,1.192522)","(56.95015,75.87192,45.83611)",0
12.7955,"(-2.345755,1.67001,1.190142)","(56.41854,76.2944,45.69218)",0
12.90632,"(-2.350668,1.676119,1.187864)","(55.03863,78.20052,45.89614)",0
13.0282,"(-2.363592,1.684733,1.190531)","(54.02126,80.75356,46.87182)",0
13.13889,"(-2.378851,1.693822,1.202284)","(52.63496,81.46359,46.13927)",0
13.2511,"(-2.399794,1.702263,1.217932)","(50.71833,83.72527,46.02225)",0
13.36189,"(-2.426577,1.715879,1.231478)","(49.06104,89.97424,49.04159)",0
13.47271,"(-2.452742,1.731152,1.246336)","(45.88354,94.79926,49.43352)",0
13.58395,"(-2.47648,1.735618,1.260603)","(44.84713,97.33733,50.27134)",0
13.69499,"(-2.495161,1.734106,1.270723)","(44.4385,98.65778,50.85204)",0
13.80574,"(-2.504625,1.731944,1.271929)","(44.57728,99.44843,51.63072)",0
13.91728,"(-2.501638,1.732047,1.263948)","(44.51746,99.19779,51.3652)",0
14.02776,"(-2.488962,1.729667,1.250727)","(44.46649,98.50396,50.76244)",0
14.13869,"(-2.465933,1.724534,1.233492)","(45.36513,98.0042,51.35965)",0
