Elapsed Time,User Position,User Heading,Experiment State
0.07857253,"(-0.2303829,1.783636,1.213213)","(21.67439,95.08081,23.63267)",0
0.1906402,"(-0.2237663,1.783462,1.206802)","(21.74307,95.90051,24.04051)",0
0.3008632,"(-0.2199841,1.783481,1.205965)","(21.8407,95.7771,24.09717)",0
0.4122439,"(-0.2163219,1.78304,1.20635)","(22.04992,95.54039,24.22896)",0
0.5243006,"(-0.2135544,1.784245,1.207706)","(21.46289,95.13699,23.42552)",0
0.6339132,"(-0.2123146,1.787196,1.208824)","(20.10956,95.11101,21.94474)",0
0.7460119,"(-0.21134,1.789044,1.210604)","(19.25141,94.79076,20.89678)",0
0.8569205,"(-0.2104912,1.787614,1.211323)","(19.82814,94.50635,21.41616)",0
0.9678241,"(-0.2102146,1.786529,1.21052)","(20.28227,94.66373,21.96394)",0
1.079071,"(-0.209959,1.787286,1.209822)","(20.03438,94.44454,21.61531)",0
1.189738,"(-0.2096157,1.786859,1.209024)","(20.11236,94.13944,21.58632)",0
1.300629,"(-0.2090244,1.787003,1.208853)","(20.0721,92.93307,21.10374)",0
1.412321,"(-0.2096043,1.78789,1.213396)","(19.5161,88.07766,18.88385)",0
1.523455,"(-0.2101231,1.788086,1.218821)","(19.29713,82.79668,17.04748)",0
1.633617,"(-0.210146,1.787991,1.220156)","(19.30902,80.48302,16.38523)",0
1.745509,"(-0.2106934,1.787136,1.219776)","(19.48447,78.99911,16.1111)",0
1.855741,"(-0.2122898,1.786271,1.218878)","(19.82098,76.84063,15.77955)",0
1.966997,"(-0.2147102,1.786564,1.216625)","(19.90473,74.70427,15.25587)",0
2.078559,"(-0.2171764,1.784902,1.215048)","(20.70118,72.2465,15.18544)",0
2.189576,"(-0.2193108,1.783896,1.211666)","(21.074,70.27329,14.91588)",0
2.300132,"(-0.2202606,1.784302,1.206085)","(20.95883,69.44978,14.61054)",0
2.411505,"(-0.2190247,1.783755,1.199997)","(20.97027,69.59573,14.65798)",0
2.52244,"(-0.2178745,1.783112,1.193674)","(21.04861,69.73492,14.75113)",0
2.633884,"(-0.2155781,1.784238,1.190638)","(21.01413,70.18275,14.84835)",0
2.744916,"(-0.212244,1.785138,1.193655)","(20.31147,71.75634,14.76482)",0
2.85509,"(-0.2189846,1.786758,1.207312)","(19.92612,73.10726,14.84063)",0
2.966596,"(-0.2296925,1.789522,1.230707)","(19.11091,73.64,14.3656)",0
3.078203,"(-0.2380638,1.790291,1.258568)","(18.72327,73.81886,14.11728)",0
3.188433,"(-0.2426357,1.790793,1.281771)","(18.15707,74.07912,13.75144)",0
3.299892,"(-0.2432346,1.790179,1.298552)","(18.77053,73.01174,13.94873)",0
3.410793,"(-0.2400341,1.790041,1.309004)","(18.68618,71.66402,13.55015)",0
3.521981,"(-0.2350559,1.782348,1.32345)","(22.50991,64.66216,14.35779)",0
3.634274,"(-0.2435818,1.77445,1.34495)","(25.09827,45.46445,10.65604)",0
3.743856,"(-0.257864,1.773507,1.352694)","(26.78139,26.09202,6.314738)",0
3.855607,"(-0.2733994,1.769818,1.354916)","(27.64068,9.284505,2.288695)",0
3.965425,"(-0.2861691,1.768771,1.351603)","(27.56928,356.7956,359.2137)",0
4.076683,"(-0.2950001,1.766582,1.351465)","(28.22208,348.4476,357.0866)",0
4.187205,"(-0.3087025,1.764278,1.352888)","(28.74461,341.7307,355.2813)",0
4.29809,"(-0.3314629,1.764482,1.356964)","(28.27568,336.2693,353.9413)",0
4.398314,"(-0.3592224,1.767388,1.358868)","(27.0915,331.1953,352.9193)",0
4.49835,"(-0.3952484,1.769023,1.361061)","(26.40677,325.9261,351.7758)",0
4.598378,"(-0.4300461,1.766877,1.360687)","(27.13189,320.8943,350.2036)",0
4.698613,"(-0.4637451,1.764609,1.360546)","(27.74657,316.6566,348.7894)",0
4.798816,"(-0.4876118,1.757214,1.363626)","(31.96485,312.9858,345.7975)",0
4.909201,"(-0.5066242,1.751621,1.368731)","(34.58018,310.223,343.5651)",0
5.009317,"(-0.5138378,1.748212,1.373072)","(35.69109,307.7555,342.0572)",0
5.109347,"(-0.5098114,1.74275,1.382034)","(37.96964,307.824,340.8766)",0
5.219789,"(-0.4968357,1.71903,1.403204)","(46.13706,312.4636,338.7545)",0
5.330992,"(-0.4842396,1.692083,1.430239)","(52.89139,319.2461,339.0649)",0
5.431062,"(-0.4821453,1.678671,1.450701)","(56.9439,324.1991,340.1286)",0
5.541925,"(-0.4945869,1.671853,1.470097)","(57.74649,326.3127,341.0447)",0
5.652843,"(-0.5187721,1.672536,1.484932)","(57.72273,326.7119,341.2873)",0
5.764865,"(-0.5450325,1.677848,1.501579)","(55.22137,324.92,341.2266)",0
5.876033,"(-0.5620422,1.680663,1.521347)","(54.45489,324.0289,341.0338)",0
5.986355,"(-0.5739117,1.686306,1.548716)","(52.66986,323.1495,341.272)",0
6.097021,"(-0.5817947,1.686846,1.583984)","(51.34935,322.0444,341.2258)",0
6.208044,"(-0.5852776,1.689675,1.627506)","(48.51137,318.7242,340.7368)",0
6.308108,"(-0.5820255,1.694632,1.675245)","(45.40189,315.5267,340.5893)",0
6.408296,"(-0.5752506,1.704464,1.730143)","(43.14823,314.2517,341.0587)",0
6.519373,"(-0.5670414,1.719237,1.784388)","(39.66145,313.5866,342.4216)",0
6.630464,"(-0.5646152,1.726584,1.828215)","(39.04212,314.7965,343.2086)",0
6.741308,"(-0.5683479,1.729571,1.857399)","(37.92422,312.4543,342.7877)",0
6.841895,"(-0.5750027,1.729653,1.877825)","(37.74445,310.6712,342.1582)",0
6.952272,"(-0.5880375,1.731316,1.898821)","(37.44128,309.4201,341.8064)",0
7.063228,"(-0.612812,1.731913,1.921638)","(35.92581,308.0669,342.0552)",0
7.16342,"(-0.6459217,1.733986,1.943941)","(33.45914,305.8335,342.5238)",0
7.263565,"(-0.6862507,1.736966,1.964113)","(31.92558,303.7206,342.6038)",0
7.374434,"(-0.7311344,1.746143,1.982676)","(30.1371,300.2762,342.4259)",0
7.485357,"(-0.7706356,1.745763,2.003122)","(29.74517,296.3323,341.2751)",0
7.596316,"(-0.8044968,1.751304,2.032131)","(29.76736,292.5885,339.8932)",0
7.697594,"(-0.8353558,1.750116,2.064264)","(29.79487,289.7548,338.802)",0
7.807533,"(-0.8680019,1.744802,2.106081)","(29.52718,287.2809,338.0414)",0
7.918624,"(-0.8927822,1.746273,2.152971)","(26.93848,286.5114,339.7237)",0
8.019297,"(-0.9165325,1.756712,2.190386)","(24.82397,286.5536,341.3523)",0
8.129653,"(-0.9493198,1.764444,2.21612)","(22.95348,282.5986,341.5222)",0
8.240972,"(-0.9867077,1.767702,2.239244)","(22.72515,280.0593,340.8772)",0
8.341544,"(-1.025414,1.765606,2.258904)","(22.73717,279.5882,340.7097)",0
8.451629,"(-1.076803,1.760956,2.270128)","(22.7621,279.4667,340.6476)",0
8.551702,"(-1.12867,1.758649,2.27063)","(22.12898,278.6892,340.9341)",0
8.652226,"(-1.183319,1.76727,2.265568)","(20.75076,276.0356,341.2889)",0
8.762828,"(-1.239033,1.773831,2.262794)","(19.12148,272.8648,341.7954)",0
8.862984,"(-1.283812,1.77596,2.261038)","(19.4782,269.9212,340.4955)",0
8.973978,"(-1.332081,1.778818,2.260986)","(18.22183,266.2714,340.5747)",0
9.084866,"(-1.383413,1.776672,2.273401)","(17.89154,263.0862,339.8524)",0
9.196063,"(-1.436481,1.768481,2.296207)","(17.89555,260.3578,338.8763)",0
9.307364,"(-1.491789,1.765965,2.328348)","(17.99901,257.9465,337.8472)",0
9.418038,"(-1.550047,1.776566,2.361979)","(18.84702,258.1608,336.8991)",0
9.529188,"(-1.609146,1.77927,2.387547)","(18.1876,257.1779,337.3155)",0
9.640278,"(-1.665003,1.784128,2.394049)","(18.9309,254.8671,335.4257)",0
9.740343,"(-1.714787,1.782868,2.390266)","(18.1245,252.1031,335.2818)",0
9.851075,"(-1.767679,1.779921,2.377798)","(17.8727,250.4857,334.9059)",0
9.96219,"(-1.816229,1.776959,2.356047)","(17.25026,249.4665,335.3176)",0
10.06241,"(-1.861158,1.783095,2.332972)","(17.17418,248.5923,335.0325)",0
10.17324,"(-1.904284,1.784513,2.312807)","(17.14894,246.2525,333.9786)",0
10.28413,"(-1.953577,1.78578,2.299566)","(18.3561,242.8284,330.3639)",0
10.38426,"(-2.007017,1.77959,2.289946)","(20.35123,240.1936,325.5872)",0
10.48427,"(-2.063173,1.771743,2.286779)","(20.94362,237.5688,322.8119)",0
10.58461,"(-2.11796,1.767213,2.291059)","(20.04486,233.9214,321.6812)",0
10.6849,"(-2.174551,1.772191,2.295187)","(21.97921,231.2449,315.9137)",0
10.79521,"(-2.226923,1.776242,2.288725)","(21.61598,225.0091,310.5212)",0
10.89561,"(-2.269552,1.7774,2.273653)","(22.19366,219.8875,303.2151)",0
10.99632,"(-2.305872,1.772762,2.25165)","(23.02143,214.1275,292.8748)",0
11.10637,"(-2.341024,1.766252,2.218061)","(23.16061,208.1634,281.5096)",0
11.2176,"(-2.365519,1.761263,2.174437)","(21.90217,202.8006,272.3622)",0
11.32834,"(-2.379614,1.763627,2.124029)","(23.58946,194.2066,241.6552)",0
11.43927,"(-2.395872,1.766377,2.0828)","(23.40712,186.9286,212.58)",0
11.5395,"(-2.409094,1.768257,2.054663)","(25.23779,181.0728,184.7892)",0
11.64005,"(-2.425222,1.770838,2.030207)","(25.14926,174.6095,156.166)",0
11.74079,"(-2.447016,1.768562,2.006571)","(25.73864,168.2186,131.3919)",0
11.85125,"(-2.477812,1.765863,1.985979)","(25.58906,161.7372,109.4187)",0
11.96116,"(-2.51198,1.767715,1.970766)","(24.92646,155.1312,90.13688)",0
12.07262,"(-2.54199,1.770779,1.949373)","(24.72707,150.3828,79.32596)",0
12.17333,"(-2.558187,1.769356,1.926081)","(25.08238,144.9808,70.37576)",0
12.27355,"(-2.567423,1.767406,1.898439)","(26.06046,139.8135,64.637)",0
12.37364,"(-2.570906,1.764302,1.870359)","(26.29857,135.6082,59.58839)",0
12.47409,"(-2.564913,1.761374,1.842176)","(25.94872,133.1509,56.00726)",0
12.58462,"(-2.546793,1.759592,1.811518)","(25.58447,132.92,55.05594)",0
12.69534,"(-2.523905,1.761672,1.787931)","(26.09017,132.2649,55.27804)",0
12.80724,"(-2.507429,1.760821,1.767462)","(26.76293,129.0179,53.0339)",0
12.91761,"(-2.498766,1.765546,1.744715)","(27.02234,125.448,49.97313)",0
13.01787,"(-2.495108,1.762972,1.713404)","(28.23846,122.8961,49.62015)",0
13.12845,"(-2.497374,1.761114,1.678865)","(28.94938,120.9528,49.01017)",0
13.2393,"(-2.508078,1.759489,1.643656)","(29.12033,119.6332,48.12842)",0
13.35089,"(-2.524343,1.761222,1.604723)","(29.08192,118.8894,47.43856)",0
13.46168,"(-2.540384,1.762088,1.566568)","(29.17095,118.1995,46.99636)",0
13.5742,"(-2.552038,1.762454,1.532522)","(29.80375,116.0322,46.16147)",0
13.68423,"(-2.561438,1.762454,1.500551)","(30.19502,114.4856,45.49613)",0
13.79507,"(-2.561121,1.758409,1.469126)","(31.44054,112.8716,45.97526)",0
13.9063,"(-2.550142,1.758372,1.438631)","(31.38521,112.7173,45.77888)",0
14.01714,"(-2.531786,1.753566,1.410601)","(31.25982,114.3727,46.91086)",0
14.12917,"(-2.505461,1.747846,1.389601)","(30.98245,116.4225,48.18925)",0
14.24004,"(-2.470964,1.751995,1.375238)","(30.81939,116.7969,48.26469)",0
14.35047,"(-2.442148,1.755753,1.36075)","(30.03157,115.8333,46.33166)",0
14.46147,"(-2.416445,1.75753,1.343939)","(32.18666,113.6217,47.6017)",0
14.57296,"(-2.390203,1.760358,1.32453)","(32.33637,110.3094,45.21801)",0
14.68353,"(-2.366171,1.757511,1.304598)","(32.89605,107.0285,43.52219)",0
14.79445,"(-2.351229,1.758147,1.27923)","(33.24185,104.8882,42.43658)",0
14.90602,"(-2.33671,1.764309,1.25033)","(32.16444,101.9841,39.18316)",0
15.01664,"(-2.322126,1.759993,1.230402)","(33.49769,100.0704,39.50626)",0
15.12795,"(-2.311998,1.763896,1.220774)","(33.88568,99.67552,39.69664)",0
15.24005,"(-2.308294,1.76711,1.218176)","(33.37352,99.6436,39.0892)",0
15.35008,"(-2.306662,1.769477,1.222326)","(33.75269,100.0759,39.80373)",0
15.46117,"(-2.30784,1.772263,1.229033)","(33.28251,99.91879,39.16088)",0
15.57301,"(-2.310087,1.774942,1.234655)","(32.4888,100.0144,38.30694)",0
15.68362,"(-2.311693,1.776262,1.238329)","(31.9298,100.6779,38.07555)",0
15.79449,"(-2.311514,1.776288,1.239367)","(31.6439,101.0056,37.94677)",0
15.90576,"(-2.30913,1.775567,1.238344)","(31.79387,101.0791,38.16875)",0
16.01637,"(-2.305971,1.774425,1.234671)","(32.27802,100.9516,38.65517)",0
