Elapsed Time,User Position,User Heading,Experiment State
0.07735989,"(-4.320871,1.694603,1.083399)","(351.3668,256.0844,11.0201)",0
0.1884377,"(-4.321714,1.692642,1.083307)","(352.3069,256.8921,9.681718)",0
0.2999379,"(-4.322409,1.691323,1.084845)","(352.9494,258.3575,8.645908)",0
0.3999658,"(-4.322134,1.690744,1.086775)","(353.3015,259.7667,8.012169)",0
0.5105739,"(-4.321154,1.689808,1.089243)","(353.7867,261.3751,7.224245)",0
0.6214098,"(-4.318319,1.689028,1.091639)","(354.1807,262.6975,6.610976)",0
0.7223411,"(-4.315775,1.68836,1.094595)","(354.4135,264.3921,6.160847)",0
0.8336325,"(-4.313478,1.687267,1.098974)","(354.9674,266.9961,5.303205)",0
0.9451426,"(-4.312746,1.685657,1.104132)","(355.9151,270.3914,4.05709)",0
1.054836,"(-4.31333,1.684043,1.106897)","(356.781,272.3699,3.088632)",0
1.154915,"(-4.314642,1.682428,1.107222)","(357.781,272.6281,2.119465)",0
1.265231,"(-4.316408,1.680318,1.10655)","(358.9052,272.3406,1.050989)",0
1.366465,"(-4.31954,1.67786,1.107172)","(0.0724589,273.1043,359.9314)",0
1.466709,"(-4.321764,1.674671,1.111547)","(1.817636,276.5915,358.3803)",0
1.577261,"(-4.323694,1.672302,1.117079)","(3.056303,281.0492,357.4826)",0
1.677762,"(-4.325392,1.669551,1.119867)","(4.407502,283.6831,356.5362)",0
1.788166,"(-4.328707,1.666868,1.118677)","(5.728754,284.3401,355.55)",0
1.888336,"(-4.332853,1.66397,1.115915)","(6.997188,284.011,354.5316)",0
1.988378,"(-4.337656,1.660633,1.113192)","(8.933219,282.9973,352.8886)",0
2.088678,"(-4.339846,1.656812,1.113897)","(10.14238,281.1039,351.6476)",0
2.199264,"(-4.338369,1.655838,1.121702)","(10.48775,278.2422,350.9156)",0
2.310302,"(-4.332823,1.657138,1.136389)","(9.116862,275.278,351.6836)",0
2.421376,"(-4.327578,1.659004,1.158655)","(8.646268,273.1169,351.8102)",0
2.532662,"(-4.326792,1.658758,1.183367)","(9.053514,271.5011,351.1797)",0
2.643113,"(-4.326624,1.657776,1.21007)","(9.28624,270.8007,350.8421)",0
2.743119,"(-4.32762,1.659263,1.233492)","(8.06906,270.4066,351.9878)",0
2.84377,"(-4.330065,1.662842,1.254183)","(5.703085,269.634,354.2604)",0
2.953902,"(-4.331377,1.665431,1.271669)","(3.528529,268.0744,356.3509)",0
3.055311,"(-4.333715,1.667007,1.283365)","(2.294777,265.7335,357.5277)",0
3.165516,"(-4.339357,1.668322,1.292765)","(1.350677,262.0095,358.4465)",0
3.26569,"(-4.345385,1.670964,1.298716)","(0.4176886,260.0054,359.5023)",0
3.376643,"(-4.348139,1.673061,1.300386)","(359.5006,258.5508,0.6106293)",0
3.47673,"(-4.348074,1.672964,1.29706)","(359.0408,256.8736,1.208565)",0
3.587714,"(-4.349253,1.674925,1.291166)","(358.3482,255.5922,2.129633)",0
3.698593,"(-4.346716,1.675449,1.285925)","(357.805,254.9577,2.862549)",0
3.799721,"(-4.343321,1.67456,1.282972)","(357.6247,256.0061,3.039689)",0
3.909523,"(-4.339594,1.673972,1.281149)","(357.7769,257.9794,2.746113)",0
4.020582,"(-4.334902,1.676104,1.281973)","(357.8028,259.9758,2.61955)",0
4.13218,"(-4.329882,1.677086,1.284319)","(358.0152,261.722,2.294353)",0
4.242422,"(-4.324202,1.677589,1.288969)","(358.5308,263.1929,1.654971)",0
