Elapsed Time,User Position,User Heading,Experiment State
0.1108299,"(-4.585352,1.675559,1.122377)","(2.158942,276.0063,358.0562)",0
0.2216433,"(-4.581911,1.68207,1.122931)","(359.1808,275.5089,0.7440332)",0
0.3333805,"(-4.576139,1.690871,1.122568)","(354.7521,274.4545,4.855464)",0
0.444436,"(-4.572149,1.692563,1.120878)","(353.5968,273.0984,6.066601)",0
0.5548576,"(-4.570086,1.69178,1.119867)","(353.559,272.1504,6.204165)",0
0.6555181,"(-4.569445,1.690723,1.119658)","(353.9553,272.0743,5.83014)",0
0.7660807,"(-4.571066,1.688847,1.119127)","(354.7307,271.7859,5.107784)",0
0.8665948,"(-4.57287,1.689594,1.119501)","(354.3733,271.8444,5.448741)",0
0.9777946,"(-4.574785,1.689841,1.120005)","(354.3091,271.7025,5.52449)",0
1.22647,"(-4.575838,1.690212,1.119925)","(354.1545,271.8633,5.658679)",0
1.332449,"(-4.574606,1.701967,1.128416)","(348.84,269.5192,11.25343)",0
1.432722,"(-4.578165,1.701368,1.131945)","(348.8476,269.5681,11.23629)",0
1.544358,"(-4.581812,1.697383,1.134695)","(350.9236,272.7357,8.654741)",0
1.654889,"(-4.58555,1.692648,1.139692)","(353.4256,280.39,5.48043)",0
1.755687,"(-4.586874,1.684063,1.153482)","(357.3045,294.4688,1.735021)",0
1.865869,"(-4.569605,1.673964,1.179911)","(3.000832,322.5953,358.9839)",0
1.977296,"(-4.530222,1.667672,1.193274)","(4.771695,351.8658,359.6605)",0
2.088844,"(-4.494371,1.66659,1.189699)","(4.173082,13.95068,0.5107893)",0
2.192104,"(-4.47719,1.665936,1.182268)","(4.277803,24.48586,0.9286603)",0
2.299578,"(-4.464281,1.66618,1.173574)","(4.079272,34.45448,1.265355)",0
2.401024,"(-4.450079,1.6663,1.168509)","(3.415081,43.08494,1.348498)",0
2.511578,"(-4.430613,1.664393,1.167326)","(3.308241,49.72226,1.533242)",0
2.611655,"(-4.411898,1.664588,1.172407)","(3.844943,53.68126,1.946187)",0
2.7125,"(-4.393583,1.664485,1.179365)","(3.976277,58.74897,2.238798)",0
2.822629,"(-4.37985,1.66734,1.185862)","(3.454394,62.7939,2.10872)",0
2.933821,"(-4.373453,1.671955,1.186422)","(3.253833,66.90606,2.150156)",0
3.045178,"(-4.373907,1.670344,1.180799)","(2.911214,76.16689,2.281515)",0
3.155808,"(-4.379511,1.651925,1.187506)","(7.706578,83.92348,6.93172)",0
3.266682,"(-4.381006,1.61522,1.204531)","(20.61803,87.46304,19.74268)",0
3.378041,"(-4.360289,1.595374,1.214338)","(27.89839,88.86561,27.37219)",0
3.489006,"(-4.326429,1.590176,1.215147)","(30.17235,91.53757,30.95424)",0
3.59973,"(-4.282331,1.586412,1.213736)","(29.22274,93.95517,31.21426)",0
3.711097,"(-4.222864,1.591745,1.20495)","(23.36098,96.02484,25.87316)",0
3.821737,"(-4.148676,1.614576,1.192198)","(15.22371,96.87871,17.1433)",0
3.933429,"(-4.080988,1.635955,1.181036)","(9.932918,95.92126,11.01006)",0
4.044321,"(-4.020189,1.648461,1.176168)","(8.315014,95.47793,9.147188)",0
4.155259,"(-3.95701,1.649715,1.182184)","(6.988017,95.048,7.630675)",0
4.266253,"(-3.881758,1.63919,1.197603)","(5.600212,94.42722,6.049756)",0
4.377331,"(-3.80644,1.632497,1.227278)","(4.066307,94.00756,4.360882)",0
4.48838,"(-3.723597,1.656375,1.263296)","(0.989566,93.86182,1.058614)",0
4.599491,"(-3.634092,1.672189,1.283434)","(358.6071,91.75876,358.5637)",0
4.71037,"(-3.545794,1.673623,1.293119)","(359.4035,89.39577,359.4097)",0
4.821755,"(-3.457811,1.660712,1.297926)","(0.4696074,89.42097,0.4648854)",0
4.932631,"(-3.364195,1.645315,1.297636)","(0.5411528,89.06834,0.5324242)",0
5.043718,"(-3.271864,1.642159,1.288271)","(1.884636,87.54242,1.805497)",0
5.154161,"(-3.188494,1.649806,1.284399)","(7.011524,86.57421,6.605276)",0
5.265222,"(-3.107019,1.646775,1.289576)","(9.840511,85.47608,9.095932)",0
5.376497,"(-3.027269,1.640385,1.300196)","(11.14761,84.54779,10.13981)",0
5.48746,"(-2.946692,1.629673,1.314611)","(10.28475,84.63197,9.367951)",0
5.598572,"(-2.872736,1.621303,1.334276)","(8.401094,86.70052,7.93226)",0
5.710256,"(-2.794119,1.635188,1.351671)","(8.960861,90.33216,9.012747)",0
