Elapsed Time,User Position,User Heading,Experiment State
0.0266536,"(-0.1675911,1.650948,1.296501)","(6.908894,96.35338,7.718528)",0
0.1350871,"(-0.1677914,1.651007,1.297403)","(6.933845,96.5674,7.775472)",0
0.2454957,"(-0.1673088,1.650698,1.298626)","(7.126264,96.49587,7.981103)",0
0.3565576,"(-0.1673336,1.650275,1.300692)","(7.345854,96.04941,8.162842)",0
0.4677765,"(-0.1674213,1.651641,1.302046)","(6.609779,95.96316,7.334272)",0
0.5778391,"(-0.1674328,1.653129,1.302103)","(5.920411,96.5982,6.643178)",0
0.6892247,"(-0.16572,1.653482,1.30477)","(6.238044,96.47663,6.984517)",0
0.8004661,"(-0.1568966,1.650924,1.317408)","(8.515115,92.99367,8.970249)",0
0.9120256,"(-0.1437283,1.637398,1.346239)","(15.76323,82.57195,13.86147)",0
1.02317,"(-0.1360455,1.626868,1.380266)","(19.64444,68.43368,13.42939)",0
1.133343,"(-0.1375694,1.622858,1.409641)","(21.98029,51.03522,10.59268)",0
1.244257,"(-0.14814,1.614397,1.42482)","(23.67726,32.24438,6.934638)",0
1.355568,"(-0.1695728,1.60514,1.427767)","(25.8142,9.319492,2.140136)",0
1.466301,"(-0.2000313,1.596759,1.415375)","(27.48103,346.4232,356.6655)",0
1.577617,"(-0.230629,1.598594,1.399391)","(27.51322,329.5409,352.3735)",0
1.688951,"(-0.2651424,1.603969,1.380304)","(26.29006,314.2603,348.7485)",0
1.799542,"(-0.2984028,1.607732,1.365488)","(24.76859,302.758,346.3346)",0
1.910249,"(-0.3314342,1.609321,1.363401)","(24.22687,297.3251,345.1087)",0
2.010413,"(-0.3598118,1.605451,1.374681)","(26.42259,299.4546,344.3947)",0
2.110997,"(-0.4000912,1.598339,1.397123)","(29.28907,305.7346,344.7461)",0
2.221342,"(-0.4454708,1.593809,1.428896)","(31.43894,312.597,345.9126)",0
2.332073,"(-0.4896717,1.590032,1.470381)","(32.54361,313.7721,345.7969)",0
2.432175,"(-0.522892,1.581792,1.518093)","(33.69754,313.4302,345.1488)",0
2.543218,"(-0.5509415,1.569995,1.584404)","(33.67246,311.6173,344.5171)",0
2.654359,"(-0.5706291,1.557237,1.663826)","(32.29416,308.4774,344.0921)",0
2.754845,"(-0.5937958,1.564487,1.744442)","(31.79209,304.1304,342.8257)",0
2.866222,"(-0.6341763,1.576984,1.818712)","(31.62836,300.4862,341.6039)",0
2.976542,"(-0.6893368,1.578184,1.875723)","(31.08456,294.8586,339.8514)",0
3.087644,"(-0.7596378,1.56994,1.914804)","(30.88975,287.0495,336.9113)",0
3.187777,"(-0.8362522,1.561682,1.936251)","(28.93494,280.61,335.8234)",0
3.298209,"(-0.9376736,1.561122,1.951262)","(28.45686,274.5679,333.6469)",0
3.398536,"(-1.019306,1.570455,1.967758)","(29.62926,269.9721,330.357)",0
3.509485,"(-1.107101,1.577695,1.987484)","(28.80323,264.9252,328.6517)",0
3.610293,"(-1.184828,1.573891,2.006578)","(28.78183,259.1751,325.522)",0
3.720739,"(-1.272451,1.566495,2.032579)","(27.58851,251.0186,322.0249)",0
3.831665,"(-1.362446,1.574501,2.055298)","(27.06719,241.6567,316.0694)",0
3.931695,"(-1.441473,1.590074,2.057074)","(26.61307,237.2937,313.1798)",0
4.031968,"(-1.513241,1.594059,2.038479)","(25.87025,230.1951,307.7571)",0
4.143034,"(-1.580923,1.58491,1.998106)","(25.66814,219.8486,295.7003)",0
4.253582,"(-1.634472,1.570801,1.937466)","(24.8126,210.4736,282.1507)",0
4.354191,"(-1.672268,1.572956,1.867126)","(24.028,198.5153,254.8987)",0
4.464835,"(-1.710573,1.583354,1.808744)","(25.64019,182.9194,192.7785)",0
4.575656,"(-1.752851,1.588625,1.763838)","(25.28114,170.0477,137.564)",0
4.67672,"(-1.799723,1.585007,1.731451)","(24.8521,161.7139,107.7085)",0
4.787184,"(-1.866938,1.577336,1.703413)","(25.06014,153.7811,87.32257)",0
4.887712,"(-1.936193,1.58831,1.672419)","(25.1109,146.4767,72.96147)",0
4.998458,"(-1.999685,1.602198,1.63061)","(24.82811,140.3992,62.88295)",0
5.098774,"(-2.037317,1.607488,1.590147)","(23.65553,135.517,54.23389)",0
5.199592,"(-2.058359,1.603411,1.551382)","(23.81439,131.2377,49.90082)",0
5.310036,"(-2.062239,1.595171,1.514029)","(23.46464,128.1248,46.24334)",0
5.410922,"(-2.055666,1.592058,1.482885)","(24.42051,125.6743,45.73332)",0
5.521599,"(-2.060495,1.595817,1.446417)","(26.12963,121.1658,44.73948)",0
5.643835,"(-2.0846,1.597871,1.393007)","(27.11106,115.7136,41.98457)",0
5.75443,"(-2.120562,1.59031,1.349566)","(27.67085,110.2183,38.90169)",0
5.865448,"(-2.163076,1.595328,1.297415)","(29.25756,102.9152,36.28226)",0
5.976777,"(-2.197802,1.604938,1.251802)","(29.12568,100.3305,34.5956)",0
6.087644,"(-2.225649,1.609395,1.221895)","(29.42737,99.01577,34.19069)",0
6.198429,"(-2.245661,1.611908,1.206179)","(29.4681,98.1572,33.7518)",0
6.309482,"(-2.260447,1.611336,1.203455)","(29.45872,98.07323,33.69411)",0
6.421427,"(-2.271208,1.613201,1.209974)","(29.69895,99.05927,34.5262)",0
6.532683,"(-2.281153,1.614425,1.219362)","(30.04282,99.56378,35.2132)",0
6.643167,"(-2.290659,1.614909,1.230913)","(29.97975,98.92133,34.76764)",0
6.753939,"(-2.297487,1.615214,1.24238)","(29.68499,97.69038,33.73407)",0
6.865088,"(-2.302286,1.617115,1.250902)","(28.9317,97.01266,32.51973)",0
6.976141,"(-2.304113,1.618756,1.255987)","(28.13819,97.39103,31.83816)",0
7.087044,"(-2.304953,1.618699,1.260851)","(27.88982,97.22575,31.47319)",0
7.198287,"(-2.306929,1.619312,1.265657)","(27.51687,96.21576,30.53615)",0
7.30918,"(-2.309076,1.62077,1.268232)","(26.77585,95.47333,29.35303)",0
7.421071,"(-2.310759,1.622519,1.269938)","(25.95303,94.34797,27.92384)",0
7.532766,"(-2.311796,1.625874,1.273806)","(24.37173,91.51022,25.00253)",0
7.642521,"(-2.313478,1.629366,1.27487)","(22.71503,90.25175,22.81244)",0
7.753418,"(-2.313955,1.633465,1.267332)","(20.42817,94.68979,22.13121)",0
7.863955,"(-2.315802,1.637048,1.255922)","(18.50302,101.8477,22.68634)",0
7.975345,"(-2.318388,1.638274,1.250246)","(17.90317,104.8747,23.15021)",0
8.086738,"(-2.319025,1.637943,1.249418)","(18.2836,104.2836,23.39288)",0
8.197411,"(-2.318262,1.63769,1.248632)","(18.62321,103.6736,23.56992)",0
8.308863,"(-2.316786,1.636924,1.247343)","(19.01157,103.9931,24.19053)",0
8.42022,"(-2.31418,1.636274,1.247908)","(19.31123,103.6665,24.42789)",0
8.531326,"(-2.310637,1.635783,1.2498)","(19.59755,102.4557,24.26987)",0
8.641901,"(-2.307924,1.63572,1.251619)","(19.67667,101.5704,23.99606)",0
8.753279,"(-2.307268,1.634982,1.252317)","(20.00026,101.2608,24.25671)",0
8.863812,"(-2.307425,1.635431,1.25189)","(19.83516,101.4821,24.15055)",0
8.975201,"(-2.308142,1.635857,1.251764)","(19.69835,101.2558,23.89194)",0
9.086091,"(-2.308561,1.635628,1.251493)","(19.80322,101.1405,23.97013)",0
9.196738,"(-2.308523,1.635408,1.25176)","(19.96937,100.8287,24.03963)",0
9.307961,"(-2.308802,1.635042,1.253592)","(20.24137,99.3109,23.73581)",0
9.419873,"(-2.308802,1.634353,1.258028)","(20.61933,96.17749,22.91241)",0
9.53016,"(-2.309381,1.634028,1.262815)","(20.87243,93.11894,22.01292)",0
9.641783,"(-2.310961,1.63412,1.263456)","(20.79808,93.1864,21.95995)",0
9.752274,"(-2.312582,1.634724,1.263617)","(20.43214,93.53857,21.70462)",0
9.863552,"(-2.314856,1.634708,1.266985)","(20.52353,91.66787,21.11639)",0
9.975312,"(-2.317785,1.634803,1.269552)","(20.55188,90.58307,20.75755)",0
10.08567,"(-2.320627,1.633067,1.270834)","(21.44483,90.44523,21.6082)",0
10.19684,"(-2.323202,1.632987,1.274012)","(21.44531,89.55798,21.28428)",0
10.30762,"(-2.325972,1.632911,1.278639)","(21.51954,88.06021,20.81896)",0
10.41892,"(-2.328203,1.632776,1.283678)","(21.52824,86.59612,20.31244)",0
10.53006,"(-2.330172,1.633319,1.287504)","(21.27613,85.63345,19.74538)",0
10.64086,"(-2.331224,1.633579,1.289423)","(21.08581,85.71368,19.59516)",0
10.75247,"(-2.331224,1.633903,1.289911)","(20.93929,86.35668,19.67443)",0
10.86285,"(-2.330873,1.634006,1.289663)","(20.81389,86.95083,19.75649)",0
10.97439,"(-2.330484,1.633431,1.289557)","(21.05547,86.91467,19.97394)",0
11.08525,"(-2.330141,1.631484,1.290499)","(21.93688,86.23648,20.57204)",0
11.19616,"(-2.32971,1.630363,1.29133)","(22.54863,85.31461,20.81651)",0
11.30758,"(-2.330217,1.629941,1.290812)","(22.7597,85.55265,21.09792)",0
11.41905,"(-2.330584,1.629978,1.290022)","(22.71898,85.65061,21.09537)",0
11.52959,"(-2.331408,1.630465,1.289076)","(22.54612,85.76008,20.97354)",0
11.64046,"(-2.331102,1.630954,1.288469)","(22.29688,85.71959,20.72651)",0
11.75267,"(-2.330431,1.631012,1.288443)","(22.29754,85.85049,20.77362)",0
11.86273,"(-2.32926,1.631026,1.288572)","(22.31841,86.21865,20.92454)",0
11.97359,"(-2.327307,1.630795,1.289484)","(22.37799,86.35251,21.02865)",0
12.08523,"(-2.324911,1.629753,1.29014)","(22.78899,86.52679,21.47992)",0
12.19582,"(-2.322947,1.629315,1.290941)","(22.93851,86.72881,21.69596)",0
12.30745,"(-2.321756,1.629022,1.291761)","(22.96857,86.69314,21.71125)",0
12.41825,"(-2.320597,1.630695,1.287207)","(21.99253,89.83192,21.92966)",0
12.52886,"(-2.320578,1.63308,1.278765)","(20.71823,95.1945,22.63846)",0
12.64035,"(-2.320951,1.634657,1.270857)","(19.78921,99.55659,23.30795)",0
12.75152,"(-2.321787,1.63555,1.263868)","(19.33048,102.8092,24.08997)",0
12.8622,"(-2.32239,1.635668,1.259996)","(19.37792,104.1463,24.7172)",0
12.97368,"(-2.322367,1.635171,1.258833)","(19.55304,104.3418,25.02301)",0
13.08414,"(-2.321299,1.635218,1.258703)","(19.51558,104.2763,24.94715)",0
13.19543,"(-2.3207,1.63519,1.258181)","(19.64168,104.5461,25.2248)",0
13.30652,"(-2.32041,1.635285,1.257559)","(19.66611,104.7248,25.33466)",0
13.41821,"(-2.319712,1.635509,1.257418)","(19.58416,104.6129,25.18121)",0
13.52892,"(-2.31888,1.635482,1.257887)","(19.60205,104.3713,25.09785)",0
13.63988,"(-2.3179,1.635586,1.259291)","(19.57313,103.6527,24.7494)",0
13.75132,"(-2.317503,1.635492,1.260557)","(19.59303,103.2621,24.6065)",0
13.86142,"(-2.316568,1.635018,1.26251)","(19.82363,102.2487,24.45901)",0
13.97296,"(-2.31502,1.634386,1.268515)","(20.1205,98.4938,23.26631)",0
14.08401,"(-2.314135,1.633273,1.278482)","(20.62114,92.4135,21.48835)",0
14.19487,"(-2.313608,1.632124,1.286436)","(21.00325,88.44434,20.45261)",0
14.30582,"(-2.314356,1.631472,1.290304)","(21.32583,87.3643,20.38727)",0
14.41772,"(-2.314421,1.630123,1.293238)","(21.85053,86.58633,20.61389)",0
14.52811,"(-2.314817,1.62907,1.298391)","(22.19496,84.03654,20.04416)",0
14.63963,"(-2.316149,1.628776,1.300066)","(22.27841,82.98494,19.75895)",0
14.75026,"(-2.317064,1.627745,1.298681)","(22.69013,83.89068,20.44222)",0
14.86094,"(-2.318495,1.627627,1.298235)","(22.72643,84.104,20.55024)",0
14.97204,"(-2.319994,1.627523,1.297731)","(22.80156,83.79257,20.50851)",0
15.08396,"(-2.32102,1.62683,1.296446)","(23.13478,84.17631,20.9473)",0
15.19489,"(-2.321684,1.626722,1.296171)","(23.09885,84.43066,21.00605)",0
15.30538,"(-2.322832,1.626976,1.297243)","(22.98379,84.16015,20.80415)",0
15.41751,"(-2.323664,1.627568,1.297422)","(22.7252,84.3746,20.64481)",0
15.52811,"(-2.324606,1.628031,1.297518)","(22.52363,84.40253,20.47066)",0
15.63901,"(-2.325418,1.628328,1.298277)","(22.41207,84.17931,20.29089)",0
15.74986,"(-2.325026,1.62845,1.299143)","(22.30754,83.91276,20.10349)",0
15.86097,"(-2.323877,1.62806,1.299768)","(22.41537,83.51971,20.06503)",0
15.97198,"(-2.323549,1.627917,1.300699)","(22.41393,83.26793,19.97696)",0
16.08358,"(-2.323671,1.62812,1.300821)","(22.33067,83.62731,20.02587)",0
16.19422,"(-2.323206,1.627931,1.300825)","(22.35913,83.85727,20.13098)",0
16.30534,"(-2.322859,1.627649,1.300924)","(22.46541,84.01463,20.28193)",0
