Elapsed Time,User Position,User Heading,Experiment State
0.02459572,"(-3.944136,1.730179,1.348383)","(359.5746,270.0905,0.4247387)",0
0.1331756,"(-3.941912,1.730155,1.350115)","(359.5028,270.0666,0.4966297)",0
0.2332916,"(-3.941622,1.729296,1.35111)","(359.9136,270.0867,0.08628777)",0
0.3336739,"(-3.94161,1.729273,1.351782)","(359.933,270.0544,0.06695418)",0
0.4444946,"(-3.941523,1.729874,1.352365)","(359.6829,269.909,0.3176222)",0
0.5550739,"(-3.94211,1.730213,1.352308)","(359.5357,269.5313,0.4681454)",0
0.6552802,"(-3.942873,1.73099,1.352133)","(359.1362,269.046,0.8783193)",0
0.7664839,"(-3.943563,1.731841,1.351625)","(358.6492,268.4644,1.38747)",0
0.8773335,"(-3.944563,1.732195,1.351408)","(358.4191,268.0793,1.63482)",0
0.978319,"(-3.94528,1.731618,1.351667)","(358.677,268.1024,1.367581)",0
1.088132,"(-3.945879,1.730509,1.352251)","(359.2448,268.3793,0.7769067)",0
1.188223,"(-3.945536,1.729711,1.352903)","(359.7099,268.6279,0.2971041)",0
1.288855,"(-3.944681,1.729176,1.353704)","(359.9838,268.8879,0.01648299)",0
1.398992,"(-3.943853,1.728957,1.354044)","(0.06958052,269.0714,359.9293)",0
1.49923,"(-3.943708,1.728618,1.353945)","(0.2620097,269.1248,359.7339)",0
1.599545,"(-3.943415,1.728284,1.354555)","(0.4206702,269.1944,359.5734)",0
1.699953,"(-3.944387,1.727232,1.354849)","(0.929772,269.2632,359.0582)",0
1.810109,"(-3.945238,1.726268,1.355154)","(1.33087,269.2371,358.6513)",0
1.92093,"(-3.945868,1.72716,1.355539)","(0.9288422,269.1331,359.057)",0
2.021661,"(-3.946638,1.727287,1.355803)","(0.8417996,268.9083,359.142)",0
2.132332,"(-3.948004,1.727721,1.355379)","(0.6455827,268.3855,359.336)",0
2.232554,"(-3.949697,1.727939,1.354986)","(0.5227557,267.6517,359.4554)",0
2.332596,"(-3.952074,1.727535,1.355162)","(0.733289,267.0988,359.2286)",0
2.432661,"(-3.955439,1.727678,1.356493)","(0.8168566,266.979,359.1389)",0
2.543342,"(-3.961241,1.727755,1.359804)","(0.8795264,267.7486,359.0852)",0
2.653959,"(-3.968916,1.726407,1.36384)","(0.7846624,269.3186,359.206)",0
2.765264,"(-3.978685,1.721878,1.365545)","(1.260028,272.0511,358.7843)",0
2.865328,"(-3.986223,1.722572,1.364485)","(1.594236,276.5187,358.5775)",0
2.965702,"(-3.994844,1.725467,1.363802)","(1.109734,282.6324,359.1115)",0
3.065771,"(-4.001329,1.721921,1.366312)","(1.100587,290.0891,359.2306)",0
3.176929,"(-4.003119,1.723137,1.377718)","(359.6812,300.3672,0.1827343)",0
3.287587,"(-3.998171,1.726238,1.396124)","(358.5788,311.875,0.6346647)",0
3.39859,"(-3.983084,1.727502,1.41894)","(357.1586,325.912,0.8712547)",0
3.499036,"(-3.962873,1.728911,1.437643)","(356.9308,340.0092,0.5410511)",0
3.609765,"(-3.934877,1.724854,1.452639)","(356.9217,358.9484,0.02825656)",0
3.709783,"(-3.913042,1.722677,1.458323)","(357.6536,16.90496,359.6513)",0
3.814479,"(-3.900011,1.724723,1.460123)","(358.3898,35.09376,359.4908)",0
3.921816,"(-3.89551,1.725677,1.459421)","(359.4577,58.86843,359.694)",0
4.033077,"(-3.907919,1.722255,1.45582)","(2.166481,74.91994,1.660077)",0
4.144093,"(-3.923292,1.721402,1.456388)","(2.292142,86.83329,2.168863)",0
4.255929,"(-3.93548,1.718175,1.459364)","(4.260869,94.02999,4.571302)",0
4.366236,"(-3.942308,1.718818,1.465391)","(4.131486,96.65082,4.640694)",0
4.477531,"(-3.939871,1.715764,1.470991)","(4.246867,97.40482,4.833862)",0
4.588079,"(-3.926634,1.714436,1.473524)","(4.597689,97.36972,5.229826)",0
4.699684,"(-3.903906,1.712402,1.471449)","(4.95709,97.5291,5.654311)",0
4.8108,"(-3.87311,1.707647,1.465956)","(5.111612,97.75948,5.854156)",0
4.921391,"(-3.834555,1.702192,1.456755)","(4.342881,96.85078,4.895237)",0
5.032628,"(-3.787134,1.698941,1.443003)","(2.13878,94.05596,2.295767)",0
5.143542,"(-3.726965,1.708645,1.423063)","(0.3355981,92.36562,0.3497482)",0
5.254935,"(-3.663881,1.715335,1.402929)","(0.3226422,93.0626,0.340366)",0
5.366117,"(-3.606356,1.711486,1.390123)","(1.932906,94.27824,2.082872)",0
5.476919,"(-3.550268,1.712983,1.386732)","(2.368548,95.09238,2.588932)",0
5.587818,"(-3.491873,1.708541,1.389151)","(2.67565,95.05957,2.922905)",0
5.699648,"(-3.428919,1.699694,1.394991)","(2.452318,95.12334,2.681945)",0
5.810273,"(-3.360941,1.688484,1.404215)","(1.201437,95.48321,1.322278)",0
5.921375,"(-3.283484,1.693642,1.416983)","(359.7939,96.31701,359.7698)",0
6.032314,"(-3.202864,1.708057,1.433302)","(359.7796,96.64476,359.7525)",0
6.143301,"(-3.134657,1.707986,1.445864)","(3.382322,97.09275,3.828948)",0
6.255342,"(-3.073538,1.712172,1.448809)","(3.678811,97.57243,4.199795)",0
6.365609,"(-3.017065,1.708508,1.445166)","(5.061373,97.72804,5.793441)",0
6.476298,"(-2.961893,1.704544,1.436365)","(6.673936,98.08831,7.6866)",0
6.588305,"(-2.908953,1.700263,1.42277)","(6.50192,97.7418,7.443168)",0
6.698229,"(-2.854948,1.690063,1.403997)","(5.147309,96.89119,5.80579)",0
6.809807,"(-2.796141,1.681432,1.379538)","(4.13517,96.19196,4.607589)",0
6.921277,"(-2.730387,1.69644,1.353029)","(4.651834,95.69645,5.13832)",0
7.032183,"(-2.672018,1.696564,1.332117)","(4.796651,95.78338,5.306316)",0
7.143458,"(-2.624945,1.693518,1.319635)","(6.632357,96.0179,7.366368)",0
7.253751,"(-2.587378,1.698083,1.315771)","(6.824621,95.63911,7.529734)",0
7.364929,"(-2.553587,1.694808,1.316572)","(8.463489,94.95657,9.226082)",0
7.476139,"(-2.522249,1.694735,1.322569)","(8.343483,94.48218,9.020413)",0
7.587121,"(-2.491541,1.696965,1.331762)","(7.71569,95.05758,8.426238)",0
7.698315,"(-2.460985,1.698256,1.342108)","(6.894856,95.44672,7.58164)",0
7.809885,"(-2.437201,1.694384,1.348852)","(6.79981,96.52397,7.619462)",0
7.920329,"(-2.418261,1.696338,1.350893)","(6.886678,97.93011,7.909419)",0
8.031845,"(-2.40415,1.701245,1.350218)","(6.004889,99.11527,7.042735)",0
8.143078,"(-2.389887,1.703903,1.347773)","(6.209339,99.34464,7.311862)",0
8.253441,"(-2.376501,1.706789,1.344568)","(5.991018,99.02511,7.015316)",0
8.364341,"(-2.366747,1.703418,1.339491)","(7.499343,99.54278,8.860269)",0
8.475291,"(-2.36083,1.703606,1.332804)","(7.594574,100.5322,9.130729)",0
8.586345,"(-2.359529,1.704569,1.326075)","(7.086,101.1757,8.61764)",0
8.697506,"(-2.360769,1.705263,1.32028)","(6.46798,101.676,7.937002)",0
8.808735,"(-2.360273,1.705541,1.316195)","(6.451461,101.509,7.893301)",0
8.92017,"(-2.360273,1.703395,1.313917)","(7.312895,100.4895,8.785851)",0
9.03049,"(-2.36062,1.703515,1.313139)","(7.262024,98.99586,8.497904)",0
9.141922,"(-2.359934,1.70302,1.313581)","(7.473096,97.08373,8.455876)",0
9.253165,"(-2.358835,1.702648,1.314596)","(7.603536,94.97934,8.292489)",0
9.364623,"(-2.358274,1.703101,1.31447)","(7.248667,93.67371,7.727593)",0
9.474708,"(-2.357985,1.703951,1.313875)","(6.637753,93.04758,6.999671)",0
9.585911,"(-2.35874,1.70481,1.314001)","(6.140532,92.52477,6.416694)",0
9.697507,"(-2.359453,1.70523,1.315126)","(6.139463,91.55747,6.308324)",0
9.808271,"(-2.359285,1.706129,1.315786)","(5.895218,90.84944,5.983113)",0
9.919155,"(-2.357992,1.706842,1.314775)","(5.284879,91.33809,5.409583)",0
10.0311,"(-2.356966,1.706453,1.312983)","(5.106712,93.02612,5.383411)",0
10.14173,"(-2.357164,1.704518,1.311239)","(6.277392,94.10324,6.742812)",0
10.25219,"(-2.357222,1.704925,1.310289)","(6.16928,94.93227,6.723382)",0
10.36407,"(-2.358118,1.705341,1.309374)","(6.050768,95.644,6.676865)",0
10.47468,"(-2.359797,1.705684,1.30773)","(5.917806,96.69633,6.651692)",0
10.58589,"(-2.36091,1.705924,1.306433)","(5.888708,97.1741,6.674708)",0
10.69703,"(-2.360968,1.705536,1.305712)","(5.998702,97.17481,6.799406)",0
10.80779,"(-2.360262,1.705173,1.305719)","(6.313057,96.7836,7.106593)",0
10.91864,"(-2.358656,1.70377,1.306658)","(6.884057,96.11724,7.659072)",0
11.02966,"(-2.35745,1.704078,1.307657)","(6.822865,95.65058,7.529308)",0
