Elapsed Time,User Position,User Heading,Experiment State
0.07740185,"(-4.226629,1.826736,1.175207)","(16.73627,289.6063,348.153)",0
0.1780299,"(-4.248232,1.827803,1.124468)","(16.18334,285.1144,347.5736)",0
0.2786297,"(-4.266333,1.830883,1.07905)","(15.50957,282.194,347.4573)",0
0.3790983,"(-4.276842,1.834653,1.044268)","(15.114,281.4412,347.6147)",0
0.4896624,"(-4.283632,1.836519,1.011431)","(15.64373,279.9929,346.8476)",0
0.5994331,"(-4.27915,1.836237,0.989912)","(18.45487,278.9105,344.1765)",0
0.6995378,"(-4.26222,1.83228,0.9832973)","(21.69589,277.9492,341.0685)",0
0.7999131,"(-4.240404,1.827634,0.9857502)","(23.22084,276.2294,339.1203)",0
0.9108572,"(-4.211527,1.824769,1.003675)","(24.05839,275.262,338.0016)",0
1.011349,"(-4.18762,1.828966,1.027021)","(23.078,274.6412,338.6767)",0
1.122319,"(-4.16099,1.831725,1.052126)","(22.29174,272.9446,338.7995)",0
1.233374,"(-4.133596,1.823069,1.077414)","(22.42196,271.8192,338.2619)",0
1.34406,"(-4.100946,1.814337,1.0996)","(23.35068,273.2619,337.9095)",0
1.455336,"(-4.069101,1.814732,1.1164)","(24.29733,275.1949,337.7565)",0
1.56661,"(-4.043722,1.814346,1.126993)","(23.8636,274.8447,338.0244)",0
1.677238,"(-4.023455,1.812414,1.133936)","(23.73984,273.7186,337.7144)",0
1.77733,"(-4.007147,1.81419,1.139391)","(22.9571,273.125,338.2322)",0
1.887955,"(-3.989992,1.814213,1.1434)","(22.3967,272.468,338.5254)",0
1.989126,"(-3.977434,1.816404,1.144342)","(21.26184,271.4366,339.2531)",0
2.099139,"(-3.966166,1.819423,1.144461)","(20.00828,270.6294,340.206)",0
2.209963,"(-3.956823,1.820406,1.144136)","(19.21299,270.0387,340.7997)",0
2.311777,"(-3.949781,1.820315,1.142958)","(18.95539,269.331,340.8261)",0
2.421031,"(-3.943342,1.820619,1.141333)","(18.54852,267.9103,340.775)",0
2.521042,"(-3.93812,1.816481,1.139566)","(19.81837,265.9755,338.77)",0
2.621653,"(-3.934443,1.797459,1.137007)","(25.08458,263.5018,332.0087)",0
2.731879,"(-3.934328,1.768615,1.138407)","(31.82134,263.1384,324.3634)",0
2.832006,"(-3.931177,1.745755,1.143324)","(36.99943,264.0305,319.2499)",0
2.93245,"(-3.9237,1.738439,1.146933)","(37.87299,264.8231,318.8299)",0
3.043436,"(-3.918772,1.741057,1.151575)","(36.87725,265.978,320.6387)",0
3.154623,"(-3.92071,1.739057,1.152422)","(37.13853,265.2202,319.8753)",0
3.255294,"(-3.925829,1.737763,1.148844)","(37.39349,263.203,318.2714)",0
3.366666,"(-3.927481,1.738124,1.147825)","(37.906,262.4516,317.1978)",0
3.476504,"(-3.929651,1.741013,1.146269)","(37.69585,262.7049,317.6028)",0
3.587536,"(-3.930391,1.741942,1.142862)","(37.71039,262.5332,317.4698)",0
3.698356,"(-3.931681,1.746159,1.138269)","(36.92275,262.6226,318.4007)",0
3.798393,"(-3.932188,1.74723,1.133188)","(36.70072,261.8871,318.1533)",0
3.909419,"(-3.933664,1.749602,1.126116)","(36.09747,261.7311,318.7232)",0
4.020528,"(-3.934618,1.758858,1.111399)","(33.88281,258.4085,319.0452)",0
4.120949,"(-3.930754,1.771299,1.098913)","(31.29445,255.6496,320.324)",0
4.221055,"(-3.926413,1.786264,1.097067)","(27.23072,256.691,325.9519)",0
4.321682,"(-3.919889,1.799286,1.098139)","(22.99471,257.8314,331.7183)",0
4.431819,"(-3.91255,1.809357,1.100901)","(19.29938,259.5776,336.9225)",0
4.542406,"(-3.907244,1.816331,1.111506)","(16.73763,265.5871,341.9422)",0
4.642433,"(-3.906782,1.820949,1.121485)","(14.84115,270.0581,345.1737)",0
4.742518,"(-3.911009,1.828262,1.13695)","(13.74318,274.5217,347.2919)",0
4.842848,"(-3.919046,1.833692,1.151442)","(13.20167,276.7346,348.2546)",0
4.943579,"(-3.927534,1.833526,1.161451)","(14.46115,275.5465,346.8629)",0
5.053159,"(-3.934958,1.823495,1.170774)","(18.80497,272.3633,341.9424)",0
5.164737,"(-3.942221,1.80732,1.177938)","(24.66073,269.4918,335.1264)",0
5.275254,"(-3.950571,1.800717,1.185778)","(26.69633,269.2994,332.9872)",0
5.386352,"(-3.956102,1.797594,1.193464)","(28.12948,271.2939,332.4746)",0
5.487083,"(-3.959433,1.795827,1.198435)","(28.70175,273.4724,332.9231)",0
5.597443,"(-3.961336,1.79314,1.198812)","(29.55436,274.4963,332.5911)",0
5.697791,"(-3.962809,1.792743,1.194952)","(29.60206,273.3733,332.023)",0
5.808993,"(-3.964708,1.793898,1.193441)","(29.19662,272.515,332.0073)",0
5.920435,"(-3.966978,1.795249,1.195284)","(29.23028,272.3117,331.8792)",0
6.029779,"(-3.969664,1.798255,1.19528)","(28.36702,271.0562,332.1308)",0
6.130021,"(-3.971048,1.79947,1.198217)","(27.73185,271.5667,332.9885)",0
6.24074,"(-3.972219,1.799965,1.203234)","(27.18064,271.7398,333.6035)",0
6.341787,"(-3.975573,1.801373,1.204348)","(26.75723,270.7499,333.5784)",0
6.452157,"(-3.981371,1.804451,1.202135)","(25.7972,268.9608,333.7468)",0
6.563233,"(-3.985788,1.807564,1.202036)","(24.92249,268.3414,334.3693)",0
6.674385,"(-3.983217,1.810228,1.206224)","(24.44931,269.6502,335.4055)",0
6.775255,"(-3.976767,1.813544,1.210741)","(23.25351,271.2424,337.2322)",0
6.886317,"(-3.972139,1.818836,1.212896)","(21.64074,271.8572,339.0341)",0
6.996998,"(-3.972738,1.823349,1.213869)","(20.19346,271.8147,340.4238)",0
7.107262,"(-3.975973,1.826319,1.215719)","(19.24648,272.4444,341.5435)",0
7.207975,"(-3.979376,1.828178,1.21652)","(19.07069,273.1592,341.9355)",0
7.318384,"(-3.980478,1.82945,1.215475)","(18.97751,273.7863,342.2169)",0
7.418957,"(-3.978716,1.835078,1.214647)","(16.87351,274.3145,344.3358)",0
7.519117,"(-3.973524,1.850083,1.21702)","(10.54048,275.7855,350.4686)",0
7.619339,"(-3.962126,1.867765,1.219088)","(3.121126,276.9635,357.2368)",0
7.729218,"(-3.951498,1.872595,1.218168)","(1.201915,276.9442,358.9356)",0
7.829817,"(-3.946634,1.873223,1.216551)","(0.6060563,276.19,359.4561)",0
7.929872,"(-3.944017,1.870806,1.215841)","(1.31355,275.3771,358.8043)",0
8.029883,"(-3.945551,1.858206,1.216307)","(6.803815,274.55,353.715)",0
8.141081,"(-3.951963,1.841401,1.217134)","(13.83817,274.0558,347.1)",0
8.251531,"(-3.961443,1.833836,1.217871)","(16.79008,274.1782,344.3766)",0
8.351671,"(-3.972708,1.829265,1.218008)","(18.55714,274.1155,342.71)",0
8.451714,"(-3.987593,1.822499,1.215979)","(20.92146,273.7454,340.3767)",0
8.562371,"(-4.006552,1.813464,1.209524)","(24.52396,273.2678,336.7984)",0
8.662494,"(-4.025953,1.810409,1.197996)","(26.06104,272.7125,335.106)",0
8.773582,"(-4.05245,1.808616,1.179575)","(26.60004,272.2391,334.3854)",0
8.874269,"(-4.082994,1.807881,1.159273)","(27.22554,272.0856,333.7135)",0
8.984617,"(-4.1206,1.811481,1.135351)","(27.5105,272.234,333.504)",0
9.095239,"(-4.156172,1.816968,1.112101)","(27.46323,272.8338,333.8158)",0
9.195448,"(-4.186956,1.820169,1.091497)","(26.9721,273.3269,334.4991)",0
9.296707,"(-4.216619,1.815616,1.074305)","(27.00572,274.2457,334.8612)",0
9.406286,"(-4.246511,1.810183,1.062857)","(28.37491,275.6931,334.219)",0
9.506681,"(-4.269606,1.809829,1.059923)","(29.15848,276.9711,334.0696)",0
9.617678,"(-4.291941,1.806823,1.061411)","(29.26424,278.0436,334.4453)",0
9.728854,"(-4.315725,1.804099,1.06896)","(30.08457,278.3006,333.8358)",0
9.83966,"(-4.339975,1.796741,1.084009)","(31.66797,277.9439,332.2746)",0
9.95174,"(-4.362497,1.789087,1.106237)","(32.86779,277.6578,331.0712)",0
10.0617,"(-4.388494,1.780605,1.132284)","(33.45642,276.1611,329.7965)",0
10.17304,"(-4.425879,1.771607,1.159273)","(34.07658,272.2881,327.1847)",0
10.28388,"(-4.46773,1.765503,1.187983)","(35.11874,267.6677,323.5167)",0
10.38483,"(-4.504358,1.757671,1.215673)","(35.92155,265.4889,321.3438)",0
10.49564,"(-4.537809,1.745539,1.236349)","(37.36489,263.0817,318.2214)",0
10.60625,"(-4.570826,1.741685,1.243471)","(38.29961,259.6064,314.7531)",0
10.70707,"(-4.598543,1.734946,1.24856)","(38.40426,259.099,314.2646)",0
10.81785,"(-4.625387,1.727404,1.250051)","(39.03987,259.6087,313.9072)",0
10.92879,"(-4.652044,1.72221,1.243151)","(39.474,260.1104,313.78)",0
11.02912,"(-4.674417,1.718264,1.234884)","(40.48204,261.5756,313.7187)",0
11.13938,"(-4.696325,1.717876,1.224272)","(41.28421,262.9689,313.849)",0
11.23984,"(-4.714346,1.71956,1.214418)","(41.77694,262.952,313.2982)",0
11.35081,"(-4.729563,1.718347,1.203207)","(42.57351,262.3782,312.0002)",0
11.46146,"(-4.735632,1.715885,1.195372)","(43.54707,262.3486,310.9091)",0
11.56249,"(-4.73702,1.715177,1.190069)","(43.67072,261.6574,310.2428)",0
11.67231,"(-4.733583,1.713794,1.188108)","(43.8351,261.9866,310.3152)",0
11.77325,"(-4.726873,1.714111,1.189451)","(44.12378,262.6305,310.4934)",0
11.87344,"(-4.721563,1.718375,1.192698)","(44.10986,263.4821,311.1577)",0
11.98419,"(-4.715628,1.722302,1.200277)","(44.1141,264.9852,312.2807)",0
12.08424,"(-4.709219,1.723946,1.20997)","(44.31521,266.2217,312.981)",0
12.19528,"(-4.701509,1.725791,1.22064)","(44.61281,266.4357,312.8268)",0
12.30514,"(-4.693228,1.726071,1.232584)","(44.70221,266.7689,312.9781)",0
12.40613,"(-4.685095,1.724089,1.245199)","(44.6578,267.8575,313.8159)",0
12.51715,"(-4.68152,1.723102,1.259127)","(45.04049,269.2751,314.4442)",0
12.61722,"(-4.677885,1.718811,1.270792)","(46.05734,270.7694,314.4941)",0
12.72754,"(-4.677992,1.715194,1.279764)","(46.08678,270.9474,314.5918)",0
12.82774,"(-4.681482,1.710723,1.283194)","(46.66905,269.9705,313.3094)",0
12.92803,"(-4.687471,1.70842,1.28406)","(46.70751,268.6275,312.2852)",0
13.0389,"(-4.693445,1.706723,1.283342)","(47.10635,267.0776,310.7146)",0
13.1505,"(-4.697412,1.707327,1.282)","(47.0509,265.7294,309.741)",0
13.26095,"(-4.698572,1.708478,1.280394)","(46.93072,264.063,308.5712)",0
13.36107,"(-4.697943,1.709563,1.280333)","(46.78654,263.0627,307.9359)",0
13.47135,"(-4.695295,1.710711,1.281229)","(46.71867,262.4645,307.5327)",0
13.572,"(-4.6924,1.712377,1.283308)","(46.66699,262.5061,307.6223)",0
13.68256,"(-4.690252,1.713454,1.289549)","(46.4495,264.9375,309.765)",0
13.78278,"(-4.686735,1.713876,1.29637)","(47.00616,266.4246,310.3214)",0
13.88358,"(-4.684114,1.716148,1.300943)","(46.61542,266.5488,310.823)",0
13.99402,"(-4.681479,1.717427,1.304972)","(46.29622,266.5168,311.1313)",0
14.10446,"(-4.680334,1.717991,1.307428)","(46.26834,266.4879,311.1385)",0
14.20452,"(-4.6803,1.719033,1.307364)","(45.99961,266.2299,311.2245)",0
14.31559,"(-4.680609,1.720049,1.305677)","(45.76264,266.0616,311.3458)",0
14.42699,"(-4.680464,1.720175,1.304033)","(45.75096,266.0266,311.3317)",0
14.53774,"(-4.680151,1.720835,1.30171)","(45.63305,265.7015,311.2106)",0
14.64879,"(-4.68049,1.722242,1.295404)","(45.15993,263.5758,310.0948)",0
14.76031,"(-4.681807,1.722423,1.284323)","(45.00303,260.1735,307.5907)",0
14.87088,"(-4.683584,1.721691,1.273241)","(45.0932,258.0799,305.779)",0
14.97129,"(-4.686399,1.72048,1.262449)","(45.25412,256.6079,304.3585)",0
15.07137,"(-4.690218,1.719396,1.252115)","(45.53038,255.6471,303.2135)",0
15.18192,"(-4.694761,1.718936,1.242182)","(45.62943,254.8396,302.3951)",0
15.28247,"(-4.699003,1.720868,1.235964)","(45.39319,254.258,302.1649)",0
15.39282,"(-4.703333,1.722829,1.230993)","(45.29559,254.4989,302.4922)",0
15.49283,"(-4.706774,1.72461,1.227617)","(45.07446,254.6324,302.8711)",0
15.60354,"(-4.709948,1.725801,1.22537)","(44.83471,254.729,303.2394)",0
15.7146,"(-4.712133,1.725085,1.223707)","(45.09541,254.5248,302.7524)",0
15.81484,"(-4.71427,1.724016,1.221144)","(45.24581,253.9378,302.0584)",0
15.91485,"(-4.715887,1.723177,1.219282)","(45.41211,253.572,301.5358)",0
16.01513,"(-4.717768,1.722615,1.217176)","(45.55315,253.5487,301.3463)",0
16.11551,"(-4.719625,1.721582,1.215471)","(45.84572,253.6997,301.1314)",0
16.22673,"(-4.721926,1.720251,1.213694)","(46.18631,253.9344,300.9352)",0
16.33745,"(-4.723528,1.718918,1.213148)","(46.55332,254.583,301.0782)",0
16.44836,"(-4.724276,1.717687,1.213255)","(46.90693,255.4976,301.4722)",0
16.55931,"(-4.724165,1.717285,1.214003)","(47.04814,256.1583,301.8877)",0
16.66991,"(-4.723532,1.71672,1.214849)","(47.17389,256.6051,302.132)",0
16.77112,"(-4.723558,1.716055,1.216227)","(47.231,257.1063,302.5012)",0
16.88176,"(-4.722891,1.714914,1.219076)","(47.71422,258.1406,302.8407)",0
16.99286,"(-4.722929,1.712508,1.224134)","(48.21535,259.339,303.2992)",0
17.10383,"(-4.723295,1.708366,1.230997)","(49.00261,260.627,303.5151)",0
17.21515,"(-4.724253,1.704272,1.239805)","(49.61164,262.5482,304.4594)",0
17.32743,"(-4.726042,1.699805,1.249121)","(50.26265,264.9089,305.7069)",0
17.43709,"(-4.728079,1.695224,1.257963)","(51.0935,266.9568,306.498)",0
17.54838,"(-4.730501,1.690568,1.265749)","(51.86239,268.7991,307.187)",0
17.64886,"(-4.73197,1.687534,1.271589)","(52.35989,270.4544,307.9991)",0
17.75907,"(-4.732992,1.686741,1.276899)","(52.31894,271.6683,308.9898)",0
17.8701,"(-4.733229,1.68709,1.281488)","(52.13921,272.2713,309.6326)",0
17.97018,"(-4.733377,1.687231,1.284128)","(52.06887,272.1652,309.6194)",0
18.08147,"(-4.733549,1.687733,1.285402)","(51.90196,271.3408,309.1456)",0
18.18164,"(-4.733942,1.688542,1.282557)","(51.71296,268.4114,307.0293)",0
18.29234,"(-4.735067,1.688843,1.27323)","(51.51059,262.031,301.9658)",0
18.40319,"(-4.734861,1.687142,1.264631)","(51.99273,256.5097,296.5282)",0
