Elapsed Time,User Position,User Heading,Experiment State
0.1038245,"(-0.2481384,1.782972,1.220215)","(30.03422,88.9775,29.52636)",0
0.2127915,"(-0.2458744,1.786101,1.211847)","(28.8875,90.34525,29.05472)",0
0.3232321,"(-0.2436142,1.790968,1.207809)","(27.51145,89.77964,27.40983)",0
0.4345353,"(-0.2427711,1.804192,1.205173)","(23.21548,89.03422,22.8377)",0
0.5456201,"(-0.2423058,1.812913,1.200161)","(20.31014,90.00618,20.31228)",0
0.65651,"(-0.241354,1.817396,1.197248)","(18.89122,90.44244,19.035)",0
0.7674115,"(-0.2393551,1.816442,1.195932)","(18.97011,90.1895,19.03181)",0
0.8784527,"(-0.2371178,1.8139,1.194286)","(19.85723,90.01366,19.86187)",0
0.9901761,"(-0.236084,1.814564,1.189163)","(20.33124,90.80862,20.61406)",0
1.100929,"(-0.2369862,1.813362,1.165892)","(21.25108,98.48066,24.55824)",0
1.212165,"(-0.2461452,1.784464,1.120958)","(29.30969,117.7953,46.86944)",0
1.323247,"(-0.2602119,1.76645,1.090214)","(35.15931,137.0342,77.66947)",0
1.433606,"(-0.2608566,1.767254,1.091354)","(34.63065,147.4656,93.7882)",0
1.544536,"(-0.2553196,1.763605,1.108545)","(35.62078,157.2521,115.8939)",0
1.655288,"(-0.254221,1.762622,1.129278)","(36.34526,167.8409,144.0467)",0
1.755972,"(-0.2534046,1.760423,1.160143)","(36.86269,179.8985,179.6954)",0
1.866035,"(-0.2590961,1.754185,1.190874)","(38.57182,193.1954,216.582)",0
1.976548,"(-0.2731781,1.743798,1.220631)","(40.57651,206.9679,245.9368)",0
2.076654,"(-0.2874908,1.733944,1.244869)","(41.98699,217.2046,262.5095)",0
2.176783,"(-0.3035583,1.725441,1.271935)","(43.46851,227.4062,275.5213)",0
2.276879,"(-0.3125401,1.723829,1.289186)","(43.82911,232.9619,282.1551)",0
2.387887,"(-0.3164959,1.730096,1.292135)","(42.71431,233.4301,284.3074)",0
2.499162,"(-0.3180218,1.737691,1.278471)","(41.28362,231.3518,283.8365)",0
2.599635,"(-0.3248158,1.744482,1.253633)","(39.39233,229.3367,284.1321)",0
2.710133,"(-0.342268,1.745738,1.216566)","(37.87411,228.0437,284.8202)",0
2.821138,"(-0.3731041,1.744887,1.169014)","(35.90416,226.2112,285.5746)",0
2.932069,"(-0.4170723,1.750589,1.11274)","(33.00386,224.6089,288.3284)",0
3.042694,"(-0.4616528,1.763339,1.05641)","(31.07998,225.5188,292.9246)",0
3.142892,"(-0.4916077,1.776857,1.008816)","(29.00277,227.1301,298.6644)",0
3.243138,"(-0.5111942,1.78784,0.9662991)","(28.30674,229.6364,302.7929)",0
3.353569,"(-0.5273914,1.799843,0.9173756)","(25.94931,233.3817,310.7574)",0
3.453575,"(-0.5405903,1.803694,0.8699093)","(23.73518,237.5582,318.1284)",0
3.564627,"(-0.556242,1.798049,0.8090191)","(21.71639,243.6955,325.6799)",0
3.664675,"(-0.566494,1.78924,0.7425957)","(21.31406,248.0952,328.8769)",0
3.76493,"(-0.5772228,1.792807,0.6700878)","(21.1807,252.2167,331.2467)",0
3.875748,"(-0.5960655,1.813706,0.5933189)","(20.13545,256.0274,334.4063)",0
3.97581,"(-0.6153526,1.821039,0.5370407)","(18.86869,259.3143,337.3304)",0
4.075952,"(-0.645092,1.828325,0.4917183)","(19.37256,262.5801,338.0026)",0
4.186608,"(-0.6897411,1.830268,0.4485989)","(19.2431,265.2818,339.1382)",0
4.286976,"(-0.7393169,1.821139,0.4181957)","(19.07644,267.7221,340.1647)",0
4.387724,"(-0.7972679,1.810242,0.3943329)","(19.35955,269.4676,340.4632)",0
4.497841,"(-0.8685036,1.812822,0.3716431)","(19.75812,268.1285,339.5993)",0
4.608864,"(-0.9292526,1.820208,0.3526497)","(19.80818,265.6235,338.6528)",0
4.719653,"(-0.974081,1.828028,0.3398075)","(20.55072,267.507,338.5558)",0
4.819743,"(-1.012135,1.83209,0.3273239)","(20.30593,270.5626,339.8884)",0
4.930743,"(-1.056684,1.833687,0.3086758)","(20.18723,273.2787,340.9149)",0
5.031291,"(-1.101427,1.831666,0.2859898)","(19.99063,273.4523,341.1574)",0
5.141682,"(-1.154675,1.824944,0.2597885)","(19.64097,273.9796,341.6548)",0
5.242713,"(-1.209227,1.822518,0.2389507)","(18.93721,277.6169,343.3914)",0
5.353023,"(-1.275494,1.830696,0.2161827)","(17.89845,282.7233,345.6502)",0
5.464111,"(-1.342867,1.846879,0.1976833)","(16.49589,287.1528,347.7893)",0
5.575243,"(-1.403851,1.843817,0.1862869)","(17.05373,290.6474,348.1563)",0
5.686089,"(-1.458242,1.840736,0.1871777)","(19.64141,293.714,347.1025)",0
5.796937,"(-1.505938,1.844846,0.2054005)","(18.77676,299.5018,348.9851)",0
5.8973,"(-1.550028,1.836817,0.2330265)","(19.12254,305.1471,350.0089)",0
6.008091,"(-1.602407,1.816195,0.2768803)","(21.0417,310.816,350.2835)",0
6.119292,"(-1.659737,1.802673,0.331852)","(21.37704,314.7737,351.0096)",0
6.230222,"(-1.719656,1.80446,0.39781)","(22.40977,318.7784,351.4785)",0
6.341198,"(-1.762983,1.787454,0.4567699)","(29.82538,327.134,351.0175)",0
6.441489,"(-1.786646,1.779147,0.5034733)","(34.78652,339.902,353.6454)",0
6.542951,"(-1.805841,1.773962,0.5410862)","(36.93822,352.3032,357.4258)",0
6.65309,"(-1.827063,1.766242,0.577589)","(39.3135,5.604681,2.003388)",0
6.753764,"(-1.847628,1.757648,0.6040325)","(40.87668,19.14231,7.191193)",0
6.864157,"(-1.887503,1.747831,0.629034)","(40.6189,31.72015,12.00481)",0
6.964728,"(-1.938231,1.741748,0.6551266)","(40.36956,40.5695,15.4757)",0
7.065005,"(-1.99066,1.754575,0.6901798)","(41.25449,46.77036,18.49047)",0
7.176087,"(-2.038454,1.764875,0.7256985)","(39.82915,50.45354,19.37227)",0
7.287399,"(-2.069292,1.769121,0.7550068)","(39.32395,55.76107,21.40829)",0
7.409756,"(-2.09738,1.771108,0.7963581)","(39.20642,58.44581,22.5351)",0
7.52036,"(-2.101286,1.768161,0.8288174)","(38.48978,59.65717,22.63878)",0
7.631278,"(-2.092722,1.756687,0.8577213)","(39.66107,61.1194,24.04098)",0
7.742386,"(-2.072271,1.744839,0.8896732)","(40.4165,60.79118,24.36852)",0
7.85333,"(-2.038763,1.732134,0.9221592)","(42.64867,61.09425,25.94688)",0
7.96434,"(-2.003126,1.72225,0.9539433)","(44.59393,62.42167,27.90547)",0
8.07615,"(-1.985197,1.71494,0.9844379)","(46.8442,64.32481,30.4755)",0
8.18644,"(-1.978979,1.720461,1.016172)","(47.36675,67.39545,32.60842)",0
8.298753,"(-1.978712,1.722001,1.049212)","(47.49953,69.51315,33.9567)",0
8.408625,"(-1.985044,1.718915,1.084089)","(48.81898,71.3828,36.11186)",0
8.519728,"(-1.997026,1.718038,1.121267)","(49.28038,73.54122,37.84066)",0
8.631075,"(-2.016195,1.715471,1.154413)","(49.37551,76.92091,40.11791)",0
8.742025,"(-2.02976,1.715315,1.181963)","(49.80548,78.58476,41.60109)",0
8.852952,"(-2.039034,1.71046,1.194342)","(51.36184,78.32047,42.77285)",0
8.964001,"(-2.04339,1.710749,1.194197)","(50.97089,78.54548,42.5883)",0
9.075047,"(-2.048792,1.714522,1.191252)","(50.52884,78.81999,42.39182)",0
9.185917,"(-2.047575,1.718389,1.195509)","(49.14898,76.29861,39.51686)",0
9.297167,"(-2.043936,1.715374,1.201036)","(49.7264,73.99053,38.49228)",0
9.408186,"(-2.039373,1.708818,1.20796)","(50.99871,70.6454,37.34963)",0
9.519526,"(-2.035543,1.702488,1.215773)","(51.91732,65.10629,34.52905)",0
9.630371,"(-2.031717,1.70061,1.218412)","(52.07543,62.75681,33.1837)",0
9.740934,"(-2.027979,1.702144,1.216124)","(51.95719,64.68799,34.29662)",0
9.852464,"(-2.027342,1.705949,1.213633)","(51.23699,65.61594,34.35504)",0
9.963395,"(-2.028521,1.712914,1.210211)","(49.82892,66.11408,33.64034)",0
10.07458,"(-2.032061,1.720925,1.204756)","(47.98823,67.26968,32.98991)",0
10.18602,"(-2.03573,1.728261,1.19861)","(46.19884,68.39669,32.3282)",0
10.2965,"(-2.038107,1.731676,1.19385)","(45.33786,69.19244,32.14252)",0
10.40736,"(-2.037832,1.727295,1.191275)","(46.20927,69.14376,32.76715)",0
10.51892,"(-2.038622,1.715192,1.196432)","(49.70849,67.14218,34.17717)",0
10.62996,"(-2.035231,1.708387,1.200686)","(51.39829,68.05374,36.00159)",0
10.74128,"(-2.031294,1.708907,1.202166)","(51.03302,68.6348,36.09375)",0
10.85287,"(-2.030546,1.708679,1.204145)","(51.38926,69.45216,36.88602)",0
10.96287,"(-2.030787,1.710573,1.206591)","(51.13493,70.56986,37.40732)",0
11.07406,"(-2.03203,1.712206,1.211283)","(50.73639,70.71859,37.1918)",0
11.18493,"(-2.033175,1.713996,1.21607)","(50.32526,71.08252,37.10276)",0
11.29633,"(-2.035002,1.716102,1.219862)","(49.89521,71.58792,37.08647)",0
11.40682,"(-2.037672,1.717809,1.224493)","(49.5361,71.81191,36.94508)",0
11.51847,"(-2.040777,1.719147,1.230463)","(49.20437,71.87447,36.72252)",0
11.62912,"(-2.043844,1.720473,1.235579)","(48.95221,72.20886,36.73317)",0
11.74028,"(-2.047213,1.722434,1.240686)","(48.54193,72.30302,36.46672)",0
11.85225,"(-2.051977,1.724156,1.246065)","(48.14964,72.18117,36.08039)",0
11.96326,"(-2.056128,1.725861,1.250731)","(47.69486,72.37266,35.83865)",0
