Elapsed Time,User Position,User Heading,Experiment State
0.3333333,"(-0.2608681,1.77336,1.279644)","(26.86967,92.00514,27.79037)",0
0.4403229,"(-0.2606277,1.775783,1.283257)","(25.87014,92.55952,27.01)",0
0.5588825,"(-0.2607174,1.778571,1.284243)","(24.81222,92.60065,25.92669)",0
0.669886,"(-0.2610035,1.780282,1.285814)","(24.107,92.55992,25.17449)",0
0.7808612,"(-0.2609367,1.782652,1.28883)","(23.05845,91.72182,23.74234)",0
0.8913392,"(-0.2604465,1.786379,1.291437)","(21.34534,90.6821,21.59501)",0
1.001852,"(-0.2592106,1.789858,1.292273)","(19.71275,89.75936,19.63174)",0
1.114544,"(-0.2572765,1.790784,1.291975)","(19.23704,89.22437,18.9831)",0
1.224633,"(-0.2562466,1.792244,1.290007)","(18.64161,89.65002,18.53006)",0
1.335626,"(-0.2545986,1.792019,1.288328)","(18.51532,89.31765,18.29985)",0
1.447151,"(-0.2525883,1.79295,1.285368)","(17.90101,89.19592,17.65549)",0
1.558136,"(-0.2512798,1.795075,1.280188)","(16.76191,89.90442,16.73436)",0
1.668734,"(-0.2506886,1.797708,1.273977)","(15.4869,91.51093,15.89555)",0
1.780287,"(-0.2504139,1.800358,1.26478)","(14.05436,94.96976,15.31501)",0
1.891104,"(-0.2504597,1.802873,1.259111)","(12.66076,96.25376,14.10998)",0
2.001906,"(-0.2500763,1.803282,1.255322)","(12.54018,96.26086,13.97758)",0
2.112995,"(-0.2489319,1.802546,1.252365)","(12.98702,96.07088,14.42694)",0
2.224188,"(-0.2484112,1.802993,1.251795)","(12.99114,95.54061,14.29926)",0
2.335788,"(-0.2484169,1.803915,1.253586)","(12.74134,94.38184,13.74568)",0
2.44621,"(-0.2488823,1.804958,1.256229)","(12.47705,92.71335,13.07725)",0
2.557237,"(-0.2502918,1.805887,1.258791)","(12.04054,90.93977,12.23817)",0
2.668143,"(-0.2520256,1.806561,1.257874)","(11.71847,90.76633,11.87514)",0
2.77946,"(-0.2537136,1.806761,1.257994)","(11.5095,91.2474,11.76109)",0
2.890463,"(-0.2542858,1.806109,1.258745)","(11.75425,91.79451,12.12554)",0
3.001907,"(-0.2546577,1.805558,1.264713)","(11.96784,89.66547,11.89867)",0
3.112695,"(-0.2551956,1.804933,1.268875)","(12.23435,87.82938,11.78268)",0
3.224048,"(-0.2553234,1.804327,1.271101)","(12.47322,86.91269,11.82336)",0
3.33507,"(-0.2556629,1.803987,1.272779)","(12.57762,86.58466,11.85471)",0
3.44626,"(-0.2554607,1.803183,1.27326)","(12.91221,86.73158,12.20143)",0
3.557776,"(-0.2552586,1.802879,1.273561)","(13.05684,86.8023,12.35338)",0
3.667834,"(-0.255146,1.802385,1.274059)","(13.24711,86.80804,12.53481)",0
3.779279,"(-0.2552128,1.80151,1.274126)","(13.62073,87.0548,12.94392)",0
3.89037,"(-0.2552948,1.800708,1.274048)","(13.98368,87.32447,13.35136)",0
4.000921,"(-0.2554684,1.800754,1.273836)","(13.97581,87.76244,13.44539)",0
4.11259,"(-0.2556686,1.800608,1.273415)","(14.06111,88.2179,13.63454)",0
4.223289,"(-0.2564163,1.800691,1.27264)","(14.03904,88.77339,13.74453)",0
4.334442,"(-0.2578316,1.800619,1.272694)","(13.98737,88.75112,13.68866)",0
4.4457,"(-0.2591267,1.800771,1.272589)","(13.76893,88.78522,13.48274)",0
4.556267,"(-0.2602921,1.800629,1.272324)","(13.69056,88.77449,13.40348)",0
