Elapsed Time,User Position,User Heading,Experiment State
0.05525329,"(-4.192606,1.664189,1.182455)","(3.916441,269.2063,356.029)",0
0.1559134,"(-4.192808,1.664274,1.180403)","(3.900872,268.9522,356.0272)",0
0.266366,"(-4.191797,1.665905,1.178946)","(3.095374,268.6457,356.8306)",0
0.3773723,"(-4.188356,1.66857,1.177862)","(1.816648,267.929,358.1165)",0
0.4776022,"(-4.184008,1.67343,1.177069)","(359.5827,267.1397,0.4386466)",0
0.5776501,"(-4.180075,1.677289,1.175905)","(357.662,266.1926,2.498748)",0
0.6889219,"(-4.176435,1.681379,1.174532)","(355.6402,265.4292,4.721846)",0
0.7892839,"(-4.174994,1.681447,1.173834)","(355.6211,265.3689,4.74755)",0
0.9002583,"(-4.17565,1.677487,1.173464)","(357.6797,265.8326,2.495431)",0
1.112176,"(-4.176382,1.674863,1.173536)","(358.9632,266.0207,1.111383)",0
1.222378,"(-4.178141,1.676628,1.175222)","(358.2075,268.0283,1.855247)",0
1.333125,"(-4.177645,1.674869,1.178495)","(359.0203,269.6635,0.9855023)",0
1.443803,"(-4.176195,1.673963,1.183496)","(359.4421,272.0777,0.5380446)",0
1.544199,"(-4.174639,1.673505,1.18815)","(359.578,273.9733,0.3937285)",0
1.65585,"(-4.173655,1.672764,1.192175)","(359.873,275.1553,0.1160205)",0
1.766531,"(-4.173639,1.672234,1.195051)","(0.217153,275.9571,359.8043)",0
1.877156,"(-4.173948,1.672958,1.195181)","(359.913,275.4499,0.07913233)",0
1.977247,"(-4.174517,1.672538,1.193811)","(0.1198514,274.2233,359.8887)",0
2.088071,"(-4.174433,1.672471,1.191408)","(0.2346956,272.7591,359.7763)",0
2.189381,"(-4.173754,1.673026,1.188951)","(359.9859,271.4094,0.01373422)",0
2.299342,"(-4.172091,1.673801,1.18627)","(359.6566,269.8866,0.3441181)",0
2.39956,"(-4.169943,1.674021,1.18453)","(359.5553,268.6282,0.4554999)",0
2.510023,"(-4.167521,1.674067,1.184607)","(359.3609,268.1801,0.6597068)",0
2.610297,"(-4.165289,1.674016,1.186178)","(359.2435,268.4509,0.7772161)",0
2.721344,"(-4.163515,1.675253,1.188463)","(358.5379,268.9201,1.48995)",0
2.821944,"(-4.162985,1.679014,1.189478)","(356.5421,268.8882,3.525669)",0
2.932668,"(-4.162497,1.682831,1.189634)","(354.5974,268.3006,5.564991)",0
3.043166,"(-4.162771,1.684266,1.189455)","(353.9001,268.0142,6.314654)",0
3.143816,"(-4.163069,1.686278,1.189077)","(353.0881,268.1398,7.139413)",0
3.254879,"(-4.163912,1.686849,1.187529)","(352.8133,268.0375,7.436461)",0
3.365788,"(-4.164549,1.686433,1.186392)","(353.0688,267.9892,7.178151)",0
3.476758,"(-4.164801,1.686213,1.186331)","(353.083,268.7927,7.063962)",0
3.587808,"(-4.165007,1.685453,1.186636)","(353.4827,269.7799,6.542341)",0
3.688434,"(-4.166559,1.683435,1.186522)","(354.3708,270.2758,5.602232)",0
3.798735,"(-4.16947,1.680241,1.186655)","(355.8559,270.6838,4.095018)",0
3.909585,"(-4.17182,1.677894,1.187502)","(356.9669,271.4382,2.957972)",0
4.021938,"(-4.173418,1.676189,1.189741)","(357.8018,272.82,2.092606)",0
4.131481,"(-4.174795,1.673893,1.192797)","(358.9184,274.5052,0.9997306)",0
4.242652,"(-4.175211,1.671466,1.196486)","(0.1207987,275.9708,359.8912)",0
4.353522,"(-4.175356,1.668936,1.200266)","(1.19556,277.2097,358.9461)",0
4.45394,"(-4.175013,1.668145,1.203138)","(1.443084,277.4921,358.7343)",0
4.564843,"(-4.174742,1.668026,1.204889)","(1.358356,276.7946,358.7939)",0
4.675732,"(-4.174051,1.668097,1.204935)","(1.270825,275.4317,358.8443)",0
4.786348,"(-4.174021,1.668313,1.20397)","(1.132301,273.9534,358.9432)",0
4.886389,"(-4.174105,1.668028,1.202642)","(1.308519,272.8351,358.7547)",0
4.986887,"(-4.174417,1.667559,1.201361)","(1.553274,272.1054,358.5028)",0
5.097602,"(-4.173841,1.667119,1.200754)","(1.829709,271.662,358.2226)",0
5.197997,"(-4.172728,1.666662,1.201277)","(1.941768,271.6244,358.1125)",0
5.308299,"(-4.171476,1.666708,1.202517)","(1.905508,271.7698,358.1525)",0
