Elapsed Time,User Position,User Heading,Experiment State
0.1081395,"(-0.1417427,1.674501,1.333309)","(348.8033,92.33428,348.3408)",0
0.2233584,"(-0.1412506,1.674262,1.33466)","(349.005,92.28986,348.5595)",0
0.3345177,"(-0.1411495,1.673694,1.335608)","(349.2655,92.06411,348.8741)",0
0.4458233,"(-0.1417332,1.673425,1.336637)","(349.3051,91.76364,348.9728)",0
0.5566867,"(-0.1420536,1.672852,1.337366)","(349.5203,91.35419,349.2711)",0
0.6674394,"(-0.1420193,1.673267,1.339621)","(349.2882,90.53628,349.188)",0
0.7796847,"(-0.1424236,1.672773,1.341402)","(349.7033,90.19418,349.6686)",0
0.8897709,"(-0.142313,1.669961,1.343481)","(351.2609,89.62217,351.3181)",0
1.001622,"(-0.141489,1.667358,1.344286)","(352.3972,90.1106,352.3826)",0
1.11289,"(-0.1416531,1.66582,1.34503)","(353.138,90.10943,353.1249)",0
1.222606,"(-0.1421032,1.665265,1.34379)","(353.4638,90.82193,353.3695)",0
1.334585,"(-0.1427498,1.664045,1.342148)","(354.0524,91.29971,353.9162)",0
1.445708,"(-0.1432629,1.662051,1.339705)","(354.9386,91.81853,354.7756)",0
1.557151,"(-0.143301,1.662063,1.337282)","(355.0732,92.3867,354.8638)",0
1.668267,"(-0.1435375,1.662335,1.33338)","(355.1505,93.57878,354.8382)",0
1.779015,"(-0.1440468,1.660888,1.330791)","(355.9418,95.01733,355.5703)",0
1.889945,"(-0.143837,1.660009,1.332424)","(356.6006,94.45493,356.3256)",0
2.001315,"(-0.1430988,1.658524,1.33441)","(357.6019,93.01192,357.4724)",0
2.112266,"(-0.1421566,1.658125,1.338655)","(358.0574,90.59978,358.037)",0
2.223842,"(-0.1416531,1.657312,1.342863)","(358.4248,88.44498,358.467)",0
2.334495,"(-0.1414833,1.656755,1.347088)","(358.9066,86.69272,358.9679)",0
2.445768,"(-0.1405602,1.6563,1.352493)","(359.3321,84.26702,359.3958)",0
2.556479,"(-0.1392612,1.656199,1.355524)","(359.377,82.85487,359.4502)",0
2.667483,"(-0.1373577,1.65627,1.357367)","(359.2972,82.45659,359.3841)",0
2.778695,"(-0.1354618,1.656834,1.35845)","(359.0176,82.25591,359.1422)",0
2.889438,"(-0.1338634,1.657221,1.359198)","(358.7146,82.09725,358.8807)",0
3.001006,"(-0.1319294,1.656779,1.360544)","(358.8209,82.09921,358.9732)",0
3.112226,"(-0.1306934,1.656802,1.361635)","(358.9275,82.24711,359.0636)",0
3.223589,"(-0.1299534,1.657056,1.362455)","(358.8185,82.16275,358.9699)",0
3.334412,"(-0.1298962,1.657513,1.362329)","(358.5721,82.63857,358.7447)",0
3.445124,"(-0.1300125,1.658453,1.361801)","(358.1247,83.24709,358.3336)",0
3.556281,"(-0.1307468,1.659017,1.359549)","(357.8503,84.31267,358.0537)",0
3.667328,"(-0.1311855,1.659044,1.356371)","(357.7706,85.66702,357.9331)",0
3.778151,"(-0.1317348,1.659398,1.35251)","(357.5982,87.62479,357.6957)",0
3.888781,"(-0.1328716,1.659989,1.348539)","(357.3285,89.56358,357.3488)",0
3.999712,"(-0.1346588,1.660607,1.344528)","(357.1124,91.22004,357.0503)",0
4.110664,"(-0.1368408,1.661706,1.341507)","(356.5901,92.32172,356.4491)",0
4.222136,"(-0.1391582,1.664458,1.339205)","(355.304,93.0082,355.051)",0
4.333537,"(-0.1404228,1.665559,1.338482)","(354.6891,92.93813,354.4099)",0
4.44466,"(-0.1406097,1.665924,1.338123)","(354.5398,92.86331,354.2603)",0
4.554688,"(-0.139864,1.665916,1.338121)","(354.5295,92.60894,354.275)",0
4.667361,"(-0.1388226,1.665767,1.338068)","(354.5603,92.7187,354.2963)",0
4.778282,"(-0.1379986,1.665614,1.338346)","(354.6055,92.62036,354.3534)",0
4.888852,"(-0.1372166,1.665388,1.338743)","(354.6928,92.51491,354.4549)",0
5.000017,"(-0.1367016,1.665326,1.338762)","(354.7296,92.55941,354.489)",0
5.1113,"(-0.1369991,1.665231,1.339209)","(354.7196,92.66132,354.4688)",0
5.221209,"(-0.1381969,1.665305,1.340528)","(354.6295,92.85424,354.3555)",0
5.332642,"(-0.139679,1.665145,1.342609)","(354.6199,93.59933,354.2714)",0
5.444142,"(-0.1415234,1.664287,1.345812)","(354.9475,94.3569,354.5486)",0
5.555361,"(-0.1442509,1.66338,1.349119)","(355.2358,95.70344,354.737)",0
5.666112,"(-0.1463718,1.66207,1.350401)","(355.7956,97.41692,355.2134)",0
5.777388,"(-0.1484165,1.660816,1.34976)","(356.4902,99.50278,355.8544)",0
5.888388,"(-0.1496525,1.659945,1.350748)","(356.692,99.5424,356.09)",0
5.999682,"(-0.1512375,1.658752,1.351433)","(357.0887,99.83255,356.5411)",0
6.110933,"(-0.1526794,1.659369,1.352539)","(356.9388,99.8531,356.3616)",0
6.221614,"(-0.1542263,1.659473,1.353685)","(356.8142,99.38909,356.2445)",0
6.332713,"(-0.1555214,1.658622,1.35548)","(357.1844,98.16598,356.7517)",0
6.44435,"(-0.1546116,1.657811,1.358294)","(357.6953,96.4883,357.4184)",0
6.554434,"(-0.1515789,1.657949,1.364618)","(357.7246,93.03329,357.6009)",0
6.664914,"(-0.1503315,1.659698,1.373182)","(356.7472,86.58656,356.9353)",0
6.776947,"(-0.1578541,1.661078,1.378164)","(356.0357,81.42937,356.5881)",0
6.887801,"(-0.1647472,1.66067,1.380617)","(355.311,77.89667,356.2092)",0
6.998186,"(-0.1708965,1.65937,1.377687)","(355.929,76.20808,356.807)",0
7.110413,"(-0.1764984,1.660682,1.37051)","(355.6335,75.87679,356.5954)",0
7.22131,"(-0.1843224,1.662028,1.361183)","(355.6581,76.75359,356.5609)",0
7.331768,"(-0.1946907,1.661863,1.351433)","(355.3858,79.15002,356.1855)",0
7.442658,"(-0.2061977,1.664094,1.345892)","(353.9714,81.27683,354.8246)",0
7.554549,"(-0.2186604,1.665095,1.338751)","(353.0076,83.25657,353.7841)",0
7.664684,"(-0.2303352,1.665822,1.332668)","(352.4812,84.1351,353.2122)",0
7.776769,"(-0.2407608,1.667062,1.324776)","(352.0934,84.97044,352.7568)",0
7.887511,"(-0.2499142,1.672033,1.310965)","(350.1199,87.38671,350.5585)",0
7.998672,"(-0.2582226,1.675084,1.296453)","(349.0692,89.61407,349.1422)",0
8.109905,"(-0.2655678,1.676126,1.282978)","(349.0039,92.56454,348.5037)",0
8.22011,"(-0.2696819,1.676873,1.269793)","(348.717,96.61108,347.3445)",0
8.332345,"(-0.2737026,1.673986,1.260973)","(350.5547,100.0893,348.7365)",0
8.442891,"(-0.2762985,1.670442,1.255322)","(352.4945,101.5116,350.8183)",0
8.554224,"(-0.2769947,1.670424,1.251356)","(352.2008,101.3576,350.4857)",0
8.66513,"(-0.277586,1.668999,1.248419)","(353.0475,100.5704,351.6347)",0
8.776039,"(-0.2784824,1.667813,1.246206)","(353.5675,100.6397,352.2502)",0
8.88717,"(-0.2808514,1.66588,1.246641)","(354.3058,100.4373,353.1636)",0
