Elapsed Time,User Position,User Heading,Experiment State
0.1026566,"(-0.3503838,1.656556,1.294487)","(5.572856,96.33984,6.2251)",0
0.2126868,"(-0.3485336,1.65593,1.294792)","(5.820079,95.7263,6.431662)",0
0.3238372,"(-0.3465233,1.656413,1.296078)","(5.522762,95.07243,6.033785)",0
0.4346569,"(-0.3446407,1.657876,1.299093)","(4.978157,93.14476,5.258789)",0
0.5454416,"(-0.3427143,1.660614,1.301329)","(3.318717,91.68268,3.417584)",0
0.6571556,"(-0.3413181,1.662204,1.301596)","(2.321851,91.42337,2.380244)",0
0.7677112,"(-0.3400536,1.662645,1.300388)","(2.106447,91.89745,2.17737)",0
0.8791521,"(-0.3385239,1.659302,1.297829)","(3.966697,93.14548,4.190473)",0
0.9898159,"(-0.3354797,1.655327,1.292759)","(6.098432,95.63555,6.728445)",0
1.101817,"(-0.3335152,1.654683,1.28796)","(6.426032,97.90508,7.377483)",0
1.212232,"(-0.3318176,1.654548,1.286224)","(6.492282,98.25214,7.499102)",0
1.323174,"(-0.3284607,1.647557,1.286785)","(9.872425,97.6444,11.27746)",0
1.434522,"(-0.3235531,1.627748,1.286871)","(20.08628,97.43187,22.80775)",0
1.544973,"(-0.3166866,1.615563,1.286871)","(25.16352,97.11964,28.37474)",0
1.656286,"(-0.3117352,1.612215,1.28797)","(26.33543,96.1871,29.22209)",0
1.767421,"(-0.3087368,1.615433,1.291193)","(24.69584,94.26383,26.54033)",0
1.878877,"(-0.3059082,1.634344,1.299183)","(15.13613,89.74129,15.06872)",0
1.98932,"(-0.3099823,1.648584,1.309036)","(7.920119,84.21611,7.160485)",0
2.10073,"(-0.314436,1.655346,1.31671)","(4.28697,80.1282,3.605868)",0
2.21189,"(-0.3188229,1.660429,1.320608)","(1.586095,77.74929,1.278688)",0
2.322557,"(-0.3228588,1.664728,1.319532)","(359.2165,78.40495,359.3609)",0
2.433307,"(-0.3264618,1.667951,1.317577)","(357.4734,79.80432,357.8872)",0
2.544919,"(-0.3294029,1.669252,1.317951)","(356.7575,79.71869,357.2925)",0
2.655902,"(-0.3304539,1.669731,1.320623)","(356.4782,78.56326,357.119)",0
2.766937,"(-0.3305073,1.670233,1.318037)","(356.3483,80.80348,356.8917)",0
2.877752,"(-0.3290844,1.670869,1.316782)","(356.0897,83.30235,356.5217)",0
2.988973,"(-0.326437,1.668741,1.316248)","(357.3264,85.13792,357.5441)",0
3.09968,"(-0.3236942,1.668054,1.314264)","(357.6953,87.36431,357.799)",0
3.211052,"(-0.3227673,1.668953,1.319143)","(357.2426,85.06639,357.4702)",0
3.322464,"(-0.3234711,1.671857,1.320705)","(355.446,83.52198,355.9334)",0
3.432698,"(-0.3249798,1.672819,1.31848)","(354.7219,84.41318,355.2124)",0
3.544226,"(-0.3264828,1.673346,1.317957)","(354.3065,84.81435,354.7991)",0
3.655401,"(-0.3262901,1.671596,1.318211)","(355.2896,84.16483,355.746)",0
3.766303,"(-0.3250713,1.670853,1.318514)","(355.7302,83.55581,356.1849)",0
3.877733,"(-0.3227158,1.671087,1.318829)","(355.657,83.29897,356.137)",0
3.988978,"(-0.3200626,1.670446,1.318899)","(356.0246,83.0908,356.477)",0
4.099851,"(-0.317522,1.669765,1.320692)","(356.4233,81.98116,356.8916)",0
4.210605,"(-0.3163033,1.670027,1.324459)","(356.3434,78.92306,356.9896)",0
4.322333,"(-0.3182182,1.670258,1.330963)","(356.2624,72.40531,357.2638)",0
4.432891,"(-0.3229923,1.669529,1.33816)","(356.5009,64.42448,357.795)",0
4.543504,"(-0.3290272,1.669355,1.340693)","(356.7129,58.28446,358.1669)",0
4.654783,"(-0.3313236,1.669409,1.336512)","(356.4106,56.27753,358.0799)",0
4.766847,"(-0.3312035,1.667916,1.331661)","(357.0288,56.43182,358.4055)",0
4.877278,"(-0.3319645,1.667054,1.329515)","(357.3847,55.98603,358.6096)",0
4.98802,"(-0.3329296,1.665879,1.323984)","(357.8418,57.18485,358.8236)",0
5.098785,"(-0.3313675,1.663088,1.318493)","(359.1638,60.6454,359.5109)",0
5.209965,"(-0.3265381,1.651054,1.304939)","(6.562017,71.84533,4.756535)",0
5.321248,"(-0.3199234,1.646198,1.287384)","(9.271782,87.46981,8.872755)",0
5.432718,"(-0.3177052,1.645011,1.275)","(10.06306,100.9973,12.19215)",0
5.544183,"(-0.3162842,1.64518,1.269981)","(9.756198,109.6917,13.81997)",0
5.654349,"(-0.3143044,1.64499,1.27047)","(9.609408,114.2189,14.81115)",0
5.765541,"(-0.3125839,1.644657,1.271427)","(9.424322,117.6306,15.51058)",0
5.876609,"(-0.311573,1.64547,1.273853)","(8.655391,120.2682,15.01513)",0
5.98794,"(-0.3101273,1.644871,1.278114)","(8.515511,121.735,15.21704)",0
6.099008,"(-0.3068886,1.645982,1.284023)","(7.810165,121.056,13.77487)",0
6.2097,"(-0.3022213,1.647944,1.292707)","(6.864786,118.5163,11.51729)",0
6.3209,"(-0.2975788,1.649189,1.300291)","(6.175669,116.1708,9.900897)",0
6.431809,"(-0.2918415,1.649315,1.308153)","(5.876397,113.8271,9.008353)",0
6.542985,"(-0.2867508,1.649393,1.315464)","(5.833179,112.2635,8.681955)",0
6.653799,"(-0.2805386,1.648827,1.322561)","(6.080473,110.8596,8.814818)",0
6.765354,"(-0.2728691,1.644451,1.329292)","(8.1708,109.3237,11.50451)",0
6.876791,"(-0.2674694,1.643298,1.336737)","(8.791046,107.814,12.03787)",0
6.986898,"(-0.262598,1.637698,1.343229)","(11.4896,106.8931,15.45479)",0
7.098522,"(-0.2568474,1.619353,1.347542)","(20.57824,106.4583,27.30761)",0
7.209213,"(-0.2510471,1.589987,1.351473)","(33.74963,104.9331,43.09288)",0
7.320385,"(-0.24436,1.57416,1.354868)","(39.90489,102.7309,48.85498)",0
7.431468,"(-0.2389431,1.563912,1.354376)","(43.40962,101.558,51.99577)",0
7.542375,"(-0.235239,1.568009,1.354662)","(41.34055,101.3161,49.42878)",0
7.653197,"(-0.2302856,1.600535,1.353775)","(25.42978,100.7269,30.47416)",0
7.764271,"(-0.2439518,1.637306,1.352785)","(9.074118,102.008,11.19494)",0
7.87584,"(-0.25704,1.651885,1.354559)","(2.663515,103.0784,3.352848)",0
7.986798,"(-0.261919,1.65618,1.360388)","(359.877,103.1161,359.845)",0
8.097653,"(-0.2656441,1.66082,1.366962)","(357.2608,103.4233,356.5305)",0
8.20896,"(-0.27211,1.663571,1.372135)","(355.6669,104.4556,354.41)",0
8.319381,"(-0.2794914,1.66627,1.372074)","(353.8299,107.8313,351.5411)",0
