Elapsed Time,User Position,User Heading,Experiment State
0.3333333,"(-4.138083,1.697076,1.342428)","(350.3776,269.196,9.757737)",0
0.4363426,"(-4.134787,1.69772,1.343203)","(350.0778,268.817,10.12812)",0
0.5464365,"(-4.134821,1.698148,1.342581)","(349.8873,268.6497,10.35256)",0
0.6465424,"(-4.136045,1.697399,1.341814)","(350.3838,268.4838,9.872867)",0
0.7467556,"(-4.137648,1.696337,1.340548)","(351.0854,268.0547,9.221277)",0
0.8578271,"(-4.139109,1.695198,1.33769)","(351.8739,267.0009,8.561433)",0
0.9583383,"(-4.140829,1.690509,1.333773)","(354.9235,265.1284,5.526953)",0
1.069595,"(-4.143885,1.681566,1.32971)","(0.5098155,263.4007,359.4278)",0
1.169709,"(-4.148012,1.672668,1.327608)","(5.823326,262.9636,353.4153)",0
1.280257,"(-4.154306,1.666222,1.328814)","(9.525347,264.4175,349.5034)",0
1.391395,"(-4.159403,1.662561,1.32929)","(11.61076,265.0028,347.338)",0
1.502407,"(-4.163393,1.660526,1.329321)","(12.6876,264.8965,346.1398)",0
1.602412,"(-4.164942,1.65969,1.331316)","(13.23446,265.7672,345.7599)",0
1.702522,"(-4.165461,1.661069,1.333593)","(12.44524,266.911,346.8709)",0
1.813818,"(-4.165243,1.668669,1.336027)","(8.046439,268.2548,351.7055)",0
1.924726,"(-4.162943,1.674968,1.333399)","(4.238457,266.4189,355.4883)",0
2.025714,"(-4.160734,1.678395,1.32884)","(2.098109,263.9006,357.6658)",0
2.135831,"(-4.158331,1.682013,1.32263)","(359.6762,261.5892,0.3751843)",0
2.235835,"(-4.155607,1.685203,1.316076)","(357.7548,259.5958,2.694857)",0
2.3464,"(-4.151999,1.686261,1.312216)","(357.1999,258.5592,3.423195)",0
2.457465,"(-4.150084,1.687768,1.310625)","(356.2038,258.3226,4.660177)",0
2.557471,"(-4.149229,1.688856,1.310377)","(355.7028,258.2334,5.283335)",0
2.657604,"(-4.147989,1.688787,1.311438)","(355.8606,258.5688,5.059131)",0
2.76894,"(-4.145971,1.688614,1.311274)","(356.3403,258.4861,4.479586)",0
2.879402,"(-4.14345,1.689437,1.311167)","(356.2074,257.9081,4.690231)",0
2.990726,"(-4.141172,1.688927,1.311987)","(356.7325,258.1384,4.024508)",0
3.101451,"(-4.137697,1.687687,1.312033)","(357.5057,258.0635,3.076469)",0
3.212254,"(-4.134218,1.686354,1.311232)","(358.4934,257.4786,1.877833)",0
3.323325,"(-4.132223,1.686047,1.310953)","(359.1234,257.5494,1.091236)",0
3.434505,"(-4.130518,1.687962,1.315695)","(358.0795,260.0516,2.286623)",0
3.535366,"(-4.130358,1.688683,1.323)","(357.6009,263.1383,2.705008)",0
3.646129,"(-4.1308,1.689491,1.330271)","(357.0976,265.6609,3.130832)",0
3.757206,"(-4.131575,1.686903,1.332514)","(358.5419,266.2019,1.558052)",0
3.868372,"(-4.13273,1.685999,1.332479)","(359.2068,265.7783,0.8539405)",0
3.968394,"(-4.132803,1.685537,1.333265)","(359.6169,266.0581,0.4103819)",0
4.079087,"(-4.133627,1.684564,1.334848)","(0.4087129,267.0003,359.5693)",0
4.179225,"(-4.134089,1.685063,1.335768)","(0.4212202,267.8618,359.5628)",0
4.289983,"(-4.134024,1.685323,1.336752)","(0.4532203,268.768,359.5369)",0
4.390035,"(-4.133516,1.686196,1.336779)","(359.8745,268.7022,0.1283263)",0
4.501606,"(-4.134714,1.688352,1.337137)","(358.4191,269.2345,1.602171)",0
4.612051,"(-4.136396,1.686417,1.341169)","(359.4112,272.4536,0.564121)",0
4.71208,"(-4.138494,1.683807,1.342855)","(0.7514442,274.3148,359.3031)",0
4.812471,"(-4.140894,1.682992,1.343958)","(1.254555,275.5953,358.8623)",0
4.923514,"(-4.14123,1.682089,1.349535)","(1.952461,279.9348,358.3597)",0
5.024492,"(-4.140596,1.67913,1.356466)","(3.676229,285.3164,357.1948)",0
5.134647,"(-4.139002,1.675964,1.366205)","(5.230113,292.3914,356.4968)",0
5.234998,"(-4.136446,1.675074,1.374281)","(5.592066,298.7953,356.6909)",0
5.344914,"(-4.137369,1.674375,1.377211)","(6.012506,302.8162,356.7209)",0
5.444991,"(-4.141668,1.67371,1.377626)","(6.565682,305.2358,356.5966)",0
5.544998,"(-4.147688,1.670936,1.37937)","(7.896261,308.3054,356.1701)",0
5.645028,"(-4.152437,1.667668,1.381689)","(9.068161,312.2922,355.9835)",0
5.745068,"(-4.154425,1.665561,1.381708)","(9.726367,316.2402,356.0861)",0
5.855878,"(-4.149511,1.665337,1.383299)","(9.193205,321.9111,356.8205)",0
5.956036,"(-4.139425,1.665659,1.385904)","(8.545077,328.9023,357.6183)",0
6.067015,"(-4.12982,1.662796,1.387911)","(9.673838,334.4281,357.7997)",0
6.167173,"(-4.125906,1.659548,1.38883)","(10.9922,336.01,357.6577)",0
6.267558,"(-4.128565,1.659284,1.385855)","(11.27017,332.5506,357.2391)",0
6.377669,"(-4.138758,1.660666,1.374414)","(11.11618,321.7338,356.1328)",0
6.478083,"(-4.151861,1.660733,1.355364)","(11.61919,306.3773,354.1128)",0
6.578553,"(-4.162436,1.657904,1.332453)","(13.22721,289.6083,350.6498)",0
6.689089,"(-4.167978,1.649874,1.305635)","(17.41716,270.5275,342.7401)",0
6.800357,"(-4.168001,1.640426,1.282328)","(21.50501,253.4672,331.447)",0
6.900588,"(-4.166811,1.63584,1.270578)","(23.65537,243.9421,322.9056)",0
7.010984,"(-4.168234,1.633049,1.266554)","(24.90364,239.2063,317.5227)",0
7.111008,"(-4.171618,1.632546,1.268984)","(24.88698,238.2705,316.8053)",0
7.211061,"(-4.174532,1.632771,1.27363)","(24.62611,237.2534,316.4071)",0
7.321985,"(-4.173868,1.637016,1.279593)","(22.83018,235.2827,317.8328)",0
7.433496,"(-4.167738,1.642711,1.285982)","(20.62812,232.1476,319.199)",0
7.534013,"(-4.159235,1.646603,1.288424)","(19.27493,228.7699,318.9276)",0
7.643929,"(-4.152437,1.648901,1.289476)","(18.29571,224.9496,317.4634)",0
7.74414,"(-4.148527,1.651017,1.29553)","(17.07032,224.2108,319.4417)",0
7.844186,"(-4.14691,1.653043,1.306204)","(16.65156,225.6427,321.6472)",0
7.944194,"(-4.145193,1.647455,1.312056)","(19.19505,224.1377,314.7203)",0
8.055165,"(-4.142824,1.639391,1.313871)","(21.76131,219.3283,303.4476)",0
8.166585,"(-4.137335,1.642415,1.316977)","(20.22965,215.6068,301.894)",0
8.267255,"(-4.140169,1.646807,1.326853)","(19.49654,218.5482,307.6705)",0
8.377295,"(-4.154665,1.654714,1.348413)","(17.05086,232.761,326.3662)",0
8.477511,"(-4.169287,1.658501,1.378908)","(15.23276,254.0368,339.8882)",0
8.588309,"(-4.173029,1.657432,1.414549)","(15.36602,278.1046,346.6474)",0
8.69955,"(-4.167898,1.655667,1.433214)","(15.60616,296.0453,350.2199)",0
8.810233,"(-4.164454,1.650666,1.436533)","(17.19841,308.7851,351.7092)",0
8.910308,"(-4.168184,1.643334,1.435621)","(19.72843,319.1706,352.5942)",0
9.021097,"(-4.172461,1.628962,1.436174)","(24.11712,330.7025,353.6079)",0
9.132521,"(-4.167635,1.614284,1.436781)","(27.47261,341.3546,355.404)",0
9.244043,"(-4.158319,1.608763,1.432436)","(29.04397,348.7546,357.0784)",0
9.354419,"(-4.154047,1.607981,1.424883)","(29.08241,349.8476,357.3602)",0
9.465727,"(-4.153173,1.618768,1.416239)","(23.6848,348.2331,357.5244)",0
9.576613,"(-4.149652,1.62522,1.405527)","(22.35858,351.3661,358.2906)",0
9.687304,"(-4.14852,1.627321,1.401011)","(21.73523,354.4942,358.9422)",0
9.787413,"(-4.144606,1.625221,1.402601)","(22.81756,355.8643,359.1651)",0
9.887499,"(-4.13833,1.620653,1.409838)","(24.74781,356.0117,359.1247)",0
9.998606,"(-4.135969,1.622722,1.422308)","(23.84192,352.5964,358.4349)",0
10.09869,"(-4.134588,1.625414,1.439348)","(22.85839,347.1694,357.3957)",0
10.20959,"(-4.128298,1.621676,1.469301)","(24.24023,342.9622,356.3152)",0
10.32038,"(-4.117548,1.61736,1.514498)","(24.25992,338.9154,355.4189)",0
10.43177,"(-4.108648,1.622197,1.5679)","(20.162,328.1041,354.1833)",0
10.53209,"(-4.103045,1.6355,1.618269)","(15.40034,315.1256,353.6088)",0
