Elapsed Time,User Position,User Heading,Experiment State
0.02818572,"(-0.2170048,1.659457,1.298231)","(3.167107,88.50172,3.085391)",0
0.1307309,"(-0.215641,1.659665,1.297291)","(3.165632,88.5817,3.088261)",0
0.2344017,"(-0.2149792,1.659618,1.297571)","(3.263604,88.31471,3.169042)",0
0.3462859,"(-0.2154598,1.659277,1.296652)","(3.361112,88.72686,3.287285)",0
0.4569043,"(-0.2158775,1.659716,1.296474)","(3.180487,88.80797,3.115029)",0
0.5676708,"(-0.2167416,1.659879,1.296282)","(3.113316,88.87641,3.052882)",0
0.6787719,"(-0.2167053,1.660351,1.295383)","(2.912386,89.34583,2.879337)",0
0.789619,"(-0.2155285,1.660572,1.293901)","(2.985719,90.79909,3.027633)",0
0.9008756,"(-0.2135963,1.659984,1.291027)","(3.22052,93.03133,3.39548)",0
1.092431,"(-0.2130432,1.659829,1.290295)","(3.336664,93.57095,3.551249)",0
1.212494,"(-0.2038918,1.656172,1.277462)","(5.829716,105.0639,7.601616)",0
1.322474,"(-0.1960564,1.653776,1.260101)","(7.319116,117.6866,12.07749)",0
1.433261,"(-0.1949539,1.649757,1.233379)","(8.929907,137.2509,22.56628)",0
1.544298,"(-0.2019062,1.64911,1.213354)","(9.447176,154.5433,40.18616)",0
1.654926,"(-0.2096977,1.64806,1.19595)","(10.07884,167.9139,79.58691)",0
1.766167,"(-0.2217503,1.643163,1.176317)","(10.94143,176.5033,144.6446)",0
1.8664,"(-0.2417221,1.640727,1.149471)","(10.36117,184.3547,225.501)",0
1.977138,"(-0.2670422,1.638077,1.120962)","(10.68109,195.5964,291.3662)",0
2.088107,"(-0.280899,1.635253,1.105713)","(12.41541,204.4215,306.6291)",0
2.188581,"(-0.2957077,1.636378,1.09684)","(12.50122,215.6422,322.3709)",0
2.299353,"(-0.3060493,1.634679,1.1026)","(12.16044,226.2924,332.0164)",0
2.410316,"(-0.3078594,1.629024,1.113314)","(14.44359,234.4543,332.3296)",0
2.521657,"(-0.2969856,1.624219,1.121246)","(16.35384,237.5151,330.655)",0
2.63185,"(-0.2813129,1.614385,1.133062)","(19.61217,237.388,324.9503)",0
2.732135,"(-0.2693119,1.601572,1.14575)","(23.21513,239.4251,320.4088)",0
2.832181,"(-0.2617435,1.593698,1.149424)","(27.21221,241.3219,315.5823)",0
2.943195,"(-0.2690678,1.592799,1.153418)","(28.93349,242.4889,313.9237)",0
3.043281,"(-0.2909317,1.596008,1.165916)","(28.23183,246.6926,318.1697)",0
3.154207,"(-0.3299084,1.596892,1.189096)","(26.2524,255.9128,326.7133)",0
3.265412,"(-0.3648243,1.599762,1.218691)","(26.04145,271.2733,334.5121)",0
3.376031,"(-0.3804226,1.609834,1.244307)","(25.94147,284.7882,339.879)",0
3.48736,"(-0.3777504,1.60491,1.260098)","(26.96733,295.9937,342.9555)",0
3.598187,"(-0.373867,1.595685,1.26458)","(28.35886,308.3714,346.0641)",0
3.698354,"(-0.3750153,1.589901,1.274326)","(30.26248,316.8113,347.7817)",0
3.798733,"(-0.3777828,1.589506,1.298487)","(31.79201,320.387,348.2879)",0
3.91028,"(-0.3785572,1.586459,1.342154)","(32.7642,322.5788,348.6281)",0
4.020227,"(-0.3831291,1.580214,1.406105)","(33.18028,323.5287,348.7878)",0
4.120264,"(-0.3936348,1.570606,1.483364)","(32.36246,322.2447,348.6671)",0
4.220737,"(-0.4163933,1.566795,1.572151)","(31.69134,318.1798,347.6218)",0
4.320848,"(-0.4507256,1.575422,1.653381)","(32.16553,314.7087,346.2827)",0
4.431874,"(-0.5000553,1.579851,1.729071)","(32.56989,309.5898,344.3418)",0
4.543388,"(-0.5581818,1.575957,1.789635)","(32.38974,302.4451,341.8735)",0
4.653742,"(-0.6279373,1.568413,1.836033)","(31.02904,294.3174,339.6828)",0
4.753968,"(-0.7067642,1.561668,1.864864)","(28.78104,289.1241,339.3039)",0
4.85399,"(-0.7984467,1.571677,1.893211)","(27.74212,283.1043,337.8149)",0
4.964469,"(-0.8838539,1.585538,1.9259)","(27.22949,275.5022,335.1864)",0
5.075377,"(-0.9561653,1.596073,1.956333)","(22.96911,266.1754,335.4906)",0
